GCCSA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
19499,190,100,60,154,103,61,165,110,80,185,94,70,159,514,341,850,119,100,225,77,74,157,94,75,173,88,79,160,90,67,153,477,391,866,114,80,191,88,69,157,74,61,138,90,56,147,94,55,145,458,326,779,81,41,124,69,30,95,39,33,73,37,27,57,40,15,62,266,154,413,37,24,61,26,17,46,28,11,38,22,16,32,11,11,24,121,78,199,43,38,83,25,27,47,4,19,26,3,3,4,0,0,0,7351,4939,12288
19799,13,5,3,8,0,6,6,0,4,4,0,3,3,12,23,35,5,6,13,0,3,3,0,3,3,4,8,10,4,6,16,16,26,42,3,7,7,4,10,7,6,10,13,8,12,21,5,10,12,26,36,63,4,3,10,0,9,9,3,4,6,4,5,12,3,9,12,21,28,46,0,10,8,0,0,0,0,4,3,0,3,4,0,3,3,5,14,22,10,10,19,3,7,7,3,0,3,0,0,0,0,0,0,171,239,412
1GSYD,60314,27964,29479,57441,26922,28099,55025,26586,28644,55228,25898,27659,53552,136868,144692,281558,25114,26789,51904,24062,25839,49900,23203,25139,48342,22844,24530,47377,21521,23409,44926,116752,125704,242452,21373,22902,44275,20986,22463,43451,19908,21410,41316,20295,21583,41874,20550,22054,42608,103106,110423,213531,17558,18835,36396,16276,17471,33749,15832,16824,32653,13532,14984,28522,13111,14525,27637,76315,82644,158961,12306,13937,26244,11895,13155,25055,10891,12656,23549,10026,12057,22084,9592,11533,21129,54715,63350,118061,37598,48394,85988,23698,36223,59924,9453,19120,28568,1884,5108,6990,113,424,539,2376766,2447221,4823991
1RNSW,38647,18191,19387,37584,18247,19271,37516,17938,19033,36975,17957,18600,36553,91386,95897,187279,17849,17994,35846,17482,18201,35682,17231,17826,35053,17415,18028,35447,17068,17584,34651,87041,89638,176678,17071,17402,34471,16899,17078,33976,16398,16623,33024,16683,16477,33158,17723,17734,35460,84775,85317,170095,14497,14673,29168,14049,14390,28435,13377,13855,27232,11819,12479,24298,11771,12238,24008,65512,67630,133140,10657,11283,21945,9985,10845,20829,9407,10395,19798,8771,9752,18530,8361,9563,17922,47188,51835,99023,31228,38484,69716,18596,27634,46229,6661,13348,20008,1225,3447,4679,79,408,483,1301717,1341813,2643536
29499,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
29799,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
2GMEL,54549,25340,27186,52519,24774,25996,50767,23967,26000,49962,23101,24918,48015,123698,132121,255824,23321,24593,47908,21630,23621,45251,20702,22900,43607,20503,22417,42914,19755,21651,41402,105899,115182,221078,19484,21506,40990,18492,20759,39253,18255,19945,38197,18078,20361,38438,19091,21031,40126,93402,103599,197002,16099,17422,33526,14652,16198,30844,14151,15915,30065,12425,14008,26433,12387,14028,26407,69714,77568,147281,11543,13071,24610,11187,12743,23934,10331,12196,22532,9695,11796,21491,9179,11092,20275,51936,60898,112832,36158,47062,83219,22582,33980,56561,8749,16869,25617,1718,4491,6207,151,608,762,2199597,2285616,4485211
2RVIC,20772,9866,10437,20304,9954,10456,20406,9740,10330,20074,9673,10135,19809,49225,52136,101361,9769,10244,20015,9613,10120,19729,9559,9975,19536,9665,10078,19739,9660,9680,19344,48271,50095,98363,9390,9791,19183,9567,9762,19330,8946,9242,18182,8960,9078,18040,9652,9697,19348,46519,47572,94086,7973,7921,15895,7380,7528,14905,6874,7274,14148,6308,6490,12799,6383,6610,12994,34911,35831,70745,5813,6038,11850,5177,5792,10974,5097,5401,10495,4534,5219,9756,4315,4817,9129,24939,27264,52199,16351,20282,36633,9870,14802,24675,3682,7415,11100,696,1942,2639,104,285,389,704128,729694,1433818
39499,189,112,104,220,101,112,213,101,128,231,90,135,225,489,592,1080,133,143,270,141,126,272,142,130,271,134,119,251,111,119,226,660,639,1294,135,119,253,127,119,239,169,113,287,138,96,233,147,98,242,716,539,1253,126,69,196,88,57,146,86,51,138,56,49,103,48,29,83,403,254,661,57,22,77,39,31,69,35,33,67,20,17,40,29,15,46,177,118,295,53,34,82,11,8,24,4,8,17,0,3,3,0,0,0,6937,5572,12510
39799,0,4,4,8,0,3,3,0,0,3,0,0,0,5,14,19,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,8,3,12,0,0,0,0,8,8,0,0,3,4,0,4,3,3,5,5,12,19,3,0,3,3,6,7,0,0,0,0,0,0,0,0,0,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,6,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,66,87,150
3GBRI,28043,13033,13720,26751,12688,13509,26197,12167,12926,25095,11811,12621,24434,63409,67104,130519,11826,12134,23964,11150,11967,23121,10711,11735,22453,10766,11710,22473,10869,11391,22265,55331,58942,114276,10217,11001,21215,10059,10830,20890,9861,10444,20303,9566,10362,19923,10106,10680,20790,49807,53313,103118,8379,8719,17101,8024,8439,16459,7245,7862,15106,6418,6902,13320,6266,6833,13102,36333,38754,75090,5707,6146,11853,5435,5872,11313,4926,5563,10485,4479,5102,9578,4080,4965,9044,24632,27648,52275,15228,20001,35231,9331,14838,24172,3565,7547,11113,724,2014,2738,62,276,339,1117452,1153351,2270800
3RQLD,33930,16045,16626,32667,15659,16150,31808,15424,16263,31689,15087,15403,30491,78817,81760,160585,14720,15519,30242,14515,14891,29409,14058,14693,28751,14226,14441,28669,14045,13989,28038,71564,73541,145106,14201,14109,28317,13692,14082,27774,13562,13340,26909,13475,13129,26609,14203,13995,28205,69141,68658,137801,11807,11602,23402,11287,11471,22758,10641,10662,21304,9193,9445,18637,9246,9294,18545,52174,52467,104645,8418,8538,16959,7779,8036,15818,7165,7554,14712,6551,6815,13372,6102,6543,12639,36013,37488,73504,22604,25810,48416,12450,17904,30354,4538,8608,13145,975,2281,3256,112,268,374,1197426,1222294,2419724
49499,38,31,23,60,25,13,38,19,17,31,21,15,37,122,81,207,25,16,41,31,18,46,17,14,38,19,25,41,23,10,37,114,82,198,32,27,56,16,15,34,19,10,27,13,10,23,22,9,36,108,68,183,9,6,21,13,6,22,10,3,17,15,7,17,9,5,16,59,27,85,10,3,10,3,0,3,11,3,15,6,0,6,0,3,5,27,8,37,9,11,23,10,4,16,3,3,6,0,0,3,0,0,0,1734,1129,2863
49799,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
4GADE,17488,8236,8754,16990,8020,8754,16777,7834,8291,16131,7628,8390,16016,40311,43097,83406,7381,8100,15478,7356,7778,15130,6942,7870,14806,6884,7765,14646,6808,7450,14259,35369,38948,74316,6709,7539,14244,6664,7243,13907,6383,7086,13469,6392,6994,13379,6813,7464,14281,32956,36325,69278,5480,6196,11675,5130,5839,10975,4793,5504,10298,4426,5107,9537,4221,4833,9051,24055,27481,51538,3824,4558,8377,3619,4501,8119,3610,4337,7947,3384,4124,7513,3274,3859,7130,17705,21370,39078,12752,16674,29423,8255,12807,21060,3369,7015,10387,674,1781,2454,72,197,269,633888,661823,1295714
4RSAU,5928,2821,2864,5690,2838,2798,5628,2856,2746,5604,2751,2687,5434,14234,14052,28286,2876,2775,5654,2777,2635,5408,2767,2630,5398,2858,2730,5591,2732,2721,5457,14019,13492,27505,2687,2736,5428,2727,2661,5390,2760,2557,5315,2563,2483,5055,2836,2804,5644,13574,13245,26827,2333,2249,4586,2287,2288,4579,2132,2116,4251,1917,1881,3800,1875,1845,3720,10553,10384,20935,1690,1658,3351,1567,1564,3125,1473,1556,3029,1326,1391,2712,1223,1325,2547,7270,7494,14768,4670,5259,9931,2755,3851,6607,982,1887,2869,192,537,728,18,62,80,190368,187706,378074
