GCCSA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
19499,0,0,4,0,279,285,6,3,0,3,737,746,190,73,30,6,1311,1615,184,161,116,6,798,1269,153,187,250,15,548,1148,269,133,300,28,264,986,296,66,221,51,84,719,53,13,54,21,19,162,13,6,9,8,7,32,1157,635,980,143,4049,6958,0,0,0,0,228,232,24,4,3,0,585,615,183,44,24,3,843,1091,128,56,63,14,366,629,164,83,170,25,208,646,347,50,178,34,121,732,272,19,104,48,33,477,47,3,26,37,10,120,4,0,9,26,3,48,1181,257,569,185,2395,4590,0,0,4,0,514,517,29,7,3,3,1318,1358,370,116,52,5,2155,2703,310,214,179,25,1168,1900,314,268,418,42,757,1798,617,182,479,58,385,1722,567,84,324,105,118,1196,106,16,71,59,31,282,19,4,12,37,6,78,2338,892,1548,335,6445,11545
19799,0,0,0,0,3,3,0,0,0,0,5,9,3,0,0,0,5,11,15,0,0,0,3,18,14,0,4,0,9,25,18,0,3,0,0,22,38,0,4,4,0,48,13,0,0,3,0,16,0,0,0,3,0,3,102,3,10,7,26,157,0,0,0,0,7,7,0,0,0,0,3,4,8,0,0,0,10,24,9,0,0,0,3,14,15,3,4,0,6,31,32,3,12,0,4,53,38,0,16,12,0,60,8,0,0,7,0,24,3,0,0,3,0,7,119,8,29,21,35,220,0,0,0,0,12,12,3,0,0,0,9,9,18,0,0,0,16,32,26,0,3,0,6,34,30,3,10,0,10,50,56,3,11,4,4,74,70,4,15,15,3,108,27,3,0,12,0,42,3,0,0,3,0,10,223,11,42,30,65,374
1GSYD,456,50,63,58,147352,147983,6395,279,201,110,165305,172289,143609,4988,5978,296,226835,381705,225374,10506,17789,614,90175,344463,204064,13011,31007,1703,57602,307388,173967,10784,33075,3865,31930,253616,128691,6987,21838,7533,14366,179414,65892,2516,7556,10880,5465,92308,19666,587,1600,11531,1762,35147,968114,49716,119103,36590,740789,1914314,851,65,57,59,139348,140387,14808,710,424,112,152394,168451,182395,8356,9719,577,191646,392700,229961,14849,27560,1931,77276,351579,203615,16487,46959,6127,47006,320191,167089,12464,47978,16523,26343,270395,110949,6561,31880,32128,11545,193069,46575,1916,11334,47061,4859,111741,9780,363,3414,44530,2785,60875,966018,61779,179333,149056,653198,2009383,1304,115,120,116,286699,288362,21204,988,625,226,317697,340737,326001,13352,15699,877,418473,774405,455333,25360,45342,2551,167449,696037,407676,29494,77966,7831,104602,627580,341052,23251,81055,20381,58273,524011,239643,13554,53715,39656,25917,372488,112462,4432,18890,57943,10328,204051,29450,949,5016,56063,4548,96022,1934134,111495,298433,185646,1393988,3923700
1RNSW,189,26,61,23,81534,81832,2356,177,78,48,72789,75449,48206,2773,2163,168,89923,143234,84111,6631,9237,376,48162,148516,97317,9325,21873,1296,40088,169896,110768,9162,29527,3581,25385,178427,103758,6244,22301,7673,10308,150284,54030,2104,7648,10781,3853,78420,14454,403,1313,9324,1072,26562,515192,36839,94198,33275,373118,1052624,159,40,28,26,77433,77694,4436,443,121,66,67036,72109,61708,4609,3588,336,76911,147152,90511,8987,14045,1147,41721,156403,103473,11243,29644,3927,30377,178659,112935,9268,35662,10762,16905,185530,92627,4773,24615,24525,6404,152945,40103,1342,8345,37809,2717,90318,7450,251,2025,33763,1343,44829,513403,40954,118072,112364,320846,1105649,352,69,90,58,158971,159525,6791,621,203,116,139825,147560,109907,7382,5754,500,166837,290388,174619,15619,23279,1519,89884,304924,200793,20560,51513,5220,70464,348557,223705,18431,65190,14349,42287,363959,196380,11015,46917,32202,16718,303231,94137,3445,15998,48587,6573,168736,21902,655,3337,43085,2411,71398,1028598,77797,212270,145640,693966,2158275
29499,0,0,4,0,175,180,10,0,0,0,438,447,124,48,14,3,864,1052,119,110,71,3,518,813,101,102,122,7,303,628,142,57,139,8,115,460,134,37,67,14,34,283,30,5,11,7,17,72,3,0,0,4,3,9,653,351,422,46,2462,3942,0,0,0,0,173,178,20,5,4,0,420,453,134,40,19,3,603,795,98,50,59,7,271,479,80,52,89,5,113,347,164,26,100,22,40,352,108,19,44,19,14,204,26,0,8,15,3,49,3,0,3,17,3,28,623,196,328,91,1647,2883,0,0,4,0,350,357,27,5,9,3,852,898,259,87,32,7,1463,1848,209,159,125,7,782,1295,177,157,206,15,421,975,306,85,238,33,161,816,238,50,113,34,49,482,53,5,16,21,17,121,8,0,3,20,3,38,1273,544,752,140,4106,6825
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,3,6,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,9,25
2GMEL,409,50,57,50,136179,136742,4811,236,153,105,163048,168363,129957,4493,4705,296,219836,359284,202464,9769,15537,606,86614,314991,187329,13080,29634,1655,54080,285775,157293,10059,30878,3838,27526,229601,119859,5884,19133,7040,11207,163110,64677,2178,6623,10629,3987,88091,18855,516,1331,11035,1459,33202,885646,46266,108055,35269,703938,1779168,617,62,64,63,131463,132275,11244,580,325,126,152725,165007,164034,7376,8036,560,191056,371061,206047,13822,24213,1766,78242,324092,188350,16333,44649,5380,46826,301538,152955,11556,44956,14156,23682,247299,107523,5842,29238,29279,9289,181172,46797,1812,9980,45529,3837,107963,9506,306,2517,41447,2173,55950,887078,57699,163985,138297,639292,1886350,1028,113,126,114,267639,269015,16056,823,477,234,315779,333367,293991,11870,12740,852,410896,730345,408504,23598,39748,2372,164859,639084,375674,29411,74283,7034,100904,587317,310252,21614,75835,17996,51207,476902,227378,11722,48369,36315,20493,344283,111476,3996,16600,56162,7819,196050,28363,824,3847,52484,3637,89151,1772722,103964,272034,173569,1343226,3665515
2RVIC,86,16,33,19,44777,44925,1146,80,32,17,39652,40923,26168,1393,1048,75,48142,76820,46214,3561,4590,233,25571,80170,55127,5247,11727,712,20146,92963,62708,4868,15478,1993,12449,97495,57210,3349,11237,4079,5552,81432,29130,1009,3518,5580,2042,41289,7869,194,582,5023,681,14351,285658,19725,48243,17739,199012,570369,110,10,19,31,41871,42043,2049,202,42,43,36263,38606,33027,2389,1637,175,42937,80178,49693,4909,7043,633,23082,85363,58374,6318,16333,2058,16064,99158,63552,5063,19033,5890,8694,102238,52014,2578,12631,12847,3331,83397,21391,656,3869,20166,1466,47547,4227,133,905,18368,822,24446,284440,22265,61512,60219,174534,602974,197,27,44,44,86648,86967,3200,282,72,63,75919,79529,59199,3783,2684,257,91081,157001,95912,8472,11635,865,48649,165539,113505,11564,28062,2772,36217,192122,126258,9934,34515,7886,21139,199728,109225,5928,23867,16928,8883,164829,50518,1670,7383,25752,3512,88833,12094,325,1486,23393,1496,38801,570101,41991,109758,77958,373543,1173346
39499,0,0,0,0,209,212,0,5,0,0,554,559,121,51,26,7,1097,1288,162,133,85,5,583,964,230,129,212,7,392,975,546,120,274,31,186,1147,607,88,290,61,79,1120,127,20,40,17,18,225,5,0,3,5,0,19,1793,546,932,134,3106,6509,0,0,0,0,201,203,4,0,0,0,564,576,143,24,16,0,814,1005,147,43,54,7,253,514,296,66,140,18,177,688,779,58,256,35,97,1224,562,19,142,50,24,798,82,3,13,37,11,153,0,0,0,18,0,18,2015,218,626,174,2148,5179,0,0,0,0,410,408,4,6,0,0,1119,1133,264,74,38,9,1905,2293,312,178,145,20,832,1485,524,195,348,18,575,1663,1322,185,531,62,280,2373,1164,105,432,111,99,1916,215,23,54,60,28,381,8,0,3,29,0,44,3804,762,1561,304,5254,11693
39799,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,3,0,3,0,3,7,10,0,3,0,0,10,7,0,0,0,3,7,4,0,5,3,0,13,5,0,0,0,0,7,0,0,0,0,0,0,30,0,11,0,21,65,0,0,0,0,5,5,0,0,0,0,4,4,5,0,0,0,3,6,0,0,0,0,3,3,10,0,3,0,0,7,9,0,8,3,0,19,6,0,3,11,0,16,3,0,0,0,0,7,0,0,0,0,0,0,33,3,17,18,17,81,0,0,0,0,11,11,0,0,0,0,11,11,4,0,0,0,7,11,4,0,3,0,4,14,14,0,3,0,0,24,17,0,13,3,3,30,13,0,9,11,0,33,7,0,3,3,0,16,0,0,0,0,0,4,60,3,27,17,38,144
