GCCSA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
19499,73,22,27,23,69,113,137,50,573,0,0,0,0,0,0,0,0,0,38,38,80,25,85,23,34,29,90,160,188,109,829,63,14,17,7,3,4,0,6,17,10,142,52,19,27,3,3,4,3,13,37,12,171,4,5,4,0,0,0,0,0,8,3,25,0,0,0,0,0,0,0,0,0,0,4,58,23,31,3,6,3,7,9,45,13,201,0,0,0,0,0,0,0,0,0,37,39,122,40,52,11,7,4,13,15,63,61,382,135,13,12,3,3,3,0,0,6,9,184,63,8,8,0,0,4,0,3,9,5,97,4,5,0,3,0,0,3,0,6,3,31,0,0,0,0,0,0,0,0,0,0,0,68,11,11,3,0,4,3,3,14,13,124,0,0,0,0,0,0,0,0,0,57,57,207,27,23,9,6,3,3,4,15,79,367,175,10,10,0,0,0,0,3,3,12,220,61,4,4,0
19799,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,9,4,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,3,11,10,0,0,0,0,0,0,0,0,3,10,5,0,0,0
1GSYD,80762,14183,18141,22490,23272,24036,13631,7574,279605,37,22,66,22,19,19,23,17,20,843,1095,63678,43330,95272,18959,23373,28020,28588,29233,16613,10773,357835,39981,18168,15295,2823,2439,2075,1790,1596,839,1984,86987,68335,49680,46949,6281,6534,6440,5850,5527,2993,3097,201690,5311,5560,7236,1346,1879,2204,1809,1762,1112,1102,29321,503,340,302,42,44,63,45,41,18,89,1487,74152,55582,54489,7670,8455,8709,7699,7326,4120,4294,232497,67,41,32,5,7,8,4,3,4,612,784,114198,73791,69816,10500,10902,10792,9495,8929,4963,6890,320272,68919,10997,6413,1065,974,763,656,601,330,2153,92862,105834,21429,12565,1720,1650,1582,1275,1065,562,2759,150433,19741,6179,6028,1089,1327,1540,1311,1305,934,1788,41235,784,157,112,19,22,19,12,17,9,97,1254,126358,27762,18711,2830,3001,3133,2595,2381,1510,4642,192922,115,32,14,3,0,0,3,0,0,480,649,195392,38790,25139,3895,3975,3899,3260,2983,1837,7273,286432,68691,3378,1648,300,297,246,222,231,115,1720,76857,99724,6118,2738,466
1RNSW,6273,1294,1804,1918,2269,2373,1277,794,21080,3,3,11,0,3,0,3,3,0,432,454,5510,2977,8859,2052,2542,2503,2825,2937,1559,1686,33451,9959,3318,2856,457,495,375,296,257,128,679,18820,3425,2956,4980,758,1054,933,737,622,318,378,16155,145,220,462,109,121,154,164,158,124,100,1755,35,21,40,7,4,8,0,9,3,18,141,3598,3195,5474,877,1179,1095,901,793,443,495,18059,14,7,12,0,0,0,0,0,0,345,366,13571,6516,8344,1335,1675,1463,1202,1047,577,1517,37247,24349,2501,1939,326,307,246,198,147,61,1099,31167,6964,1781,1716,267,306,211,173,147,79,320,11960,537,232,348,81,120,95,106,76,75,127,1784,77,21,14,0,9,5,0,0,0,11,143,7574,2038,2079,352,427,308,279,221,155,454,13884,48,0,0,0,0,0,0,0,0,241,301,31971,4539,4013,678,739,551,473,368,214,1798,45354,32807,1265,742,139,146,93,73,76,38,1232,36599,8668,561,346,61
29499,59,10,15,20,40,81,97,32,408,0,0,0,0,0,0,0,5,0,28,34,44,36,85,16,25,26,55,123,148,77,634,47,11,11,5,0,5,0,0,16,8,100,19,15,17,7,5,3,5,5,23,8,102,0,0,8,3,0,3,3,5,4,6,31,0,0,0,0,0,0,0,0,0,0,0,20,11,22,5,3,8,10,10,31,16,136,0,0,0,0,0,0,0,0,0,33,38,69,22,28,9,3,10,10,13,44,51,268,65,19,9,0,0,0,0,0,0,9,99,46,4,15,3,3,0,0,0,0,4,74,6,0,0,0,0,0,3,0,0,6,17,0,0,0,0,0,0,0,0,0,3,5,50,4,15,3,3,0,4,0,4,14,94,0,0,0,0,0,0,0,0,0,22,25,118,26,25,5,3,0,3,0,3,45,226,66,5,5,0,0,3,0,0,0,8,92,30,0,3,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,79534,12963,16797,19443,19836,19493,11153,5925,241551,24,23,54,7,8,14,12,10,12,558,733,46091,37511,93543,17320,21573,23892,24019,23570,13517,8419,309454,33272,12626,12288,2521,2275,1771,1463,1379,653,1701,69949,46566,35200,44186,5838,6443,5819,5060,4783,2440,2372,158711,3750,3623,6019,1262,1669,2088,1608,1589,1005,878,23482,342,258,307,24,43,53,33,25,17,75,1180,50655,39075,50513,7121,8147,7962,6702,6402,3455,3327,183376,46,39,27,6,7,9,5,3,3,303,454,83973,51734,62834,9649,10429,9741,8177,7787,4118,5332,253778,56871,8759,6681,1095,995,701,614,495,292,1828,78332,68703,14990,13615,1854,1827,1575,1266,1128,578,2038,107567,12597,3761,5032,1071,1308,1508,1236,1248,887,1505,30148,552,128,105,11,20,14,17,9,5,85,949,81851,18883,18744,2941,3153,3098,2516,2383,1466,3621,138662,75,16,19,0,0,7,0,4,3,224,351,138801,27661,25445,4045,4157,3799,3130,2882,1757,5672,217347,64088,3090,1809,338,293,279,228,202,116,1680,72115,72302,4596,2699,470
2RVIC,4603,741,1013,1100,1143,1288,717,527,12922,3,0,3,3,3,0,0,3,3,311,335,2703,1712,5925,1075,1365,1439,1427,1553,867,1102,19173,4575,1608,1451,312,217,217,164,152,62,332,9086,1447,1560,3086,425,472,417,310,286,160,210,8364,115,158,382,89,112,144,91,97,68,67,1317,15,16,33,0,0,3,4,3,0,4,73,1575,1731,3497,510,585,558,401,384,229,281,9755,11,3,3,0,0,0,0,0,0,283,308,6163,3338,4947,822,806,780,569,535,292,898,19151,11007,1313,1079,165,155,118,101,73,42,531,14570,2756,924,1083,160,142,133,107,84,65,162,5614,317,151,321,68,93,91,61,72,50,69,1291,36,6,8,0,0,0,0,3,0,14,72,3106,1084,1414,229,231,221,166,155,113,245,6975,27,3,7,0,0,0,0,0,0,209,247,14141,2404,2496,388,381,346,266,233,155,975,21793,17085,581,428,67,62,67,44,41,23,656,19039,4068,306,234,34
39499,33,18,17,22,82,138,130,50,517,0,0,0,0,0,0,0,0,0,11,16,48,35,61,26,23,31,91,223,230,85,853,60,22,28,4,7,3,0,3,7,11,142,22,7,18,3,0,0,0,0,11,5,73,0,3,4,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,3,23,12,23,3,0,5,3,0,12,14,93,0,0,0,0,0,0,0,0,0,12,18,82,31,54,3,7,6,3,7,23,37,254,167,28,22,3,7,5,5,7,7,18,256,20,6,3,3,0,0,0,0,3,6,48,0,0,3,0,0,0,0,0,7,8,16,0,0,0,0,0,0,0,0,0,0,3,22,6,5,3,0,0,0,0,10,17,69,0,0,0,0,0,0,0,0,0,12,14,193,36,28,6,5,7,3,7,15,47,341,330,19,17,3,3,4,3,3,0,23,404,37,3,4,0
39799,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0
