GCCSA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,19072,3426,4647,80,73,27297,5860,1024,1207,25,14,8121,5029,887,1112,21,15,7061,7976,1428,1964,29,19,11412,11348,2056,2979,53,32,16462,34534,6287,9747,113,93,50770,42435,8108,12715,153,105,63516,75754,13790,20752,236,206,110728,48748,9067,12394,139,138,70480,56395,11068,12015,149,177,79808,51828,10922,7550,129,194,70625,17786,2812,2903,68,56,23632,376761,70873,89977,1194,1105,539917
1RNSW,14220,721,335,106,99,15487,7590,429,216,49,35,8322,6831,349,155,62,44,7443,13164,650,370,115,72,14367,18486,879,481,116,92,20042,48250,2383,1304,231,203,52371,50551,2537,1120,198,172,54578,56691,2235,951,187,228,60292,23967,801,326,69,91,25256,17674,506,256,70,63,18565,9457,272,165,60,90,10041,12498,456,225,67,88,13332,279386,12209,5894,1325,1273,300087
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,23579,4041,1992,63,63,29738,9276,1459,616,21,17,11386,8152,1263,604,16,14,10061,13557,2104,1056,18,17,16750,19337,3101,1567,35,39,24071,60154,10131,5744,122,120,76267,75164,12672,7203,130,154,95327,102410,15996,9373,187,226,128190,46050,8200,4248,86,127,58705,40397,8145,3340,60,108,52054,30532,6395,2092,45,103,39165,21625,2915,1238,43,53,25872,450232,76410,39071,835,1033,567574
2RVIC,9242,236,77,42,59,9659,6152,175,50,38,29,6439,5704,173,59,31,22,5985,11416,331,112,54,43,11950,15519,472,165,63,65,16277,38686,1128,267,120,128,40322,32672,712,136,64,113,33702,26405,466,81,104,108,27155,8596,143,24,26,35,8823,6025,103,23,28,35,6219,3629,66,9,32,29,3758,8307,164,46,55,49,8625,172348,4169,1049,642,718,178924
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,11518,576,654,19,27,12797,4793,307,230,13,9,5344,4150,285,238,15,3,4696,7364,535,421,20,10,8344,10134,741,653,19,14,11556,31729,2569,2158,42,69,36570,42569,3241,3017,65,77,48980,61615,3078,3567,65,107,68427,30857,979,1391,28,58,33322,24050,660,1006,33,50,25793,14055,333,636,24,39,15093,10069,397,417,30,30,10938,252914,13703,14383,377,491,281867
3RQLD,11902,798,592,87,74,13446,5764,463,272,36,27,6562,5067,404,243,43,25,5776,9709,734,550,100,60,11159,13658,1101,793,92,57,15707,38507,3469,2173,168,151,44465,44368,3689,2137,145,150,50483,56426,2727,1878,130,173,61334,25584,788,608,69,84,27138,17384,516,519,59,64,18540,9038,281,343,56,77,9798,10981,612,434,81,61,12167,248387,15588,10540,1057,999,276576
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,7874,1005,252,13,21,9167,4587,555,169,8,7,5329,4071,524,162,10,5,4765,7483,1002,323,7,7,8826,9853,1311,504,15,19,11698,28195,3555,1514,39,77,33386,30762,3582,1119,24,90,35579,30946,3609,643,20,113,35328,11938,1300,196,19,39,13496,8983,935,125,12,34,10081,5455,569,93,15,20,6151,5165,510,143,4,16,5843,155312,18452,5237,186,459,179648
4RSAU,2895,108,12,18,27,3060,2163,131,14,16,7,2325,2038,128,17,14,13,2205,3895,276,29,25,27,4257,4979,278,29,19,26,5324,10420,387,35,40,44,10912,7385,121,11,30,26,7574,5049,76,8,24,26,5189,1480,10,3,5,10,1512,1059,21,0,15,3,1093,632,9,0,14,3,659,1818,56,10,9,7,1908,43800,1594,170,229,226,46020
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,11339,1422,365,15,20,13152,4279,578,137,9,7,5010,3835,455,119,4,10,4424,6732,867,255,14,8,7875,8745,1141,327,13,14,10242,26241,3714,1254,36,43,31280,34411,5402,1653,49,61,41582,61787,7819,1970,57,105,71744,36123,3580,875,26,73,40672,28380,2857,689,33,68,32020,18530,1721,459,26,51,20788,9261,955,242,13,18,10485,249657,30518,8348,283,471,289273
5RWAU,2828,62,7,31,34,2960,1468,35,6,14,11,1527,1284,37,3,18,11,1353,2362,56,12,22,9,2456,2982,92,10,30,18,3136,8103,279,28,43,32,8485,8799,245,35,42,28,9147,11409,215,40,55,39,11760,5024,84,18,30,23,5184,3980,61,14,27,27,4118,2092,44,13,27,20,2184,2327,50,11,28,11,2427,52665,1254,194,367,258,54741
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,1522,43,56,4,0,1627,979,28,28,4,0,1038,831,29,31,0,0,888,1660,62,52,4,7,1783,2277,81,117,8,3,2483,6116,163,206,16,14,6519,5919,131,140,13,13,6216,4868,85,77,12,8,5052,1617,38,26,0,0,1678,1165,31,15,3,0,1214,638,20,14,7,3,677,897,22,33,6,0,955,28489,725,797,71,55,30136
6RTAS,2021,31,25,9,13,2096,1604,29,21,5,13,1671,1544,24,12,4,7,1593,2848,50,31,13,12,2955,3888,83,48,12,15,4045,9000,121,80,19,20,9248,6395,89,31,15,21,6552,3942,52,20,17,22,4049,1141,26,11,6,3,1180,803,11,6,8,6,830,456,5,0,7,7,478,1351,21,6,14,7,1397,34982,536,290,135,137,36082
