GCCSA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
1GSYD,924225,2904498,82409,190993,144826,399646,227238,590642,94186,197021,152577,329262,207670,456540,1798,3981,456233,986809,850,1319,1366,2301,370,854,6546,16619,9129,21095,7045,15942,1623872,4518977,136055,..,1759927,4518977
1RNSW,805591,2084979,59334,101527,30878,62319,90207,163843,42429,68413,9876,16848,10402,18493,437,818,63149,104569,4772,7589,5335,8419,941,1879,3414,7917,14459,25804,7028,14623,980442,2393828,148688,..,1129128,2393828
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
2GMEL,1067637,3129230,159820,344132,104584,269874,264409,613999,88688,169115,49149,85940,93124,173900,336,683,231297,429629,791,1143,1687,2338,158,287,3764,8723,6392,12498,4746,10467,1574474,4195825,167500,..,1741976,4195825
2RVIC,479310,1187027,32240,51626,4273,8598,36513,60219,13912,20567,475,736,313,532,47,78,14748,21911,1449,2133,1500,2276,205,404,1542,3529,4703,8342,2958,6283,538228,1283790,111130,..,649358,1283790
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
3GBRI,602947,1754518,25725,45927,53503,122380,79224,168307,35582,60976,30362,55759,33551,63888,184,374,99677,181000,2070,3008,1626,2383,176,353,787,2072,4661,7814,2959,6163,789464,2117804,68401,..,857865,2117804
3RQLD,666707,1807659,50253,89294,45505,97951,95759,187245,37910,65290,21576,39245,27416,51412,200,351,87105,156304,6864,11415,2666,4229,1179,2427,1444,3490,12156,21563,5646,11710,867368,2184475,127174,..,994542,2184475
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
4GADE,368244,974386,62108,116396,20886,46874,83001,163263,28620,48638,3974,6963,5622,9853,93,173,38308,65627,483,772,307,469,62,127,527,1248,1383,2617,1509,3306,492448,1209202,47407,..,539857,1209202
4RSAU,128558,307738,11111,19982,401,833,11510,20814,3590,5096,65,97,31,46,10,17,3691,5260,714,1092,379,615,174,294,373,805,1637,2802,946,2020,146344,338634,44839,..,191183,338634
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
5GPER,530833,1482814,81447,161614,28705,62556,110149,224164,17119,28820,11414,19377,16833,29384,52,82,45419,77664,1003,1445,606,939,119,291,517,1317,2234,3994,1636,3626,690280,1792263,85730,..,776015,1792263
5RWAU,154990,404331,10755,18895,1658,3542,12408,22435,3312,5402,182,310,140,246,31,59,3661,6013,2283,3879,799,1252,451,960,555,1260,4089,7358,1343,2921,176495,443055,47139,..,223635,443055
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
6GHOB,72613,181636,3028,4880,2071,3943,5099,8827,5708,9363,931,1524,623,970,62,120,7335,11981,65,107,80,136,35,56,171,432,356,728,224,482,85630,203654,8800,..,94425,203654
6RTAS,100385,240105,5172,7561,1112,2165,6282,9727,3485,5234,152,208,191,244,103,159,3927,5849,261,432,223,346,70,142,286,603,848,1525,504,1075,111949,258278,23331,..,135283,258278
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
7GDAR,27239,84213,2629,5600,2016,4677,4646,10280,3843,8156,1755,3682,4450,9544,11,32,10062,21420,509,1015,115,197,78,197,150,364,850,1775,256,558,43043,118250,5532,..,48578,118250
7RNTE,15862,61532,2517,6414,688,1462,3206,7874,1093,2009,136,223,61,89,17,31,1308,2354,664,1245,91,148,229,610,345,843,1323,2847,315,762,22013,75366,5181,..,27201,75366
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
8ACTE,95520,270208,13872,27768,11408,26418,25278,54187,4597,8056,7314,13208,9303,16159,191,330,21404,37754,34,46,104,167,9,11,47,141,187,362,271,528,142664,363034,12593,..,155252,363034
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
9OTER,1130,2924,54,141,29,77,87,217,49,89,59,172,5,13,3,3,115,275,0,0,0,0,3,4,10,19,12,24,16,30,1360,3470,371,..,1734,3470
