GCCSA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
3GBRI,19095,25384,44476,141029,162058,303083,32,25,56,23354,25978,49340,581,632,1207,229948,258613,488563,1427,1769,3194,10631,11127,21752,4590,5858,10451,6287,6887,13179,10905,12896,23804,1003,971,1974,6207,6917,13122,16266,18884,35147,28657,31443,60099,2413,3166,5580,4063,4779,8845,45576,57753,103332,32650,36915,69563,2773,3083,5857,568378,649763,1218141,17486,16004,33485,17677,16152,33826,1111,1090,2195,138,133,273,6943,5514,12456,3754,5125,8880,10837,10771,21609,367642,327443,695088,4399,3430,7824,1752,2499,4257,373803,333381,707185,109072,100804,209874,1117452,1153351,2270800
3RQLD,10570,15564,26135,195860,219113,414968,22,17,42,18108,20039,38148,950,927,1881,254506,277748,532259,2364,2798,5162,5009,5506,10518,6309,8159,14465,3482,3839,7318,15130,17419,32544,526,434,957,5148,5648,10798,17063,20150,37210,38157,40030,78181,2906,3906,6805,3880,4693,8569,60730,73781,134514,34541,38871,73403,1998,2214,4216,666672,745283,1411957,6584,5828,12405,5981,5009,10986,1079,1101,2178,495,470,966,2749,2214,4963,3224,4647,7868,6462,7337,13803,359712,315786,675498,3687,3005,6693,1981,2985,4965,365387,321793,687177,134698,120384,255082,1197426,1222294,2419724
49499,28,21,48,122,89,209,0,0,0,14,13,27,0,0,0,157,135,295,0,3,3,14,6,23,3,3,5,10,3,14,28,31,57,0,3,3,0,5,8,16,6,22,15,7,23,8,0,5,0,0,0,69,53,121,52,51,101,3,3,5,517,410,927,14,13,27,20,14,31,0,3,3,0,3,5,9,3,12,6,12,19,16,13,31,654,394,1047,5,3,14,9,6,14,674,407,1074,475,249,722,1734,1129,2863
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
4GADE,12912,15967,28877,56856,70104,126956,3,0,3,10197,11755,21951,289,317,605,115276,130749,246021,1424,1985,3406,18857,19732,38594,1892,2415,4308,1170,1416,2584,12054,15146,27202,852,838,1690,2465,2835,5296,6711,8026,14740,5248,6157,11403,1161,1631,2785,954,1103,2055,31964,43043,75009,16633,19487,36125,1531,1710,3233,285541,338435,623978,11616,10542,22165,14621,12503,27121,464,489,951,89,85,179,4279,3703,7983,2613,3320,5938,6985,7115,14100,241878,219045,460926,2391,2000,4399,1015,1529,2544,245291,222584,467881,56460,54179,110645,633888,661823,1295714
4RSAU,1020,1344,2355,19026,21464,40486,0,0,0,2172,2324,4501,112,103,213,26213,28505,54711,634,825,1459,1396,1203,2599,636,884,1511,261,328,591,11607,12835,24438,19,19,38,627,656,1278,1928,2341,4272,3083,3271,6354,583,721,1305,310,370,685,19713,23393,43106,4969,5335,10304,336,330,664,93619,104893,198515,405,328,737,904,488,1392,42,42,81,145,157,299,430,384,813,387,631,1023,967,1174,2136,71538,60796,132335,570,457,1029,243,385,629,72354,61648,133997,21061,17796,38854,190368,187706,378074
59499,58,33,88,342,268,611,0,0,0,42,27,62,0,0,0,457,294,747,11,3,18,5,0,8,17,16,31,16,8,26,8,11,21,5,0,5,11,16,34,21,26,42,56,46,106,3,4,9,4,5,7,74,71,145,78,66,144,4,0,4,1155,870,2027,16,18,32,30,16,47,13,9,19,3,0,3,0,0,3,13,12,27,14,14,31,1142,754,1898,20,14,31,7,8,17,1169,784,1949,1087,678,1761,3532,2415,5950
59799,12,0,17,40,3,42,0,0,0,6,0,6,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,10,0,8,9,3,11,0,0,0,159,6,172,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,7,141,4,0,4,0,0,0,130,7,146,85,7,92,408,26,434
5GPER,20761,26908,47666,122927,145461,268381,16,11,29,15438,17319,32755,601,608,1210,203664,224750,428418,2191,2877,5063,10899,11558,22464,3509,4523,8029,2463,2827,5291,2593,3133,5723,1323,1311,2632,5809,6630,12438,10002,11665,21663,17018,18810,35830,1356,1844,3198,2002,2561,4567,16822,22932,39754,30585,35444,66029,1271,1451,2729,450482,515718,966198,19452,17237,36684,25248,22153,47398,2516,2676,5187,111,103,218,6338,5148,11486,3571,4685,8253,10018,9941,19955,331890,293060,624948,3467,2587,6055,1373,2013,3385,336736,297665,634404,98335,88032,186361,963536,980326,1943858
5RWAU,2148,2916,5062,41503,44247,85755,0,3,4,4599,4685,9288,299,279,577,50321,50797,101115,1078,1332,2408,641,602,1241,1298,1729,3027,710,784,1492,991,1187,2176,57,32,93,1978,2065,4045,2092,2390,4489,4510,4337,8849,509,674,1181,1196,1347,2536,7619,9157,16778,8402,9081,17486,311,358,676,128120,135088,263211,1151,865,2014,1770,1425,3199,111,110,219,488,407,893,227,186,413,670,1073,1737,1383,1656,3046,96963,80327,177283,835,608,1441,369,554,924,98167,81488,179649,38092,29678,67768,270936,253230,524167
