GCCSA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
19499,3,10,0,11,196,76,285,31,19,0,48,533,163,746,147,30,13,190,918,503,1615,194,28,5,233,536,503,1269,79,21,3,110,586,458,1148,25,39,0,65,615,310,986,3,51,0,52,499,175,719,0,0,0,0,110,48,162,0,0,0,0,17,11,32,490,198,23,709,4003,2250,6958,8,15,0,22,163,50,232,29,28,0,59,430,132,615,143,52,9,206,608,277,1091,128,18,7,157,290,185,629,40,39,9,93,381,177,646,7,83,0,88,500,140,732,3,44,0,45,331,94,477,0,3,0,3,76,41,120,0,0,0,0,35,10,48,359,282,21,668,2813,1111,4590,13,18,0,31,356,123,517,63,41,0,106,961,298,1358,289,84,19,395,1526,781,2703,324,48,17,385,825,685,1900,120,65,15,200,968,637,1798,35,118,0,153,1111,451,1722,3,89,0,100,832,271,1196,0,0,0,0,187,94,282,0,0,0,3
19799,0,0,0,0,3,0,3,0,0,0,0,4,3,9,3,0,0,3,8,0,11,7,0,0,10,5,3,18,5,0,0,5,12,0,25,3,7,0,8,17,4,22,0,9,0,10,29,9,48,0,0,0,0,12,9,16,0,0,0,0,3,0,3,20,15,0,34,93,32,157,0,0,0,0,6,0,7,0,0,0,0,3,0,4,3,0,0,6,14,5,24,8,0,0,8,3,3,14,5,3,0,4,14,6,31,3,7,0,10,34,6,53,0,11,0,11,35,12,60,0,0,0,0,13,10,24,0,0,0,0,5,0,7,21,19,0,43,128,47,220,0,3,0,3,9,0,12,0,0,0,0,10,3,9,7,0,0,8,21,7,32,16,0,0,14,8,4,34,8,3,0,10,32,5,50,6,7,0,19,46,8,74,0,20,0,22,62,23,108,0,0,0,0,29,17,42,0,0,0,0
1GSYD,588,5517,99,6204,130532,11249,147983,3209,4533,137,7877,150988,13418,172289,70657,8006,1143,79804,269767,32135,381705,163264,5399,2969,171631,148111,24719,344463,97045,6422,1814,105285,181168,20939,307388,18818,18956,463,38242,198252,17122,253616,3444,27869,234,31542,133657,14217,179414,632,7585,50,8270,74344,9700,92308,127,515,9,654,29433,5063,35147,357785,84803,6915,449505,1316257,148557,1914314,999,9122,117,10241,120235,9913,140387,8738,8814,375,17921,138615,11916,168451,120653,14255,3756,138664,225513,28520,392700,202057,10130,7656,219837,110703,21031,351579,94301,17760,3440,115505,186074,18615,320191,10023,51072,826,61921,191879,16591,270395,2638,46219,370,49231,128704,15135,193069,677,8689,89,9448,89535,12757,111741,184,617,4,806,50151,9914,60875,440271,166683,16627,623576,1241404,144399,2009383,1583,14637,214,16438,250767,21161,288362,11950,13348,511,25807,289603,25332,340737,191310,22260,4897,218464,495275,60661,774405,365322,15527,10624,391470,258813,45754,696037,191342,24183,5253,220787,367242,39551,627580,28844,70035,1285,100170,390130,33713,524011,6085,74091,603,80773,262360,29352,372488,1310,16269,138,17718,163884,22452,204051,308,1140,14,1455
1RNSW,511,3665,44,4224,68375,9242,81832,4067,2899,116,7090,61379,6987,75449,43983,4552,1230,49768,79757,13704,143234,76017,3538,2376,81937,53618,12965,148516,44131,6819,1239,52181,102977,14733,169896,8425,17349,300,26075,136755,15596,178427,1403,16618,80,18097,116485,15699,150284,281,3291,32,3597,63269,11555,78420,108,204,5,316,20951,5295,26562,178925,58932,5424,243282,703565,105781,1052624,1202,6676,93,7970,61674,8052,77694,9333,5440,447,15224,51482,5403,72109,66774,7709,4038,78518,58389,10241,147152,93018,6028,5275,104320,41862,10219,156403,41307,17472,2003,60779,105157,12725,178659,3710,39278,349,43335,127916,14283,185530,972,25383,128,26480,110900,15559,152945,290,3983,25,4301,71305,14713,90318,137,351,10,493,34563,9772,44829,216737,112327,12367,341427,663253,100970,1105649,1713,10347,135,12196,130045,17286,159525,13402,8339,570,22309,112856,12394,147560,110762,12259,5268,128284,138149,23947,290388,169035,9564,7652,186256,95477,23186,304924,85435,24291,3237,112967,208130,27460,348557,12133,56629,649,69416,264667,29874,363959,2371,42001,206,44584,227388,31266,303231,570,7274,50,7892,134581,26263,168736,243,552,15,812
29499,0,8,0,8,121,41,180,16,11,0,27,301,122,447,108,29,0,138,603,306,1052,138,11,0,155,313,344,813,56,17,0,78,312,241,628,13,25,0,38,287,132,460,3,19,0,19,206,53,283,0,0,0,0,56,20,72,0,0,0,0,9,0,9,334,130,3,467,2212,1259,3942,13,9,0,18,120,37,178,32,17,0,47,297,107,453,120,41,4,161,439,189,795,116,18,9,150,184,151,479,32,16,4,51,211,88,347,0,38,0,39,241,76,352,0,27,0,27,143,29,204,0,3,0,3,34,8,49,0,0,0,0,18,13,28,309,163,11,491,1687,705,2883,13,14,0,28,246,86,357,48,30,0,72,599,224,898,229,69,4,298,1046,502,1848,257,37,9,304,500,492,1295,87,33,4,126,522,328,975,10,63,0,74,528,212,816,4,47,0,51,349,88,482,0,3,0,3,92,28,121,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,3,0,0,3,0,0,0,0,10,0,11,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,564,4918,78,5561,120664,10516,136742,2850,4452,129,7421,148968,11965,168363,68154,7922,978,77053,254814,27419,359284,154805,5238,3047,163094,130831,21071,314991,92452,5978,1819,100249,167074,18452,285775,16102,17353,453,33907,180284,15406,229601,2516,26448,197,29160,120565,13393,163110,539,7169,44,7754,70160,10178,88091,150,437,3,586,27746,4868,33202,338134,79915,6740,424786,1221107,133277,1779168,820,8000,97,8911,113676,9681,132275,7419,8536,368,16322,137798,10879,165007,111304,14968,3720,129989,215665,25406,371061,186219,10355,8350,204926,100580,18588,324092,89729,16370,3554,109653,174561,17324,301538,8448,48047,686,57180,174574,15545,247299,2246,44889,332,47461,118641,15064,181172,668,8253,74,8995,85669,13300,107963,205,545,11,767,46054,9130,55950,407055,159961,17199,584214,1167216,134916,1886350,1381,12913,176,14478,234341,20199,269015,10268,12979,497,23745,286766,22851,333367,179458,22888,4704,207041,470479,52821,730345,341023,15601,11399,368018,231405,39658,639084,182184,22351,5375,209906,341631,35774,587317,24545,65399,1142,91088,354859,30952,476902,4757,71336,521,76616,239208,28456,344283,1212,15421,113,16750,155822,23476,196050,358,981,13,1354
2RVIC,245,1865,20,2130,37547,5245,44925,2042,1546,75,3661,33663,3593,40923,23449,2538,642,26629,42881,7308,76820,42303,1798,1308,45408,27666,7099,80170,25308,3374,706,29383,55333,8243,92963,4377,9206,147,13733,75170,8597,97495,802,8993,43,9839,62489,9108,81432,172,1741,11,1926,32880,6475,41289,94,113,3,211,11278,2868,14351,98788,31186,2949,132927,378915,58536,570369,510,3328,38,3875,33511,4654,42043,4359,3062,224,7648,27986,2972,38606,34881,4611,2169,41658,32782,5730,80178,50726,3364,3173,57266,22361,5742,85363,23581,8986,1135,33703,58317,7142,99158,2236,21841,185,24263,69802,8171,102238,598,14383,85,15063,59250,9085,83397,170,2268,17,2455,36946,8146,47547,147,193,13,346,19144,4949,24446,117207,62029,7042,186278,360096,56603,602974,760,5193,55,6006,71060,9901,86967,6404,4611,300,11318,61649,6568,79529,58328,7146,2815,68294,75669,13038,157001,93023,5166,4482,102669,50026,12839,165539,48888,12356,1843,63082,113648,15384,192122,6616,31048,329,37995,144966,16766,199728,1393,23371,131,24899,121741,18194,164829,343,4011,25,4382,69826,14625,88833,235,308,14,564
39499,3,9,0,12,149,47,212,25,19,0,44,400,121,559,128,36,3,165,781,344,1288,166,26,6,200,439,329,964,83,17,0,99,592,279,975,16,53,0,68,817,262,1147,7,43,0,49,876,194,1120,0,6,0,6,178,42,225,0,0,0,0,11,3,19,425,210,12,646,4243,1622,6509,3,8,0,18,148,35,203,28,19,3,43,406,120,576,111,33,0,148,632,221,1005,138,21,6,160,222,134,514,44,24,0,72,474,149,688,8,103,0,117,919,196,1224,0,42,0,47,638,118,798,0,4,0,4,108,40,153,0,0,0,0,11,5,18,335,265,9,604,3561,1014,5179,5,19,0,25,300,83,408,49,36,3,90,808,234,1133,241,73,3,313,1414,565,2293,301,44,7,359,662,457,1485,124,44,0,168,1067,426,1663,24,165,0,186,1737,457,2373,6,84,0,91,1510,313,1916,0,9,0,9,284,81,381,0,0,0,0
39799,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,6,3,0,4,0,0,7,0,0,0,0,7,0,10,0,0,0,0,5,0,7,0,3,0,3,12,0,13,0,0,0,0,4,0,7,0,0,0,0,0,0,0,9,9,0,16,44,11,65,0,0,0,0,4,0,5,3,0,0,3,0,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,3,3,0,0,0,6,0,7,0,3,0,6,9,4,19,0,0,0,0,13,5,16,0,0,0,0,7,0,7,0,0,0,0,0,3,0,5,4,0,17,50,12,81,0,0,0,0,4,0,11,3,0,0,3,3,3,11,3,0,0,0,5,0,11,3,3,0,9,6,4,14,3,3,0,8,17,0,24,0,5,0,5,22,4,30,0,3,0,3,22,8,33,0,0,0,0,13,0,16,0,0,0,0
