GCCSA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
19499,39,0,405,0,0,0,0,0
19799,58,0,540,0,0,0,0,0
1GSYD,36,2167,719,440,1988,1,1750,2.8
1RNSW,43,1590,584,270,1449,0.8,1168,2.4
29499,34,0,398,0,0,0,0,0
29799,49,0,3000,0,0,0,0,0
2GMEL,36,1800,673,350,1826,0.9,1542,2.7
2RVIC,43,1300,576,231,1418,0.8,1124,2.4
39499,45,0,407,0,0,0,0,0
39799,56,0,606,0,0,0,0,0
3GBRI,35,1861,703,355,1821,0.8,1562,2.7
3RQLD,39,1707,624,300,1511,0.8,1271,2.5
49499,40,0,370,0,0,0,0,0
49799,45,0,1749,0,0,0,0,0
4GADE,39,1517,617,285,1591,0.8,1265,2.5
4RSAU,45,1170,550,190,1307,0.7,1027,2.3
59499,41,0,434,0,0,0,0,0
59799,40,0,2654,0,0,0,0,0
5GPER,36,2000,728,360,1955,0.8,1643,2.6
5RWAU,39,1700,713,240,1730,0.8,1415,2.5
69499,38,0,385,0,0,0,0,0
69799,41,0,1089,0,0,0,0,0
6GHOB,40,1402,637,260,1569,0.8,1234,2.4
6RTAS,44,1200,527,209,1286,0.8,998,2.3
79499,44,0,449,0,0,0,0,0
79799,36,0,700,0,0,0,0,0
7GDAR,33,2200,1052,420,2386,1,2183,2.7
7RNTE,30,1816,525,91,1352,1.2,1561,3.2
89499,36,0,447,0,0,0,0,0
89799,0,0,0,0,0,0,0,0
8ACTE,35,2058,1000,380,2445,0.8,2070,2.5
99499,42,0,412,0,0,0,0,0
99799,39,0,1833,0,0,0,0,0
9OTER,42,1400,715,140,1568,0.9,1377,2.6
