GCCSA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
19499,70,302,198,2595,82,3249,0,3,3,95,6,105,428,12,7,20,4,473,26,0,0,4,0,34,79,21,13,35,0,149,812,254,191,1952,70,3270,76,0,22,4,0,105,62,9,6,27,0,108,151,27,20,202,4,399,44,9,3,20,3,76,27,3,0,5,0,33,142,0,0,3,0,144,205,66,40,714,12,1039,123,30,15,95,8,265,45,0,0,0,0,45,79,10,5,16,0,111,10,0,0,0,0,9,18,8,0,8,0,43,54,10,7,6,0,79,60,17,8,6,6,94,38,6,8,13,0,70,22,0,3,6,3,34,189,57,46,536,16,840,18,0,0,0,0,15,39,3,4,3,0,50,53,0,0,10,0,65,13,0,0,3,0,11,27,0,0,0,0,36,82,3,3,0,0,86,32,8,7,25,0,66,890,76,55,102,26,1140,48,4,4,63,3194,3312,3262,554,393,4675,3398,12288
19799,6,17,7,91,0,125,0,0,0,0,0,0,33,0,0,3,0,39,3,0,0,0,0,3,3,0,0,0,0,0,39,12,6,72,10,137,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,31,0,44,10,0,0,0,3,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,14,0,7,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,23,0,0,4,0,26,8,0,0,3,38,52,166,17,13,176,42,412
1GSYD,60420,150269,108726,798863,15705,1133985,225,947,428,9093,217,10908,455797,6755,11260,10386,3776,487976,25103,3299,1994,6767,319,37480,22843,6865,4048,10722,367,44848,302099,123096,87578,691161,16215,1220145,91232,2194,6900,1160,927,102412,19180,2566,1749,7763,317,31573,45192,11240,7874,57216,1379,122901,68548,11561,6125,30297,1186,117714,12615,2198,1152,2858,155,18979,186035,2883,2456,1546,1097,194018,76657,34033,23332,278188,4423,416642,102234,24738,11427,63656,2110,204160,61462,394,1209,412,283,63766,107839,20979,9517,20346,1685,160372,19204,2159,1228,3206,194,25996,27899,6967,3949,17794,551,57161,18156,2792,1775,1194,402,24316,22099,7302,5377,2969,319,38069,25071,3473,2625,6281,268,37714,20232,1572,1515,2891,316,26529,66971,29366,21370,186467,3272,307460,19215,1646,1035,1870,281,24053,21671,2581,1946,813,151,27160,32639,1885,1591,2961,359,39432,21799,822,651,430,120,23825,20212,2012,1161,1386,234,25001,99632,1215,2359,1009,1234,105449,10219,2677,1753,9230,176,24048,650381,45358,35422,42742,7084,780981,25529,2401,1832,13998,261215,304969,2385354,310176,219852,1595035,313571,4823991
1RNSW,10227,79934,57618,955603,20320,1123700,73,633,266,18358,508,19834,18223,977,1344,5249,312,26116,4606,919,447,1722,93,7785,14781,4922,3201,9986,338,33229,123170,74496,54308,807720,19228,1078927,10936,403,2682,541,268,14835,4148,982,788,6591,151,12659,20947,7664,5376,77250,1604,112831,6328,1908,755,5850,195,15037,3180,765,341,1288,80,5659,15443,724,543,918,139,17768,24672,17005,11539,266010,4718,323951,22593,7845,3064,33272,913,67680,2391,60,181,134,27,2799,2708,822,414,2083,81,6111,9422,1191,600,2258,152,13623,4894,1632,903,4708,149,12284,4759,1478,1005,1377,150,8760,7090,3920,2896,2350,207,16461,7418,1608,1070,4511,170,14769,2666,521,436,1424,42,5094,32584,20053,14521,207673,3880,278714,3264,390,262,608,66,4588,4143,816,637,502,57,6151,5199,682,514,2585,139,9112,1835,177,160,188,36,2399,1852,287,125,170,34,2467,3476,155,257,118,40,4048,5609,2115,1295,9280,206,18499,74159,14639,10746,25584,1711,126839,4064,1250,890,23959,172042,202203,375394,147641,104928,1799833,215740,2643536
29499,49,199,130,1446,70,1895,0,3,0,29,0,31,278,5,4,8,3,297,14,5,0,3,0,22,50,19,10,27,3,103,403,139,103,1068,61,1779,42,4,0,0,0,49,28,5,5,3,3,49,78,27,8,108,9,225,40,10,4,18,0,75,8,5,0,0,0,9,135,10,0,0,0,145,106,51,24,401,17,610,108,27,15,86,5,244,36,0,0,0,0,36,19,13,0,5,0,42,6,3,0,4,0,17,24,6,0,10,0,39,44,3,3,6,0,48,44,16,5,9,3,79,24,4,0,15,0,44,29,0,0,0,0,29,95,31,25,319,17,484,14,3,0,0,0,17,11,0,0,0,0,13,18,3,0,0,0,27,20,0,0,0,0,23,42,14,0,3,3,55,89,0,3,0,0,95,11,4,0,17,3,37,661,43,38,67,25,831,35,5,3,37,1916,1995,2206,376,229,2654,2093,7565
29799,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,14,3,0,10,3,29
2GMEL,47126,136637,99278,779973,14361,1077375,274,335,161,3271,80,4119,334084,4396,7642,7633,2568,356324,24875,3291,1813,5698,349,36030,32171,9866,6162,17903,585,66680,268955,117192,86456,704543,15908,1193051,53378,1075,4739,743,565,60497,15410,2053,1576,7598,265,26901,44588,13025,8884,67693,1534,135721,101172,14709,7656,36758,1805,162103,12689,2118,1264,3247,226,19536,189856,3291,2393,1682,1227,198454,63765,32220,21676,287902,4533,410092,151019,33118,16031,96282,3660,300114,16192,130,420,182,73,17002,31091,6027,2731,4658,591,45098,29282,3445,1966,5865,437,40995,35968,7451,4640,17263,596,65921,14008,1486,1130,720,310,17652,19657,5826,4447,2049,297,32279,30893,4667,3448,8930,400,48332,17237,1311,1298,2279,212,22335,64908,29233,22259,209088,3568,329064,17227,1486,862,1598,242,21406,15001,2075,1469,717,118,19384,17974,1342,1100,2745,224,23387,50711,2316,1568,1490,316,56397,28438,3232,1547,2068,343,35625,100274,1205,2366,794,1268,105907,8391,2301,1587,8928,165,21364,516901,36225,29457,40995,6383,629970,24575,2248,1761,15644,233690,277920,2072066,288560,206204,1634121,284254,4485211
2RVIC,5782,40214,28238,488879,10903,574017,30,160,46,2611,83,2932,9677,378,613,3175,174,14021,4420,702,344,1523,95,7079,13451,4597,2897,9610,349,30901,62833,38023,27642,434943,10935,574375,6072,159,1168,216,153,7772,1713,403,281,3360,87,5843,11621,4347,2893,46024,1017,65903,3877,1005,359,2907,127,8274,2046,422,213,808,55,3543,9599,372,203,401,87,10658,13087,9454,5965,155236,2801,186544,17425,5329,2170,26517,904,52352,721,9,39,37,5,810,500,179,73,436,7,1194,1612,257,125,534,39,2567,3514,1053,521,2719,105,7916,2038,463,313,413,41,3265,3258,1654,1326,885,87,7204,4220,868,511,2448,126,8172,1314,214,165,602,42,2333,16810,10350,7430,125650,2486,162731,1487,199,107,276,46,2120,1704,322,224,242,28,2523,1823,288,240,1200,39,3595,1643,202,126,187,17,2169,1456,222,80,166,21,1947,1842,82,133,49,34,2140,2369,779,498,4146,85,7876,39880,6328,4777,13636,934,65559,2627,697,564,14635,95081,113603,209446,76584,53395,974478,119909,1433818
39499,60,362,215,3075,64,3784,0,7,3,82,5,90,221,5,8,36,9,279,10,4,0,4,0,17,139,31,15,24,4,215,1303,281,189,2144,73,4000,54,0,11,6,0,71,97,8,4,32,3,140,196,24,21,379,13,620,13,11,4,24,3,53,7,3,3,0,0,16,79,3,0,5,0,80,273,59,47,728,22,1123,139,35,9,91,0,270,38,0,0,0,0,45,3,3,0,3,0,5,3,0,0,0,0,3,17,3,0,10,0,26,90,6,12,5,3,106,101,22,18,11,3,152,37,7,6,16,0,71,14,0,0,4,0,17,294,88,58,623,19,1085,6,0,0,0,0,7,26,3,0,0,0,33,42,3,0,12,0,57,14,0,0,0,0,12,4,0,0,0,0,3,32,0,0,0,0,32,49,4,4,41,0,106,689,54,31,125,28,930,48,3,7,88,2462,2603,3384,603,387,5483,2658,12510
39799,0,3,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,15,3,7,36,0,61,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,16,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,12,0,0,0,0,18,19,49,3,4,75,19,150
