GCCSA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
5GPER,0,0,0,149,313,34158,1131,896,116,105,106,119,110,54,1466,38266,7676,223,134,12,14,6,10,13,4,738,8838,2665,41,27,4,5,3,3,0,0,230,2985,1657,45,39,8,12,5,0,3,0,152,1923,51,0,0,0,0,0,0,0,0,32,81,4373,82,63,12,13,6,6,9,6,415,4987,104,3,0,0,0,0,0,0,0,202,314,12160,306,197,25,33,15,17,17,12,1361,14141,219892,39817,60254,14590,16376,11271,8442,6840,3568,9581,390618,76979,30457,68658,13524,16971,15795,14686,14018,7855,5684,264623,13681,3192,7081,1483,2195,2606,2806,3675,2929,2940,42599,653,227,439,88,119,119,98,98,81,221,2151,91319,33878,76178,15094,19293,18523,17601,17790,10873,8846,309377,573,49,84,13,32,26,35,30,24,1678,2548,311784,73744,136513,29698,35697,29815,26072,24658,14467,20096,702545
5RWAU,0,0,0,10,51,5099,128,77,11,19,17,11,8,9,232,5607,1226,29,22,8,0,7,3,0,0,123,1419,269,0,3,0,0,0,0,0,0,25,303,79,0,3,0,0,0,0,0,0,21,106,8,0,0,0,0,0,0,0,0,0,13,361,6,4,0,0,0,0,0,0,50,422,18,0,0,0,0,0,0,0,0,16,32,1598,31,26,8,0,7,5,3,0,187,1875,40670,5454,8653,2089,2358,1535,1201,950,420,2407,65755,5216,2219,6999,1571,1815,1746,1423,1422,687,848,23950,513,108,435,85,139,197,192,359,284,329,2644,72,24,61,14,18,11,9,19,16,35,285,5798,2348,7494,1672,1975,1954,1629,1797,993,1210,26874,120,17,35,3,4,15,8,5,5,652,866,46598,7821,16181,3769,4337,3507,2836,2757,1423,4266,93497
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,8,7,3,4,0,5,3,3,0,87,9,0,6,0,0,3,0,6,8,3,42,0,0,0,0,0,0,3,4,0,3,6,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,3,3,3,9,8,5,50,0,0,0,0,0,0,0,0,0,7,4,60,6,13,3,7,4,11,13,14,14,139
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,6,18
6GHOB,0,0,0,6,21,2622,33,26,8,5,8,9,12,11,111,2838,689,10,6,0,4,0,0,0,0,79,789,257,0,0,0,0,0,0,0,0,21,283,65,4,3,0,0,5,0,0,0,11,84,3,0,0,0,0,0,0,0,0,0,8,325,3,0,0,0,6,0,0,0,32,372,3,0,0,0,0,0,0,0,0,7,13,1021,8,11,3,3,6,0,0,0,118,1170,13183,1285,1300,286,255,240,246,226,165,552,17736,3235,1131,2218,439,578,690,765,874,556,312,10806,344,106,233,93,111,184,210,222,253,162,1915,36,10,13,3,0,8,9,12,7,16,113,3613,1244,2467,530,689,883,987,1112,817,489,12836,33,0,0,0,0,0,3,0,0,56,96,16830,2528,3763,818,942,1127,1235,1338,986,1100,30671
6RTAS,0,0,0,4,22,3261,31,23,7,3,11,3,0,8,139,3493,773,7,7,0,0,0,0,3,0,69,859,146,0,0,0,0,0,0,0,0,13,163,28,0,3,3,0,0,0,0,0,3,38,7,0,0,0,0,0,0,0,0,0,7,181,0,3,3,0,0,0,0,0,19,205,11,0,0,0,0,0,0,0,0,11,21,964,8,10,4,0,0,0,3,0,95,1089,17685,1256,1391,237,209,198,207,222,121,787,22309,2276,619,1280,291,361,419,426,425,296,207,6612,161,34,161,76,74,175,179,151,175,124,1307,25,7,11,3,0,0,3,3,8,14,67,2461,666,1450,371,431,591,608,580,481,337,7979,70,0,3,5,0,0,0,3,0,42,124,20214,1919,2838,614,643,790,815,805,604,1172,30416
79499,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,22,17,7,6,8,16,25,16,13,267,26,0,13,8,6,4,13,25,14,11,126,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,26,0,13,8,6,3,13,32,16,14,134,0,0,0,0,0,0,0,0,0,0,3,163,26,29,15,7,15,26,57,33,31,402
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,22,11,27,0,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,11,53
7GDAR,0,0,0,3,4,965,12,18,3,8,4,3,0,4,56,1069,110,3,0,0,0,0,0,0,0,11,123,48,0,0,0,0,0,0,0,0,6,56,43,3,0,0,0,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,3,3,90,3,0,0,0,0,0,0,0,6,105,0,0,0,0,0,0,0,0,0,6,6,202,6,3,0,0,0,3,0,0,18,238,7530,1120,1957,538,661,519,459,492,274,545,14092,4314,1357,4888,951,1156,1290,1265,1430,817,538,17996,849,121,383,77,108,182,186,237,229,202,2583,52,9,38,6,9,14,8,15,7,14,171,5216,1481,5314,1042,1267,1487,1462,1682,1056,751,20750,16,4,3,0,3,3,0,0,4,102,136,12767,2598,7277,1585,1921,2010,1918,2169,1335,1393,34979
7RNTE,0,0,0,0,0,198,4,0,0,0,0,3,0,4,9,227,23,0,0,0,0,0,0,0,0,0,24,9,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,7,48,2606,434,648,177,255,213,291,311,191,215,5342,695,456,1258,256,296,256,254,312,167,195,4150,70,12,47,10,14,28,34,57,44,69,388,9,3,13,5,0,10,3,3,4,5,59,774,475,1326,272,310,291,291,371,217,275,4595,9,3,0,0,0,0,0,0,0,24,33,3385,915,1969,455,567,501,585,679,405,514,9970
