GCCSA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,37,25,32,32,49,73,108,39,10,409,0,0,0,0,0,0,0,0,0,0,209,126,125,165,232,377,429,194,39,1894,42,25,27,45,76,109,118,41,4,474,3,5,8,8,5,18,17,7,3,82,28,7,14,18,18,34,40,17,3,180,4,6,9,8,6,21,8,5,0,72,12,8,4,14,8,23,20,17,0,94,0,3,8,0,3,3,0,3,0,17,11,3,11,6,5,3,9,9,0,62,0,0,0,0,0,0,0,0,0,0,304,187,208,265,353,575,642,294,46,2869,304,187,208,265,353,575,642,294,46,2869,342,211,237,290,404,649,753,335,56,3279
1GSYD,884116,607011,742969,673966,607256,503750,354607,194649,91116,4659438,764,906,819,570,584,476,456,327,208,5113,12831,18956,24322,15495,14019,13054,10521,6738,4238,120178,303,768,2056,2388,2540,1482,758,236,55,10583,403,1035,1696,1705,2019,1558,1012,282,62,9767,88,242,434,423,558,457,323,91,8,2636,222,351,745,650,721,546,270,91,15,3602,27,79,119,130,177,228,195,62,14,1024,28,112,116,89,85,50,31,7,0,519,106,402,486,436,396,353,227,81,24,2515,0,7,0,3,8,8,6,4,0,30,14010,21947,29973,21316,20528,17737,13341,7590,4420,150864,14776,22857,30789,21889,21112,18213,13792,7919,4630,155974,898886,629865,773757,695852,628363,521967,368405,202566,95750,4815419
1RNSW,471567,284884,271205,289758,329854,339177,279265,158674,67672,2492061,745,758,571,439,501,564,497,409,187,4678,11881,19111,16721,12429,13476,15709,13283,6332,2885,111824,687,1300,1559,1229,1634,2942,4561,1770,278,15962,1403,1950,2090,1808,2156,2570,1975,469,90,14506,123,260,325,226,351,626,979,280,39,3217,111,189,324,249,248,348,325,77,16,1888,45,111,81,80,161,366,529,167,17,1561,53,110,91,65,54,61,26,3,0,462,340,585,567,448,493,743,678,257,46,4160,0,0,3,0,0,4,0,0,0,17,14640,23615,21755,16539,18579,23377,22365,9360,3374,153596,15389,24374,22327,16985,19080,23940,22857,9770,3558,158278,486952,309252,293536,306744,348931,363118,302124,168447,71233,2650335
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,4,3,6,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,4,0,0,18,0,9,53,74,74,49,5,3,0,274,0,0,0,3,3,3,0,0,0,18,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,62,85,87,58,14,3,0,328,0,16,62,85,87,58,14,3,0,328,0,16,66,94,91,63,14,3,3,349
2GMEL,803188,581173,700568,617620,567683,455846,321714,183016,83768,4314571,520,727,613,475,455,397,403,322,177,4078,450,1098,2279,2395,2687,2216,1159,315,85,12681,12245,17840,21753,13564,11682,10996,9141,6614,4009,107844,354,772,1273,1119,1622,1367,803,189,48,7545,186,407,556,551,713,706,433,123,26,3697,177,451,650,674,816,760,468,129,31,4150,95,364,237,289,390,522,368,104,16,2393,61,136,100,73,85,70,45,6,0,576,38,133,267,170,193,171,119,21,5,1123,0,8,0,0,3,3,3,0,0,17,13612,21195,27110,18834,18192,16818,12551,7500,4213,140027,14138,21918,27718,19314,18646,17214,12947,7822,4396,144109,817321,603095,728285,636933,586324,473058,334663,190838,88162,4458678
2RVIC,252969,154972,147197,157649,182213,184573,146766,81249,36394,1343977,285,327,221,181,211,225,234,175,111,1980,451,742,674,522,684,769,552,183,70,4646,6607,10086,8482,6143,6263,6890,5581,2795,1623,54471,394,467,553,434,464,515,368,61,10,3264,250,402,420,363,399,480,395,146,19,2872,111,148,199,140,191,239,140,40,8,1210,60,60,86,78,109,184,167,56,8,796,53,76,88,35,41,42,25,4,0,364,17,40,75,37,47,52,33,16,3,323,0,0,0,0,0,0,0,0,0,3,7939,12028,10576,7752,8194,9172,7265,3303,1734,67957,8223,12357,10798,7937,8405,9398,7491,3477,1847,69931,261196,167330,157989,165583,190619,193967,154255,84723,38240,1413908
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,5,16,11,14,19,22,26,12,4,135,0,0,0,0,0,0,0,0,0,0,14,12,8,13,33,44,83,47,4,257,8,7,24,16,36,40,18,9,3,154,76,108,143,161,204,194,210,57,10,1170,6,8,0,6,12,18,13,6,0,68,7,5,4,10,7,24,27,12,0,92,8,4,8,7,10,9,0,3,0,55,3,9,17,9,0,3,0,0,0,40,0,0,0,6,0,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,120,151,209,217,298,333,355,140,18,1842,120,151,209,217,298,333,355,140,18,1842,128,164,213,237,318,356,379,154,20,1974
