GCCSA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
3GBRI,433539,301869,325027,304570,285662,231693,168419,83577,36578,2170935,366,424,348,226,220,223,185,147,75,2218,352,736,1053,835,1077,1306,1305,522,149,7345,188,321,646,614,601,730,1009,427,102,4636,8388,12123,11373,7135,6517,6604,5506,2888,1560,62090,54,77,134,133,178,242,341,94,27,1279,77,93,247,217,231,257,176,59,12,1366,44,44,60,54,105,184,251,105,13,851,36,91,108,61,82,67,22,8,0,475,49,41,94,92,95,111,119,30,9,647,0,3,0,3,4,6,3,3,0,23,9182,13537,13720,9139,8879,9504,8731,4135,1879,78712,9549,13957,14064,9373,9105,9735,8918,4286,1950,80925,443086,315826,339090,313941,294761,241424,177343,87860,38530,2251858
3RQLD,455175,274580,280194,291058,310179,283578,225412,115654,44902,2280744,690,634,528,429,426,421,372,311,133,3941,1861,1629,2917,2620,3164,6444,9634,3435,604,32309,2536,1071,2504,2724,2984,7364,13785,7023,1279,41257,11073,17804,20250,16371,18189,19631,15000,5497,1970,125793,528,307,591,574,801,1757,3097,1196,163,9012,316,256,519,436,598,1014,1050,270,41,4496,208,124,244,251,433,1284,2132,838,109,5630,160,193,230,145,140,155,103,16,0,1144,123,87,227,170,241,525,688,300,60,2415,0,0,0,3,0,7,7,0,0,17,16803,21478,27478,23292,26553,38168,45492,18578,4226,222080,17499,22106,28011,23721,26979,38593,45863,18888,4355,226013,472676,296691,308203,314785,337159,322176,271279,134542,49252,2506761
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,13,13,14,3,62,0,5,7,0,0,3,10,10,0,32,0,0,0,0,0,3,10,4,0,19,0,11,20,3,7,7,3,4,0,56,0,0,0,0,4,3,3,0,0,7,0,0,0,0,0,0,0,3,0,7,5,4,3,3,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,37,9,23,33,44,36,3,211,8,21,37,9,23,33,44,36,3,211,8,21,33,15,22,33,44,36,3,219
4GADE,220824,161235,168786,160370,166609,149512,112847,64814,32439,1237445,327,331,309,245,311,337,312,279,169,2626,94,186,402,394,449,460,337,102,28,2464,125,282,524,460,557,435,292,92,24,2798,87,144,253,234,334,332,189,48,11,1644,3978,5957,5999,3835,3678,3443,2884,1845,1331,32948,50,74,183,185,226,199,121,25,10,1068,17,20,27,37,48,64,59,13,4,288,57,115,106,91,102,115,53,11,3,659,21,38,47,48,57,42,56,5,3,318,0,0,3,0,0,0,0,0,0,5,4435,6818,7544,5284,5467,5092,4001,2142,1410,42183,4756,7144,7856,5528,5775,5421,4316,2428,1578,44809,225585,168378,176641,165901,172390,154937,117159,67242,34020,1282251
4RSAU,64616,36357,36470,39338,48907,50938,42628,22895,9723,351874,187,158,114,107,148,152,169,92,61,1192,60,76,105,155,157,341,392,57,15,1365,86,150,234,184,303,579,577,117,19,2244,58,68,131,145,186,273,238,59,3,1156,1506,2518,2903,2278,2801,3135,2237,868,386,18637,41,38,106,79,126,233,205,36,12,890,7,9,29,21,31,59,95,11,3,268,16,28,20,24,41,49,30,3,0,213,7,4,11,6,11,27,41,0,0,108,0,0,0,0,0,0,0,0,0,0,1786,2896,3545,2900,3658,4698,3804,1159,434,24884,1973,3051,3655,3011,3810,4848,3976,1252,494,26078,66594,39410,40123,42349,52718,55785,46601,24147,10223,377955
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,18,123,119,96,47,8,3,3,418,0,0,0,4,0,0,0,0,0,7,0,9,55,86,110,57,40,9,4,370,5,13,69,62,50,52,29,22,0,308,14,24,70,116,99,113,29,10,0,473,0,0,19,22,15,19,15,5,0,97,40,105,526,458,427,240,57,0,0,1864,0,3,3,17,24,18,3,0,0,70,0,15,10,12,5,11,5,0,0,53,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,60,173,755,774,737,512,176,48,7,3245,60,173,755,781,734,512,176,48,7,3245,60,193,876,903,837,560,185,49,5,3668
5GPER,363544,242272,286921,258353,245001,200684,143117,77830,32902,1850635,212,309,295,218,187,229,284,227,99,2063,148,246,605,601,598,639,418,138,34,3421,104,188,530,490,544,606,456,174,24,3119,85,169,332,296,447,495,316,74,9,2229,29,77,164,169,228,239,180,61,21,1168,5795,8679,9553,5943,5265,4853,3853,2529,1450,47921,21,24,32,39,83,134,126,43,3,507,20,34,64,50,64,64,34,7,0,334,7,24,39,44,52,30,36,7,9,247,11,3,11,8,16,27,8,3,0,93,6218,9442,11326,7643,7300,7103,5424,3033,1548,59035,6431,9754,11621,7863,7490,7327,5704,3260,1643,61102,369979,252025,298548,266219,252494,208010,148824,81092,34546,1911733
5RWAU,102588,51754,65514,66406,69114,61216,41595,20182,7252,485631,184,166,212,154,155,148,144,68,33,1273,179,179,653,628,812,1332,1453,243,20,5504,408,198,703,757,918,1752,2066,339,24,7171,117,203,965,1006,1204,1334,1105,146,13,6103,61,57,275,297,464,721,866,141,15,2906,3003,5134,12309,10035,10696,9920,6947,2304,525,60874,31,22,111,106,163,288,273,30,0,1028,23,37,89,73,72,70,36,7,0,412,14,6,17,24,29,102,97,12,0,307,0,0,0,0,3,0,3,0,0,8,3838,5845,15114,12930,14372,15515,12852,3224,603,84297,4022,6009,15328,13088,14532,15661,12996,3289,633,85577,106616,57764,80844,79496,83645,76879,54594,23475,7884,571201
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,10,23,7,12,9,7,0,0,65,0,0,0,0,0,0,0,0,0,3,3,4,22,3,12,19,14,4,0,77,5,13,24,30,32,36,20,0,0,158,0,0,10,0,8,4,3,0,0,28,0,3,3,3,5,3,0,0,0,18,0,0,3,3,3,3,0,0,0,11,24,17,31,53,56,68,52,6,0,314,0,0,3,0,0,0,4,0,0,8,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,38,42,106,99,109,131,90,15,0,624,38,42,106,96,112,131,90,15,0,626,38,45,130,107,118,144,97,15,0,691
6GHOB,38953,25873,26825,26348,28141,27244,20113,11154,4996,209633,58,74,55,39,55,67,77,56,29,518,58,42,136,120,121,144,103,24,3,755,42,98,213,168,212,141,94,32,3,998,51,60,115,87,140,156,66,13,3,687,12,12,38,37,29,37,41,0,0,196,7,3,29,24,47,21,33,3,0,179,845,1350,1151,752,735,729,516,276,165,6530,0,5,7,0,3,3,3,0,0,28,0,15,16,19,20,15,11,0,0,101,0,0,0,0,0,0,0,0,0,0,1027,1584,1706,1202,1308,1254,865,348,178,9468,1089,1657,1763,1245,1361,1323,943,404,207,9988,40033,27532,28589,27591,29502,28564,21050,11558,5198,219622
6RTAS,48589,30720,27360,30415,37941,38979,31227,16127,6096,267452,90,114,85,63,95,148,109,83,53,839,32,54,105,100,158,164,106,36,9,776,76,119,219,149,191,221,140,25,12,1150,84,114,148,106,159,175,110,23,5,934,11,16,28,18,41,51,37,12,3,216,23,33,66,30,59,83,38,18,0,340,1021,1864,1397,932,1143,1236,831,406,234,9061,0,3,9,5,3,5,5,0,0,41,6,7,11,10,15,18,5,0,0,72,0,0,0,0,0,0,0,0,0,0,1259,2210,1989,1345,1769,1960,1280,518,261,12595,1353,2328,2072,1409,1862,2104,1388,605,310,13435,49942,33045,29435,31826,39807,41088,32612,16732,6406,280886
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,3,5,30,19,9,3,0,3,0,70,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,15,8,0,44,0,0,3,3,4,4,3,3,0,24,0,0,5,8,7,7,13,0,0,35,0,0,0,0,0,3,0,0,0,5,0,3,13,7,12,10,0,0,0,43,0,0,0,0,0,0,4,0,0,7,0,3,3,7,10,6,3,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,23,31,46,38,13,0,185,0,11,27,23,31,46,38,13,0,185,3,20,54,47,39,46,38,10,0,252
7GDAR,26828,15929,25246,20696,17873,13061,6927,2354,605,129513,37,37,53,28,29,22,20,3,0,222,73,135,424,334,405,595,580,183,30,2760,148,104,301,287,393,736,715,261,40,2981,93,150,560,520,600,571,399,106,20,3034,76,74,211,201,236,372,438,156,30,1783,57,97,328,342,406,447,355,127,13,2173,11,9,19,26,37,103,84,25,4,310,466,565,891,706,688,522,298,70,21,4222,5,27,53,61,63,59,24,14,0,304,0,0,0,0,0,0,0,3,0,3,919,1154,2787,2467,2831,3412,2894,943,163,17570,955,1185,2835,2498,2859,3433,2913,941,163,17799,27788,17117,28079,23194,20738,16493,9847,3300,770,147312
