GCCSA_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
19499,0,0,0,0,0,3,77,16,0,4,0,0,3,0,0,0,5,29,4,0,0,0,0,0,0,0,0,0,3,74,4,9,0,0,3,0,0,0,14,105,0,0,0,0,0,0,0,0,0,35,35,250,15,21,3,0,6,0,3,5,55,355,177,15,0,0,0,0,0,0,8,7,214,30,0,0,0,0,0,0,0,0,3,38,9,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,11,15,219,18,0,0,0,0,0,0,8,26,270,42,0,0,0,0,0,0,0,0,0,48,9,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,3,20,0,0,0,0,0,0
19799,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,10,33,19,0,0,0,0,0,0,3,0,8,31,8,0,0,0,0,0,0,0,0,3,15,4,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,0,0,3,0,12,54,0,0,0,0,0,0,4,0,0,0,6,11,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
1GSYD,449,485,395,364,267,2449,113456,32164,4478,4744,1303,1345,1508,1544,1375,1181,3125,52757,920,58,35,13,10,5,12,15,10,88,1167,132810,10649,7521,1780,1805,2000,1949,1750,1458,5659,167375,175,12,9,7,0,4,0,3,3,266,475,201674,14039,9185,2091,2095,2252,2177,1984,1576,7644,244706,61437,999,839,156,154,101,131,136,69,1540,65561,65537,1345,1056,217,201,221,184,220,162,1603,70733,25915,2393,3242,790,757,835,810,759,520,1805,37821,739,26,16,0,11,3,4,5,3,100,905,92191,3758,4314,1012,966,1057,991,981,684,3502,109462,181,4,6,3,0,0,4,0,0,188,386,153807,4760,5160,1170,1120,1162,1128,1119,750,5233,175406,28368,634,369,63,54,52,36,39,27,1158,30810,31206,588,413,60,63,57,52,54,36,1152,33681,24420,1950,1556,251,273,249,206,218,140,1473,30736,483,24,10,3,3,0,4,0,3,112,636,56110,2564,1975,313,335,303,261,275,178,2742,65056,165,6,0,0,0,0
1RNSW,86,51,51,50,22,281,10174,1146,146,176,55,63,65,67,72,101,164,2046,100,8,5,0,3,0,0,0,0,13,134,9920,721,521,115,151,115,112,123,118,453,12355,73,0,3,0,0,0,0,0,0,171,251,42804,1986,1266,258,295,205,191,196,158,1858,49212,39616,613,459,100,86,54,70,52,16,1340,42401,9140,138,124,16,16,12,17,10,10,288,9779,1651,69,107,27,27,36,28,34,32,98,2110,121,6,0,0,0,0,0,0,0,24,155,10918,214,231,41,45,47,45,43,38,402,12041,153,0,0,0,0,0,3,0,0,140,296,50690,830,687,139,130,106,123,96,57,1879,54741,20128,288,191,36,20,21,14,15,15,876,21608,6135,49,31,3,8,10,8,7,5,247,6496,2203,46,56,11,13,18,8,0,8,165,2519,100,0,3,0,0,0,0,0,0,60,162,8436,95,90,12,23,32,17,10,8,466,9182,146,4,0,0,0,0
29499,0,0,0,0,0,3,38,12,3,5,0,0,0,0,0,5,5,26,0,0,0,0,0,0,0,0,0,0,0,41,3,7,0,3,0,0,0,3,11,66,0,0,0,0,0,0,0,0,0,25,25,111,8,13,0,3,3,0,0,3,40,182,83,3,3,0,0,0,0,4,0,6,103,20,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,3,3,105,9,3,0,0,0,0,4,3,13,136,24,0,0,0,0,0,0,0,0,4,25,5,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,483,424,394,392,252,1992,84003,20082,2646,3475,930,936,1135,1136,1084,1041,2320,34788,634,49,34,4,13,5,4,8,5,90,843,93017,7290,6208,1405,1428,1573,1538,1478,1294,4405,119639,167,9,5,0,0,0,0,3,0,151,339,157276,10394,8014,1740,1725,1847,1768,1683,1412,6235,192089,60923,976,729,148,121,109,93,134,65,1612,64902,58292,982,898,225,239,196,188,202,139,1683,63040,20461,1367,2068,504,481,506,485,531,460,1370,28230,712,17,19,3,3,3,3,3,9,86,860,79472,2365,2989,728,722,708,671,735,601,3135,92125,233,7,6,0,0,0,0,0,0,138,383,140622,3350,3723,874,839,814,766,869,665,4886,157416,29482,484,372,41,37,42,38,36,17,1100,31651,34666,327,351,63,45,56,50,39,24,1147,36761,23953,999,966,184,161,149,136,96,79,1276,28000,553,9,5,0,0,0,0,0,0,104,675,59174,1330,1323,253,206,206,183,137,105,2532,65444,228,0,0,0,0,0
2RVIC,19,32,30,31,28,174,4947,484,111,166,39,61,67,43,53,54,96,1176,42,0,5,0,0,0,0,0,0,7,57,4587,417,409,70,81,96,74,88,84,278,6182,50,0,0,0,0,0,0,0,0,136,190,21721,995,830,131,144,165,112,128,108,1072,25409,21835,254,196,39,43,33,15,26,10,816,23255,5093,53,51,9,15,12,7,9,17,170,5431,859,54,70,20,20,37,22,27,30,76,1205,94,0,0,0,0,0,0,0,0,11,105,6044,106,125,23,31,43,31,42,43,259,6736,78,0,0,0,0,0,0,0,0,78,158,27961,355,316,64,71,76,48,64,55,1147,30152,10513,124,54,16,10,5,0,10,0,444,11178,3941,22,21,4,0,3,0,3,5,183,4176,1188,24,28,7,3,6,7,3,6,102,1373,91,0,0,0,0,0,0,0,0,11,105,5223,43,49,11,4,9,10,10,6,291,5647,89,0,0,0,0,0
39499,0,0,0,0,0,5,51,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,38,3,4,0,0,0,0,0,3,9,58,0,0,0,0,0,0,0,0,0,11,17,368,23,16,3,3,4,3,5,3,42,473,371,26,10,0,0,3,0,3,4,25,447,31,0,0,0,0,0,0,0,0,0,37,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,9,12,409,29,10,0,0,5,0,3,4,31,498,50,0,0,0,0,0,0,0,3,6,64,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
39799,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,8,8,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
