GCCSA_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
59499,21,116,334,187,127,139,93,15,6,1035,4,25,73,66,59,49,24,3,0,310,15,45,113,107,152,154,105,17,3,713,0,6,26,20,34,42,43,0,0,174,3,0,4,11,15,22,36,11,0,100,0,0,7,4,6,4,0,3,0,25,22,65,218,210,239,130,74,12,0,976,74,259,773,606,638,540,375,58,12,3327,22,126,311,124,93,128,60,6,4,875,3,17,20,21,32,59,25,3,0,178,11,24,46,40,80,140,89,8,0,432,0,4,10,14,9,19,19,5,0,79,0,5,0,0,3,13,15,6,3,46,0,4,0,0,0,4,0,0,0,12,22,65,153,102,103,82,50,11,5,593,57,242,532,305,325,436,254,37,11,2210,47,243,639,317,218,264,147,23,6,1905,9,42,92,90,90,102,47,3,0,487,27,68,151,151,236,296,194,18,3,1145,5,7,36,33,48,64,61,7,0,253
59799,0,14,61,55,41,20,0,3,0,193,0,0,8,15,17,0,0,0,0,45,0,0,19,26,22,11,0,0,0,84,0,0,3,4,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,16,17,8,0,0,0,65,0,17,116,119,94,43,8,3,3,400,0,0,6,4,3,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,3,6,3,8,7,0,0,0,26,0,12,65,56,43,22,0,3,0,211,0,0,8,15,17,0,0,0,0,44,0,3,19,26,21,13,0,0,0,84,0,0,3,4,3,0,0,0,0,13
5GPER,18079,48042,102084,86298,65649,49347,31292,12217,3472,416486,3353,6298,14326,12647,13493,8355,4771,1765,428,65426,4003,7081,18226,20540,32560,28921,19721,7686,1955,140699,808,844,2419,2731,3639,4791,5453,3582,1302,25568,210,343,1141,1359,1867,2842,5151,5804,2453,21165,51,241,837,732,766,687,578,573,244,4709,3074,5267,14010,11056,9988,8121,6967,5446,2811,66741,29587,68113,153029,135354,127962,103071,73937,37073,12664,740783,18596,49935,115320,96755,72375,50557,27694,12044,4099,447371,2372,4427,10599,10657,15632,10916,5973,2417,740,63727,3024,5143,13406,16800,29037,31869,24902,10879,4146,139202,722,582,1472,2116,2784,4380,5891,4340,2348,24636,167,232,916,1488,1825,3341,5673,6887,4155,24681,41,147,636,782,859,933,712,963,527,5608,2765,4457,10933,8373,7982,7670,7462,7308,5946,62899,27678,64927,153282,136969,130490,109672,78307,44843,21958,768123,36680,97973,217407,183054,138020,99906,58982,24264,7572,863861,5720,10723,24922,23305,29124,19274,10740,4181,1164,129154,7033,12221,31629,37338,61597,60795,44623,18561,6102,279897,1525,1430,3887,4841,6422,9178,11343,7920,3647,50200
5RWAU,2936,6746,17069,16466,12751,10722,6603,2335,600,76226,1369,2123,4981,4840,4782,3118,1718,528,113,23574,1696,2654,7450,8820,13826,12871,7760,2339,468,57873,367,379,1009,1212,1840,2530,2556,1264,349,11510,144,129,366,493,695,1396,2426,2227,796,8669,17,57,146,125,165,160,186,123,67,1038,1414,1834,5829,5347,5261,4419,3134,1872,762,29859,7934,13924,36848,37296,39312,35213,24377,10686,3153,208747,3074,7371,20276,19281,14388,11063,5946,2380,722,84512,838,1500,3763,3939,5468,4144,1878,599,152,22280,1190,1853,5441,6348,10544,11310,7644,2758,808,47899,308,226,660,731,1118,1676,2049,1314,515,8599,105,109,245,333,490,939,1692,1935,1033,6888,16,23,82,85,110,148,151,169,79,869,1185,1336,3714,3336,3729,3513,2890,2136,1277,23128,6721,12430,34181,34057,35850,32802,22257,11289,4588,194174,6007,14123,37343,35753,27140,21788,12545,4716,1325,160740,2209,3627,8741,8780,10247,7263,3598,1128,261,45852,2878,4511,12888,15161,24365,24178,15406,5098,1273,105774,679,603,1673,1940,2952,4205,4603,2584,862,20105
69499,7,19,51,24,13,11,19,0,0,141,3,8,3,5,7,3,3,0,0,32,10,17,21,25,23,13,17,0,0,125,3,0,3,6,8,12,3,0,0,32,0,0,0,5,8,4,3,0,0,19,0,0,0,0,0,0,0,0,0,0,7,19,38,28,20,8,4,3,0,130,27,56,120,93,77,52,48,8,0,475,8,13,40,30,20,29,9,3,0,149,5,3,3,4,6,0,0,0,0,27,0,3,10,19,15,18,11,3,0,79,0,5,0,4,4,3,5,0,0,18,0,3,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,12,7,17,6,11,0,0,57,23,29,69,54,59,56,38,5,0,343,16,31,94,48,25,41,23,3,0,296,6,11,5,5,16,3,7,0,0,59,7,20,31,38,41,30,28,4,0,203,4,7,3,11,6,14,8,0,0,50
69799,0,0,10,4,3,0,0,0,0,18,0,0,3,0,3,0,0,0,0,8,0,0,3,4,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,15,5,10,8,4,0,0,49,0,3,5,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,4,11,4,3,6,0,0,0,25,0,0,4,0,3,0,3,0,0,10,0,0,3,4,9,10,3,0,0,22,0,0,0,0,0,0,0,0,0,0
6GHOB,1491,4639,8823,7578,5749,5596,3704,1509,587,39665,489,653,1400,1233,1121,784,444,239,54,6425,607,1094,2217,2977,5398,4876,3132,1341,326,21961,97,116,251,255,647,1117,1483,701,169,4839,51,61,136,128,229,515,705,765,450,3035,18,17,42,54,96,78,59,36,12,405,320,488,1073,943,1039,1112,1051,797,299,7121,3066,7068,13936,13163,14281,14070,10582,5389,1902,83457,1540,4918,10110,9223,6954,6054,3383,1609,681,44468,498,613,1305,1272,1350,1107,566,299,114,7115,513,831,1903,2683,5239,5380,4009,1911,709,23174,73,94,163,216,579,1197,1741,863,320,5246,39,51,130,139,162,416,688,955,912,3493,7,17,47,84,86,68,39,49,33,422,366,421,866,798,936,1138,1156,1014,600,7293,3036,6941,14535,14406,15299,15349,11593,6692,3368,91215,3029,9561,18933,16803,12700,11646,7086,3116,1268,84135,988,1265,2709,2500,2467,1892,1012,537,167,13543,1119,1921,4117,5655,10634,10250,7143,3252,1033,45137,172,217,413,469,1226,2310,3225,1563,487,10082
6RTAS,1523,4017,6290,5878,4525,5488,4120,1737,434,34009,929,994,1827,1669,1309,1180,720,275,72,8975,1294,2263,4490,5828,10044,8588,5300,1899,308,40029,137,160,333,512,1430,2617,3467,1348,244,10249,71,80,192,219,466,1044,1743,1610,845,6263,12,35,52,66,99,82,75,61,20,503,570,588,1064,1142,1656,1920,2009,1328,517,10800,4543,8126,14247,15318,19520,20921,17437,8276,2439,110823,1708,4463,8344,8151,6562,6227,3829,1661,585,41518,859,946,1866,1950,1949,1630,852,332,111,10495,875,1460,3411,4903,9365,8763,6078,2475,609,37936,114,119,221,343,991,2409,3478,1461,366,9500,40,51,135,174,240,707,1174,1590,1460,5567,9,25,58,91,109,66,56,45,35,498,513,506,1032,1140,1546,1864,2181,1659,873,11315,4107,7565,15074,16756,20765,21656,17646,9217,4048,116831,3233,8473,14628,14031,11079,11713,7944,3401,1018,75529,1785,1931,3695,3620,3257,2811,1579,603,183,19466,2167,3722,7903,10735,19408,17352,11380,4373,925,77965,252,272,552,857,2420,5023,6950,2812,614,19746
79499,10,36,76,55,40,48,33,7,0,302,0,10,13,17,28,20,15,0,0,96,4,19,30,40,64,59,45,3,0,255,0,0,0,15,19,22,20,6,0,81,0,0,9,8,23,13,26,0,0,80,0,0,0,0,9,3,3,0,0,12,3,38,89,75,84,60,35,12,0,397,17,98,219,215,257,227,174,20,0,1233,6,43,110,59,43,48,38,0,0,348,0,0,8,15,11,25,3,4,0,71,4,7,13,21,42,59,32,3,0,172,0,0,8,8,12,19,6,0,0,60,0,0,3,12,17,9,6,0,0,44,0,0,5,0,3,0,0,0,0,7,0,35,92,63,74,45,24,0,0,335,14,85,239,180,203,212,105,10,0,1046,14,80,189,117,82,101,68,4,0,655,3,10,27,28,38,48,22,3,0,172,5,22,40,58,103,121,78,3,0,433,0,4,11,25,35,38,28,6,0,144
79799,0,0,19,11,10,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,4,23,16,11,3,0,0,0,61,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,0,10,0,0,24,11,10,3,0,0,0,42,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,0,3,0,6,0,0,0,0,0,8
7GDAR,853,2966,8036,6214,3903,2727,1489,385,79,26646,313,614,1462,1241,1597,969,305,73,8,6580,293,668,1745,1686,2375,1838,830,219,38,9689,75,88,260,289,385,373,254,95,16,1839,24,31,109,167,228,326,450,231,57,1616,3,18,43,45,48,65,51,40,7,316,420,807,2376,1815,1565,1135,658,205,68,9041,1981,5186,14030,11460,10086,7432,4024,1246,273,55716,834,2909,8915,6791,4239,2612,1179,318,59,27853,186,372,885,941,1358,882,265,79,17,4975,189,425,1101,1111,1724,1493,813,242,54,7148,53,66,201,184,292,323,217,92,28,1468,20,23,112,145,218,359,372,234,91,1569,0,9,41,40,52,91,60,44,21,359,325,535,1539,1082,971,856,490,215,89,6095,1610,4337,12794,10302,8854,6606,3386,1222,356,49466,1682,5878,16952,13005,8142,5335,2667,698,135,54495,504,986,2340,2182,2953,1851,563,157,20,11558,485,1090,2846,2799,4096,3332,1637,462,99,16842,128,154,463,475,674,699,475,188,45,3308
7RNTE,359,1050,2747,2148,1601,1247,498,121,15,9783,264,433,834,660,730,489,133,36,3,3573,368,638,1327,1113,1296,977,398,86,13,6219,238,269,552,433,440,287,180,56,4,2467,285,310,637,581,569,523,369,119,30,3417,35,46,100,99,151,123,125,63,22,764,565,776,1482,1101,1075,792,418,134,22,6372,2111,3523,7676,6133,5862,4435,2119,624,116,32600,392,1175,3468,2537,1985,1360,391,105,24,11442,267,470,889,643,721,483,138,31,6,3646,306,555,1189,1039,1222,858,329,98,26,5626,179,237,505,459,377,259,141,47,4,2207,216,279,587,555,607,528,370,131,37,3307,19,31,80,63,123,142,148,112,34,754,474,577,1256,977,967,725,338,120,54,5477,1864,3329,7971,6270,5989,4359,1852,639,192,32472,757,2225,6215,4686,3584,2603,894,228,42,21230,527,903,1719,1298,1457,969,272,59,8,7216,675,1195,2523,2147,2515,1841,726,186,43,11851,418,510,1054,892,822,544,320,103,13,4676
89499,0,24,30,19,16,12,7,0,0,120,0,0,4,3,0,0,0,0,0,10,3,4,7,19,12,14,6,0,0,63,0,0,9,3,3,0,0,0,0,17,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,6,8,22,16,10,6,0,0,75,12,36,63,67,43,38,15,5,0,293,8,28,32,22,14,18,7,0,3,138,0,0,0,0,0,4,0,0,0,10,3,3,0,9,0,5,0,0,0,18,0,0,0,0,5,3,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,9,3,9,6,3,0,0,0,29,17,42,44,40,26,34,9,4,3,210,12,54,68,46,26,35,12,0,3,257,4,3,6,3,0,4,0,0,0,19,10,5,11,21,13,15,6,0,0,82,0,0,7,3,4,4,0,0,0,22
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4091,12903,26019,23212,17284,13262,8437,3221,1046,109476,322,543,1140,1034,1234,863,555,207,75,5962,486,1057,2342,2232,4067,3373,2241,1037,316,17148,131,184,274,319,462,584,784,392,133,3259,35,59,135,180,244,481,739,683,282,2839,9,36,96,89,111,80,74,81,30,612,511,1013,2334,1786,1546,1215,1088,824,429,10750,5582,15796,32345,28857,24948,19853,13914,6437,2316,150042,4304,13148,28494,24523,18598,13008,7600,2896,991,113565,301,400,886,897,1179,1035,676,347,141,5853,381,776,1813,1936,4024,4631,3905,1943,711,20124,106,170,243,289,433,775,1039,624,339,4015,37,63,126,182,293,614,973,934,613,3824,3,25,81,82,104,132,127,157,74,775,515,916,1974,1489,1327,1341,1169,1013,967,10709,5661,15493,33616,29396,25940,21536,15477,7904,3831,158864,8400,26055,54510,47740,35878,26270,16041,6111,2039,223040,622,939,2029,1923,2410,1897,1225,550,219,11813,865,1837,4161,4167,8089,7999,6145,2981,1032,37267,234,355,521,604,891,1358,1818,1014,469,7270
99499,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,3,3,6,0,0,21,0,4,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,5,4,4,6,0,0,30,0,3,0,4,7,0,3,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
9OTER,21,59,142,156,111,107,52,20,8,680,3,11,17,16,30,22,17,0,3,117,9,4,25,65,110,95,52,13,3,374,0,3,0,3,22,19,11,6,10,86,0,0,4,6,13,34,39,14,3,115,0,0,0,3,7,17,24,12,0,67,11,56,139,96,79,66,46,18,3,514,45,130,329,344,371,359,252,95,28,1955,24,51,165,184,130,116,65,14,9,751,0,0,18,32,24,15,6,9,0,105,4,6,23,30,104,77,57,27,7,331,0,0,3,3,10,9,11,5,5,48,0,0,0,3,10,34,17,5,3,75,0,0,3,0,4,32,21,14,0,74,18,11,35,32,52,51,27,18,6,241,46,63,240,287,331,338,207,91,29,1630,48,109,307,335,243,223,118,38,15,1425,3,11,37,52,53,36,29,6,3,219,13,13,42,98,209,173,114,40,6,708,5,3,8,10,29,30,25,14,15,135
