GCCSA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
19499,91,125,170,81,87,81,28,6,3,680,22,24,31,40,36,38,5,3,0,200,47,125,191,216,152,135,59,15,0,944,7,54,117,112,149,133,156,35,4,770,7,46,67,89,120,109,163,23,5,637,13,41,77,45,52,56,52,11,3,350,15,67,111,58,69,52,31,8,3,415,9,58,145,85,55,54,35,3,0,449,3,35,104,71,57,49,18,0,0,332,0,21,48,45,30,20,11,0,0,176,0,4,53,30,23,21,3,0,0,136,0,3,37,21,13,11,4,0,0,89,0,0,48,51,25,11,4,5,0,141,0,0,13,35,14,7,8,0,0,81,58,136,405,287,270,209,135,43,12,1558,285,746,1615,1269,1148,986,719,162,32,6958,69,104,130,60,65,99,21,10,5,558,12,25,23,30,23,38,6,4,0,163,55,87,108,87,97,116,40,10,0,609,6,39,96,74,84,94,142,21,6,556
19799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,9,0,0,0,0,0,6,8,3,0,20,0,0,0,0,0,0,5,0,0,15,0,0,0,0,3,0,8,0,0,17,0,3,0,0,4,3,4,5,0,19,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,10,3,0,29,3,9,11,18,25,22,48,16,3,157,3,0,0,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,6,4,4,0,16,0,0,3,0,0,6,12,0,0,23
1GSYD,76173,27950,21012,10811,10606,15051,10908,4869,1652,179043,25807,11168,4031,2699,3191,4727,5017,2252,742,59638,11325,16266,11938,8865,10114,13422,14854,9757,3045,99585,5519,12319,11927,8604,11056,15211,29546,21846,7097,123128,5979,13136,14532,9800,11376,13523,20588,13635,6347,108906,5301,15724,18709,12430,12679,13744,15256,8318,2801,104967,2902,17289,28336,18592,17971,16743,12345,5895,1963,122034,1578,17585,43060,29051,26871,22572,12231,4047,1307,158304,741,14131,52956,36788,31980,25968,12312,3485,1140,179506,247,6681,39642,30611,25173,18632,7693,1908,603,131193,131,3120,33390,30777,24704,16940,6044,1496,478,117077,70,1255,22396,25860,20016,13021,3961,923,347,87855,63,978,33525,52109,38543,23197,6533,1476,464,156887,140,528,12979,41229,40535,22562,7179,1999,729,127883,12012,14152,33278,26234,22563,18311,14942,10402,6428,158318,147983,172289,381705,344463,307388,253616,179414,92308,35147,1914314,66930,27835,43955,37152,29919,34162,15272,6682,2926,264825,31882,12309,9797,11393,9816,10559,6967,2884,990,96590,14108,18486,19686,19735,18834,23253,19289,10861,3841,148093,5704,13981,18297,17841,19151,24020,36589,23963,8700,168242
1RNSW,33207,5717,4222,3578,4547,7599,4524,1704,662,65748,16027,3776,1613,1459,2341,3861,3226,1192,379,33881,7069,9076,7734,6539,8072,12372,12855,6716,1826,72258,3492,5004,5297,5764,8951,14651,30762,21650,6083,101643,4513,5752,6075,6354,9466,14064,22789,13722,5138,87876,3906,8262,7846,6908,8701,12262,15738,7842,2238,73700,2127,10156,13316,10576,12189,13907,11274,5250,1600,80401,1011,9060,18786,15254,17351,17768,9817,3103,988,93134,411,5903,19969,17943,19292,18374,9323,2645,790,94649,134,2642,13806,13292,13752,11901,4500,1034,321,61372,52,1296,10949,12542,13128,10032,2967,666,236,51863,19,617,7013,10394,10584,7530,1816,427,160,38550,31,538,9412,16715,16883,10948,2474,621,208,57835,102,252,2689,7322,8819,6708,2349,775,279,29294,9742,7399,14521,13881,15826,16441,15876,11071,5652,110417,81832,75449,143234,148516,169896,178427,150284,78420,26562,1052624,28423,4862,9560,9320,10501,16832,5719,2173,1143,88528,20032,4052,4566,5241,5372,7527,4282,1543,570,53184,8862,9719,10877,10477,11560,17838,15292,7094,2246,93962,3833,6962,10263,11397,13705,20817,36566,21803,6847,132189
29499,51,69,109,72,39,37,18,5,0,397,25,34,36,32,21,13,5,0,0,160,36,76,153,143,105,50,27,0,3,593,3,40,58,79,61,65,58,15,5,370,8,30,73,57,64,57,67,27,0,387,6,30,49,27,34,30,16,5,0,196,10,38,69,44,33,20,7,0,0,218,3,16,77,52,41,27,11,0,0,224,3,27,78,48,32,23,8,0,0,210,0,3,48,25,18,17,7,0,0,124,0,0,25,22,9,10,3,0,0,83,0,0,19,16,15,8,0,0,0,59,0,0,44,29,18,14,3,0,0,95,0,0,9,12,8,15,0,0,0,52,33,82,214,156,121,79,53,14,3,757,180,447,1052,813,628,460,283,72,9,3942,46,89,85,45,25,57,16,3,0,359,24,29,39,12,16,15,7,0,0,145,47,80,98,68,56,54,23,3,0,426,13,36,54,44,44,49,62,7,5,317
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,70156,28711,18996,10034,10027,12667,8970,3870,1387,164818,28006,13247,4434,2931,3342,4450,4410,2138,690,63647,10670,19714,14373,9569,10052,12818,14272,9336,2917,103722,4348,13417,12280,8227,9963,13318,27353,21966,6937,117805,4424,13421,14105,9430,10618,12199,19325,13113,5796,102408,3448,15712,19472,11931,12119,12767,15401,8359,2868,102073,1959,16172,30284,19075,17746,16007,11965,5743,1982,120931,1101,15467,45075,29332,26884,21444,11203,3711,1424,155648,487,10831,52115,36702,31991,24521,10492,3052,1067,171256,160,4497,37841,30360,24941,17515,6335,1595,528,123759,115,2007,29472,29353,24253,16059,4934,1188,417,107792,53,857,18383,23860,19165,12084,3266,758,289,78720,89,760,25139,42468,33850,19812,5204,1240,435,128990,142,508,8437,28727,29991,16936,5548,1503,586,92389,11610,13046,28890,22989,20831,16996,14437,10512,5893,145201,136742,168363,359284,314991,285775,229601,163110,88091,33202,1779168,62382,28879,41973,33644,26934,29808,13452,5586,2513,245176,34330,14696,11077,12239,10056,10115,6403,2755,1115,102790,13361,22402,22183,21044,18964,22166,18424,11127,3563,153234,4193,14827,18554,18444,18852,22458,35710,23755,8384,165176
2RVIC,18133,2903,2221,2065,2630,4179,2517,993,346,35991,10001,2167,844,907,1239,2112,1836,692,256,20052,3706,4714,3852,3317,4278,6488,6984,3612,1075,38021,1692,2628,2817,3140,4457,7300,16129,10934,3116,52218,2202,3314,3251,3385,4933,7231,12355,7122,2758,46556,1795,4569,4256,3866,4843,6980,9111,4296,1319,41033,927,5724,7693,5969,6985,7995,6399,2908,912,45503,501,5347,11163,8995,10158,10265,5314,1683,571,53981,187,3225,11689,10487,11319,10471,4510,1276,458,53630,59,1266,7824,7966,8087,6594,2288,519,156,34758,23,590,5407,7096,7347,5753,1462,354,125,28152,15,224,3245,5123,5593,4041,946,198,94,19473,20,190,3536,6966,7873,5494,1263,320,97,25761,55,158,1219,3196,4198,3290,1197,397,139,13861,5611,3904,7800,7690,9025,9307,9118,5983,2938,61380,44925,40923,76820,80170,92963,97495,81432,41289,14351,570369,15212,2355,5121,5316,5761,9270,3437,1195,645,48307,12001,2519,2965,3308,3186,4192,2347,829,374,31715,4695,5538,6483,6444,6819,10171,8437,3936,1438,53955,1780,3840,5951,6683,7798,11163,18994,11018,3774,70993
39499,64,79,108,60,74,92,40,5,0,524,16,22,28,22,29,41,14,3,3,176,36,67,135,153,128,136,92,22,0,773,14,31,76,93,105,155,297,64,8,848,5,43,61,47,73,116,203,43,3,599,11,44,79,31,54,75,100,13,0,417,7,66,117,59,52,73,72,15,0,461,4,39,113,54,55,63,45,5,0,389,3,29,87,65,39,67,34,11,0,336,0,14,40,31,43,30,11,3,0,169,0,3,56,31,34,21,16,0,0,162,0,3,14,27,15,14,3,0,0,83,0,0,45,36,34,16,6,0,0,141,0,4,18,19,25,9,3,5,0,85,43,115,306,227,208,229,186,40,6,1353,212,559,1288,964,975,1147,1120,225,19,6509,53,69,120,57,91,190,37,7,0,621,13,32,29,18,30,78,18,0,0,223,56,65,85,95,96,191,97,17,0,697,19,43,83,42,79,183,260,45,0,755
39799,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,9,3,3,4,7,10,7,13,7,0,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,3,5,0,0,13
