GCCSA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
19499,60,22,3,0,122,73,285,156,69,21,4,326,166,746,292,161,43,23,584,510,1615,194,145,40,22,365,501,1269,154,136,44,29,321,462,1148,138,144,37,26,317,329,986,103,111,51,23,256,177,719,20,12,5,4,67,53,162,0,0,0,0,19,10,32,1122,807,243,131,2373,2284,6958,74,23,8,3,66,53,232,157,92,19,18,199,137,615,243,191,58,65,255,285,1091,96,107,65,54,124,186,629,96,144,62,41,123,183,646,116,143,95,62,173,149,732,59,92,64,32,126,103,477,5,9,11,10,41,40,120,10,0,0,0,22,10,48,856,800,385,278,1123,1150,4590,138,48,13,5,187,124,517,312,158,41,23,520,301,1358,538,348,98,88,836,798,2703,293,248,107,81,483,685,1900,256,283,104,63,443,648,1798,259,288,127,83,484,475,1722,160,200,110,62,387,278,1196,29,27,17,10,109,89,282,10,3,0,0
19799,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,9,4,11,0,3,0,0,5,7,18,3,0,0,3,14,3,25,0,0,3,3,11,5,22,0,6,0,4,22,6,48,0,3,0,0,6,8,16,3,0,0,0,3,0,3,11,16,3,9,71,41,157,0,3,0,0,6,0,7,0,0,0,0,3,0,4,3,3,0,4,3,5,24,0,0,0,6,11,3,14,0,3,3,0,11,9,31,3,8,5,6,18,9,53,0,6,7,9,33,16,60,0,3,0,0,6,12,24,0,0,0,0,4,0,7,7,23,16,23,90,56,220,0,3,0,0,5,0,12,0,0,0,0,5,0,9,6,3,0,6,12,11,32,3,3,0,6,14,9,34,3,8,3,3,26,10,50,4,9,9,13,28,16,74,0,8,5,16,54,24,108,0,8,0,0,12,19,42,0,0,0,0
1GSYD,58095,10201,943,447,67054,11242,147983,59563,19729,2624,1168,75387,13813,172289,132561,81061,12988,5234,116987,32874,381705,107514,103108,23084,9304,75924,25527,344463,89363,94677,22265,9064,70150,21866,307388,65796,75737,20837,9607,63568,18076,253616,34110,47531,20043,10911,51720,15108,179414,13903,19610,9695,6229,32194,10678,92308,4284,4814,2360,1678,16412,5602,35147,565195,456470,114840,53647,569390,154780,1914314,59887,14769,1846,756,53137,9991,140387,60661,31330,6157,4313,53815,12176,168451,96685,102380,40010,48057,76423,29139,392700,46502,101530,65946,70902,44985,21722,351579,38927,103430,66675,49498,42601,19070,320191,32277,82781,53895,40115,44117,17209,270395,17202,45633,39174,33434,41347,16285,193069,10967,20912,16390,14728,34811,13939,111741,6457,7445,3803,2862,29621,10694,60875,369554,510212,293888,264661,420856,150218,2009383,117982,24973,2783,1205,120185,21232,288362,120223,51067,8782,5484,129203,25993,340737,229250,183441,52999,53286,193415,62013,774405,154015,204634,89035,80205,120906,47244,696037,128285,198107,88942,58563,112747,40937,627580,98075,158525,74733,49720,107683,35283,524011,51306,93157,59212,44348,93073,31385,372488,24872,40518,26083,20958,67001,24619,204051,10742,12256,6159,4539
1RNSW,33586,6304,687,334,31672,9254,81832,27336,12187,1885,976,25760,7302,75449,46001,39845,8587,4111,30347,14331,143234,40110,49235,13868,6677,24872,13749,148516,44695,54848,15411,7080,32073,15780,169896,40892,53608,18289,9994,38829,16825,178427,22784,37529,20169,13711,38760,17336,150284,9458,14872,9097,7604,24440,12952,78420,2815,3429,1871,1575,10962,5913,26562,267681,271863,89866,52058,257719,113439,1052624,34332,9106,1259,688,24138,8172,77694,23292,18789,5071,4605,14691,5661,72109,24184,44347,23100,29832,15012,10678,147152,14337,48901,35333,34746,12390,10699,156403,19429,62217,39626,26489,17570,13327,178659,18771,57184,39851,29988,24513,15228,185530,9825,31114,32054,32218,30574,17167,152945,6910,14318,12594,14132,26135,16231,90318,4147,5059,2805,2411,19951,10456,44829,155223,291025,191692,175120,184966,107616,1105649,67915,15405,1940,1020,55813,17425,159525,50628,30975,6954,5579,40453,12961,147560,70185,84193,31688,33949,45360,25012,290388,54449,98132,49204,41426,37262,24452,304924,64127,117061,55040,33574,49642,29106,348557,59659,110789,58142,39983,63336,32047,363959,32613,68637,52221,45925,69334,34502,303231,16365,29191,21692,21737,50569,29182,168736,6959,8489,4676,3982
29499,37,17,0,4,77,44,180,94,50,11,3,168,118,447,212,122,23,16,363,315,1052,132,83,18,15,217,349,813,103,57,19,19,193,242,628,83,69,20,12,138,134,460,48,40,20,11,106,60,283,12,4,7,0,34,21,72,0,0,0,0,8,0,9,715,443,117,80,1298,1293,3942,45,22,5,7,61,40,178,133,66,21,12,121,105,453,181,140,46,54,172,195,795,77,88,37,49,79,146,479,62,74,30,25,70,87,347,39,70,38,32,89,81,352,21,37,23,20,59,40,204,3,6,7,4,10,16,49,3,3,0,0,14,12,28,567,509,208,198,668,721,2883,82,37,10,5,133,90,357,225,109,26,15,293,227,898,391,266,76,68,530,512,1848,209,178,60,63,294,497,1295,160,134,47,38,266,331,975,123,145,57,46,230,214,816,66,75,42,36,159,98,482,16,14,15,3,46,36,121,3,3,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,11,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,0,0,3,0,11,0,0,3,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,55743,8796,861,418,60308,10615,136742,60681,21120,2635,1160,70399,12364,168363,129163,82514,12852,5128,101280,28347,359284,100310,98273,21568,8536,64447,21860,314991,86015,89541,20262,7926,62494,19536,285775,62139,68801,18009,7863,56526,16266,229601,31717,42969,17790,9337,46782,14518,163110,13496,18567,9084,5714,29956,11272,88091,4069,4636,2186,1614,15340,5361,33202,543338,435215,105245,47697,507535,140139,1779168,58610,12887,1530,585,48840,9822,132275,62126,32252,5939,3697,49740,11250,165007,93580,103120,38462,45047,64686,26168,371061,42474,96683,62057,66252,37369,19253,324092,36107,101410,63822,44845,37389,17968,301538,28888,78166,50149,35205,38621,16275,247299,15269,42411,36989,31304,38766,16425,181172,10252,19708,16028,14355,32947,14664,107963,5612,6830,3720,2620,27281,9889,55950,352919,493470,278698,243909,375638,141716,1886350,114349,21683,2389,1007,109148,20440,269015,122807,53365,8580,4852,120140,23619,333367,222747,185639,51309,50174,165964,54513,730345,142785,194957,83623,74788,101813,41116,639084,122123,190950,84086,52773,99883,37501,587317,91024,146966,68158,43071,95144,32539,476902,46988,85382,54782,40640,85551,30944,344283,23755,38274,25117,20073,62906,25937,196050,9678,11465,5909,4230
2RVIC,18927,3118,338,181,17186,5179,44925,15282,6785,1017,467,13599,3776,40923,25317,21370,4547,2222,15648,7720,76820,22749,26404,7421,3427,12662,7512,80170,25166,29871,7903,3690,17388,8944,92963,23230,29549,9261,4792,21345,9308,97495,12738,19986,10057,7116,21463,10070,81432,4929,7849,4548,3805,12897,7256,41289,1465,1877,1000,885,6010,3111,14351,149807,146813,46096,26591,138188,62885,570369,19022,4596,641,321,12722,4743,42043,12830,10167,2610,2265,7612,3120,38606,13545,23918,12003,16712,8042,5950,80178,7831,25719,19181,20361,6230,6051,85363,10150,34357,22216,15273,9646,7515,99158,9849,31214,22373,16495,13498,8800,102238,5047,16295,17533,17999,16568,9956,83397,3224,7009,6678,7605,14075,8955,47547,1962,2670,1646,1478,11356,5337,24446,83470,155944,104874,98518,99747,60422,602974,37946,7717,978,504,29904,9923,86967,28106,16956,3626,2736,21211,6898,79529,38860,45291,16552,18936,23688,13672,157001,30583,52115,26603,23787,18886,13563,165539,35319,64224,30118,18963,27029,16457,192122,33085,60766,31639,21286,34845,18103,199728,17784,36282,27589,25120,38034,20023,164829,8157,14865,11228,11413,26965,16209,88833,3430,4539,2645,2366
39499,55,12,3,3,87,48,212,123,56,11,10,233,127,559,254,154,44,18,457,359,1288,159,110,38,25,304,337,964,160,134,33,30,321,292,975,187,207,77,54,354,269,1147,161,220,93,55,366,216,1120,18,32,15,10,98,47,225,0,0,0,0,15,3,19,1114,939,319,208,2230,1697,6509,68,21,6,0,66,37,203,126,80,20,17,216,119,576,229,157,48,59,290,227,1005,81,107,53,52,84,138,514,114,165,65,53,139,156,688,191,294,171,110,256,202,1224,95,182,127,82,183,132,798,8,22,10,16,59,42,153,0,0,0,0,11,5,18,912,1021,500,382,1304,1063,5179,121,36,9,3,159,85,408,248,136,36,23,445,240,1133,478,307,97,76,742,582,2293,240,215,88,77,390,474,1485,271,302,95,77,461,448,1663,375,509,255,162,610,470,2373,258,403,218,141,547,351,1916,31,49,26,24,158,90,381,0,0,0,0
39799,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,7,3,3,0,0,0,0,10,4,0,0,0,4,0,7,4,0,3,3,9,0,13,0,0,0,0,3,0,7,0,0,0,0,0,0,0,12,9,7,3,26,6,65,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,4,0,0,4,0,7,3,0,3,0,8,3,19,0,3,4,4,7,4,16,0,0,0,0,0,0,7,0,0,0,0,0,3,0,7,19,11,4,28,17,81,3,0,0,0,3,0,11,0,3,0,0,0,3,11,3,3,0,0,4,0,11,3,8,0,0,3,0,14,3,11,0,0,7,0,24,10,0,3,0,13,4,30,4,4,3,7,12,4,33,3,0,3,0,11,0,16,0,0,0,0
