GCCSA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
19499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,247,489,778,539,444,365,229,51,7,3146,247,489,778,539,444,365,229,51,7,3146,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
19799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
1GSYD,..,4257,120017,203183,187424,159580,117211,58323,15299,865300,..,9937,51928,33608,24517,14527,6293,1618,274,142704,..,429,1645,5134,9810,7843,3730,2205,1475,32264,436505,..,..,..,..,..,..,..,..,436505,..,127740,..,..,..,..,..,..,..,127740,..,85716,67738,21565,12700,5056,710,22,3,193516,..,16659,14864,5469,4905,5605,4253,2719,1607,56081,..,11560,17007,5583,4140,2764,1171,340,95,42668,..,26130,43741,13075,8887,7338,4452,1548,432,105605,..,6558,23016,25183,27871,28002,23129,13591,7183,154534,5231,6659,9338,5909,4691,3466,2494,1347,515,39648,441731,295642,349295,318708,284940,234192,163446,81716,26883,2196557,..,11599,161549,213232,188551,152053,99703,40204,6745,873638,..,15161,54221,30495,22034,11983,4249,802,161,139097,..,4010,18387,36464,44948,26913,12042,9094,5930,157781,413276,..,..,..,..,..,..,..,..,413276,..,130410,..,..,..,..,..,..,..,130410,..,61958,46130,11482,7181,3980,916,43,3,131696,..,14032,10954,3824,5697,12161,11731,9578,5818,73808,..,11551,12615,3239,2237,1689,653,309,144,32436
1RNSW,..,1907,42129,75285,86669,96954,89201,46231,11082,449470,..,9844,27105,18755,17320,12963,6506,1803,282,94585,..,367,1629,4604,7210,4687,2141,1396,951,22990,230269,..,..,..,..,..,..,..,..,230269,..,49628,..,..,..,..,..,..,..,49628,..,47640,21443,9782,7717,3668,513,13,0,90782,..,6505,3431,1583,2242,2890,2340,1418,772,21175,..,4169,3737,1927,1874,1309,599,229,49,13892,..,9872,9946,3713,4586,5152,3466,1361,308,38416,..,4161,12039,13855,21415,28051,24232,14347,6218,124313,4608,6297,6035,4118,3960,3896,3314,1478,448,34147,234875,140397,127490,133630,152986,159588,132318,68275,20110,1169669,..,4040,55959,83708,94142,99327,79740,33952,5193,456060,..,14920,28296,19201,17584,11695,4969,1096,152,97909,..,5324,16883,24903,24627,11369,5706,5431,3631,97868,218167,..,..,..,..,..,..,..,..,218167,..,51269,..,..,..,..,..,..,..,51269,..,30620,11394,3799,3358,2411,554,28,0,52161,..,5049,1810,874,2180,4260,4425,3450,2346,24398,..,4134,2214,793,869,669,331,105,76,9199
29499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,157,257,492,309,249,168,109,24,11,1774,157,257,492,309,249,168,109,24,11,1774,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
29799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
2GMEL,..,3216,110775,184070,172567,143780,106715,55662,14366,791148,..,10477,57370,34390,24686,14092,5486,1303,277,148079,..,364,1456,4846,10040,7563,3133,1978,1307,30683,396157,..,..,..,..,..,..,..,..,396157,..,122015,..,..,..,..,..,..,..,122015,..,73275,56363,18304,11459,4416,598,19,0,164426,..,16686,14511,4332,3964,4220,3136,1970,1120,49932,..,10127,12708,3832,2797,1773,647,185,54,32118,..,32184,43336,11255,7212,5637,3345,1212,341,104522,..,9060,26593,26423,28991,27097,21112,12935,7121,159330,4800,6694,8936,5301,4214,2991,2469,1466,583,37451,400957,284099,332046,292746,265919,211559,146644,76730,25165,2035862,..,9041,146919,190803,173798,137930,94414,39250,6491,798653,..,15868,59365,32940,23037,11557,3886,740,123,147521,..,3159,15777,33735,43987,24007,10346,8207,4875,144080,376153,..,..,..,..,..,..,..,..,376153,..,124376,..,..,..,..,..,..,..,124376,..,52333,39633,9401,6371,3364,651,23,4,111775,..,14072,10259,3181,4572,9195,8329,6965,4077,60651,..,9386,8457,1925,1365,934,401,167,83,22714
2RVIC,..,921,22861,41399,48857,54249,46911,23814,5871,244882,..,5381,15653,10523,9368,6663,3121,782,133,51625,..,203,701,2195,3685,2260,946,596,406,10989,123354,..,..,..,..,..,..,..,..,123354,..,29325,..,..,..,..,..,..,..,29325,..,24612,10362,4663,3233,1459,210,11,0,44539,..,2930,1633,749,970,1201,940,568,317,9308,..,1956,1663,778,714,463,214,77,21,5892,..,5912,5522,1940,2203,2281,1593,576,123,20146,..,2731,7260,8096,12657,15897,13468,7494,3442,71037,2230,3288,2991,1973,1888,2010,1777,844,240,17246,125583,77267,68637,72319,83578,86469,69179,34748,10564,628348,..,1868,30073,45766,52970,54663,42505,17287,2840,247960,..,8030,16126,10721,9481,5969,2270,475,81,53155,..,2315,8054,12740,13300,5870,2631,2346,1599,48841,116850,..,..,..,..,..,..,..,..,116850,..,29843,..,..,..,..,..,..,..,29843,..,15301,5873,1947,1534,1031,206,8,0,25892,..,2287,1029,401,987,1809,1756,1350,794,10419,..,1867,945,301,306,216,99,34,34,3799
39499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,206,357,560,418,346,380,335,77,3,2677,206,357,560,418,346,380,335,77,3,2677,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
39799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
