GCCSA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
19499,0,0,0,3,3,3,3,3,0,10,0,0,16,23,3,0,0,0,0,39,4,3,20,100,3,3,0,3,0,140,0,0,11,14,9,4,4,0,0,35,0,0,0,16,3,0,0,0,0,20,0,3,5,14,7,3,0,0,0,36,0,0,8,21,7,3,3,0,0,45,0,0,8,21,3,9,3,0,3,49,0,0,3,6,0,0,0,0,0,12,0,0,13,21,3,0,0,0,0,39,0,0,0,14,15,0,3,3,0,33,0,0,3,29,9,7,0,0,0,43,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,3,0,0,0,9,0,0,0,7,0,0,0,0,0,7,0,0,11,15,0,0,0,0,0,30,0,0,7,8,3,8,18,0,0,48,9,9,34,101,64,60,48,9,0,324,0,0,4,6,4,0,0,0,0,14,4,3,4,22,0,0,0,0,0,32
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,3,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,55,376,523,1495,2001,4089,7864,8304,2297,27005,373,1323,4602,13795,6223,9156,3657,1161,289,40577,3244,8089,11349,78587,13296,8254,4691,2277,796,130573,171,834,4901,14259,3909,2947,1958,761,251,29989,120,1004,1747,11068,3096,2467,1360,627,248,21739,265,2588,5253,15232,7295,4666,2442,1157,331,39237,109,810,617,10025,2925,1924,1963,998,391,19763,62,315,809,4923,3569,6151,10070,10106,4490,40492,225,842,1206,5766,2528,1040,600,217,75,12490,410,2270,6281,23046,8003,5322,2617,1244,308,49508,193,812,2123,15697,13593,11547,7637,3338,1035,55979,194,886,2914,10685,4245,4798,3369,1090,281,28464,4,18,75,431,766,2756,4898,2578,795,12316,4,73,191,1314,961,1205,891,418,184,5250,16,142,783,2399,1160,790,466,261,100,6119,153,878,6716,21073,904,517,158,30,7,30424,54,310,376,1668,1073,1381,2388,1450,778,9482,1006,6231,10861,31242,15713,12306,6234,2181,750,86526,9,61,122,1123,838,648,894,446,128,4275,637,2178,3325,12189,2547,1352,445,127,36,22841
1RNSW,3,29,24,102,186,439,726,711,233,2458,16,72,289,500,247,398,130,58,14,1725,256,913,958,7501,1112,860,667,360,117,12740,32,109,153,684,255,185,187,96,50,1752,18,87,124,735,134,108,43,23,10,1283,53,149,91,434,138,72,42,22,0,998,43,353,112,1199,634,542,748,458,140,4229,12,51,103,448,606,1473,2410,2598,1219,8925,26,149,150,612,251,149,97,40,24,1507,23,125,440,1268,240,110,35,16,7,2262,9,23,61,354,322,268,216,69,38,1364,53,117,396,1043,604,507,281,122,23,3142,0,3,4,55,129,508,956,394,97,2155,0,10,18,106,80,121,85,38,10,473,5,70,157,502,121,62,40,31,7,997,17,144,234,1167,75,21,8,3,0,1669,3,80,84,448,480,1285,2888,1501,604,7370,199,1349,2073,8074,6020,6139,4247,1670,512,30282,0,36,27,235,246,248,505,294,84,1682,45,192,205,915,143,82,46,10,3,1655
29499,0,0,0,0,3,4,0,3,0,6,0,0,11,21,0,5,0,0,0,36,10,3,27,87,0,3,4,0,0,130,0,0,0,5,3,0,0,0,0,9,3,3,4,11,3,3,0,0,0,17,3,6,5,9,5,0,3,0,0,27,0,0,5,15,0,0,0,0,0,27,0,0,17,18,6,4,8,0,0,58,0,0,0,9,0,0,0,0,0,11,0,0,13,18,3,0,0,0,0,37,0,0,0,5,0,0,0,0,0,8,0,0,12,27,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,7,0,0,0,3,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,10,4,0,0,0,0,0,12,0,3,0,8,0,3,12,0,0,29,3,7,24,101,34,31,15,0,0,219,0,0,0,7,0,0,3,0,0,7,0,0,0,9,0,0,0,0,0,11
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,63,643,755,2211,4187,7531,13217,13530,3478,45618,252,859,3133,8351,2728,3491,1420,504,106,20840,3249,9162,16987,100858,13108,9033,5453,2365,859,161078,185,624,3922,8581,1524,999,756,305,105,16998,174,1494,1723,8908,1698,980,517,187,49,15731,170,1404,2297,7575,3278,1710,795,356,98,17686,110,656,421,5998,1753,1510,1441,981,456,13329,81,412,825,4209,4578,10631,17572,17597,7430,63332,142,632,980,3952,1196,459,344,105,68,7872,146,924,2583,7841,1611,631,242,86,16,14074,92,305,780,5189,3976,3115,1930,782,225,16394,590,2411,8591,18336,6072,6427,3670,1231,314,47642,9,50,147,707,1181,4056,6039,3237,839,16266,17,285,797,4039,1813,2067,1354,692,295,11365,53,743,1879,4744,1225,643,306,202,73,9883,48,333,1972,6023,271,161,54,15,3,8880,46,301,270,1440,1030,2174,3883,2353,1127,12619,1433,8249,10862,31844,12134,8578,3931,1406,474,78906,15,88,113,970,754,781,950,552,197,4421,630,2048,3213,11786,1301,660,304,69,20,20033
2RVIC,3,12,20,58,153,295,526,433,119,1611,3,52,152,310,83,101,51,11,4,767,185,580,753,5550,572,417,331,148,60,8592,10,36,99,321,127,65,77,44,17,798,19,149,132,402,86,45,28,13,3,878,28,85,123,433,179,47,22,6,0,922,15,148,75,574,310,359,395,272,115,2260,7,27,55,230,457,1160,2247,2041,919,7145,11,66,63,297,97,49,30,15,5,635,13,59,150,410,28,19,6,7,0,686,4,3,12,91,59,58,29,17,9,281,36,118,300,1033,375,330,115,49,7,2360,0,3,13,52,89,412,714,266,50,1606,0,28,32,155,85,66,66,11,3,446,8,37,177,529,151,89,57,34,10,1083,7,42,80,341,18,5,0,0,0,494,11,51,68,332,385,1364,2905,1518,539,7171,142,807,1238,4139,2832,2637,1639,558,144,14131,3,12,16,130,191,299,393,206,63,1316,32,191,163,560,69,34,21,6,5,1076
39499,0,0,0,0,0,3,3,0,0,7,0,0,5,15,0,0,0,0,0,17,3,0,9,38,3,0,5,0,0,62,0,0,5,7,4,0,8,0,0,24,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,10,0,0,27,19,4,3,3,0,0,45,0,0,23,29,3,0,4,0,0,60,0,0,8,23,0,0,3,0,0,28,0,0,5,33,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,4,0,0,0,26,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,10,18,8,12,34,3,3,88,3,8,33,146,89,153,133,11,0,567,0,0,3,8,0,0,3,0,0,18,0,0,0,9,0,0,0,0,0,10
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3,39,61,181,158,347,600,592,245,2234,70,306,1832,2971,948,1278,485,189,41,8131,674,2233,3970,22054,2867,1704,1140,507,198,35335,73,309,675,1883,556,413,408,230,97,4648,61,504,511,2935,554,271,151,58,22,5065,75,273,255,879,315,151,45,18,5,2015,67,485,317,3092,952,685,694,399,188,6864,23,103,218,946,486,841,1507,1503,724,6357,97,354,817,2485,746,282,162,65,41,5053,173,778,2190,7000,1300,484,187,72,8,12202,11,28,32,284,232,184,141,51,15,975,137,497,2006,3817,1649,1431,852,311,65,10765,0,10,17,67,90,209,360,154,43,939,3,19,64,207,137,155,128,43,18,788,10,125,398,1149,328,240,137,51,26,2470,18,109,687,2100,99,43,12,4,0,3078,20,132,183,850,735,1146,2069,1045,397,6579,1234,10131,14392,37912,18442,13643,7224,2371,709,106053,8,76,68,564,442,369,503,251,58,2342,98,420,478,1944,308,163,70,17,3,3504
3RQLD,0,22,24,98,115,168,299,280,59,1064,21,143,534,886,382,411,155,60,9,2606,261,960,1464,8261,1180,666,522,308,120,13748,39,187,270,946,336,311,291,184,96,2653,9,87,108,732,181,154,112,39,20,1440,56,152,69,362,98,56,20,19,3,824,44,349,237,1463,674,529,627,368,151,4440,16,90,206,798,435,839,1690,1640,854,6573,87,545,775,3618,1366,471,325,98,41,7319,90,391,1018,3457,702,258,112,54,5,6090,0,15,3,94,118,85,68,37,12,443,44,170,404,1351,900,695,327,138,37,4058,0,3,10,41,87,329,676,306,98,1554,3,27,37,199,134,153,131,65,21,764,3,20,77,375,79,53,51,35,8,702,16,200,457,1225,50,39,3,4,0,1989,13,108,161,754,756,1308,2498,1317,484,7396,703,6441,9046,28572,17913,16254,10645,3917,1090,94573,3,42,67,339,299,334,470,253,53,1858,46,139,137,625,105,65,33,11,3,1162
49499,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,12,0,0,13,18,0,0,0,0,0,31,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,15,0,0,6,8,0,3,3,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,3,0,0,14,0,0,3,14,11,19,11,3,0,59,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,12
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,57,93,288,471,1338,2270,2660,845,8022,38,107,1214,1182,242,393,188,63,6,3445,605,2557,2480,16427,1950,961,724,380,179,26270,65,174,229,957,186,137,130,76,25,1986,61,467,622,2191,507,311,169,85,33,4456,25,134,242,618,251,120,46,12,3,1459,23,185,122,729,405,459,439,388,158,2895,24,66,153,613,1049,2809,4974,5389,2313,17398,31,108,225,680,213,71,59,22,9,1418,49,411,688,1746,462,120,31,15,0,3522,17,39,92,373,272,315,223,108,50,1495,99,438,1614,2781,878,740,652,191,57,7465,0,0,4,41,83,296,506,262,96,1283,0,3,12,90,29,24,19,12,7,198,3,147,275,679,135,58,24,20,9,1349,53,403,695,1570,53,30,11,5,0,2821,10,69,93,329,352,1045,1776,830,363,4863,94,566,820,3148,1945,1810,1012,361,121,9882,3,36,47,213,319,387,477,241,77,1790,172,654,483,1603,218,76,33,22,4,3262
4RSAU,0,3,7,24,35,112,200,214,67,653,0,8,26,64,5,9,0,8,0,123,39,102,61,712,126,107,88,38,21,1294,0,6,8,72,16,17,14,9,0,152,0,7,4,36,12,0,4,0,0,63,0,0,0,11,3,4,0,0,0,20,0,18,11,98,55,61,80,63,12,387,0,4,26,44,62,163,308,382,142,1127,3,13,5,46,18,7,7,0,0,100,0,14,35,90,5,4,4,0,0,150,0,3,0,15,11,4,4,3,0,45,0,13,20,116,52,45,13,10,0,274,0,0,0,0,4,49,53,15,7,129,0,5,0,4,4,3,3,0,0,20,0,14,33,117,29,17,16,8,0,232,0,4,0,24,0,0,0,0,0,29,0,10,10,69,95,398,753,277,100,1718,22,164,224,842,633,582,389,117,24,2991,0,3,9,18,40,72,86,53,19,292,4,35,15,96,11,7,0,0,0,177
59499,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,14,0,0,0,23,3,0,3,0,0,31,3,0,0,5,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,30,7,4,0,0,4,49,0,0,6,23,0,0,7,0,0,33,0,0,5,10,0,0,0,0,0,18,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,19,9,0,0,0,0,33,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,13,0,0,34,0,3,23,90,50,72,31,6,0,267,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,7,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
