GCCSA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
19499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,222,417,504,270,247,302,191,43,15,2212,222,417,504,270,247,302,191,43,15,2212,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,474,901,1278,812,691,673,420,92,19,5356,474,901,1278,812,691,673,420,92,19,5356
19799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1GSYD,..,24389,32715,8184,5912,5990,3720,1474,507,82889,..,6292,18875,19533,21860,34130,40987,34585,20634,196891,5028,7128,8549,4094,3556,4202,3815,2451,1288,40111,418307,286539,363994,330552,301973,253102,177818,98534,41218,2272034,..,15853,281560,416417,375978,311640,216912,98534,22039,1738939,..,25102,106149,64103,46549,26507,10547,2421,434,281799,..,4444,20029,41598,54752,34756,15764,11297,7406,190043,849776,..,..,..,..,..,..,..,..,849776,..,258153,..,..,..,..,..,..,..,258153,..,147674,113868,33051,19881,9039,1627,66,3,325210,..,30699,25822,9292,10601,17770,15986,12300,7426,129885,..,23110,29621,8827,6373,4457,1824,647,243,75102,..,50515,76450,21260,14800,13326,8174,3022,938,188493,..,12845,41897,44715,49725,62127,64114,48183,27812,351424,10260,13793,17884,10002,8247,7668,6304,3792,1801,79762,860038,582179,713288,649268,586917,487291,341264,180250,68098,4468592
1RNSW,..,9302,6560,2327,3890,4810,2947,1260,345,31443,..,3640,8060,7486,15099,28970,33770,30792,17215,145043,4330,6539,4485,2355,3228,4824,4009,2350,1012,33135,222495,134838,135660,145448,164976,168340,136450,78465,29973,1216648,..,5949,98086,158997,180809,196282,168943,80184,16278,905526,..,24758,55401,37960,34904,24657,11479,2902,435,192490,..,5688,18512,29508,31840,16061,7839,6828,4581,120859,448435,..,..,..,..,..,..,..,..,448435,..,100900,..,..,..,..,..,..,..,100900,..,78267,32835,13581,11074,6082,1060,37,0,142940,..,11563,5238,2460,4426,7154,6765,4863,3111,45572,..,8307,5948,2718,2741,1981,932,333,120,23093,..,19174,16512,6045,8476,9967,6414,2618,656,69861,..,7800,20101,21339,36513,57026,58004,45137,23438,269358,8943,12830,10517,6478,7182,8722,7324,3827,1463,67284,457374,275241,263142,279078,317961,327926,268762,146745,50088,2386319
29499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,279,344,173,120,132,83,17,3,1302,154,279,344,173,120,132,83,17,3,1302,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,314,539,839,476,367,299,190,47,14,3080,314,539,839,476,367,299,190,47,14,3080
29799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
2GMEL,..,31216,32707,7070,4939,4959,2983,1179,391,85435,..,9181,24248,22044,22986,33983,39632,34691,19914,206676,4597,7550,7928,3894,3231,3869,3618,2726,1267,38680,380746,276176,345289,304996,284287,229793,164252,93940,37225,2116715,..,12262,257691,374874,346363,281712,201123,94904,20861,1589803,..,26349,116737,67330,47716,25648,9368,2046,404,295598,..,3519,17226,38584,54024,31570,13481,10188,6178,174764,772308,..,..,..,..,..,..,..,..,772308,..,246393,..,..,..,..,..,..,..,246393,..,125604,95996,27705,17827,7776,1242,45,4,276202,..,30762,24771,7513,8536,13414,11461,8937,5199,110590,..,19510,21164,5756,4157,2706,1050,348,140,54832,..,63396,76039,18323,12156,10594,6331,2385,726,189959,..,18236,50848,48467,51978,61076,60746,47622,27030,366008,9393,14249,16869,9195,7441,6851,6090,4191,1851,76125,781702,560282,677342,597741,550203,441351,310897,170670,62393,4152582
2RVIC,..,5475,3870,1130,1938,2227,1392,499,131,16668,..,2291,5587,4983,9195,17192,18902,16989,9637,84784,2124,3430,2282,1214,1558,2382,2260,1201,531,16988,118976,72707,73848,79202,91270,91345,72007,40195,15651,655197,..,2785,52933,87162,101831,108906,89412,41103,8714,492844,..,13407,31781,21249,18845,12631,5390,1263,211,104781,..,2517,8750,14930,16989,8128,3570,2941,2011,59833,240206,..,..,..,..,..,..,..,..,240206,..,59167,..,..,..,..,..,..,..,59167,..,39912,16233,6602,4769,2486,409,15,0,70437,..,5223,2663,1154,1960,3014,2691,1921,1114,19726,..,3828,2601,1082,1024,676,311,110,53,9690,..,11391,9396,3068,4145,4505,2983,1071,259,36808,..,5022,12844,13084,21846,33089,32366,24486,13085,155821,4354,6718,5277,3192,3445,4389,4041,2040,776,34231,244560,149975,142479,151514,174852,177817,141186,74947,26218,1283542
39499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,197,296,383,206,262,480,297,51,0,2180,197,296,383,206,262,480,297,51,0,2180,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,402,654,939,620,610,860,634,126,5,4858,402,654,939,620,610,860,634,126,5,4858
39799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,9,0,0,3,0,0,0,4,0,0,9
