GCCSA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
19499,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
19799,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
1GSYD,847,1944,6382,9093,15794,28728,37253,32803,18468,151314,261,1309,4837,5107,7876,10197,9256,9497,4555,52886,13800,23342,57874,44709,39743,36114,33615,27097,20445,296744,129486,339365,773145,694988,626622,523093,371872,203728,95909,3758218
1RNSW,937,1279,3447,4545,8996,21050,29800,26537,16094,112675,130,220,643,761,1062,1384,1685,1720,843,8455,9983,11743,23821,23888,29036,32334,34270,28764,17832,211681,72305,147248,290185,304735,348356,363796,303065,168595,71332,2069613
29499,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
2GMEL,1576,2483,7982,9934,14501,24942,47102,46429,24614,179553,360,1520,4903,5452,7036,8037,8011,9206,3906,48435,13097,21246,51178,39437,36432,33228,31674,26872,17764,270941,115774,332108,729447,638291,586566,476318,343843,195819,89036,3507205
2RVIC,798,1089,2579,2929,4647,9356,20315,19781,12200,73704,100,247,749,862,1031,876,901,855,372,5991,5517,6329,13268,13532,16867,18759,19672,15628,9021,118593,35885,79263,156849,165440,192023,199658,164755,88775,38775,1121426
39499,5,13,31,28,49,88,229,59,8,512,4,5,10,14,19,11,13,0,4,70,71,242,556,449,431,467,311,92,15,2629,348,1131,2286,1485,1663,2373,1916,381,44,11623
39799,0,0,0,0,0,0,11,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,22,3,11,11,14,24,30,33,16,4,143
3GBRI,489,949,2771,3692,5647,9050,23292,18991,10250,75128,115,476,1506,1561,2023,1979,1416,1164,571,10814,7198,11637,24825,20322,19796,17248,15555,12141,9014,137746,76422,170330,342907,317736,298868,244619,178068,87405,38313,1754671
3RQLD,645,889,2791,3819,6895,12978,33797,27642,13013,102465,126,294,894,949,1203,1190,1247,1046,529,7481,10380,13602,28444,26963,29890,28609,26476,19427,11457,195243,75617,144732,300945,308506,330758,305564,242332,121837,47100,1877391
49499,3,12,15,19,20,22,38,12,7,139,3,0,6,7,0,9,3,0,0,30,32,55,106,127,144,88,48,13,10,612,111,262,554,417,475,403,271,59,22,2575
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
4GADE,350,534,1857,2154,3046,5764,13047,14007,9207,49964,84,310,1040,1444,1761,1712,1507,1881,942,10680,3243,4668,10179,9149,9934,9879,9835,8630,6052,71571,34143,88865,177993,167095,173879,157556,120686,68443,34148,1022803
4RSAU,134,177,568,661,1060,2569,6794,5991,3506,21464,17,56,149,200,218,187,222,210,84,1337,1314,1586,3501,3682,4729,4962,5082,3706,2383,30947,8539,18073,39212,41763,52316,55765,47745,24684,10286,298385
59499,3,6,4,11,20,34,52,14,3,142,0,4,5,4,4,6,0,3,0,30,43,131,374,308,348,209,125,26,5,1570,132,503,1306,910,957,973,633,98,23,5534
59799,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,24,16,15,8,0,0,0,72,0,20,126,126,105,43,8,3,3,429
5GPER,375,576,2054,2844,3690,6180,10823,12692,6614,45845,91,389,1470,1514,1628,1617,1290,1540,775,10313,5834,9726,24944,19427,17972,15790,14432,12753,8755,129637,57264,133033,306314,272319,258456,212740,152239,81919,34619,1508901
5RWAU,248,239,610,830,1186,2336,4119,4164,1831,15560,37,81,229,208,279,315,336,284,152,1908,2597,3172,9539,8687,8986,7933,6022,4007,2038,52985,14658,26351,71023,71357,75163,68011,46634,21975,7747,402921
69499,3,3,0,4,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,10,22,44,33,37,15,18,3,0,187,48,90,183,147,135,113,84,12,3,825
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,23,5,15,12,7,0,0,73
6GHOB,87,111,266,264,395,926,1395,1725,1364,6533,23,34,90,132,177,144,99,88,46,836,688,909,1943,1735,1979,2248,2203,1805,893,14411,6106,14007,28471,27569,29582,29426,22167,12079,5267,174672
6RTAS,110,133,328,393,705,1750,2916,3202,2301,11830,18,62,109,158,206,143,133,108,60,1005,1085,1093,2101,2283,3204,3783,4186,2992,1386,22115,8649,15691,29323,32076,40284,42576,35082,17489,6481,227660
79499,0,0,8,25,39,25,26,3,0,124,0,0,7,0,11,3,3,0,0,18,3,66,182,140,157,110,58,15,0,737,24,183,457,396,461,440,278,38,0,2275
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,3,30,19,9,3,0,3,0,71
7GDAR,39,52,218,315,443,686,817,471,139,3182,4,33,81,87,96,153,108,83,31,673,747,1334,3918,2900,2528,1990,1140,417,156,15129,3594,9529,26827,21764,18935,14039,7410,2470,626,105186
7RNTE,496,589,1219,1137,1172,1055,740,248,69,6727,56,79,184,161,269,265,268,182,56,1521,1038,1355,2740,2073,2038,1517,747,254,76,11848,3971,6847,15653,12400,11857,8796,3969,1266,310,65071
89499,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,9,7,16,27,19,17,6,3,0,102,30,79,108,107,68,78,24,8,3,502
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,67,120,261,364,537,1097,1709,1613,895,6659,10,60,178,174,219,217,198,234,103,1391,1026,1931,4310,3278,2871,2551,2256,1840,1396,21463,11241,31286,65963,58255,50888,41391,29398,14343,6150,308907
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,10,0,5,9,11,13,0,0,46
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
9OTER,0,0,4,6,23,65,58,21,3,186,0,0,0,3,12,46,51,24,0,144,28,65,172,122,133,116,72,39,12,751,88,195,566,627,699,697,458,182,51,3579
