GCCSA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
19499,7351,4939,12288,188,149,338,202,200,402,285,232,517,746,615,1358,1615,1091,2703,1269,629,1900,1148,646,1798,986,732,1722,719,477,1196,162,120,282,32,48,78,0,0,0,7351,4939,12288,503,289,789,17,8,26,20,3,25,538,301,839,4304,2726,7028,1663,1346,3012,4175,3038,7212,997,821,1822,4199,3009,7203,24,19,43,148,158,304,90,82,172,137,141,283,179,254,430,2208,1965,4169,385,247,633,1339,826,2159,454,274,731,286,135,420,41,24,65,0,0,0,0,0,0
19799,171,239,412,10,4,14,7,14,22,3,7,12,9,4,9,11,24,32,18,14,34,25,31,50,22,53,74,48,60,108,16,24,42,3,7,10,173,234,409,3,3,6,4,10,10,0,0,0,0,0,0,5,10,13,102,135,232,60,86,142,119,154,279,36,55,92,137,184,325,0,0,0,10,10,22,0,5,5,0,3,3,0,6,8,52,76,125,12,15,22,38,57,93,9,22,35,13,12,27,0,0,4,0,0,0,1415,1860,3279
1GSYD,2376766,2447221,4823991,159029,151145,310173,303428,286700,590126,147983,140387,288362,172289,168451,340737,381705,392700,774405,344463,351579,696037,307388,320191,627580,253616,270395,524011,179414,193069,372488,92308,111741,204051,35147,60875,96022,2291071,2368376,4659438,85698,78852,164554,33165,33816,66978,962,968,1928,591,634,1221,34716,35419,70135,1365474,1386695,2752169,862759,910741,1773496,1400433,1416378,2816815,834127,893448,1727574,1886229,1948797,3835026,36604,34856,71462,279852,265015,544870,117392,115357,232749,78054,80466,158523,86190,122402,208586,1145472,1207689,2353159,102770,95066,197831,330098,340005,670104,90492,97117,187605,74073,87139,161215,22361,30656,53014,2199263,2273882,4473142,173909,168367,342270
1RNSW,1301717,1341813,2643536,79636,74976,154615,169451,161194,330645,81832,77694,159525,75449,72109,147560,143234,147152,290388,148516,156403,304924,169896,178659,348557,178427,185530,363959,150284,152945,303231,78420,90318,168736,26562,44829,71398,1221476,1270586,2492061,80240,71229,151472,69159,70314,139473,1508,1376,2880,1437,1390,2830,72102,73085,145189,1055655,1084118,2139772,143260,152549,295805,1131372,1170957,2302328,73164,79365,152530,1150097,1193469,2343561,19828,18844,38673,153858,146551,300415,55510,55817,111326,19834,23869,43702,27442,50947,78387,379375,439856,819232,78720,77093,155811,322203,321588,643786,96736,97820,194555,62777,57173,119954,4324,4150,8476,1170058,1216697,2386753,136876,126708,263583
29499,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
29799,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
2GMEL,2199597,2285616,4485211,147382,139793,287178,273047,259469,532524,136742,132275,269015,168363,165007,333367,359284,371061,730345,314991,324092,639084,285775,301538,587317,229601,247299,476902,163110,181172,344283,88091,107963,196050,33202,55950,89151,2112673,2201897,4314571,86923,83718,170637,11065,11247,22309,589,562,1154,282,327,604,11933,12136,24062,1322366,1361718,2684080,738906,781344,1520253,1371118,1410070,2781188,702072,748867,1450937,1749174,1819643,3568816,28991,27795,56781,250231,238508,488738,110557,111346,221900,80102,82955,163056,77770,110498,188270,1039767,1137055,2176823,191573,183167,374747,217407,200534,417944,91160,87719,178881,85075,108341,193420,20529,28042,48574,2037435,2117382,4154810,147305,156559,303865
2RVIC,704128,729694,1433818,43001,40662,83665,90754,86052,176804,44925,42043,86967,40923,38606,79529,76820,80178,157001,80170,85363,165539,92963,99158,192122,97495,102238,199728,81432,83397,164829,41289,47547,88833,14351,24446,38801,657588,686387,1343977,46535,43308,89842,10799,11240,22032,436,422,861,297,259,551,11531,11912,23444,568777,588241,1157016,77153,80839,157988,607852,633556,1241408,41964,44525,86498,618924,646010,1264937,7981,7709,15691,81875,77935,159803,31805,31329,63135,9780,12294,22075,11931,23672,35600,201962,254581,456541,94147,93691,187838,117835,105109,222948,52896,46773,99672,39718,39141,78858,3104,2913,6019,626728,653462,1280191,67602,66111,133714
39499,6937,5572,12510,182,160,339,249,233,489,212,203,408,559,576,1133,1288,1005,2293,964,514,1485,975,688,1663,1147,1224,2373,1120,798,1916,225,153,381,19,18,44,0,0,0,6937,5572,12510,423,255,678,42,24,67,21,29,51,488,310,799,4186,3164,7348,1580,1575,3157,4759,3934,8697,636,657,1293,4444,3602,8050,15,12,25,179,179,353,58,76,131,73,96,169,124,177,295,2120,2089,4206,492,379,867,1468,1198,2664,448,281,729,325,186,510,50,24,70,0,0,0,0,0,0
39799,66,87,150,0,3,3,0,0,4,3,5,11,3,4,11,4,6,11,7,3,14,10,7,24,7,19,30,13,16,33,7,7,16,0,0,4,56,81,135,10,3,21,0,3,6,0,0,0,0,0,0,0,5,3,43,50,89,18,20,40,56,56,110,7,10,21,51,65,116,0,0,0,0,0,4,3,5,7,0,0,0,0,3,3,24,23,50,7,9,15,13,26,39,3,7,11,5,6,17,0,0,0,0,0,0,940,1037,1974
3GBRI,1117452,1153351,2270800,75846,72050,147903,152224,144286,296503,74523,72056,146581,85533,85209,170741,169060,174171,343233,155864,162065,317932,145989,153071,299059,118736,126053,244790,86138,92065,178208,39855,47651,87505,13676,24673,38357,1063673,1107261,2170935,53778,46092,99868,23729,24307,48040,1661,1559,3226,1418,1477,2894,26813,27347,54158,760476,778334,1538813,287771,304822,592593,874756,896353,1771105,173738,191620,365356,908184,940827,1849010,12996,12224,25219,140288,133370,273659,52797,54436,107236,29226,34473,63699,36186,56410,92593,501048,538805,1039856,65514,61750,127264,173192,184054,357243,38645,36274,74919,35613,40918,76532,4965,5887,10856,1028196,1070466,2098662,76529,76676,153197
3RQLD,1197426,1222294,2419724,76005,72221,148226,164017,155225,319243,76455,72830,149284,73189,71787,144979,147501,153661,301158,150306,158382,308690,161566,169397,330959,150381,155306,305688,121315,121125,242444,58621,63300,121922,18069,29061,47131,1117961,1162779,2280744,79469,59515,138984,49349,50872,100222,8810,8948,17756,6712,6825,13543,64873,66649,131520,893422,904142,1797567,199955,220134,420086,1009655,1031069,2040720,88915,102104,191020,1004462,1029693,2034156,12826,12208,25033,147934,140409,288348,47599,49253,96849,14754,20276,35024,24670,49711,74387,406768,463029,869803,84276,82049,166323,249727,249702,499426,56640,49891,106526,53875,50121,103991,3915,3593,7507,1062201,1109224,2171426,178571,156766,335330
