GCCSA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
6RTAS,11,130,7880,8016,258,1180,5446,6891,4015,3300,4995,12311,7196,2499,3832,13531,9685,2413,5133,17226,11342,1728,5034,18107,10013,848,3697,14563,4766,202,2021,6991,1001,43,800,1851,48287,12346,38852,99488,15,251,7135,7397,472,1719,4267,6458,5371,3431,4724,13525,8347,2580,4431,15349,10675,2402,5689,18762,11469,1456,5847,18774,8837,623,5399,14850,3241,135,4360,7738,462,25,2138,2625,48879,12613,43988,105483,25,378,15011,15413,733,2903,9714,13349,9388,6730,9719,25838,15540,5079,8269,28886,20359,4816,10816,35986,22812,3185,10882,36885,18846,1473,9093,29412,8006,337,6388,14727,1466,64,2942,4474,97167,24960,82841,204967
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3,53,3331,3377,141,680,2831,3644,3318,2785,4328,10427,5031,1546,2340,8912,4316,1303,2308,7929,3314,755,1838,5911,1938,252,1101,3292,610,57,369,1031,84,3,113,196,18754,7429,18549,44735,10,133,2890,3033,377,1043,2068,3480,4518,2891,3354,10763,5296,1523,2181,9001,4198,1258,2162,7620,2922,605,1972,5503,1406,189,1264,2856,333,15,687,1038,33,0,204,243,19093,7664,16788,43539,10,181,6216,6409,519,1720,4896,7132,7827,5678,7683,21190,10325,3072,4516,17920,8520,2556,4477,15554,6238,1366,3810,11416,3348,438,2363,6148,940,75,1055,2072,115,4,317,438,37843,15087,35340,88273
7RNTE,76,36,2623,2738,462,342,1816,2614,2190,1126,2513,5828,2444,878,1505,4827,2299,676,1542,4518,1787,418,1181,3388,814,151,679,1644,204,20,247,471,33,3,42,81,10318,3649,12141,26110,149,83,2212,2445,644,430,1584,2656,2605,1289,2545,6439,2553,872,1782,5212,2281,671,1867,4822,1565,330,1582,3478,500,101,837,1432,123,23,356,494,12,4,104,118,10426,3802,12863,27094,228,119,4835,5181,1102,773,3397,5269,4795,2413,5055,12266,4996,1747,3292,10040,4581,1350,3406,9335,3349,748,2760,6859,1320,245,1507,3077,324,44,599,967,46,8,149,200,20742,7454,25002,53202
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,71,10492,10564,264,1512,10428,12200,9995,6085,12132,28211,16763,3447,5858,26069,14571,2595,5453,22612,11984,1517,4236,17732,8896,654,2460,12009,4004,151,1238,5397,1020,29,671,1717,67493,16057,52959,136508,14,155,9935,10100,683,2219,9377,12280,13390,6285,10423,30101,17262,3393,6600,27254,14421,2517,6997,23939,11402,1285,6555,19236,7691,467,5333,13492,2879,94,3610,6579,484,10,1957,2450,68210,16444,60773,145427,13,231,20419,20664,939,3727,19811,24481,23384,12367,22550,58304,34025,6846,12455,53320,28995,5114,12443,46553,23381,2804,10790,36970,16588,1126,7790,25502,6885,246,4847,11975,1497,42,2624,4167,135700,32493,113735,281932
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,80,85,3,6,56,60,65,22,50,137,143,43,50,236,141,38,73,257,155,21,76,258,135,10,40,183,41,3,28,71,14,0,6,24,693,150,460,1300,0,5,84,87,5,9,30,42,98,31,50,179,153,42,58,250,147,42,69,260,150,21,74,251,99,5,65,174,30,0,43,71,4,0,18,23,689,163,493,1340,0,5,169,170,12,15,78,103,158,51,103,318,293,82,107,483,283,83,145,513,307,50,154,507,241,15,105,358,74,3,71,147,14,0,28,46,1384,305,954,2639
