GCCSA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,10992,3479,4903,864,20240,3819,1144,1779,316,7057,3087,2193,5201,447,10934,1997,1628,5666,256,9553,15926,5310,9418,811,31466,8787,8047,14409,849,32095,40965,13186,16121,1555,71833,24460,20158,17620,2057,64297,32323,31470,19753,2429,85975,30458,35980,15864,2278,84583,21123,36177,12738,1593,71628,23052,37973,10428,1500,72953,49307,82438,15985,2805,150534,34504,64569,7470,1617,108156,23231,48625,3389,830,76080,17217,40973,4359,464,63013,41712,111231,4310,872,158129,27013,67202,16939,1017,112177,6617,5625,3677,429,16346,416588,617424,190048,22992,1247047
1RNSW,3438,863,1488,128,5923,2334,443,951,128,3849,1947,754,3469,207,6380,1250,415,5025,110,6804,14357,2149,8352,496,25352,8018,2916,14015,487,25440,47708,6157,14631,1059,69554,25188,10461,14348,1354,51354,31126,18520,13427,1307,64378,27883,22062,9230,997,60174,15522,21111,6259,538,43428,16930,21270,4873,507,43579,29228,41044,5833,658,76766,16773,30167,2103,335,49382,9407,19266,749,133,29555,5206,11828,894,51,17978,10498,22762,860,102,34227,19280,35048,11107,542,65973,6840,2704,3244,309,13094,292934,269939,120862,9450,693180
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,9566,3565,4975,1149,19250,3761,1299,1915,460,7434,3051,2315,5254,598,11218,1814,1574,5733,264,9373,16172,5218,8952,917,31255,8796,7525,14475,910,31712,42388,12845,15717,1685,72631,25872,20812,17691,2192,66569,33019,33567,18983,2658,88225,31371,38310,14649,2360,86679,21237,38377,11482,1564,72659,23697,39361,8868,1509,73428,49920,81072,12636,2475,146105,33763,60422,5311,1340,100837,20426,40764,2319,697,64203,13796,31146,2699,332,47974,28748,77384,2650,545,109324,25355,61621,16698,949,104618,7962,5990,3760,434,18151,400693,563155,174769,23028,1161643
2RVIC,2033,575,725,75,3414,1467,302,504,69,2346,1126,499,1757,87,3475,667,266,2638,47,3617,7953,1323,4492,257,14021,4409,1814,7357,228,13804,24596,3703,7419,527,36247,14234,6543,7155,663,28595,17140,11265,6548,635,35590,15303,13368,4504,546,33721,8662,12785,2980,286,24711,9609,12654,2085,274,24617,16539,22635,2452,370,41997,8992,15259,865,161,25275,4603,8697,277,54,13630,2332,5070,419,17,7836,4893,9417,390,56,14756,10240,18924,5675,263,35099,4229,1709,1594,142,7676,159025,146809,59832,4770,370436
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,3130,1061,1815,283,6286,1460,440,753,171,2819,1366,666,2285,234,4552,875,463,3127,86,4553,7185,1830,5240,462,14718,4934,2573,9154,416,17077,24065,4730,9710,894,39398,15302,8365,10436,1157,35257,19365,14363,11380,1354,46460,18272,18099,8561,1184,46113,12481,18111,6573,826,37985,13800,19125,4909,771,38603,28174,40042,6842,1250,76307,18133,31075,2767,690,52673,11131,21862,1005,336,34338,7063,16087,1283,148,24580,13243,36159,1166,247,50818,14297,29346,7627,430,51695,3087,2308,1686,190,7262,217362,266696,96326,11119,591505
3RQLD,3561,1054,1704,179,6494,2119,516,899,121,3654,1825,748,2903,174,5644,1183,476,4066,81,5808,11615,2064,6958,434,21069,7024,2966,12190,380,22563,37039,5823,12695,837,56399,20905,9764,12528,1105,44303,25845,16791,12148,1137,55915,24164,20287,8556,1016,54034,14655,19444,5939,619,40651,16309,19937,4127,509,40881,29392,38584,5244,780,73996,17124,27657,1836,372,46983,9694,17089,708,164,27644,5491,11043,865,75,17474,10718,20368,737,123,31951,19922,34515,8555,422,63415,5520,2676,2317,251,10767,264087,251804,104978,8773,629644
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,1724,725,911,155,3519,959,289,512,123,1882,831,513,1570,184,3101,485,343,2079,56,2957,5204,1474,3495,316,10491,3212,2012,6166,360,11749,17873,3605,6456,570,28501,11012,5905,6594,743,24248,13440,9791,6692,816,30741,11913,11486,4922,678,29010,7559,11268,3591,421,22837,7922,11327,2798,367,22413,15554,22361,3427,585,41930,9349,16804,1307,248,27712,5185,11038,513,121,16852,2922,6909,477,65,10373,5514,14578,509,68,20675,8297,16936,5329,204,30762,1886,1073,1085,94,4134,130851,148447,58427,6168,343888
4RSAU,480,130,159,15,779,417,94,131,14,653,320,139,548,21,1035,202,59,802,14,1075,2666,427,1222,83,4394,1449,560,1931,69,4009,8461,1114,1902,123,11603,4491,1909,1747,178,8320,5260,3196,1486,137,10077,4693,3536,983,129,9338,2405,3174,644,54,6275,2877,3014,492,54,6437,4381,5367,484,79,10310,2352,3430,156,31,5968,1183,1910,65,14,3165,589,1018,64,7,1679,1190,1803,71,8,3071,3266,5019,1348,59,9689,1060,404,464,33,1963,47730,36293,14707,1109,99845
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3031,1258,1903,317,6505,1372,426,770,155,2725,1355,742,2205,258,4556,816,491,2633,94,4042,6293,1597,4133,385,12412,3888,2321,6666,406,13272,19480,3774,6668,615,30543,12172,6254,7053,773,26258,15828,10930,8009,915,35693,14183,13393,6017,925,34518,10085,14413,4643,683,29819,10865,15273,3876,584,30594,23698,34280,5798,1113,64884,16499,25989,2462,600,45551,10825,18189,1026,346,30391,7686,16027,1277,167,25154,15278,37359,1230,316,54180,16802,33890,6914,444,58053,2876,1904,1264,123,6170,193034,238521,74556,9214,515328
5RWAU,710,166,336,37,1245,453,117,202,23,792,354,172,775,40,1341,245,95,973,22,1336,2269,548,1379,102,4293,1247,621,2113,76,4056,6474,1122,2136,143,9880,3687,1689,1818,187,7379,4401,2835,1810,177,9225,4283,3301,1236,154,8972,2683,3510,902,72,7165,3303,3759,719,86,7869,6182,7937,1049,156,15318,4149,5736,339,83,10309,2817,3741,167,46,6775,1803,2910,218,34,4967,3485,5599,212,47,9342,5050,9049,1811,115,16032,1211,695,596,62,2573,54809,53618,18789,1653,128867
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,229,64,105,15,403,122,23,53,12,214,156,55,279,15,502,68,28,449,6,556,785,161,707,55,1708,566,289,1291,44,2188,2904,489,1235,95,4737,1951,879,1289,112,4224,2410,1531,1281,114,5340,2297,1896,896,98,5183,1524,1757,678,53,4012,1577,1822,432,60,3883,2868,3700,598,82,7250,1629,2701,185,30,4542,938,1755,69,14,2777,546,1114,85,3,1752,922,2063,63,6,3055,1513,2685,987,45,5225,356,154,200,25,733,23355,23160,10877,883,58276
6RTAS,319,82,118,13,535,266,56,87,17,424,247,73,405,32,758,148,45,672,7,877,1974,343,1010,71,3397,1192,451,1702,50,3390,6437,950,1666,115,9166,3244,1604,1468,122,6435,3669,2561,1363,140,7730,3313,2831,837,80,7062,1903,2554,568,39,5061,1921,2386,401,46,4755,3135,4113,453,54,7749,1667,2653,145,21,4484,769,1439,39,8,2251,403,774,63,3,1238,821,1270,57,9,2164,2294,3667,1182,53,7199,755,273,312,30,1371,34494,28122,12544,903,76066
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
