GCCSA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
3GBRI,13,34,135,530,533,668,951,849,238,210,209,258,252,149,137,5164,44,174,434,203,562,2564,6105,8726,1768,2070,2577,3139,3639,2511,1664,36175,0,37,316,722,80,233,389,42,9,13,12,6,10,0,69,1939,0,97,147,116,37,128,245,194,32,59,57,40,36,48,58,1293,13,30,98,364,872,2803,2427,1444,273,224,231,195,172,102,221,9470,11,2099,1115,985,1137,694,1075,934,136,148,128,128,163,114,266,9149,33,416,771,430,114,85,87,41,14,52,25,15,15,3,119,2234,16,47,86,298,739,2204,1614,929,206,309,341,372,439,271,268,8131,15,171,183,863,590,1434,4215,13357,1504,1675,2419,3230,2801,1817,1063,35335,14,150,232,215,318,508,1163,712,163,139,187,160,350,238,113,4648,0,15,10,38,177,342,569,1121,548,663,821,281,231,118,121,5065,0,0,8,15,29,97,436,475,118,85,188,128,41,310,79,2015,20,171,290,795,604,883,908,1481
3RQLD,14,36,201,682,517,653,927,905,236,283,257,253,275,193,152,5582,34,89,156,83,209,763,1783,2657,472,591,807,981,1065,543,594,10831,3,61,474,555,87,148,157,33,9,8,6,0,4,10,54,1613,0,135,224,167,48,121,96,131,24,25,54,37,32,14,38,1148,13,36,99,231,325,561,645,582,81,125,102,85,101,36,90,3126,17,2251,1959,1426,1380,888,1167,894,115,141,129,144,136,124,371,11148,12,186,331,252,52,45,45,26,8,30,8,9,7,3,39,1064,15,20,58,145,278,474,424,263,83,96,124,185,172,106,170,2606,16,161,165,425,195,441,1268,5494,565,721,921,1241,987,675,465,13748,11,154,194,174,206,245,570,406,90,98,99,90,139,79,97,2653,0,3,3,46,129,176,171,280,99,153,129,112,85,27,24,1440,0,5,8,32,12,33,99,129,34,44,141,154,96,13,17,824,18,150,294,698,378,499,559,712
49499,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,11,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,4,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,12,0,0,0,0,0,0,0,8,0,0,0,0,3,16,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,3,18,89,241,256,237,398,291,55,73,74,67,71,46,36,1948,9,32,248,107,462,1029,2970,6260,1236,1453,1714,2833,3000,1524,1050,23919,6,128,543,790,92,257,584,32,8,9,7,9,4,3,69,2533,3,159,204,82,63,126,128,246,51,69,86,59,63,41,30,1410,3,14,48,50,116,278,236,166,22,21,25,25,17,14,19,1051,21,3141,1731,944,568,396,502,366,86,63,56,41,51,44,237,8242,27,1361,4014,1525,258,154,100,38,32,83,52,27,23,14,308,8022,7,6,50,114,243,607,521,472,124,181,233,266,310,163,139,3445,15,163,172,658,264,589,2250,11641,1107,1333,1606,1794,2356,1638,689,26270,3,45,85,79,125,177,356,294,77,81,94,132,252,148,48,1986,0,5,8,20,171,408,727,810,292,480,708,287,306,126,112,4456,0,0,4,7,3,67,562,351,120,60,93,85,51,20,27,1459,8,111,342,693,257,355,246,338
4RSAU,0,4,20,51,33,23,54,41,4,0,3,10,8,3,8,266,0,3,9,7,6,15,92,183,14,32,25,81,114,22,56,666,7,21,142,126,13,3,0,0,0,0,0,0,0,0,17,328,0,6,9,5,0,4,3,12,0,0,0,3,0,0,0,47,3,0,6,3,10,22,15,38,12,4,7,7,4,14,3,143,3,699,481,264,116,65,64,51,19,5,3,9,14,5,58,1853,11,88,312,138,35,21,4,0,0,0,3,4,0,0,36,653,0,0,0,7,6,10,7,10,3,3,5,11,27,8,14,123,0,23,20,66,53,90,167,493,36,60,76,65,75,23,48,1294,0,13,8,5,7,12,29,23,0,5,7,4,16,9,9,152,0,0,0,0,0,8,4,13,6,6,3,0,0,4,4,63,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,20,3,16,60,121,20,27,27,33
59499,0,0,0,0,3,4,0,0,0,0,0,0,8,3,4,26,0,0,0,0,0,3,4,3,0,0,3,4,5,10,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,5,3,0,0,3,4,11,3,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,14,0,0,0,3,0,0,0,5,0,0,4,3,3,12,6,31,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,8
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
5GPER,4,14,115,547,466,607,957,793,193,242,156,166,163,86,105,4621,19,38,55,121,409,2132,4168,7773,1324,1692,1769,1963,2115,1169,1152,25911,60,210,1014,1083,178,441,959,101,17,35,21,26,15,12,123,4300,3,175,199,224,89,249,295,250,82,113,156,89,69,36,46,2071,8,8,41,69,117,192,122,192,46,61,37,33,24,12,35,995,17,1698,710,976,1202,774,1033,1097,203,213,144,169,145,75,227,8675,40,470,708,468,119,70,46,38,25,42,28,36,16,8,68,2177,6,21,66,303,640,1100,1120,773,158,253,313,306,363,171,247,5839,39,601,460,3773,1119,2512,4616,15645,2156,2903,2926,3219,3206,2221,1283,46667,14,151,89,176,493,1487,3347,2117,393,452,396,448,457,288,255,10569,0,11,13,34,320,653,955,960,482,652,518,361,369,164,99,5593,0,0,14,24,24,257,1220,653,144,182,227,237,179,51,110,3328,14,227,388,1521,1098,2345,1327,2997
5RWAU,3,3,24,109,100,79,147,127,38,42,12,21,27,17,34,790,4,9,5,9,9,40,115,320,67,83,107,67,131,75,95,1122,5,9,75,75,15,25,21,3,0,4,0,0,3,0,8,247,0,13,14,8,6,10,6,27,5,11,14,6,3,4,6,138,0,3,7,17,27,42,46,82,22,31,16,18,12,0,16,333,4,553,229,218,289,155,210,251,53,39,24,57,40,27,78,2224,0,31,34,23,8,6,7,5,5,0,3,0,0,0,9,133,4,0,7,31,30,24,26,37,4,12,13,20,16,13,42,273,7,70,53,211,49,77,207,919,173,201,197,172,134,100,116,2679,3,26,18,13,25,71,146,176,64,34,39,55,61,34,40,803,0,3,0,0,16,7,8,20,26,25,27,9,13,3,57,219,0,0,0,0,3,12,18,15,0,5,14,0,0,6,15,102,4,36,73,232,115,207,136,350
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
