GCCSA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
3GBRI,168,624,5237,9228,2449,1604,780,467,169,20727,0,3,27,172,203,175,175,156,42,962,14,92,57,137,47,63,106,46,22,583,272,2489,3009,8248,9127,7200,7349,4219,1740,43652,16,132,386,2079,1030,855,398,174,35,5103,14,82,150,635,252,141,137,74,28,1523,15,87,263,1065,703,626,1248,450,258,4712,6,21,30,75,70,149,285,289,125,1051,38,153,871,1491,548,712,262,94,27,4189,335,1105,1498,10007,1309,860,547,268,113,16048,34,177,373,1196,386,251,221,126,47,2815,31,233,251,1325,228,128,72,27,14,2301,41,124,132,403,120,62,19,4,3,917,31,257,133,1321,436,347,319,220,105,3167,15,45,89,384,222,386,696,725,382,2938,46,154,455,1883,568,184,104,49,43,3481,82,396,1038,3755,747,254,97,35,3,6404,4,20,11,109,111,91,60,21,6,430,61,262,1091,2064,947,816,466,153,44,5900,0,4,10,33,40,96,179,72,21,451
3RQLD,56,267,1083,2832,1075,562,263,129,51,6314,0,8,14,91,132,171,176,147,40,780,12,47,13,99,51,85,105,64,46,512,210,1913,2531,7450,8834,7950,9210,5118,2029,45248,11,85,169,571,371,277,134,74,13,1702,6,49,143,462,201,179,176,90,26,1329,16,79,276,1089,802,888,1507,840,347,5857,0,7,13,56,49,67,141,117,30,490,13,78,282,482,234,243,70,29,5,1431,134,467,563,3687,515,335,259,145,62,6168,21,83,135,656,242,207,151,79,60,1638,3,46,49,323,80,73,51,16,12,655,40,80,38,170,32,19,5,7,0,392,21,156,122,673,334,255,293,178,72,2103,5,46,84,304,194,376,722,706,430,2862,47,257,415,2709,1032,308,178,66,28,5037,33,163,502,1813,409,132,64,21,3,3151,0,10,0,44,50,32,30,14,0,188,21,85,215,758,527,412,201,81,24,2326,0,0,3,25,44,150,326,133,56,744
49499,0,0,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,10,10,19,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,100,507,3418,6227,1287,928,418,190,70,13147,0,3,29,180,202,248,275,258,82,1280,14,76,37,165,58,81,112,66,47,669,124,1345,1859,4685,8729,8716,7812,5605,2553,41427,0,16,41,218,112,95,61,26,4,561,11,32,50,187,127,81,67,48,22,626,3,42,119,447,418,621,1445,762,574,4435,0,28,53,135,195,645,1212,1456,467,4191,21,57,502,596,141,232,100,24,9,1679,293,1217,1053,7776,828,514,373,207,89,12352,33,77,116,568,129,77,81,36,13,1133,23,203,299,1034,221,153,86,43,21,2077,11,52,115,282,108,46,25,7,3,655,9,88,57,298,196,225,211,229,86,1398,10,31,69,238,492,1368,2516,2819,1327,8870,12,51,120,521,165,49,42,15,7,984,27,190,328,1031,249,63,21,6,0,1916,6,12,50,186,144,149,105,46,26,725,54,205,848,1563,498,451,343,89,38,4093,0,0,6,27,32,150,249,135,64,653
4RSAU,0,23,35,185,64,30,13,3,0,343,0,0,0,3,12,27,45,42,7,134,0,0,0,10,0,5,4,6,0,25,10,109,128,525,1593,2152,2257,1400,449,8629,0,7,7,26,22,5,3,0,0,77,0,3,8,23,25,11,25,8,4,109,0,0,13,88,106,154,337,183,109,985,0,3,3,5,16,46,92,115,25,309,0,3,9,38,4,3,0,3,0,59,27,52,27,338,61,55,43,12,8,618,0,3,8,53,13,14,10,3,0,103,0,0,3,10,0,0,0,0,0,17,0,0,0,5,0,3,0,0,0,7,0,8,4,51,25,24,43,29,9,184,0,3,12,13,29,67,133,181,71,501,0,0,5,38,15,8,8,0,0,77,0,3,9,57,3,0,3,0,0,81,0,3,0,6,3,3,0,0,0,22,0,3,8,69,29,20,13,7,0,154,0,0,0,0,5,18,26,11,3,66
59499,3,3,13,10,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,30,39,30,10,0,167,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,13,0,0,11,7,0,3,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,4,0,0,3,19,0,0,3,7,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,3
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,149,637,2151,6892,2115,1261,469,260,127,14062,0,15,34,368,310,488,439,360,136,2159,16,150,57,251,96,125,162,84,55,992,459,4293,5554,17444,18116,14128,12598,7639,2995,83230,0,30,32,226,109,91,34,14,4,537,18,68,141,805,239,110,100,63,23,1556,18,95,281,1266,721,562,1084,387,276,4693,3,25,13,83,72,142,266,360,164,1125,36,122,477,1340,374,419,177,69,22,3037,418,1465,1925,11592,2159,1748,1503,828,359,21996,65,365,770,3106,906,599,346,130,63,6348,30,197,221,1448,307,212,125,49,23,2616,32,155,233,754,222,98,41,9,4,1546,63,542,446,3690,878,831,634,413,164,7664,26,109,171,851,573,1159,2262,2121,1110,8371,41,136,198,1565,489,166,107,43,13,2766,47,184,391,2086,345,156,48,14,4,3276,6,23,26,158,102,97,42,23,9,473,95,680,1910,5524,2378,2441,1515,597,162,15304,0,0,8,25,46,106,127,52,15,379
5RWAU,5,27,30,258,107,38,13,10,3,494,0,0,3,14,15,35,20,12,3,107,0,0,0,20,0,5,8,0,0,45,37,364,394,2266,2897,2869,2695,1453,520,13500,0,17,8,64,27,14,9,4,0,146,0,4,35,138,36,26,27,9,3,282,3,21,64,343,165,160,360,79,50,1243,0,0,0,8,4,12,8,18,0,54,0,3,12,78,17,24,4,0,0,143,30,96,64,651,101,104,76,56,19,1204,15,32,34,281,86,32,24,11,9,519,0,5,4,44,3,3,3,0,0,61,0,0,4,22,6,3,0,4,0,34,8,69,48,398,87,100,83,37,22,851,0,9,24,84,44,93,199,189,112,748,0,15,13,144,28,8,3,0,3,216,6,7,41,155,13,3,0,0,0,225,0,0,0,6,6,8,4,3,0,24,3,8,22,168,94,90,41,18,3,451,0,0,0,0,7,9,15,6,0,40
69499,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,12,36,364,699,87,58,29,24,4,1315,0,3,4,14,4,20,21,13,5,77,3,3,0,4,0,3,3,8,4,25,18,100,96,403,698,829,930,616,271,3966,0,0,3,25,15,22,7,6,3,86,0,4,9,37,17,12,11,5,7,105,0,9,22,77,70,81,146,93,57,557,0,4,7,7,19,27,55,60,11,196,0,6,32,48,19,17,9,6,0,144,10,45,89,332,46,27,35,16,6,602,0,4,12,37,19,7,15,4,4,98,9,31,38,45,13,11,0,3,0,143,0,6,3,15,0,0,0,0,0,35,0,11,6,42,27,29,25,28,10,179,0,0,3,15,17,38,49,71,37,227,3,5,21,98,28,14,6,3,5,189,4,4,30,106,31,16,0,0,0,203,0,0,0,9,3,7,5,0,0,24,3,8,145,153,55,56,31,11,3,473,0,0,0,0,0,7,6,0,0,20
