GCCSA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
19499,0,0,0,5,6,4,0,0,0,16,3,6,8,46,11,15,3,3,0,89,0,0,3,6,0,4,4,0,0,18,0,0,3,17,3,14,11,7,0,50,0,0,3,7,3,0,0,0,0,13,3,7,4,34,6,15,14,0,0,77,0,0,0,3,3,3,3,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,12,55,3,0,0,0,0,74,0,0,8,27,4,0,0,0,0,39,0,0,0,3,3,3,0,0,0,5,0,0,0,10,6,3,0,0,0,18,5,5,27,25,7,11,6,0,0,82,0,0,16,27,9,10,3,0,0,76,0,0,5,4,3,0,5,0,0,19,0,0,0,3,0,7,0,0,0,9,14,15,54,172,68,43,25,8,0,398,36,56,328,934,338,284,200,60,15,2248,338,402,1876,4599,1798,1722,1196,282,78,12288
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,10,4,0,3,9,5,6,11,3,0,36,14,22,25,62,50,74,108,42,10,412
1GSYD,9,66,179,1062,1016,706,263,232,87,3623,514,3368,6360,31789,14001,12023,5479,1309,629,75480,36,98,197,3689,1202,2535,1684,939,949,11326,51,418,519,3818,3180,3604,3550,2049,837,18028,336,1350,1673,3678,1513,1562,951,370,93,11529,231,1691,3390,12475,7054,5231,3283,1479,484,35313,0,0,77,1047,1212,1488,1231,953,260,6268,158,1041,1910,10519,4942,4096,2362,1105,433,26568,151,304,1240,7000,1137,1306,679,121,24,11954,241,748,2638,15012,2466,1496,498,103,25,23224,24,82,252,1944,2220,2704,2389,1178,300,11089,80,184,552,3623,3267,1920,1327,567,131,11644,753,2909,3014,8416,3416,2278,1509,415,137,22846,373,1447,6123,28796,18378,16390,5965,2501,1084,81045,19,98,158,1341,913,707,719,379,157,4494,16,226,658,1927,977,575,202,66,16,4662,2054,8428,15798,75021,32541,26390,21495,12053,5324,199113,15424,25779,35031,96518,38398,33415,26509,17094,10170,298330,310173,590126,629103,1470442,627580,524011,372488,204051,96022,4823991
1RNSW,9,54,87,593,545,369,98,52,14,1829,182,1061,993,4365,1923,1744,709,155,49,11184,4,17,15,411,158,438,416,319,328,2109,28,224,180,908,1529,2216,2978,1774,667,10498,31,99,158,286,251,188,109,62,11,1196,46,541,840,2295,1456,1113,912,371,95,7666,0,0,11,100,261,354,430,403,115,1677,41,182,180,937,344,231,153,66,24,2153,18,51,234,1010,82,44,23,4,0,1468,94,336,488,1597,556,282,92,18,0,3451,9,16,72,563,1043,1371,1385,762,189,5397,9,20,37,311,380,152,150,71,8,1137,139,667,690,1971,1118,1135,1078,263,86,7152,45,140,404,1349,470,394,123,40,28,3002,8,56,73,329,556,554,648,377,146,2744,7,122,254,665,310,288,146,28,3,1822,427,1749,2129,8397,4598,4750,4886,3167,1360,31468,8377,17874,19726,43983,29123,32020,29028,18649,9178,207954,154615,330645,307088,595308,348557,363959,303231,168736,71398,2643536
29499,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
2GMEL,13,58,135,870,595,243,82,24,4,2020,422,2786,5117,19349,8324,5831,2480,608,232,45157,11,86,207,3074,1490,3181,2475,1461,1590,13581,58,474,670,3762,3407,4035,4215,2518,995,20140,323,1708,3262,5354,1931,1605,846,267,66,15349,156,1284,2845,8641,4755,3167,2129,874,306,24168,0,0,56,889,1341,1757,1429,1162,327,6969,437,3040,4916,23390,8752,6614,4372,1815,700,54030,107,229,1071,5375,675,742,337,52,22,8606,303,1417,2415,7576,1338,583,226,41,17,13909,15,114,373,3201,3345,4120,3587,1621,371,16747,63,211,592,4439,4530,2558,1592,709,167,14861,528,2206,2188,6152,2543,1659,1127,254,111,16765,404,1586,7253,29860,17312,14554,5109,2081,886,79054,19,111,156,892,724,637,558,346,158,3601,15,178,550,2024,651,412,158,42,8,4032,2025,8722,16161,61278,25938,20758,16578,10661,4859,166973,14844,24038,32598,87529,36767,31938,25964,17555,9655,280877,287178,532524,602383,1369430,587317,476902,344283,196050,89151,4485211
2RVIC,3,23,30,210,170,92,34,19,4,582,108,590,656,2468,1011,796,368,77,16,6085,0,4,8,200,88,231,233,154,202,1116,11,76,104,533,743,1348,1783,1002,318,5917,8,67,101,205,141,111,54,15,4,698,19,212,360,970,576,397,308,116,31,2992,0,0,0,44,167,248,321,242,67,1086,30,147,144,810,236,177,158,50,28,1776,13,16,202,944,36,21,8,0,0,1233,82,459,415,719,240,104,30,9,3,2059,0,3,8,89,146,241,228,140,27,883,3,22,45,248,261,130,112,46,3,861,57,270,227,805,439,488,485,93,21,2889,14,71,168,800,324,209,55,17,3,1656,3,25,26,142,191,214,284,137,55,1077,0,48,63,253,125,90,56,20,3,652,150,874,1221,3762,1941,2075,2163,1577,707,14482,4830,9938,11126,24901,17119,18622,16712,10429,5133,118811,83665,176804,166501,322532,192122,199728,164829,88833,38801,1433818
39499,0,3,8,16,15,5,3,3,0,42,4,3,5,24,8,7,5,3,0,53,0,0,0,12,0,3,0,0,0,17,0,0,12,22,10,20,24,7,0,89,0,0,6,10,0,0,0,0,0,15,0,0,0,24,14,5,12,0,0,52,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,12,3,4,26,95,0,0,0,0,0,121,0,0,3,8,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,21,24,4,10,5,3,0,67,0,0,8,7,6,3,0,0,0,28,0,0,14,6,0,8,3,0,0,35,0,0,6,3,3,3,3,0,0,16,3,8,73,139,25,43,27,5,0,334,43,65,256,656,266,378,256,75,15,2011,339,489,1539,3776,1663,2373,1916,381,44,12510
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,4,4,0,4,11,0,0,19,3,4,16,27,24,30,33,16,4,150
