GCCSA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
19499,49,28,78,847,475,45,1373,6811,3361,11545
19799,6,0,10,39,37,0,79,226,76,374
1GSYD,79585,14982,96022,798053,251487,23544,1073085,2557663,292952,3923700
1RNSW,55514,15070,71398,395667,171259,17784,584706,1366810,206749,2158275
29499,25,13,38,649,290,14,960,3900,1969,6825
29799,0,0,0,5,0,0,5,18,3,25
2GMEL,73797,14002,89151,745189,239874,23943,1009000,2388318,268192,3665515
2RVIC,30420,7822,38801,215993,93218,9997,319205,739010,115137,1173346
39499,30,11,44,760,474,19,1251,7804,2633,11693
39799,0,3,4,13,17,0,28,90,21,144
3GBRI,30198,7728,38357,383499,131263,15830,530593,1158726,137083,1826402
3RQLD,36886,9778,47131,383147,131849,16576,531572,1227659,193026,1952257
49499,16,4,22,262,141,16,411,1621,609,2648
49799,0,0,0,0,0,0,0,6,0,3
4GADE,29056,4703,34170,205535,84940,8261,298736,702830,68199,1069769
4RSAU,8247,1901,10292,54198,24696,2697,81582,200085,29566,311230
59499,13,3,23,376,169,14,558,3441,1554,5559
59799,3,0,3,54,4,0,61,297,72,434
5GPER,27171,7105,34652,328296,110953,12497,451741,995241,126550,1573536
5RWAU,6064,1584,7752,83650,28147,4250,116051,250768,51385,418207
69499,3,0,3,89,38,5,128,530,180,835
69799,0,0,0,4,0,0,9,53,9,73
6GHOB,4462,750,5275,34527,14757,1737,51019,117668,13577,182260
6RTAS,5282,1116,6490,41751,16836,1797,60386,155337,20866,236592
79499,0,0,0,151,57,0,211,1317,747,2281
79799,0,0,0,3,0,0,4,43,26,72
7GDAR,510,103,626,22297,6088,801,29179,64988,15137,109301
7RNTE,231,61,310,13021,7908,2396,23322,33143,11241,67701
89499,3,0,3,39,33,7,73,322,108,506
89799,0,0,0,0,0,0,0,0,0,0
8ACTE,4771,1276,6155,67241,23272,2686,93202,207514,21695,322415
99499,0,0,0,3,0,0,6,35,4,46
99799,0,0,0,0,0,0,0,6,0,6
9OTER,43,9,51,608,214,26,847,2129,738,3714
