GCCSA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
19499,41,26,78,1976,1606,620,412,3500,3428,11545
19799,5,0,10,23,36,19,40,163,93,374
1GSYD,46035,16294,96022,934749,966678,408730,318303,990244,304996,3923700
1RNSW,30912,16371,71398,422909,562884,281560,227176,442687,221060,2158275
29499,22,12,38,1281,954,324,278,1969,2020,6825
29799,0,0,0,7,3,3,0,11,3,25
2GMEL,42616,15248,89151,896253,928683,383944,291605,883168,281854,3665515
2RVIC,17362,8447,38801,233274,302762,150975,125102,237930,123306,1173346
39499,25,11,44,2026,1961,823,592,3533,2759,11693
39799,0,3,4,23,24,19,6,50,23,144
3GBRI,16707,8340,38357,443640,502065,210175,156732,370520,143267,1826402
3RQLD,21072,10539,47131,407436,513182,237326,195837,394621,203864,1952257
49499,17,0,22,466,435,143,126,850,627,2648
49799,0,0,0,4,0,0,0,3,0,3
4GADE,16755,5178,34170,241880,298314,131554,91979,233704,72333,1069769
4RSAU,4608,2072,10292,57305,80862,43098,35868,62354,31748,311230
59499,7,6,23,962,791,327,210,1663,1594,5559
59799,3,0,3,32,31,10,9,274,81,434
5GPER,14357,7516,34652,366095,416518,177897,143749,338079,131199,1573536
5RWAU,3149,1678,7752,80637,104395,50015,45594,83545,54014,418207
69499,0,0,3,153,152,50,40,256,178,835
69799,0,0,0,7,6,3,10,36,8,73
6GHOB,2367,835,5275,39621,52163,23409,16089,36660,14315,182260
6RTAS,3027,1239,6490,43814,60919,31885,26902,50535,22544,236592
79499,0,0,0,334,366,137,92,522,839,2281
79799,0,0,0,0,0,0,4,43,23,72
7GDAR,302,111,626,24659,29042,10331,7406,22263,15605,109301
7RNTE,144,65,310,15934,16669,6621,3887,12891,11703,67701
89499,3,0,3,133,94,23,10,138,118,506
89799,0,0,0,0,0,0,0,0,0,0
8ACTE,2194,1341,6155,82357,102080,39392,22602,53853,22141,322415
99499,0,0,0,5,11,0,3,22,4,46
99799,0,0,0,0,0,0,0,3,0,6
9OTER,20,9,51,622,888,365,299,762,781,3714
