GCCSA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
19499,26,16,44,143,121,266,12,10,27,188,149,338,16,15,31,97,89,182,11,11,24,119,122,238,8,10,20,60,61,120,11,9,22,82,78,158,26,27,53,211,168,381,39,39,76,285,232,517,60,47,103,587,473,1060,95,102,198,746,615,1358,62,26,90,641,488,1134,219,123,336,928,635,1559,50,19,73,544,352,890,98,79,176,687,457,1142,64,32,94,477,251,721,84,55,140,625,338,955,57,24,74,467,228,695,124,39,167,644,290,940,55,29,91,442,230,671,70,47,120,572,310,881,41,9,56,436,274,710,103,55,155,585,338,919,25,12,33,405,280,690,84,44,128,514,341,850,18,21,36,389,321,710,69,52,118,477,391,866,22,10,35,760,530,1296,135,94,229,916,643,1558,538,301,839,5655,3874,9528,1153,765,1916,7351,4939,12288
19799,0,0,0,8,3,9,3,0,4,10,4,14,0,0,0,5,5,9,0,0,0,3,5,12,0,3,3,3,5,9,0,0,0,3,9,11,0,0,3,7,6,15,0,0,0,3,7,12,0,0,0,9,4,9,0,0,0,9,4,9,0,0,0,5,10,14,0,0,0,5,12,12,0,0,0,7,13,19,0,3,0,6,14,20,0,0,0,3,3,10,0,0,0,3,3,9,0,0,0,8,13,19,0,0,0,10,12,21,0,3,3,10,9,16,0,0,0,10,7,16,0,0,0,12,21,32,0,3,3,15,22,35,0,0,0,4,19,27,0,0,4,12,23,35,0,0,3,13,20,35,0,9,10,16,26,42,0,0,0,60,84,142,10,12,17,67,92,159,5,10,13,150,206,356,20,27,46,171,239,412
1GSYD,4045,3683,7729,147336,140144,287474,7649,7318,14968,159029,151145,310173,3971,3765,7742,147790,140005,287800,6948,6740,13693,158716,150522,309236,3967,3586,7548,134558,126880,261443,6186,5711,11899,144709,136177,280892,3783,3566,7344,137220,130560,267783,6972,6263,13237,147983,140387,288362,3359,3248,6607,158725,155397,314118,10198,9809,20012,172289,168451,340737,2590,2672,5263,173028,178234,351260,12533,12396,24931,188149,193306,381451,2032,2329,4369,179165,185387,364550,12350,11677,24030,193554,199397,392950,1792,1977,3769,164879,167014,331894,10274,9520,19795,176949,178510,355460,1870,2194,4062,156536,162465,319004,9108,8405,17514,167516,173063,340580,1787,2109,3898,146373,155131,301505,8454,7908,16362,156617,165145,321762,1611,1801,3417,141133,145692,286829,8026,7552,15575,150766,155048,305817,1332,1449,2777,128213,136141,264354,7328,7101,14432,136868,144692,281558,960,1127,2087,109475,118183,227658,6321,6396,12712,116752,125704,242452,1615,1898,3510,286796,341033,627831,18466,22748,41215,306877,365681,672559,34716,35419,70135,2211230,2282264,4493490,130823,129540,260364,2376766,2447221,4823991
1RNSW,8933,8250,17179,65989,62171,128160,4720,4551,9271,79636,74976,154615,8968,8606,17572,72243,68762,141002,5155,4968,10125,86367,82337,168699,8403,7986,16386,69676,66163,135844,5002,4713,9716,83088,78863,161945,7605,7366,14973,69229,65576,134802,4997,4760,9752,81832,77694,159525,6266,5964,12231,64137,61514,125654,5043,4629,9675,75449,72109,147560,4904,4889,9790,61610,63126,124734,4986,4617,9606,71505,72628,144133,4030,4151,8182,62920,65784,128701,4778,4586,9368,71734,74519,146254,3448,3653,7100,61855,65556,127410,4486,4295,8787,69787,73506,143294,3600,4176,7779,69893,73737,143633,5237,4982,10217,78729,82902,161625,3604,4197,7804,73150,77770,150920,5653,5409,11065,82400,87382,169780,3336,3826,7161,78023,81698,159720,6134,5755,11895,87489,91280,178773,2949,3309,6257,81935,86449,168384,6501,6139,12643,91386,95897,187279,2315,2419,4735,78549,81341,159889,6180,5873,12053,87041,89638,176678,3743,4285,8034,232412,261646,494059,19109,22162,41277,255273,288090,543363,72102,73085,145189,1141623,1181290,2322911,87991,87447,175436,1301717,1341813,2643536
29499,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
2GMEL,1248,1261,2507,138629,131382,270013,7501,7155,14659,147382,139793,287178,1229,1257,2486,134650,128262,262908,6794,6316,13107,142674,135831,278506,1237,1125,2360,123302,116956,240259,5843,5559,11399,130382,123638,254017,1171,1172,2342,129162,124847,254010,6410,6249,12661,136742,132275,269015,1176,1163,2338,157749,154650,312400,9437,9192,18630,168363,165007,333367,1001,1024,2026,166386,171570,337950,11100,11354,22459,178485,183944,362435,842,781,1627,169012,175598,344607,10945,10733,21682,180801,187112,367913,687,718,1405,152039,154433,306475,9023,8418,17436,161748,163566,325319,736,733,1466,144237,151895,296133,8269,7896,16166,153241,160525,313768,748,720,1466,140373,150270,290643,7829,7642,15473,148946,158634,307580,533,634,1166,128800,135228,264029,7493,7042,14540,136829,142906,279728,446,459,903,116457,124814,241277,6794,6842,13641,123698,132121,255824,356,408,764,99552,108684,208232,5990,6090,12085,105899,115182,221078,526,685,1208,265578,321244,586819,18307,23154,41458,284403,345078,629487,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211
2RVIC,1495,1456,2948,38789,36567,75360,2719,2643,5360,43001,40662,83665,1507,1399,2912,41875,39487,81366,2923,2734,5658,46312,43620,89935,1305,1335,2640,40279,38466,78748,2854,2637,5490,44445,42428,86873,1210,1216,2428,40931,38136,79066,2786,2691,5477,44925,42043,86967,1000,920,1917,37085,35035,72125,2837,2652,5490,40923,38606,79529,754,835,1584,35080,35893,70970,2696,2583,5282,38530,39310,77842,584,659,1244,35123,37565,72683,2583,2637,5225,38294,40864,79154,511,602,1117,34820,37196,72015,2395,2493,4887,37726,40290,78014,556,625,1182,39046,41684,80729,2845,2770,5612,42442,45080,87518,570,679,1247,41657,44732,86387,3244,3050,6296,45471,48463,93933,552,593,1143,43626,46811,90438,3308,3292,6597,47486,50695,98187,477,521,1000,45281,48149,93423,3467,3467,6937,49225,52136,101361,388,389,775,44362,46134,90497,3522,3573,7094,48271,50095,98363,613,690,1305,125038,141422,266463,11416,13284,24698,137073,155391,292463,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818
39499,27,19,43,128,120,249,24,20,48,182,160,339,12,14,30,113,109,222,23,19,41,150,144,289,6,16,23,77,74,152,18,8,22,104,96,197,24,28,50,154,149,308,28,24,45,212,203,408,31,39,70,444,439,883,90,94,180,559,576,1133,59,24,82,538,504,1041,125,99,221,714,627,1349,40,22,65,438,298,739,91,52,146,573,374,948,51,28,83,352,198,547,77,33,107,479,261,738,73,36,102,334,192,523,85,32,118,487,256,742,57,23,84,329,234,561,68,41,107,455,298,752,49,24,72,382,318,702,84,49,137,518,393,914,19,18,34,398,487,884,77,83,164,489,592,1080,25,11,30,537,551,1089,102,77,176,660,639,1294,24,13,33,1164,827,1990,179,131,317,1365,971,2332,488,310,799,5388,4498,9886,1061,771,1827,6937,5572,12510
39799,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,4,0,0,0,3,5,11,0,0,0,3,0,3,0,0,3,3,4,11,0,0,0,3,4,5,0,0,0,3,4,5,0,0,0,3,3,7,0,0,0,3,3,7,0,0,0,7,0,7,0,0,0,6,0,6,0,0,0,4,7,9,0,0,0,4,3,12,0,0,0,5,5,6,0,0,0,5,5,6,0,0,0,5,3,13,0,0,0,5,3,14,0,0,0,5,8,15,0,3,3,5,14,19,0,0,0,8,3,7,0,0,0,8,3,12,0,0,0,22,26,50,0,5,5,21,28,56,0,5,3,63,71,131,6,9,15,66,87,150
