GCCSA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
19499,..,0,0,0,0,0,8,3,25,9,40,..,0,4,0,3,4,0,10,17,9,41,..,0,0,0,0,0,0,0,18,3,25,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,3,3,0,10,37,10,70,..,0,0,0,0,0,0,0,0,0,0,..,3,7,0,3,3,3,16,56,23,112,18,10,11,3,3,7,11,88,61,9,218,5,12,24,7,11,15,26,86,83,27,295,0,0,3,3,0,9,15,12,16,11,65,0,0,0,0,0,0,0,0,0,0,0,5,12,20,9,11,21,49,96,99,34,359,0,0,0,0,0,0,0,0,0,16,17,22,23,29,11,17,24,58,184,165,60,594,37,8,13,3,9,7,22,48,55,18,220,45,14,64,22,23,17,55,91,124,37,489,3,0,8,0,0,6,15,21,11,17,86,0,0,0,0,0,0,0,0,0,0,0,45,14
19799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1GSYD,..,3166,10000,2513,2754,2845,2706,2747,1375,1707,29822,..,3379,13620,3978,4757,5617,5413,4814,2180,1864,45627,..,36,177,151,369,904,1515,2930,3039,1263,10383,..,21,72,24,29,43,66,124,92,48,527,..,3442,13869,4160,5157,6567,6991,7868,5311,3180,56531,..,7,25,10,7,8,15,29,60,98,249,..,6610,23894,6682,7911,9418,9708,10643,6749,4990,86605,7708,10862,5954,1041,1259,1366,1910,2515,2165,1546,36318,9863,17991,19575,5337,7269,10028,13820,16825,12161,4732,117602,66,377,670,407,894,1636,2176,3221,2829,1751,14036,46,102,109,38,49,62,86,86,80,71,725,9976,18473,20356,5784,8209,11726,16077,20129,15067,6561,132358,15,22,21,4,8,5,13,16,18,357,482,17698,29359,26334,6831,9470,13095,18004,22661,17252,8460,169162,24023,7401,14444,4754,5213,5514,5286,5184,2960,2357,77135,38901,33617,73782,12402,15352,18511,19727,20230,11238,5636,249399,500,2066,6565,1704,2690,3881,3434,3701,2335,1839,28717,221,219,411,76,96,94,110,106,55,101,1488,39621,35905
1RNSW,..,806,2674,749,809,717,584,598,286,455,7686,..,247,1548,500,790,792,819,612,264,254,5825,..,3,23,15,37,99,235,313,400,162,1289,..,0,8,3,11,3,3,10,15,15,68,..,249,1584,515,831,899,1060,939,680,429,7179,..,0,6,3,0,0,3,9,8,18,50,..,1058,4262,1268,1639,1621,1642,1545,975,911,14918,1538,2364,1502,266,272,305,310,380,299,420,7655,375,1032,1622,392,559,709,1134,1420,1005,427,8671,8,32,50,19,52,109,229,403,350,247,1501,3,12,21,0,4,0,11,9,3,13,79,386,1078,1692,417,619,813,1371,1828,1355,692,10244,3,3,7,0,3,0,0,0,0,157,171,1934,3445,3202,684,886,1118,1677,2211,1658,1265,18079,4006,1400,2582,761,733,582,554,564,286,463,11918,1478,1457,5894,1174,1597,1648,1860,1843,964,513,18419,24,106,344,114,194,259,398,513,304,259,2512,6,16,41,3,13,14,11,15,6,14,140,1505,1573
29499,..,0,3,5,0,3,0,0,13,0,20,..,0,10,3,0,0,0,0,3,5,29,..,0,0,0,0,0,3,0,29,7,42,..,0,0,0,0,0,0,0,0,3,3,..,0,10,3,0,0,4,3,36,13,69,..,0,0,0,0,0,0,0,0,0,0,..,0,14,8,0,7,5,3,48,11,94,4,18,8,0,4,7,9,28,31,9,104,0,11,19,3,21,21,23,37,76,22,234,0,0,0,0,0,3,8,15,19,12,66,0,0,0,0,0,0,0,0,0,3,3,0,11,16,9,21,28,33,52,94,36,305,0,3,0,0,0,0,0,3,0,7,22,8,33,24,7,20,32,37,80,122,55,430,21,10,23,5,8,10,11,40,50,17,194,20,28,53,10,14,11,30,58,71,24,319,3,0,3,0,0,0,12,24,27,10,85,0,0,0,0,0,0,0,0,0,0,0,26,30
29799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,..,2862,9690,2760,3063,2697,2439,2614,1294,1509,28935,..,2735,14830,4280,5154,6450,5496,5098,2061,1924,48020,..,26,192,169,369,989,1568,2865,2807,1206,10201,..,13,81,15,35,63,60,115,99,77,568,..,2776,15101,4468,5557,7501,7125,8080,4966,3210,58786,..,8,19,11,17,9,12,34,53,154,324,..,5642,24809,7240,8635,10209,9570,10729,6319,4871,88035,6115,10028,7253,1322,1602,1499,1936,2680,2341,1347,36112,5907,13782,21319,5891,7917,10796,15530,18308,12992,4649,117086,53,327,644,377,788,1485,2159,3130,2580,1494,13039,38,88,119,33,39,54,98,92,74,66,704,5996,14197,22081,6298,8745,12341,17787,21528,15646,6213,130824,8,29,28,3,5,4,20,23,11,279,411,12119,24250,29362,7623,10356,13842,19737,24227,17994,7835,167349,19828,7323,13949,4347,4771,4436,4167,4068,2354,1940,67177,25761,28542,73812,11477,14421,16201,17264,16481,9184,4527,217671,284,1468,5263,1428,2273,3115,2470,2912,1919,1303,22443,194,156,465,59,106,122,101,98,50,86,1431,26245,30161
2RVIC,..,423,1453,380,347,360,334,294,154,270,4016,..,189,1214,292,376,480,335,402,178,181,3653,..,4,23,4,24,56,103,200,243,102,753,..,0,5,3,3,4,0,11,4,8,35,..,193,1243,298,394,549,444,611,418,287,4443,..,0,3,3,4,0,5,6,7,16,44,..,619,2695,684,741,910,783,912,583,576,8504,691,1165,916,160,144,108,158,212,116,191,3861,226,749,1428,261,342,501,502,647,530,291,5474,11,15,52,30,48,81,112,220,222,201,979,7,8,3,4,3,4,7,10,8,13,56,238,776,1483,290,390,584,613,877,759,506,6512,0,4,0,0,0,0,0,0,3,119,125,931,1947,2397,453,541,688,768,1081,877,817,10502,1906,712,1314,324,354,340,281,264,152,262,5917,777,914,4208,649,866,917,862,919,487,316,10922,10,72,365,91,138,181,271,353,225,197,1903,6,7,31,6,5,0,7,9,6,15,94,791,1000
39499,..,3,3,0,0,5,0,0,12,8,36,..,0,3,0,3,3,0,4,4,0,22,..,0,0,0,0,0,0,0,5,5,8,..,0,0,0,0,0,0,0,4,0,4,..,0,3,0,3,3,0,5,17,5,35,..,0,0,0,0,0,0,0,0,0,0,..,3,6,0,3,16,3,5,28,15,72,11,25,7,0,0,3,16,78,120,24,283,0,4,11,0,3,10,24,74,72,25,221,0,0,0,0,0,0,3,5,23,10,51,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,3,13,29,82,93,41,272,0,0,0,0,0,0,0,0,3,9,14,13,26,20,0,9,16,49,161,217,71,571,42,15,31,10,8,9,9,83,95,18,318,10,15,31,11,11,18,61,97,114,31,400,0,3,3,3,0,3,26,44,16,25,115,0,0,0,0,0,0,0,0,0,0,4,10,20
39799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
