GCCSA_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
19499,43,36,75,42,37,74,43,27,68,36,27,62,31,29,60,188,149,338,30,24,51,28,26,51,19,24,42,27,22,52,21,26,41,119,122,238,19,18,33,10,20,33,20,16,31,18,10,30,19,18,29,82,78,158,20,16,36,33,22,57,35,32,69,65,57,124,133,102,229,285,232,517,105,133,242,142,104,245,144,120,267,167,127,293,184,135,313,746,615,1358,212,120,328,209,131,343,175,141,315,178,149,328,158,96,252,928,635,1559,192,100,295,129,111,234,138,93,232,115,78,191,112,78,190,687,457,1142,159,78,237,122,62,191,115,59,176,128,77,204,93,63,154,625,338,955,162,59,219,127,59,185,136,73,208,107,53,162,116,45,168,644,290,940,149,77,225,102,43,151,115,59,171,108,75,180,93,55,153,572,310,881,160,74,233,107,63,166,106,67,170,82,57,146,132,73,201,585,338,919,110,77
19799,0,0,0,3,0,0,3,0,6,0,0,0,4,3,3,10,4,14,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,3,5,12,0,0,3,0,3,5,0,3,3,0,3,3,3,0,4,3,9,11,0,0,0,0,3,4,0,3,3,0,3,3,0,0,3,3,7,12,3,0,4,3,0,3,0,0,0,0,0,0,0,0,3,9,4,9,3,3,3,0,0,0,0,0,0,0,0,0,0,3,5,5,12,12,0,7,8,0,3,3,4,0,4,0,0,0,0,3,3,6,14,20,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,3,3,9,3,3,3,0,5,7,5,0,8,3,3,6,3,3,3,10,12,21,0,0,0,4,0,3,3,6,8,0,0,3,0,0,3,10,7,16,4,0,4,4,3,8,0,7,10,3,0,6,3,10,13,15,22,35,7,7
1GSYD,30086,28777,58863,32298,30444,62744,31933,30550,62483,32402,30558,62961,32302,30818,63122,159029,151145,310173,32093,30346,62442,32342,30624,62965,31339,29854,61194,31695,30092,61790,31248,29597,60853,158716,150522,309236,30172,28379,58549,29198,27364,56556,28858,26994,55853,28633,27066,55697,27851,26381,54233,144709,136177,280892,28669,26935,55604,29162,27421,56591,28877,27212,56086,29593,28451,58044,31680,30359,62037,147983,140387,288362,33091,31350,64435,33648,32126,65776,33462,33288,66747,35536,35117,70648,36548,36573,73124,172289,168451,340737,37249,37693,74950,38164,38938,77098,38004,38614,76621,37652,39165,76820,37073,38890,75961,188149,193306,381451,38319,39939,78256,38450,39626,78081,39161,40238,79400,39028,40668,79699,38592,38929,77516,193554,199397,392950,38105,38239,76347,36455,36341,72797,34918,35389,70306,34168,34634,68802,33306,33904,67208,176949,178510,355460,33240,34092,67334,32945,33688,66633,33600,34482,68079,33531,35029,68560,34201,35777,69976,167516,173063,340580,34253,36617,70869,31847,33351,65202,30891,32836,63726,30249,32126,62369,29379,30218,59594,156617,165145,321762,29816,30369,60179,29306,30477,59787,30495,31544,62043,30812,31700,62518,30340,30955,61294,150766,155048,305817,29495,30815
1RNSW,14805,13968,28772,15461,14596,30054,15875,15153,31025,16624,15528,32152,16871,15737,32606,79636,74976,154615,16758,15965,32724,17021,16442,33459,17468,16437,33905,17329,16664,33991,17793,16829,34624,86367,82337,168699,17195,16364,33561,16729,15753,32481,16510,15417,31920,16310,15553,31867,16340,15772,32116,83088,78863,161945,16703,15811,32516,16662,16108,32776,16755,16213,32968,16152,15118,31271,15556,14440,29996,81832,77694,159525,15139,14547,29686,15315,14694,30007,15217,14388,29605,14832,14255,29093,14944,14224,29172,75449,72109,147560,14628,14497,29131,14638,14696,29333,14114,14454,28565,13978,14401,28377,14139,14587,28726,71505,72628,144133,14376,14814,29193,14368,14829,29197,14206,14946,29148,14352,15012,29370,14425,14914,29340,71734,74519,146254,14142,15049,29190,13983,14508,28494,13759,14508,28273,13766,14603,28369,14138,14833,28967,69787,73506,143294,14405,15374,29778,14914,15462,30374,15683,16393,32076,16268,17353,33623,17459,18312,35772,78729,82902,161625,17771,18677,36447,16486,17386,33878,16491,17542,34028,15801,16781,32583,15856,16991,32850,82400,87382,169780,16221,17047,33271,16450,17060,33512,17836,18482,36313,18208,19244,37455,18781,19444,38221,87489,91280,178773,19050,19601
29499,55,36,94,38,43,80,32,26,62,51,35,86,35,22,60,215,163,379,21,27,43,22,20,42,20,17,30,20,23,44,14,18,32,88,105,195,26,29,49,25,17,41,5,10,18,14,10,25,23,22,41,88,88,176,16,18,34,18,15,36,29,28,54,55,50,103,58,65,125,180,178,357,81,60,140,77,88,168,100,91,193,97,97,196,98,112,210,447,453,898,137,117,253,128,93,218,88,74,164,87,75,160,102,95,194,542,450,994,128,85,216,94,64,159,95,63,162,93,56,147,101,73,173,513,345,856,120,78,198,84,55,140,85,50,131,79,36,118,74,34,104,441,253,693,93,33,129,56,53,108,89,34,120,68,42,111,77,57,128,372,229,601,93,47,138,60,32,99,75,31,109,69,21,96,50,32,83,349,170,524,65,29,93,54,34,90,56,42,93,53,42,96,51,32,86,277,177,451,47,36
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0
2GMEL,28296,26915,55211,30020,28214,58234,29538,28086,57628,29959,28610,58574,29565,27970,57532,147382,139793,287178,28911,27241,56149,29020,27851,56878,28260,27005,55266,28402,26915,55323,28074,26815,54891,142674,135831,278506,27322,25985,53309,26247,24852,51095,26220,24658,50883,25652,24256,49905,24946,23883,48832,130382,123638,254017,25583,24328,49908,25893,25383,51279,26309,25502,51808,28201,27114,55309,30758,29953,60715,136742,132275,269015,32176,31541,63710,33428,32346,65779,33775,32631,66413,34289,34043,68333,34692,34438,69127,168363,165007,333367,35311,35726,71032,36034,36888,72920,35200,37043,72247,36206,37547,73755,35743,36737,72482,178485,183944,362435,36226,38155,74383,36230,37995,74226,36305,37495,73798,36413,37312,73721,35632,36165,71791,180801,187112,367913,34810,35016,69830,33363,33802,67166,32009,32569,64574,30992,31406,62394,30577,30773,61356,161748,163566,325319,30427,31149,61574,30118,31205,61325,30747,32213,62964,30569,32312,62882,31378,33651,65026,153241,160525,313768,31840,34832,66672,30526,32296,62825,29702,31736,61439,29237,30706,59937,27646,29065,56706,148946,158634,307580,27739,28944,56683,26919,28300,55220,27527,29018,56544,27653,28757,56412,26988,27882,54873,136829,142906,279728,26518,28028
2RVIC,8052,7563,15622,8396,8019,16411,8577,8210,16789,8989,8367,17356,8989,8501,17491,43001,40662,83665,8902,8365,17268,9108,8754,17866,9324,8773,18093,9240,8765,18012,9734,8964,18699,46312,43620,89935,9122,8777,17893,8696,8285,16984,8888,8403,17294,8791,8404,17191,8946,8564,17511,44445,42428,86873,9141,8412,17553,9034,8801,17832,9455,8861,18320,9022,8226,17255,8275,7737,16014,44925,42043,86967,8145,7630,15773,8424,7756,16179,8181,7802,15982,8023,7692,15718,8152,7724,15878,40923,38606,79529,7926,7871,15796,7823,7998,15821,7666,7715,15386,7598,7856,15448,7520,7868,15395,38530,39310,77842,7750,8111,15863,7755,8174,15924,7562,8202,15766,7747,8196,15942,7476,8189,15660,38294,40864,79154,7658,8276,15931,7327,7941,15270,7399,7859,15259,7811,8018,15824,7539,8198,15729,37726,40290,78014,7913,8309,16217,8095,8670,16760,8447,8986,17429,8662,9286,17951,9332,9830,19162,42442,45080,87518,9465,10323,19792,8917,9548,18461,9366,9836,19203,8979,9428,18404,8747,9329,18073,45471,48463,93933,8926,9667,18593,9091,9561,18650,9588,10220,19811,9846,10460,20300,10042,10788,20828,47486,50695,98187,9992,10781
39499,27,32,60,21,31,52,42,29,74,50,36,82,33,28,63,182,160,339,31,30,60,23,25,47,24,22,54,36,29,66,29,34,65,150,144,289,29,30,56,30,17,45,23,15,36,13,14,26,14,19,28,104,96,197,21,7,30,28,23,53,33,25,58,59,50,103,68,89,159,212,203,408,91,90,181,83,95,180,125,110,232,139,141,274,122,138,262,559,576,1133,185,159,347,128,120,247,151,116,260,127,140,268,136,93,230,714,627,1349,145,97,237,109,89,190,92,83,168,117,58,176,112,58,169,573,374,948,125,66,185,101,49,147,81,66,146,91,51,135,90,42,126,479,261,738,127,55,184,93,44,135,103,42,141,79,69,143,87,47,132,487,256,742,98,59,161,88,56,145,83,46,128,100,64,160,85,79,160,455,298,752,113,83,198,85,76,162,110,75,179,108,77,180,101,87,192,518,393,914,78,112
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,3,4,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,3,4,4,0,0,3,4,3,12,0,3,3,0,0,0,0,0,3,0,0,0,0,0,3,5,5,6,0,0,3,0,0,0,3,0,3,0,3,3,0,0,3,5,3,14,0,0
