GCCSA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
19499,0,0,0,3,3,3,3,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,9,28,0,0,0,0,0,35,0,0,3,15,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,0,6,4,3,0,0,0,14,5,0,19,10,0,7,8,3,0,44,0,0,10,9,11,10,0,0,0,38,0,0,7,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,4,8,26,99,38,33,20,5,0,235,15,28,173,604,222,172,121,35,8,1379,188,202,1031,2882,1148,986,719,162,32,7351,0,0,0,0,0,0,0,0,0,0,110,139,407,848,383,470,287,59,27,2726,0,0,3,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,11,11,3,0,0,0,0,24,0,0,0,9,3,0,3,0,0,12
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,11,10,7,12,27,25,22,48,16,3,171,0,0,0,0,0,0,0,0,0,0,3,11,8,24,12,21,22,15,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1GSYD,0,0,45,549,618,683,616,459,107,3080,78,537,1056,5759,2492,2122,1225,482,158,13914,74,161,573,3148,350,447,315,53,10,5129,126,355,1144,5125,661,399,147,38,3,7994,16,33,127,918,1083,1360,1242,540,148,5472,39,90,303,1857,1690,996,670,284,49,5977,401,1484,1413,3906,1752,1173,778,227,65,11195,197,755,2655,11787,8756,7835,2837,1022,425,36279,10,52,90,695,519,398,396,195,67,2423,9,110,315,907,513,318,105,26,3,2303,1033,4226,7923,36069,16004,12789,10454,5715,2108,96312,7849,13177,18034,49162,19574,16650,12887,7605,3605,148537,159029,303428,320265,726166,307388,253616,179414,92308,35147,2376766,36,211,874,2288,693,521,233,72,26,4947,135558,239891,207674,349350,153376,125909,90551,51871,32516,1386695,138,508,1159,6606,1061,430,103,27,10,10043,3,17,136,1102,685,658,311,236,42,3185,18,87,394,2537,1394,1279,587,250,118,6666,60,249,496,2418,842,542,290,100,46,5055,15,56,153,1667,1234,1111,1169,390,123,5918
1RNSW,0,0,7,51,137,177,215,220,58,863,17,102,95,469,178,128,80,35,10,1110,3,21,107,405,32,11,8,0,0,589,47,166,239,352,77,31,7,5,0,924,3,4,34,248,533,693,756,356,85,2710,6,15,26,183,213,86,66,40,8,631,81,333,334,795,540,483,589,154,50,3355,29,66,184,559,239,193,62,17,13,1364,7,28,31,179,281,304,338,192,66,1433,0,70,98,321,156,134,77,11,3,876,208,902,1072,3948,2200,2366,2560,1671,598,15515,4222,9061,10147,22094,14706,16162,14526,8541,3341,102802,79636,169451,157281,291749,169896,178427,150284,78420,26562,1301717,20,45,66,108,31,6,8,0,0,281,69621,146371,131460,244362,140126,143623,111429,64891,32241,1084118,23,41,47,369,34,13,6,0,0,533,0,3,9,100,77,82,59,53,10,396,3,16,22,126,32,31,17,3,0,242,28,104,140,789,361,331,211,65,34,2056,0,12,23,171,183,139,190,62,16,793
29499,0,0,0,0,0,3,0,0,0,7,0,0,7,7,0,3,0,0,0,16,0,3,3,10,0,0,0,0,0,24,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,7,6,0,0,0,0,19,4,3,8,5,7,3,3,0,0,21,0,0,3,7,7,7,3,0,0,35,0,0,0,6,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,4,3,10,30,88,24,10,8,3,0,176,28,32,98,304,105,71,44,6,0,689,215,173,624,1864,628,460,283,72,9,4331,0,0,3,3,0,0,0,0,0,3,124,139,304,665,210,210,116,24,17,1804,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,7,8,0,0,3,0,0,12,0,0,0,8,0,0,0,0,0,10
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,11,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,0,0,33,491,654,870,690,552,112,3404,220,1561,2824,12437,4459,3319,2215,805,226,28068,59,119,496,2248,223,236,150,22,8,3545,162,724,1128,2267,254,106,63,11,4,4725,7,65,199,1529,1641,2021,1867,762,169,8254,37,108,313,2333,2244,1340,790,342,71,7571,270,1145,1019,2817,1297,807,592,142,47,8144,213,840,3101,12191,8227,6970,2431,836,357,35168,11,62,73,492,394,325,298,168,71,1889,9,75,248,950,362,193,77,19,3,1933,1028,4358,7934,29124,12761,10161,8075,4917,1957,80314,7592,12348,16454,43985,18447,15734,12337,7940,3495,138319,147382,273047,305102,674277,285775,229601,163110,88091,33202,2199597,68,517,1539,3024,741,340,162,52,14,6443,124916,212454,198315,363807,171133,130830,86414,46076,27764,1361718,59,220,341,2199,332,157,33,8,0,3351,4,23,228,1451,934,767,384,254,44,4089,36,141,637,3079,1407,1116,535,209,89,7239,84,234,436,2063,599,408,169,69,45,4109,20,46,104,1212,799,696,629,194,69,3757
2RVIC,0,0,0,24,89,141,157,141,22,571,20,81,88,440,128,90,78,28,8,956,5,11,71,377,6,3,0,0,0,478,45,233,206,193,27,9,10,0,0,720,0,3,6,41,76,132,117,69,9,447,3,18,18,122,156,67,59,27,0,472,27,129,116,333,200,215,261,46,12,1342,10,38,92,364,181,107,28,10,0,830,3,15,12,84,96,115,140,73,28,562,0,23,33,123,59,50,22,8,0,321,81,454,669,1750,956,1060,1121,811,303,7203,2449,5152,5609,12227,8451,9269,8311,4797,1936,58199,43001,90754,85851,156992,92963,97495,81432,41289,14351,704128,9,82,213,277,71,21,11,5,0,687,37680,77837,70340,132815,79134,79499,60051,33367,17527,588241,3,21,13,132,20,5,4,0,0,197,0,0,16,73,76,70,36,32,7,300,4,12,29,90,29,24,8,0,0,194,17,48,47,309,138,116,65,28,16,778,0,0,0,46,30,24,29,6,3,146
39499,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0,0,9,37,0,0,0,0,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,14,11,4,0,0,3,0,35,0,0,7,3,4,0,0,0,0,11,0,0,8,0,0,7,4,0,0,17,0,0,4,0,3,0,3,0,0,10,5,0,28,78,19,20,18,3,0,174,28,37,130,417,160,200,157,38,3,1172,182,249,772,2257,975,1147,1120,225,19,6937,0,0,0,0,0,0,0,0,0,0,130,183,337,734,438,791,472,77,6,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,3,0,0,29,0,0,0,9,0,0,0,0,0,15
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,12,0,0,5,15,10,7,13,7,0,66,0,0,0,0,0,0,0,0,0,0,3,0,5,8,7,14,4,4,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,0,0,14,146,153,207,167,108,31,830,27,275,352,1442,565,498,305,126,36,3620,68,194,760,2788,363,499,338,71,10,5089,46,304,410,732,110,48,24,4,0,1682,0,5,17,65,66,81,50,19,0,303,0,17,38,233,131,53,22,7,0,512,107,578,608,1452,679,545,377,96,32,4475,58,283,621,2588,1712,1342,574,191,89,7460,6,71,116,332,349,240,212,119,41,1495,0,67,307,926,496,401,124,32,4,2356,460,2552,4194,12919,5124,3958,2678,1319,448,33649,3797,6690,8755,20910,9644,8052,6145,3465,1748,69210,75846,152224,160059,324925,145989,118736,86138,39855,13676,1117452,6,82,259,541,152,57,33,10,4,1141,65429,119272,112688,202777,94206,80088,58559,29812,15515,778334,24,105,114,501,80,43,11,4,0,873,0,8,68,452,266,202,92,47,12,1140,3,20,58,368,199,160,59,27,16,912,46,171,310,1219,419,314,143,59,31,2711,4,25,45,294,164,124,84,30,11,782
3RQLD,0,0,10,47,95,152,175,129,19,619,18,152,101,610,216,151,120,59,13,1425,16,66,212,815,83,63,54,8,3,1310,75,229,298,426,105,43,15,0,0,1190,3,0,4,31,46,35,25,12,3,158,0,12,8,113,121,57,34,17,3,368,59,402,362,967,590,619,583,194,62,3832,22,143,154,489,214,96,53,16,4,1192,9,65,84,309,279,204,296,146,39,1425,3,115,239,669,490,362,164,53,12,2098,225,1228,1975,6106,2766,2650,2499,1572,448,19461,4808,9640,11489,28001,15674,14484,11513,6107,2337,104047,76005,164017,149645,297809,161566,150381,121315,58621,18069,1197426,0,28,50,96,18,15,3,0,0,209,65868,134122,114924,219353,116633,109221,81960,42498,19562,904142,11,39,49,242,33,13,5,0,0,391,0,4,22,170,120,89,57,20,3,483,4,18,17,120,48,30,8,3,0,253,51,152,265,1344,457,435,264,84,35,3095,0,10,15,158,89,49,48,22,8,393
49499,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,17,23,3,3,5,0,0,54,3,12,29,73,55,39,23,0,0,231,50,56,259,626,282,239,168,43,13,1734,0,0,0,0,0,0,0,0,0,0,32,52,128,215,126,106,73,14,6,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,0,0,9,130,137,187,173,143,41,833,25,204,183,922,265,115,78,49,6,1849,16,31,109,295,26,28,15,0,0,523,24,58,169,457,54,26,7,6,0,793,0,3,3,23,27,40,35,29,6,177,0,14,17,75,59,46,31,25,12,275,44,208,217,546,305,270,206,58,24,1882,46,186,517,2057,1407,1379,468,151,85,6292,3,47,60,213,224,253,204,148,41,1206,0,41,83,202,114,88,14,4,0,555,268,1486,2352,5994,2390,1921,1576,1152,552,17687,1688,2937,3785,9377,5084,4687,3689,2385,1160,34787,39238,76657,85987,171053,85442,75675,57017,30457,12371,633888,24,227,727,1000,254,84,40,8,0,2371,33795,61561,62522,114206,58288,52225,36683,18504,11937,449707,38,130,65,568,51,29,8,0,0,890,0,6,55,339,223,209,88,60,12,996,9,39,117,688,294,309,142,59,22,1681,19,71,74,404,167,154,62,23,19,998,3,17,17,125,77,63,48,24,5,373
4RSAU,0,0,0,3,20,22,34,31,3,111,0,16,16,92,14,10,4,3,0,157,0,0,37,133,0,0,0,0,0,167,5,45,39,35,8,0,0,0,0,134,0,0,0,0,0,3,8,0,0,8,0,0,0,10,15,6,5,0,0,48,10,21,22,58,47,52,49,22,3,276,4,12,18,99,37,16,6,3,0,198,0,0,4,19,25,50,57,29,16,207,0,21,21,54,27,20,9,3,0,153,17,82,88,314,194,272,308,194,81,1552,553,1219,1264,3176,2295,2488,2168,1158,479,14796,10628,23789,20497,40781,26390,28251,24131,11942,3954,190368,0,5,24,44,8,0,0,0,0,83,9531,20224,16760,33220,20425,20975,17046,8803,4535,151524,0,13,0,39,0,0,0,0,0,61,0,0,0,5,7,3,3,3,0,20,0,0,5,15,4,0,0,0,0,40,0,3,11,58,28,28,27,4,3,157,0,0,0,4,3,5,4,0,0,21
59499,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,3,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,6,4,3,3,3,0,0,17,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,13,44,16,17,12,0,0,95,17,16,57,216,104,85,55,7,3,548,81,120,341,1376,638,540,375,58,12,3532,0,0,0,0,0,0,0,0,0,0,56,95,160,447,205,255,140,20,7,1378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,3,0,0,0,13,0,0,0,3,0,0,0,0,0,4
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,19,0,0,0,38,17,8,0,0,0,62,0,0,17,245,94,43,8,3,3,408,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,0,0,18,204,157,230,205,145,48,1006,38,348,345,1798,545,356,278,119,38,3863,19,27,137,1159,51,60,40,7,0,1498,105,412,536,639,102,54,31,10,4,1890,4,21,57,372,264,288,296,134,29,1465,6,17,62,311,127,54,33,21,3,633,101,535,481,1115,631,598,387,111,35,3997,61,239,616,2488,1503,1155,462,169,58,6759,15,155,207,759,598,470,448,206,83,2943,4,279,696,1773,974,686,246,78,20,4753,453,2553,4004,12923,4753,3448,2385,1216,397,32149,3527,5779,7476,21536,9084,7416,5507,3393,1641,65366,65040,125113,129745,288674,128061,103140,73986,37102,12680,963536,9,108,425,747,179,91,48,17,0,1633,55098,91212,81976,145444,63384,55077,37159,20400,10397,560148,31,121,89,712,74,57,23,5,4,1112,0,10,80,488,298,283,97,53,14,1327,13,21,45,314,118,101,28,15,9,662,38,181,259,1078,419,296,155,58,28,2520,0,29,46,267,170,139,89,36,5,773
5RWAU,0,0,0,8,5,24,17,14,3,78,3,28,16,153,53,21,14,5,3,301,3,3,36,224,0,4,0,0,0,270,20,88,104,47,9,3,3,0,0,280,0,0,0,10,3,19,14,8,0,62,0,3,0,23,11,7,7,0,0,47,16,54,46,204,111,130,94,30,11,706,3,24,32,154,79,34,16,5,0,353,0,0,12,84,88,95,75,32,14,393,9,63,111,375,222,177,65,7,5,1036,29,165,164,1048,519,451,390,180,61,2992,1454,2717,2668,9465,4877,4308,2658,1382,436,29970,18037,36347,29569,74181,39332,35231,24386,10696,3157,270936,0,13,19,40,7,0,0,0,0,81,15151,29536,21236,46806,23665,21959,14101,7130,2871,182469,0,7,8,47,12,6,0,0,0,76,0,0,0,16,4,6,4,0,0,36,0,7,0,22,3,3,0,0,0,39,0,22,27,221,80,71,22,5,4,464,0,0,0,20,6,11,0,0,0,44
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,9,33,9,10,9,3,0,75,27,16,90,207,77,52,48,8,0,524,0,0,0,0,0,0,0,0,0,0,14,13,47,93,42,36,26,3,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
