GCCSA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
19499,0,3,0,3,..,39,0,39,0,39,..,43,7,57,3,55,..,9,0,9,0,9,..,13,4,19,0,19,..,14,3,19,0,19,..,34,9,40,0,40,..,140,19,159,6,161,..,823,166,986,10,997,..,24,3,25,2154,2181,4175,840,168,1010,2165,7351,3038,..,..,..,..,3038,..,0,0,0,0,0,..,29,15,48,0,48,..,4,0,10,0,10,..,42,10,53,0,51,..,103,41,145,0,145,..,3,4,10,0,10,..,152,57,206,0,211,..,4,0,4,0,4,..,13,0,13,0,13,..,32,3,38,4,41,..,23,0,23,0,23,..,18,0,19,0,19,..,7,3,9,0,9,..,20,0,20,0,20,..,4,0,4,0,4,..,0,0,0,0,0,..,8,3,15,0,15,..,13,0,18,0,18,..,55,6,65,0,65,..,24,3,21,0,26,..,6,3,9,0,9,..,12,7,20
19799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,9,11,0,11,..,0,0,0,0,0,..,19,15,36,0,36,..,0,0,0,12,15,119,25,15,39,12,171,154,..,..,..,..,154,..,0,0,0,0,0,..,0,3,0,0,0,..,0,0,0,0,0,..,0,3,5,0,5,..,3,10,11,0,11,..,0,0,3,0,3,..,3,14,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3
1GSYD,137,2105,15,2118,..,39457,2042,41500,324,41826,..,23653,2889,26540,288,26825,..,13706,1242,14940,105,15048,..,5447,2382,7829,63,7894,..,8268,1566,9828,97,9921,..,33287,12847,46137,274,46411,..,85464,18623,104087,2210,106297,..,691381,134723,826104,8023,834127,..,5862,1394,7263,134945,142206,1400433,697247,136121,833363,142972,2376766,1416378,..,..,..,..,1416378,..,2697,39,2734,12,2746,..,77864,16925,94790,872,95663,..,262,8,273,20,290,..,51893,21617,73516,375,73890,..,87444,36247,123693,666,124353,..,6312,2789,9098,49,9153,..,145651,60653,206303,1091,207394,..,8188,1369,9552,86,9640,..,3035,79,3113,40,3152,..,9851,395,10244,93,10338,..,8252,245,8503,98,8599,..,32125,7063,39187,395,39575,..,12132,1577,13706,94,13801,..,29800,1843,31647,288,31928,..,11162,1586,12753,97,12843,..,4787,217,4999,24,5027,..,10697,1383,12079,136,12211,..,25324,2653,27976,207,28178,..,93905,9258,103157,839,103995,..,27289,4753,32043,366,32408,..,7580,1395,8967,67,9033,..,19326,10659,29991
1RNSW,27,409,8,413,..,3156,119,3272,48,3327,..,2732,316,3041,40,3083,..,609,67,676,4,681,..,777,200,980,16,993,..,773,150,922,9,928,..,1218,358,1580,9,1592,..,10752,2406,13155,352,13516,..,62003,10017,72016,1144,73164,..,3346,281,3626,93553,97180,1131372,65348,10294,75643,94701,1301717,1170957,..,..,..,..,1170957,..,1131,24,1155,11,1157,..,2428,650,3074,43,3118,..,635,34,673,37,708,..,1600,613,2217,27,2242,..,3992,1486,5476,46,5524,..,333,137,472,4,478,..,5925,2243,8163,84,8246,..,1099,171,1271,26,1297,..,1500,34,1536,26,1562,..,1795,89,1886,22,1905,..,3698,107,3802,59,3860,..,2274,397,2671,53,2728,..,615,67,676,3,682,..,1296,84,1380,13,1394,..,1859,422,2279,26,2307,..,575,40,618,3,626,..,574,84,658,11,666,..,1464,299,1763,13,1776,..,6385,992,7375,82,7453,..,5422,958,6381,136,6525,..,1076,140,1212,17,1229,..,708,303,1014
29499,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
29799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
2GMEL,178,3032,22,3057,..,24523,1055,25575,198,25776,..,14371,1599,15975,184,16152,..,12030,1195,13226,119,13343,..,2836,687,3527,35,3556,..,12559,2350,14911,157,15068,..,34472,12219,46693,372,47065,..,86805,20793,107593,2117,109709,..,587647,107107,694753,7322,702072,..,5326,1312,6634,119772,126408,1371118,592972,108413,701384,127096,2199597,1410070,..,..,..,..,1410070,..,2299,33,2328,17,2338,..,30500,6860,37359,424,37780,..,153,4,161,0,161,..,30057,10234,40292,228,40524,..,74936,26096,101034,558,101589,..,7007,2861,9870,57,9924,..,111996,39197,151191,841,152038,..,7736,1373,9113,109,9221,..,3359,102,3463,43,3502,..,8845,359,9204,74,9285,..,8284,249,8530,100,8637,..,44203,11084,55290,518,55807,..,4482,437,4919,37,4954,..,21912,1437,23349,182,23526,..,19845,3018,22866,234,23092,..,16459,1212,17670,137,17805,..,8010,1179,9191,86,9277,..,13061,1493,14551,94,14643,..,83762,8784,92546,760,93310,..,44804,9007,53807,690,54498,..,5138,904,6044,51,6095,..,5552,2251,7804
2RVIC,62,330,4,334,..,1999,144,2137,13,2155,..,706,86,798,6,805,..,382,55,438,4,439,..,320,93,405,4,414,..,579,189,768,9,776,..,675,276,946,14,961,..,7066,2194,9261,231,9485,..,34836,6473,41310,662,41964,..,1813,179,1991,52319,54309,607852,36648,6651,43302,52976,704128,633556,..,..,..,..,633556,..,447,7,451,3,452,..,1143,326,1469,26,1495,..,114,0,117,3,116,..,683,200,886,6,895,..,2391,1082,3475,42,3512,..,167,77,245,0,246,..,3246,1363,4609,49,4660,..,1291,250,1543,13,1550,..,1208,21,1232,23,1255,..,872,35,908,11,918,..,1870,60,1933,29,1960,..,1326,245,1574,32,1603,..,222,29,247,3,248,..,750,61,812,7,819,..,1286,228,1518,18,1537,..,502,41,540,7,549,..,305,44,347,3,349,..,599,85,686,13,700,..,3660,485,4148,50,4193,..,4402,788,5188,87,5276,..,538,64,601,6,601,..,250,62,311
39499,0,3,0,11,..,15,0,19,0,24,..,28,3,30,0,30,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,4,3,13,0,13,..,117,15,131,9,136,..,512,115,619,16,636,..,20,6,29,1515,1542,4759,530,118,650,1532,6937,3934,..,..,..,..,3934,..,4,0,4,0,4,..,7,0,6,0,6,..,11,0,11,0,11,..,20,4,26,0,24,..,78,50,129,0,131,..,3,7,10,0,10,..,101,59,163,3,161,..,0,0,0,0,0,..,27,0,26,0,26,..,46,7,56,0,56,..,37,3,39,0,40,..,3,0,4,0,4,..,0,0,0,0,0,..,10,0,11,0,11,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,29,0,29,..,21,3,27,0,27,..,11,5,12,0,19,..,10,13,25
39799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,6,6,56,7,0,7,6,66,56,..,..,..,..,56,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
