GCCSA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,13187,17904,31093,5362,5861,11220,8435,20148,28588,7064,31456,38521,25287,54840,80124,26040,29825,55864,61761,27071,88837,56133,31850,87978,77180,35133,112315,77891,27061,104948,67503,24416,91914,69731,19725,89461,146785,33775,180561,109457,6525,115985,79082,4171,83249,65761,19617,85378,170200,6847,177046,114132,14269,128403,14667,17725,32388,1195662,428213,1623872
1RNSW,5066,6639,11705,3478,4016,7492,5327,17685,23009,5490,30398,35889,22560,63817,86384,22396,29547,51948,65464,24640,90098,48663,25900,74564,62277,23127,85408,59027,14566,73589,43109,10865,53975,43273,8327,51601,76944,10858,87797,50341,1581,51918,30648,790,31441,18921,4470,23385,36670,754,37424,66772,5494,72263,12456,18104,30562,678869,301570,980442
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,14140,21319,35455,6089,6779,12873,9167,21152,30323,7366,30499,37866,26590,57738,84325,27212,33456,60663,65568,30618,96186,61073,36772,97850,82729,40629,123356,82814,31307,114121,70950,26151,97103,72231,19569,91798,145241,29851,175086,103069,5772,108836,66638,3392,70029,50116,13874,63992,115498,3824,119316,106060,14313,120368,17010,17916,34924,1129553,444918,1574474
2RVIC,3055,3960,7016,2176,2529,4704,3041,10421,13466,3101,16914,20013,12945,35273,48212,12646,17616,30260,34887,14730,49617,27719,15693,43411,35024,13834,48855,33376,8668,42042,24637,6344,30984,24639,4190,28825,42073,5099,47174,25793,870,26666,14070,368,14435,8181,2241,10416,15510,355,15866,35446,2707,38157,7414,10688,18106,365732,172499,538228
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,4697,6081,10782,2278,2493,4768,3513,8949,12458,3345,14372,17719,12017,31811,43830,14016,18244,32262,35030,15530,50559,31772,18513,50285,43091,20250,63338,43711,15037,58752,36928,12853,49779,37962,9225,47184,76037,13928,89969,53978,3157,57138,35992,1750,37748,25872,5421,31296,54961,1622,56580,52514,7607,60120,6708,8188,14899,574438,215030,789464
3RQLD,5550,6353,11899,3221,3208,6421,4567,13267,17839,4545,20548,25097,18289,45824,64109,19324,23778,43102,52346,20641,72987,41436,22659,64093,53542,21873,75415,52541,14534,67070,40143,11204,51346,40612,8039,48651,74446,11391,85834,48453,2174,50627,28983,1089,30069,18564,4509,23069,34449,1133,35588,64296,6764,71063,10128,12958,23085,615423,251949,867368
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
