GCCSA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1GSYD,1247,8309,67947,371976,338763,95663,22087,18235,924225,770,5957,30232,35357,6561,815,204,2519,82409,489,7379,30575,72994,25668,3460,726,3531,144826,1259,13336,60808,108346,32227,4282,929,6054,227238,2231,20221,50668,15062,1678,328,232,3763,94186,2305,22873,102429,19696,904,139,121,4110,152577,5235,50413,115145,30304,1258,188,181,4948,207670,53,525,635,306,107,33,21,118,1798,9831,94031,268874,65368,3947,681,558,12935,456233,290,2033,3307,2016,662,174,74,567,9129,196,1165,1732,1285,826,251,128,1467,7045,12812,118881,402675,548987,376427,101053,23774,39262,1623872
1RNSW,1782,12157,91532,374207,250889,46819,9953,18256,805591,313,5660,31006,18368,1324,188,82,2402,59334,110,2763,11032,13953,1874,212,77,854,30878,422,8427,42030,32321,3191,405,157,3254,90207,671,9801,22811,6069,646,121,115,2190,42429,96,1426,6369,1478,65,17,11,416,9876,82,1419,5781,2689,135,19,8,272,10402,13,183,106,67,28,11,6,31,437,861,12830,35072,10301,875,160,140,2909,63149,1151,4100,4657,2254,867,158,105,1174,14459,128,809,1712,1927,931,250,239,1034,7028,4345,38319,175002,421014,256752,47798,10593,26623,980442
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1332,7178,89976,521948,351231,62711,11386,21872,1067637,396,10619,77728,54579,10657,1066,242,4545,159820,225,2808,26826,54887,15287,2086,371,2089,104584,622,13427,104552,109466,25944,3152,612,6627,264409,1092,19774,47134,15824,1644,190,158,2867,88688,837,16048,26863,3790,215,47,51,1298,49149,2463,31030,47698,8803,520,64,110,2436,93124,7,97,127,67,15,4,0,17,336,4396,66953,121824,28489,2394,296,320,6622,231297,316,1842,2095,1245,418,74,33,380,6392,74,616,1219,1322,607,123,66,708,4746,6732,90018,319669,662460,380592,66363,12414,36215,1574474
2RVIC,771,6295,59095,255650,125660,17155,3447,11244,479310,174,5475,17427,6578,952,92,57,1478,32240,7,364,1411,1940,375,41,16,117,4273,187,5841,18838,8518,1327,131,68,1587,36513,124,3246,7900,1634,128,20,32,823,13912,10,164,217,56,7,0,0,26,475,0,82,134,51,8,3,3,19,313,0,19,18,3,0,7,3,4,47,131,3519,8273,1746,143,25,38,876,14748,419,1460,1149,836,346,62,50,377,4703,35,224,593,1045,508,91,66,391,2958,1546,17338,87945,267799,127979,17472,3675,14474,538228
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,666,4270,37074,248295,237382,52864,11518,10868,602947,205,2865,11803,8610,783,62,37,1358,25725,139,2410,14338,32759,2312,203,64,1280,53503,344,5276,26138,41370,3098,270,104,2634,79224,605,9957,17345,5650,504,106,105,1304,35582,390,3901,21187,3961,222,30,43,629,30362,506,7769,17702,6417,340,31,25,761,33551,3,42,71,38,13,0,3,15,184,1500,21668,56305,16070,1081,170,176,2710,99677,489,1823,1060,570,212,66,30,409,4661,48,369,566,753,398,107,67,654,2959,3045,33404,121145,307055,242165,53474,11893,17273,789464
3RQLD,1711,9866,58935,292713,239225,40971,9033,14246,666707,329,4200,26658,15788,1093,112,65,2007,50253,172,2640,14956,23638,2630,222,83,1147,45505,508,6839,41620,39428,3722,341,148,3156,95759,582,6724,21571,6398,669,96,73,1807,37910,126,3378,13815,3390,127,14,17,702,21576,290,4993,14647,6270,376,30,30,792,27416,7,86,48,23,4,8,4,17,200,1003,15178,50080,16082,1177,144,127,3315,87105,1897,4626,2334,1275,590,112,99,1225,12156,141,717,1090,1427,754,175,124,1232,5646,5256,37226,154063,350921,245468,41736,9528,23175,867368
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,375,3172,34175,215862,91548,14459,2652,6007,368244,196,5363,28944,23174,2145,222,107,1954,62108,30,733,5986,11437,1938,264,40,458,20886,228,6099,34923,34606,4085,487,150,2414,83001,178,5215,19294,2835,139,35,32,894,28620,42,555,2853,359,21,0,8,142,3974,69,1262,3286,815,58,10,6,119,5622,0,35,29,17,3,0,0,4,93,295,7070,25467,4021,216,42,48,1152,38308,120,431,361,269,93,22,14,78,1383,23,150,334,596,194,34,20,175,1509,1034,16917,95252,255351,96138,15044,2878,9829,492448
4RSAU,279,2218,17062,70953,30513,4031,796,2705,128558,39,996,3786,5293,345,82,60,498,11111,0,11,82,226,57,10,3,4,401,44,1010,3872,5520,405,94,63,505,11510,29,721,2077,528,38,5,8,189,3590,0,16,31,11,3,0,0,3,65,0,0,15,10,0,0,0,0,31,0,4,3,5,0,0,0,0,10,29,738,2127,550,42,8,8,194,3691,216,559,307,289,113,23,17,131,1637,20,66,170,372,166,41,24,96,946,578,4588,23534,77680,31233,4193,904,3627,146344
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,457,3577,27656,189645,259221,35432,6081,8772,530833,165,5280,25000,42774,5251,406,143,2418,81447,73,1714,6630,15175,3977,471,99,578,28705,239,6992,31625,57949,9223,874,248,2993,110149,128,3829,9325,2868,243,27,24,676,17119,124,3223,6308,1377,65,10,9,303,11414,188,4635,8698,2771,130,17,11,388,16833,0,17,7,4,5,3,0,11,52,442,11702,24344,7012,440,53,40,1382,45419,176,726,660,271,197,34,21,148,2234,26,142,271,492,357,47,24,279,1636,1347,23141,84552,255369,269438,36440,6417,13577,690280
5RWAU,322,2531,14752,66429,58822,7253,1501,3377,154990,58,1650,4458,3650,387,28,17,503,10755,8,119,459,730,270,34,7,36,1658,63,1772,4917,4385,655,65,25,537,12408,35,867,1527,612,69,4,9,187,3312,0,41,93,43,3,0,0,4,182,0,20,76,38,0,0,0,3,140,0,10,12,0,3,0,0,5,31,36,939,1711,693,72,9,12,200,3661,640,1506,894,406,185,44,45,363,4089,40,155,213,373,230,47,62,216,1343,1105,6902,22481,72293,59967,7420,1639,4692,176495
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,105,1053,11597,39709,14925,3181,689,1356,72613,25,839,1589,364,58,15,7,141,3028,10,221,1167,489,95,32,6,46,2071,38,1057,2755,853,150,47,14,187,5099,83,1647,2994,663,115,20,10,181,5708,58,233,483,113,10,5,0,22,931,24,172,343,66,0,4,0,20,623,0,28,15,7,8,3,0,0,62,166,2084,3836,851,137,23,19,224,7335,27,101,85,82,21,3,4,26,356,4,39,54,66,18,11,3,26,224,342,4336,18327,41559,15259,3261,725,1822,85630
6RTAS,261,2175,16324,56263,19115,3329,774,2141,100385,25,1389,2876,525,71,8,4,263,5172,6,80,477,347,129,30,14,40,1112,33,1469,3355,874,197,39,17,302,6282,30,900,2003,329,53,15,10,151,3485,4,49,85,9,0,0,0,3,152,20,86,54,16,0,0,0,5,191,0,48,40,5,5,0,0,6,103,62,1083,2176,356,59,12,7,165,3927,75,290,202,159,48,10,9,53,848,7,33,134,168,77,19,10,56,504,437,5047,22189,57824,19499,3412,824,2721,111949
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
