GCCSA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
19499,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
19799,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
1GSYD,1123,26545,99173,68522,61634,47890,20526,6133,2531,334078,369,11575,74631,55216,46483,32827,12353,3154,1214,237823,194,4703,60532,53661,44062,29789,9518,2552,1071,206078,122,1722,37821,43289,34749,22373,6363,1651,704,148798,114,1359,52294,79624,59407,34886,9755,2563,1004,241007,272,787,18236,57731,55247,29450,10005,3190,1440,176348,22614,26991,63830,49578,43228,36617,31707,24775,20723,320057,288362,340737,774405,696037,627580,524011,372488,204051,96022,3923700
1RNSW,598,9885,34390,31976,35510,31446,14069,4623,1684,164187,180,4091,23574,22574,24070,19672,6560,1697,573,102984,76,1731,17307,20501,21980,16606,4486,1114,437,84232,26,753,10120,16006,17000,12435,2745,718,307,60118,48,634,12177,22899,23801,15720,3642,1036,371,80335,194,406,3468,9521,11527,8767,3414,1335,547,39180,18213,13377,25858,25307,29686,32067,32260,25551,17377,219694,159525,147560,290388,304924,348557,363959,303231,168736,71398,2158275
29499,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
2GMEL,775,20264,98050,66304,60763,44233,17208,5386,2265,315238,228,7506,70908,52978,44971,30257,10002,2621,1116,220585,184,2935,51414,49462,41459,26614,7612,2009,888,182581,82,1196,29036,37211,30826,19209,5009,1324,582,124478,145,1055,37189,61325,48631,27806,7486,2041,872,186559,255,799,11535,39365,39895,21764,7718,2515,1125,124973,22384,25235,56636,44370,40962,34952,31544,24941,18302,299327,269015,333367,730345,639084,587317,476902,344283,196050,89151,3665515
2RVIC,278,5339,19772,17773,20509,17553,6942,2272,1022,91472,78,1913,13220,12971,13795,10777,3415,852,300,57323,30,778,8425,10852,11915,9085,2186,615,230,44117,19,287,4470,7373,8389,6082,1392,357,167,28530,25,227,4548,9123,10412,7274,1783,533,188,34102,121,242,1628,4250,5530,4282,1757,710,293,18810,10483,7157,14061,14228,16962,18511,18659,13793,8643,122492,86967,79529,157001,165539,192122,199728,164829,88833,38801,1173346
39499,3,50,160,92,72,102,47,12,0,535,0,20,63,49,62,50,15,0,0,264,0,3,85,52,52,32,16,0,0,242,0,3,26,28,28,22,3,0,0,122,0,0,51,47,46,33,4,0,0,185,0,10,20,22,28,14,10,4,0,109,72,230,495,331,332,424,297,73,17,2272,408,1133,2293,1485,1663,2373,1916,381,44,11693
39799,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,7,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,7,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,4,8,0,0,24,11,11,11,14,24,30,33,16,4,144
