SED_NAME16	PrivateDwelling	persons
Albury	0	7763
Albury	1	70128
Auburn	0	8468
Auburn	1	95515
Ballina	0	9602
Ballina	1	65046
Balmain	0	8806
Balmain	1	72865
Bankstown	0	6427
Bankstown	1	79398
Barwon	0	12175
Barwon	1	66961
Bathurst	0	9226
Bathurst	1	68064
Baulkham Hills	0	2337
Baulkham Hills	1	76471
Bega	0	7423
Bega	1	61963
Blacktown	0	3661
Blacktown	1	83518
Blue Mountains	0	4888
Blue Mountains	1	65783
Cabramatta	0	3341
Cabramatta	1	78087
Camden	0	4110
Camden	1	83243
Campbelltown	0	5214
Campbelltown	1	73826
Canterbury	0	4850
Canterbury	1	82759
Castle Hill	0	2133
Castle Hill	1	76793
Cessnock	0	6310
Cessnock	1	69804
Charlestown	0	2752
Charlestown	1	67859
Clarence	0	8559
Clarence	1	66549
Coffs Harbour	0	8156
Coffs Harbour	1	66425
Coogee	0	10590
Coogee	1	73108
Cootamundra	0	7651
Cootamundra	1	63196
Cronulla	0	3183
Cronulla	1	69050
Davidson	0	2768
Davidson	1	74260
Drummoyne	0	5142
Drummoyne	1	74519
Dubbo	0	9756
Dubbo	1	67432
East Hills	0	3528
East Hills	1	73272
Epping	0	2714
Epping	1	76349
Fairfield	0	4015
Fairfield	1	82632
Gosford	0	5225
Gosford	1	68215
Goulburn	0	7220
Goulburn	1	67912
Granville	0	4921
Granville	1	85833
Hawkesbury	0	4928
Hawkesbury	1	68530
Heathcote	0	2728
Heathcote	1	72260
Heffron	0	12222
Heffron	1	92871
Holsworthy	0	4879
Holsworthy	1	79442
Hornsby	0	2915
Hornsby	1	75201
Keira	0	3759
Keira	1	73247
Kiama	0	5613
Kiama	1	64248
Kogarah	0	5500
Kogarah	1	86654
Ku-ring-gai	0	5067
Ku-ring-gai	1	74775
Lake Macquarie	0	3673
Lake Macquarie	1	65834
Lakemba	0	5084
Lakemba	1	86204
Lane Cove	0	7323
Lane Cove	1	75217
Lismore	0	7755
Lismore	1	66456
Liverpool	0	7306
Liverpool	1	84223
Londonderry	0	6495
Londonderry	1	84677
Macquarie Fields	0	4171
Macquarie Fields	1	81689
Maitland	0	3856
Maitland	1	72295
Manly	0	5320
Manly	1	73873
Maroubra	0	6875
Maroubra	1	74019
Miranda	0	3795
Miranda	1	69776
Monaro	0	19939
Monaro	1	68606
Mount Druitt	0	4836
Mount Druitt	1	83851
Mulgoa	0	3269
Mulgoa	1	77724
Murray	0	10840
Murray	1	72302
Myall Lakes	0	6422
Myall Lakes	1	64531
Newcastle	0	5761
Newcastle	1	64909
Newtown	0	14187
Newtown	1	70423
North Shore	0	7654
North Shore	1	69084
Northern Tablelands	0	11029
Northern Tablelands	1	68439
Oatley	0	3189
Oatley	1	72388
Orange	0	7896
Orange	1	69785
Oxley	0	7681
Oxley	1	65428
Parramatta	0	9538
Parramatta	1	93819
Penrith	0	5466
Penrith	1	73295
Pittwater	0	4419
Pittwater	1	65977
Port Macquarie	0	6814
Port Macquarie	1	66696
Port Stephens	0	6383
Port Stephens	1	64440
Prospect	0	4107
Prospect	1	77338
Riverstone	0	3762
