SED_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Albury				9
Albury			0	4
Albury			7875	8
Albury			15750	6
Albury			26250	13
Albury			34125	9
Albury			42000	21
Albury			52500	27
Albury			65625	31
Albury			78750	23
Albury			91875	20
Albury			105000	10
Albury			131250	20
Albury			183750	3
Albury	0			360
Albury	0		0	31
Albury	0		7875	28
Albury	0		15750	102
Albury	0		21000	154
Albury	0		26250	272
Albury	0		34125	383
Albury	0		42000	396
Albury	0		52500	395
Albury	0		65625	341
Albury	0		78750	227
Albury	0		91875	174
Albury	0		105000	114
Albury	0		131250	132
Albury	0		157500	58
Albury	0		183750	14
Albury	0		210000	23
Albury	0		Inf	21
Albury	1	0		1969
Albury	1	0	0	112
Albury	1	0	7875	69
Albury	1	0	15750	39
Albury	1	0	21000	43
Albury	1	0	26250	369
Albury	1	0	34125	205
Albury	1	0	42000	1252
Albury	1	0	52500	1052
Albury	1	0	65625	1492
Albury	1	0	78750	1635
Albury	1	0	91875	1144
Albury	1	0	105000	1186
Albury	1	0	131250	2225
Albury	1	0	157500	1418
Albury	1	0	183750	829
Albury	1	0	210000	423
Albury	1	0	Inf	761
Albury	1	1	7875	15
Albury	1	1	15750	17
Albury	1	1	26250	56
Albury	1	1	34125	108
Albury	1	1	42000	174
Auburn				11
Auburn			0	22
Auburn			7875	5
Auburn			15750	12
Auburn			21000	4
Auburn			26250	32
Auburn			34125	34
Auburn			42000	61
Auburn			52500	53
Auburn			65625	86
Auburn			78750	68
Auburn			91875	39
Auburn			105000	45
Auburn			131250	79
Auburn			157500	32
Auburn			183750	20
Auburn			210000	13
Auburn			Inf	21
Auburn	0			387
Auburn	0		0	166
Auburn	0		7875	42
Auburn	0		15750	175
Auburn	0		21000	148
Auburn	0		26250	232
Auburn	0		34125	253
Auburn	0		42000	336
Auburn	0		52500	361
Auburn	0		65625	396
Auburn	0		78750	277
Auburn	0		91875	225
Auburn	0		105000	158
Auburn	0		131250	243
Auburn	0		157500	120
Auburn	0		183750	53
Auburn	0		210000	40
Auburn	0		Inf	47
Auburn	1	0		2088
Auburn	1	0	0	567
Auburn	1	0	7875	95
Auburn	1	0	15750	103
Auburn	1	0	21000	91
Auburn	1	0	26250	392
Auburn	1	0	34125	249
Auburn	1	0	42000	900
Auburn	1	0	52500	1494
Auburn	1	0	65625	1846
Auburn	1	0	78750	1728
Auburn	1	0	91875	1302
Auburn	1	0	105000	1129
Auburn	1	0	131250	2261
Auburn	1	0	157500	1436
Auburn	1	0	183750	904
Auburn	1	0	210000	672
Auburn	1	0	Inf	1128
Auburn	1	1	7875	50
Auburn	1	1	15750	116
Auburn	1	1	21000	105
Auburn	1	1	26250	344
Auburn	1	1	34125	518
Auburn	1	1	42000	689
Ballina				4
Ballina			7875	3
Ballina			15750	4
Ballina			26250	5
Ballina			34125	13
Ballina			42000	32
Ballina			52500	32
Ballina			65625	29
Ballina			78750	29
Ballina			91875	7
Ballina			105000	21
Ballina			131250	15
Ballina			157500	11
Ballina			210000	3
Ballina			Inf	3
Ballina	0			447
Ballina	0		0	33
Ballina	0		7875	27
Ballina	0		15750	93
Ballina	0		21000	130
Ballina	0		26250	241
Ballina	0		34125	424
Ballina	0		42000	430
Ballina	0		52500	385
Ballina	0		65625	412
Ballina	0		78750	298
Ballina	0		91875	143
Ballina	0		105000	129
Ballina	0		131250	145
Ballina	0		157500	52
Ballina	0		183750	19
Ballina	0		210000	24
Ballina	0		Inf	22
Ballina	1	0		1763
Ballina	1	0	0	89
Ballina	1	0	7875	43
Ballina	1	0	15750	49
Ballina	1	0	21000	31
Ballina	1	0	26250	300
Ballina	1	0	34125	203
Ballina	1	0	42000	1170
Ballina	1	0	52500	1014
Ballina	1	0	65625	1529
Ballina	1	0	78750	1471
Ballina	1	0	91875	1009
Ballina	1	0	105000	1112
Ballina	1	0	131250	1870
Ballina	1	0	157500	1113
Ballina	1	0	183750	655
Ballina	1	0	210000	385
Ballina	1	0	Inf	913
Ballina	1	1	7875	15
Ballina	1	1	15750	20
Ballina	1	1	21000	14
Ballina	1	1	26250	69
Ballina	1	1	34125	89
Ballina	1	1	42000	177
Balmain				6
Balmain			0	33
Balmain			7875	9
Balmain			15750	11
Balmain			21000	10
Balmain			26250	21
Balmain			34125	16
Balmain			42000	20
Balmain			52500	41
Balmain			65625	50
Balmain			78750	49
Balmain			91875	37
Balmain			105000	28
Balmain			131250	55
Balmain			157500	32
Balmain			183750	15
Balmain			210000	10
Balmain			Inf	32
Balmain	0			302
Balmain	0		0	57
Balmain	0		7875	19
Balmain	0		15750	77
Balmain	0		21000	60
Balmain	0		26250	106
Balmain	0		34125	141
Balmain	0		42000	153
Balmain	0		52500	182
Balmain	0		65625	209
Balmain	0		78750	157
Balmain	0		91875	150
Balmain	0		105000	124
