SED_NAME16	AgeStudent	students
Albury	0-4	1063
Albury	5-14	9097
Albury	15-19	3379
Albury	20-24	1297
Albury	25+	2268
Auburn	0-4	1236
Auburn	5-14	10280
Auburn	15-19	4596
Auburn	20-24	4279
Auburn	25+	6367
Ballina	0-4	940
Ballina	5-14	7636
Ballina	15-19	2869
Ballina	20-24	694
Ballina	25+	2483
Balmain	0-4	1146
Balmain	5-14	6692
Balmain	15-19	2614
Balmain	20-24	4534
Balmain	25+	5270
Bankstown	0-4	1274
Bankstown	5-14	10620
Bankstown	15-19	4517
Bankstown	20-24	2583
Bankstown	25+	3519
Barwon	0-4	1201
Barwon	5-14	8602
Barwon	15-19	2447
Barwon	20-24	578
Barwon	25+	1636
Bathurst	0-4	1104
Bathurst	5-14	9037
Bathurst	15-19	3603
Bathurst	20-24	1532
Bathurst	25+	2327
Baulkham Hills	0-4	1370
Baulkham Hills	5-14	10615
Baulkham Hills	15-19	4714
Baulkham Hills	20-24	2686
Baulkham Hills	25+	2666
Bega	0-4	743
Bega	5-14	6735
Bega	15-19	2346
Bega	20-24	443
Bega	25+	1451
Blacktown	0-4	1326
Blacktown	5-14	10379
Blacktown	15-19	4245
Blacktown	20-24	2400
Blacktown	25+	3562
Blue Mountains	0-4	1074
Blue Mountains	5-14	8505
Blue Mountains	15-19	3430
Blue Mountains	20-24	1317
Blue Mountains	25+	2876
Cabramatta	0-4	919
Cabramatta	5-14	9490
Cabramatta	15-19	4949
Cabramatta	20-24	2849
Cabramatta	25+	2914
Camden	0-4	1706
Camden	5-14	12665
Camden	15-19	4540
Camden	20-24	1680
Camden	25+	2266
Campbelltown	0-4	1222
Campbelltown	5-14	10133
Campbelltown	15-19	3797
Campbelltown	20-24	1717
Campbelltown	25+	2369
Canterbury	0-4	1152
Canterbury	5-14	9179
Canterbury	15-19	4198
Canterbury	20-24	2938
Canterbury	25+	4236
Castle Hill	0-4	1390
Castle Hill	5-14	12259
Castle Hill	15-19	5345
Castle Hill	20-24	2411
Castle Hill	25+	2472
Cessnock	0-4	1293
Cessnock	5-14	9616
Cessnock	15-19	3094
Cessnock	20-24	874
Cessnock	25+	1779
Charlestown	0-4	1188
Charlestown	5-14	8831
Charlestown	15-19	3323
Charlestown	20-24	1584
Charlestown	25+	2318
Clarence	0-4	975
Clarence	5-14	7888
Clarence	15-19	2881
Clarence	20-24	572
Clarence	25+	1707
Coffs Harbour	0-4	1050
Coffs Harbour	5-14	8464
Coffs Harbour	15-19	2968
Coffs Harbour	20-24	968
Coffs Harbour	25+	2350
Coogee	0-4	1273
Coogee	5-14	7412
Coogee	15-19	2721
Coogee	20-24	2682
Coogee	25+	4623
Cootamundra	0-4	1016
Cootamundra	5-14	8419
Cootamundra	15-19	2677
Cootamundra	20-24	598
Cootamundra	25+	1392
Cronulla	0-4	1186
Cronulla	5-14	8769
Cronulla	15-19	3625
Cronulla	20-24	1704
Cronulla	25+	2153
Davidson	0-4	1338
Davidson	5-14	11745
Davidson	15-19	5273
Davidson	20-24	2516
Davidson	25+	2450
Drummoyne	0-4	1077
Drummoyne	5-14	7724
Drummoyne	15-19	3114
Drummoyne	20-24	2973
Drummoyne	25+	3568
Dubbo	0-4	1226
Dubbo	5-14	9340
Dubbo	15-19	2974
Dubbo	20-24	781
Dubbo	25+	2086
East Hills	0-4	1215
East Hills	5-14	9501
East Hills	15-19	4022
East Hills	20-24	2197
East Hills	25+	2406
Epping	0-4	1063
Epping	5-14	9981
Epping	15-19	5408
Epping	20-24	3554
Epping	25+	3192
Fairfield	0-4	1007
Fairfield	5-14	10278
Fairfield	15-19	4766
Fairfield	20-24	2739
Fairfield	25+	3771
Gosford	0-4	1038
Gosford	5-14	7504
Gosford	15-19	2875
Gosford	20-24	1231
Gosford	25+	2429
Goulburn	0-4	1117
Goulburn	5-14	8861
Goulburn	15-19	3236
Goulburn	20-24	845
Goulburn	25+	2091
Granville	0-4	1344
Granville	5-14	10458
Granville	15-19	3968
Granville	20-24	2901
