SED_NAME16	CountryOfBirth	persons
Albury		7550
Albury	AFG	13
Albury	AUS	64722
Albury	BGD	95
Albury	BIH	8
Albury	CAN	65
Albury	CHL	15
Albury	CHN	145
Albury	DEU	361
Albury	EGY	25
Albury	FJI	71
Albury	FRA	24
Albury	GBR	1930
Albury	GRC	64
Albury	HKG	45
Albury	HRV	61
Albury	IDN	22
Albury	IND	608
Albury	IRL	108
Albury	IRN	25
Albury	IRQ	3
Albury	ITA	111
Albury	JPN	29
Albury	KHM	11
Albury	KOR	51
Albury	LBN	22
Albury	LKA	111
Albury	MKD	3
Albury	MLT	31
Albury	MMR	7
Albury	MUS	6
Albury	MYS	55
Albury	NLD	298
Albury	NPL	204
Albury	NZL	792
Albury	PAK	42
Albury	PHL	362
Albury	PNG	35
Albury	POL	46
Albury	SGP	28
Albury	THA	92
Albury	TWN	4
Albury	USA	135
Albury	VNM	47
Albury	ZAF	155
Albury	ZWE	37
Auburn		11454
Auburn	AFG	3191
Auburn	AUS	37275
Auburn	BGD	560
Auburn	BIH	172
Auburn	CAN	82
Auburn	CHL	166
Auburn	CHN	11123
Auburn	DEU	142
Auburn	EGY	354
Auburn	FJI	519
Auburn	FRA	46
Auburn	GBR	736
Auburn	GRC	213
Auburn	HKG	1036
Auburn	HRV	326
Auburn	IDN	608
Auburn	IND	3226
Auburn	IRL	118
Auburn	IRN	735
Auburn	IRQ	1260
Auburn	ITA	430
Auburn	JPN	120
Auburn	KHM	223
Auburn	KOR	5491
Auburn	LBN	3920
Auburn	LKA	1688
Auburn	MKD	66
Auburn	MLT	112
Auburn	MMR	566
Auburn	MUS	79
Auburn	MYS	709
Auburn	NLD	39
Auburn	NPL	3322
Auburn	NZL	999
Auburn	PAK	2985
Auburn	PHL	1724
Auburn	PNG	25
Auburn	POL	124
Auburn	SGP	195
Auburn	THA	393
Auburn	TUR	2418
Auburn	TWN	758
Auburn	USA	156
Auburn	VNM	3511
Auburn	ZAF	231
Auburn	ZWE	60
Ballina		8762
Ballina	AFG	3
Ballina	AUS	55495
Ballina	BGD	4
Ballina	CAN	253
Ballina	CHL	64
Ballina	CHN	79
Ballina	DEU	481
Ballina	EGY	23
Ballina	FJI	59
Ballina	FRA	174
Ballina	GBR	3430
Ballina	GRC	38
Ballina	HKG	38
Ballina	HRV	25
Ballina	IDN	63
Ballina	IND	172
Ballina	IRL	151
Ballina	IRN	20
Ballina	IRQ	3
Ballina	ITA	222
Ballina	JPN	201
Ballina	KHM	10
Ballina	KOR	39
Ballina	LBN	6
Ballina	LKA	41
Ballina	MKD	6
Ballina	MLT	41
Ballina	MMR	3
Ballina	MUS	15
Ballina	MYS	77
Ballina	NLD	299
Ballina	NPL	10
Ballina	NZL	1411
Ballina	PAK	6
Ballina	PHL	163
Ballina	PNG	115
Ballina	POL	51
Ballina	SGP	44
Ballina	THA	133
Ballina	TUR	17
Ballina	TWN	17
Ballina	USA	480
Ballina	VNM	49
Ballina	ZAF	403
Ballina	ZWE	57
Balmain		10617
Balmain	AFG	8
Balmain	AUS	47269
Balmain	BGD	49
Balmain	BIH	48
Balmain	CAN	388
Balmain	CHL	129
Balmain	CHN	4138
Balmain	DEU	493
Balmain	EGY	120
Balmain	FJI	175
Balmain	FRA	416
Balmain	GBR	5657
Balmain	GRC	321
Balmain	HKG	517
Balmain	HRV	91
Balmain	IDN	418
Balmain	IND	676
Balmain	IRL	747
Balmain	IRN	229
Balmain	IRQ	41
Balmain	ITA	1084
Balmain	JPN	406
Balmain	KHM	41
Balmain	KOR	489
Balmain	LBN	136
Balmain	LKA	185
Balmain	MKD	56
Balmain	MLT	114
Balmain	MMR	76
Balmain	MUS	56
Balmain	MYS	582
Balmain	NLD	224
Balmain	NPL	58
Balmain	NZL	2253
Balmain	PAK	45
Balmain	PHL	497
Balmain	PNG	71
Balmain	POL	199
Balmain	SGP	323
Balmain	THA	768
Balmain	TUR	157
Balmain	TWN	241
