SED_NAME16	Landlord	Rent.min	occupied_private_dwellings_being_rented
Albury		0	139
Albury		3937	5
Albury		5250	11
Albury		7875	12
Albury		10500	10
Albury		11812	4
Albury		14437	5
Albury		18375	4
Albury	(Other)	0	91
Albury	(Other)	3937	17
Albury	(Other)	5250	45
Albury	(Other)	7875	63
Albury	(Other)	10500	32
Albury	(Other)	11812	34
Albury	(Other)	14437	28
Albury	(Other)	18375	5
Albury	Co-op/church group etc	0	16
Albury	Co-op/church group etc	3937	30
Albury	Co-op/church group etc	5250	26
Albury	Co-op/church group etc	7875	42
Albury	Co-op/church group etc	10500	15
Albury	Co-op/church group etc	11812	10
Albury	Co-op/church group etc	14437	8
Albury	Co-op/church group etc	18375	3
Albury	Person not in same household	0	189
Albury	Person not in same household	3937	35
Albury	Person not in same household	5250	213
Albury	Person not in same household	7875	369
Albury	Person not in same household	10500	264
Albury	Person not in same household	11812	304
Albury	Person not in same household	14437	217
Albury	Person not in same household	18375	85
Albury	Person not in same household	23625	24
Albury	Person not in same household	28875	3
Albury	Person not in same household	34125	4
Albury	Person not in same household	49875	12
Albury	Real estate agent	0	23
Albury	Real estate agent	3937	23
Albury	Real estate agent	5250	408
Albury	Real estate agent	7875	1103
Albury	Real estate agent	10500	615
Albury	Real estate agent	11812	1221
Albury	Real estate agent	14437	1239
Albury	Real estate agent	18375	652
Albury	Real estate agent	23625	90
Albury	Real estate agent	28875	12
Albury	Real estate agent	34125	3
Albury	Real estate agent	49875	10
Albury	State or territory housing authority	0	34
Albury	State or territory housing authority	3937	45
Albury	State or territory housing authority	5250	312
Albury	State or territory housing authority	7875	152
Albury	State or territory housing authority	10500	62
Albury	State or territory housing authority	11812	82
Albury	State or territory housing authority	14437	23
Auburn		0	72
Auburn		5250	3
Auburn		7875	6
Auburn		10500	3
Auburn		14437	5
Auburn		18375	16
Auburn		23625	14
Auburn		28875	3
Auburn	(Other)	0	12
Auburn	(Other)	3937	4
Auburn	(Other)	5250	14
Auburn	(Other)	7875	12
Auburn	(Other)	10500	10
Auburn	(Other)	11812	29
Auburn	(Other)	14437	30
Auburn	(Other)	18375	94
Auburn	(Other)	23625	87
Auburn	(Other)	28875	34
Auburn	(Other)	34125	10
Auburn	(Other)	39375	3
Auburn	Co-op/church group etc	0	7
Auburn	Co-op/church group etc	3937	21
Auburn	Co-op/church group etc	5250	26
Auburn	Co-op/church group etc	7875	66
Auburn	Co-op/church group etc	10500	22
Auburn	Co-op/church group etc	11812	22
Auburn	Co-op/church group etc	14437	25
Auburn	Co-op/church group etc	18375	30
