SED_NAME16	medianTotalFamilyIncome
Albury	76128
Auburn	71448
Ballina	73372
Balmain	157456
Bankstown	66404
Barwon	67808
Bathurst	78052
Baulkham Hills	124800
Bega	62920
Blacktown	86268
Blue Mountains	94796
Cabramatta	64376
Camden	111384
Campbelltown	80236
Canterbury	80132
Castle Hill	130364
Cessnock	77376
Charlestown	93080
Clarence	59852
Coffs Harbour	69992
Coogee	150488
Cootamundra	67080
Cronulla	126880
Davidson	152308
Drummoyne	125060
Dubbo	78156
East Hills	93496
Epping	124852
Fairfield	61828
Gosford	79144
Goulburn	86736
Granville	75764
Hawkesbury	101140
Heathcote	117208
Heffron	116896
Holsworthy	98384
Hornsby	118716
Keira	99788
Kiama	83928
Kogarah	82784
Ku-ring-gai	144768
Lake Macquarie	77532
Lakemba	63440
Lane Cove	145288
Lismore	65156
Liverpool	73788
Londonderry	81692
Macquarie Fields	86996
Maitland	86476
Manly	152412
Maroubra	112372
Miranda	116272
Monaro	109616
Mount Druitt	82888
Mulgoa	109096
Murray	74100
Myall Lakes	57824
Newcastle	99216
Newtown	134368
North Shore	175396
Northern Tablelands	68796
Oatley	105092
Orange	80548
Oxley	59436
Parramatta	93288
Penrith	96044
Pittwater	125372
Port Macquarie	66664
Port Stephens	72904
Prospect	89232
Riverstone	119652
Rockdale	93756
Ryde	104572
Seven Hills	102648
Shellharbour	79560
South Coast	60164
Strathfield	96252
Summer Hill	109824
Swansea	74880
Sydney	143468
Tamworth	75504
Terrigal	97084
The Entrance	82212
Tweed	70460
Upper Hunter	83304
Vaucluse	168064
Wagga Wagga	84812
Wakehurst	120588
Wallsend	84032
Willoughby	147108
Wollondilly	97500
Wollongong	77012
Wyong	76596
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	135564
Altona (Western Metropolitan)	98748
Bass (Eastern Victoria)	73268
Bayswater (Eastern Metropolitan)	90064
Bellarine (Western Victoria)	80808
Benambra (Northern Victoria)	78468
Bendigo East (Northern Victoria)	78988
Bendigo West (Northern Victoria)	71448
Bentleigh (Southern Metropolitan)	111904
Box Hill (Eastern Metropolitan)	106652
Brighton (Southern Metropolitan)	151216
Broadmeadows (Northern Metropolitan)	57876
Brunswick (Northern Metropolitan)	111280
Bulleen (Eastern Metropolitan)	94380
Bundoora (Northern Metropolitan)	88452
Buninyong (Western Victoria)	76180
Burwood (Southern Metropolitan)	118040
Carrum (South-Eastern Metropolitan)	91208
Caulfield (Southern Metropolitan)	124332
Clarinda (South-Eastern Metropolitan)	76960
Cranbourne (South-Eastern Metropolitan)	86268
Croydon (Eastern Metropolitan)	95160
Dandenong (South-Eastern Metropolitan)	62660
Eildon (Northern Victoria)	76544
Eltham (Eastern Metropolitan)	116688
Essendon (Western Metropolitan)	118508
Euroa (Northern Victoria)	70512
Evelyn (Eastern Victoria)	93132
Ferntree Gully (Eastern Metropolitan)	92560
Footscray (Western Metropolitan)	79144
Forest Hill (Eastern Metropolitan)	93912
Frankston (South-Eastern Metropolitan)	78624
Geelong (Western Victoria)	86268
Gembrook (Eastern Victoria)	95836
Gippsland East (Eastern Victoria)	63960
Gippsland South (Eastern Victoria)	71032
Hastings (Eastern Victoria)	87360
Hawthorn (Southern Metropolitan)	143104
Ivanhoe (Eastern Metropolitan)	109512
Kew (Southern Metropolitan)	130728
Keysborough (South-Eastern Metropolitan)	75244
Kororoit (Western Metropolitan)	79612
Lara (Western Victoria)	70668
Lowan (Western Victoria)	69264
Macedon (Northern Victoria)	93912
