SED_NAME16	Age5yr	ChildrenEverBorn	females
Ballina	15-19		306
Ballina	15-19	0	1577
Ballina	15-19	1	17
Ballina	15-19	2	3
Ballina	20-24		184
Ballina	20-24	0	1068
Ballina	20-24	1	95
Ballina	20-24	2	36
Ballina	20-24	3	16
Ballina	20-24	4	3
Ballina	25-29		199
Ballina	25-29	0	1001
Ballina	25-29	1	265
Ballina	25-29	2	155
Ballina	25-29	3	44
Ballina	25-29	4	9
Ballina	25-29	5	4
Ballina	30-34		174
Ballina	30-34	0	737
Ballina	30-34	1	401
Ballina	30-34	2	431
Ballina	30-34	3	153
Ballina	30-34	4	39
Ballina	30-34	5	9
Ballina	30-34	6	4
Ballina	35-39		220
Ballina	35-39	0	458
Ballina	35-39	1	428
Ballina	35-39	2	685
Ballina	35-39	3	289
Ballina	35-39	4	77
Ballina	35-39	5	11
Ballina	35-39	6	5
Ballina	40-44		233
Ballina	40-44	0	413
Ballina	40-44	1	415
Ballina	40-44	2	979
Ballina	40-44	3	448
Ballina	40-44	4	135
Ballina	40-44	5	33
Ballina	40-44	6	19
Ballina	45-49		258
Ballina	45-49	0	471
Ballina	45-49	1	405
Ballina	45-49	2	979
Ballina	45-49	3	471
Ballina	45-49	4	182
Ballina	45-49	5	40
Ballina	45-49	6	16
Ballina	50-54		276
Ballina	50-54	0	455
Ballina	50-54	1	403
Ballina	50-54	2	913
Ballina	50-54	3	556
Ballina	50-54	4	185
Ballina	50-54	5	36
Ballina	50-54	6	25
Ballina	55-59		294
Ballina	55-59	0	462
Ballina	55-59	1	371
Ballina	55-59	2	999
Ballina	55-59	3	673
Ballina	55-59	4	251
Ballina	55-59	5	71
Ballina	55-59	6	22
Ballina	60-64		299
Ballina	60-64	0	418
Ballina	60-64	1	333
Ballina	60-64	2	961
Ballina	60-64	3	679
Ballina	60-64	4	250
Ballina	60-64	5	50
Ballina	60-64	6	34
Ballina	65-69		224
Ballina	65-69	0	294
Ballina	65-69	1	258
Ballina	65-69	2	873
Ballina	65-69	3	609
Ballina	65-69	4	238
Ballina	65-69	5	57
Ballina	65-69	6	26
Ballina	70-74		182
Ballina	70-74	0	160
Ballina	70-74	1	176
Ballina	70-74	2	581
Ballina	70-74	3	451
Ballina	70-74	4	194
Ballina	70-74	5	53
Ballina	70-74	6	49
Ballina	75-79		164
Ballina	75-79	0	112
Ballina	75-79	1	69
Ballina	75-79	2	370
Ballina	75-79	3	368
Ballina	75-79	4	204
Ballina	75-79	5	77
Ballina	75-79	6	30
Ballina	80-84		158
Ballina	80-84	0	72
Ballina	80-84	1	75
Ballina	80-84	2	225
Ballina	80-84	3	255
Ballina	80-84	4	165
Ballina	80-84	5	59
Ballina	80-84	6	73
Ballina	85+		309
Ballina	85+	0	118
Ballina	85+	1	108
Ballina	85+	2	317
Ballina	85+	3	314
Ballina	85+	4	226
Ballina	85+	5	69
Ballina	85+	6	89
Balmain	15-19		199
Balmain	15-19	0	1504
Balmain	15-19	1	5
Balmain	20-24		485
Balmain	20-24	0	3554
Balmain	20-24	1	23
Balmain	20-24	2	6
Balmain	20-24	6	4
Balmain	25-29		513
Balmain	25-29	0	3558
Balmain	25-29	1	163
Balmain	25-29	2	60
Balmain	25-29	3	12
Balmain	25-29	4	4
Balmain	30-34		481
Balmain	30-34	0	2707
Balmain	30-34	1	715
Balmain	30-34	2	322
Balmain	30-34	3	56
Balmain	30-34	4	7
Balmain	30-34	5	3
Balmain	30-34	6	4
Balmain	35-39		367
Balmain	35-39	0	1635
Balmain	35-39	1	827
Balmain	35-39	2	855
Balmain	35-39	3	193
Balmain	35-39	4	31
Balmain	35-39	5	3
Balmain	35-39	6	6
Balmain	40-44		301
Balmain	40-44	0	1201
Balmain	40-44	1	599
