SED_NAME16	Age5yr	Indigenous	Sex	persons
Albury	0-4		F	164
Albury	0-4		M	147
Albury	0-4	0	F	2071
Albury	0-4	0	M	2153
Albury	0-4	1	F	128
Albury	0-4	1	M	156
Albury	5-9		F	145
Albury	5-9		M	154
Albury	5-9	0	F	2152
Albury	5-9	0	M	2252
Albury	5-9	1	F	143
Albury	5-9	1	M	129
Albury	10-14		F	147
Albury	10-14		M	155
Albury	10-14	0	F	2222
Albury	10-14	0	M	2200
Albury	10-14	1	F	130
Albury	10-14	1	M	155
Albury	15-19		F	145
Albury	15-19		M	140
Albury	15-19	0	F	2156
Albury	15-19	0	M	2194
Albury	15-19	1	F	106
Albury	15-19	1	M	122
Albury	20-24		F	172
Albury	20-24		M	190
Albury	20-24	0	F	2078
Albury	20-24	0	M	2021
Albury	20-24	1	F	86
Albury	20-24	1	M	97
Albury	25-29		F	156
Albury	25-29		M	179
Albury	25-29	0	F	1978
Albury	25-29	0	M	1884
Albury	25-29	1	F	66
Albury	25-29	1	M	68
Albury	30-34		F	151
Albury	30-34		M	147
Albury	30-34	0	F	2084
Albury	30-34	0	M	2063
Albury	30-34	1	F	66
Albury	30-34	1	M	59
Albury	35-39		F	143
Albury	35-39		M	139
Albury	35-39	0	F	2075
Albury	35-39	0	M	1923
Albury	35-39	1	F	55
Albury	35-39	1	M	44
Albury	40-44		F	160
Albury	40-44		M	158
Albury	40-44	0	F	2174
Albury	40-44	0	M	2063
Albury	40-44	1	F	55
Albury	40-44	1	M	47
Albury	45-49		F	159
Albury	45-49		M	174
Albury	45-49	0	F	2359
Albury	45-49	0	M	2224
Albury	45-49	1	F	59
Albury	45-49	1	M	40
Albury	50-54		F	136
Albury	50-54		M	169
Albury	50-54	0	F	2399
Albury	50-54	0	M	2320
Albury	50-54	1	F	46
Albury	50-54	1	M	51
Albury	55-59		F	201
Albury	55-59		M	198
Albury	55-59	0	F	2576
Albury	55-59	0	M	2463
Albury	55-59	1	F	41
Albury	55-59	1	M	37
Albury	60-64		F	183
Albury	60-64		M	191
Albury	60-64	0	F	2405
Albury	60-64	0	M	2253
Albury	60-64	1	F	36
Albury	60-64	1	M	29
Albury	65+		F	718
Albury	65+		M	613
Albury	65+	0	F	7517
Albury	65+	0	M	6698
Albury	65+	1	F	54
Albury	65+	1	M	42
Auburn	0-4		F	225
Auburn	0-4		M	203
Auburn	0-4	0	F	3501
Auburn	0-4	0	M	3640
Auburn	0-4	1	F	25
Auburn	0-4	1	M	18
Auburn	5-9		F	171
Auburn	5-9		M	149
Auburn	5-9	0	F	2904
Auburn	5-9	0	M	3053
Auburn	5-9	1	F	8
Auburn	5-9	1	M	11
Auburn	10-14		F	121
Auburn	10-14		M	125
Auburn	10-14	0	F	2454
Auburn	10-14	0	M	2546
Auburn	10-14	1	F	8
Auburn	10-14	1	M	16
Auburn	15-19		F	132
Auburn	15-19		M	144
Auburn	15-19	0	F	2642
Auburn	15-19	0	M	2833
Auburn	15-19	1	F	19
Auburn	15-19	1	M	26
Auburn	20-24		F	260
Auburn	20-24		M	278
Auburn	20-24	0	F	3759
Auburn	20-24	0	M	4832
Auburn	20-24	1	F	36
Auburn	20-24	1	M	80
Auburn	25-29		F	337
Auburn	25-29		M	406
Auburn	25-29	0	F	5207
Auburn	25-29	0	M	6604
Auburn	25-29	1	F	45
Auburn	25-29	1	M	65
Auburn	30-34		F	320
Auburn	30-34		M	412
Auburn	30-34	0	F	4692
Auburn	30-34	0	M	5864
Auburn	30-34	1	F	32
Auburn	30-34	1	M	72
Auburn	35-39		F	213
Auburn	35-39		M	271
Auburn	35-39	0	F	3371
Auburn	35-39	0	M	4296
Auburn	35-39	1	F	27
Auburn	35-39	1	M	53
Auburn	40-44		F	178
Auburn	40-44		M	178
Auburn	40-44	0	F	2763
Auburn	40-44	0	M	3185
Auburn	40-44	1	F	18
Auburn	40-44	1	M	41
Auburn	45-49		F	146
Auburn	45-49		M	180
Auburn	45-49	0	F	2794
Auburn	45-49	0	M	2845
Auburn	45-49	1	F	15
Auburn	45-49	1	M	28
Auburn	50-54		F	154
Auburn	50-54		M	154
Auburn	50-54	0	F	2710
Auburn	50-54	0	M	2818
Auburn	50-54	1	F	16
Auburn	50-54	1	M	22
Auburn	55-59		F	169
Auburn	55-59		M	137
Auburn	55-59	0	F	2507
Auburn	55-59	0	M	2562
Auburn	55-59	1	F	7
Auburn	55-59	1	M	17
Auburn	60-64		F	112
Auburn	60-64		M	121
Auburn	60-64	0	F	2039
Auburn	60-64	0	M	2046
Auburn	60-64	1	F	9
Auburn	60-64	1	M	9
Auburn	65+		F	300
Auburn	65+		M	276
Auburn	65+	0	F	4461
Auburn	65+	0	M	4154
Auburn	65+	1	F	13
Auburn	65+	1	M	22
Ballina	0-4		F	148
Ballina	0-4		M	147
Ballina	0-4	0	F	1521
Ballina	0-4	0	M	1615
Ballina	0-4	1	F	106
Ballina	0-4	1	M	78
Ballina	5-9		F	200
Ballina	5-9		M	172
Ballina	5-9	0	F	1765
Ballina	5-9	0	M	1954
Ballina	5-9	1	F	101
Ballina	5-9	1	M	104
Ballina	10-14		F	183
Ballina	10-14		M	204
Ballina	10-14	0	F	1797
Ballina	10-14	0	M	1896
Ballina	10-14	1	F	106
Ballina	10-14	1	M	108
Ballina	15-19		F	156
Ballina	15-19		M	160
Ballina	15-19	0	F	1651
Ballina	15-19	0	M	1819
Ballina	15-19	1	F	98
Ballina	15-19	1	M	97
Ballina	20-24		F	130
Ballina	20-24		M	132
Ballina	20-24	0	F	1190
Ballina	20-24	0	M	1170
Ballina	20-24	1	F	84
Ballina	20-24	1	M	74
Ballina	25-29		F	177
Ballina	25-29		M	180
Ballina	25-29	0	F	1438
Ballina	25-29	0	M	1334
Ballina	25-29	1	F	59
Ballina	25-29	1	M	67
Ballina	30-34		F	168
Ballina	30-34		M	163
Ballina	30-34	0	F	1735
Ballina	30-34	0	M	1549
Ballina	30-34	1	F	55
Ballina	30-34	1	M	38
Ballina	35-39		F	197
Ballina	35-39		M	183
Ballina	35-39	0	F	1933
Ballina	35-39	0	M	1674
Ballina	35-39	1	F	42
Ballina	35-39	1	M	55
Ballina	40-44		F	229
