SED_NAME16	AustCitizen	persons
Albury	0	9013
Albury	1	69628
Auburn	0	35915
Auburn	1	67771
Ballina	0	10421
Ballina	1	62855
Balmain	0	21549
Balmain	1	61223
Bankstown	0	17440
Bankstown	1	68082
Barwon	0	9932
Barwon	1	67413
Bathurst	0	10265
Bathurst	1	67814
Baulkham Hills	0	11816
Baulkham Hills	1	67332
Bega	0	7480
Bega	1	62574
Blacktown	0	18978
Blacktown	1	68727
Blue Mountains	0	7171
Blue Mountains	1	64156
Cabramatta	0	13897
Cabramatta	1	67887
Camden	0	9386
Camden	1	78816
Campbelltown	0	12031
Campbelltown	1	66818
Canterbury	0	21113
Canterbury	1	66896
Castle Hill	0	10797
Castle Hill	1	69029
Cessnock	0	7766
Cessnock	1	68875
Charlestown	0	5504
Charlestown	1	66535
Clarence	0	7279
Clarence	1	66232
Coffs Harbour	0	9508
Coffs Harbour	1	63436
Coogee	0	22308
Coogee	1	60863
Cootamundra	0	8055
Cootamundra	1	63726
Cronulla	0	7671
Cronulla	1	66057
Davidson	0	11872
Davidson	1	66428
Drummoyne	0	18303
Drummoyne	1	61940
Dubbo	0	9694
Dubbo	1	66869
East Hills	0	10165
East Hills	1	67183
Epping	0	15587
Epping	1	64347
Fairfield	0	19420
Fairfield	1	67565
Gosford	0	9661
Gosford	1	64190
Goulburn	0	8490
Goulburn	1	67276
Granville	0	24822
Granville	1	66231
Hawkesbury	0	7704
Hawkesbury	1	66227
Heathcote	0	6603
Heathcote	1	69545
Heffron	0	39662
Heffron	1	64559
Holsworthy	0	12041
Holsworthy	1	72367
Hornsby	0	12194
Hornsby	1	66831
Keira	0	8740
Keira	1	69641
Kiama	0	7754
Kiama	1	63530
Kogarah	0	28420
Kogarah	1	63531
Ku-ring-gai	0	14980
Ku-ring-gai	1	65243
Lake Macquarie	0	5879
Lake Macquarie	1	65193
Lakemba	0	21920
Lakemba	1	69703
Lane Cove	0	14773
Lane Cove	1	67134
Lismore	0	8559
Lismore	1	65385
Liverpool	0	19428
Liverpool	1	71708
Londonderry	0	16780
Londonderry	1	75035
Macquarie Fields	0	15284
Macquarie Fields	1	71076
Maitland	0	6496
Maitland	1	70676
Manly	0	16857
Manly	1	63470
Maroubra	0	18963
Maroubra	1	62750
Miranda	0	7916
Miranda	1	66247
Monaro	0	9973
Monaro	1	66041
Mount Druitt	0	17130
Mount Druitt	1	71583
Mulgoa	0	9319
Mulgoa	1	72096
Murray	0	11962
Murray	1	70946
Myall Lakes	0	6926
Myall Lakes	1	64137
Newcastle	0	7828
Newcastle	1	63837
Newtown	0	26997
Newtown	1	57029
North Shore	0	19207
North Shore	1	58065
Northern Tablelands	0	10231
Northern Tablelands	1	69009
Oatley	0	12827
Oatley	1	63491
Orange	0	8057
Orange	1	69841
Oxley	0	8051
Oxley	1	64791
Parramatta	0	33841
Parramatta	1	68625
Penrith	0	10109
Penrith	1	68677
Pittwater	0	9122
Pittwater	1	62966
Port Macquarie	0	7357
Port Macquarie	1	65774
Port Stephens	0	7562
Port Stephens	1	63819
Prospect	0	14725
Prospect	1	66992
Riverstone	0	15126
Riverstone	1	74737
Rockdale	0	22710
Rockdale	1	63485
Ryde	0	27491
Ryde	1	65473
Seven Hills	0	17474
Seven Hills	1	66968
Shellharbour	0	8149
Shellharbour	1	73066
South Coast	0	7232
South Coast	1	62299
Strathfield	0	32109
Strathfield	1	61853
Summer Hill	0	18905
Summer Hill	1	62145
Swansea	0	5575
Swansea	1	65714
Sydney	0	45872
Sydney	1	52666
Tamworth	0	8556
Tamworth	1	68473
Terrigal	0	7316
Terrigal	1	65824
The Entrance	0	7451
The Entrance	1	65585
Tweed	0	9419
Tweed	1	66737
Upper Hunter	0	8374
Upper Hunter	1	67153
Vaucluse	0	19601
Vaucluse	1	60194
Wagga Wagga	0	8438
Wagga Wagga	1	68098
Wakehurst	0	12862
Wakehurst	1	66245
Wallsend	0	9509
Wallsend	1	71278
Willoughby	0	20732
Willoughby	1	64077
Wollondilly	0	7388
Wollondilly	1	67180
Wollongong	0	14516
Wollongong	1	68455
Wyong	0	8604
Wyong	1	68541
No usual address (NSW)	0	5085
No usual address (NSW)	1	7203
Migratory - Offshore - Shipping (NSW)	0	87
Migratory - Offshore - Shipping (NSW)	1	325
Albert Park (Southern Metropolitan)	0	25667
Albert Park (Southern Metropolitan)	1	50284
Altona (Western Metropolitan)	0	23433
Altona (Western Metropolitan)	1	68262
Bass (Eastern Victoria)	0	10176
Bass (Eastern Victoria)	1	62525
Bayswater (Eastern Metropolitan)	0	9046
Bayswater (Eastern Metropolitan)	1	53138
Bellarine (Western Victoria)	0	5823
Bellarine (Western Victoria)	1	53399
Benambra (Northern Victoria)	0	6421
Benambra (Northern Victoria)	1	57801
Bendigo East (Northern Victoria)	0	6076
Bendigo East (Northern Victoria)	1	58170
Bendigo West (Northern Victoria)	0	7300
Bendigo West (Northern Victoria)	1	52822
Bentleigh (Southern Metropolitan)	0	10267
Bentleigh (Southern Metropolitan)	1	50766
Box Hill (Eastern Metropolitan)	0	16687
Box Hill (Eastern Metropolitan)	1	52662
Brighton (Southern Metropolitan)	0	10489
Brighton (Southern Metropolitan)	1	52009
Broadmeadows (Northern Metropolitan)	0	17626
Broadmeadows (Northern Metropolitan)	1	54724
Brunswick (Northern Metropolitan)	0	15415
Brunswick (Northern Metropolitan)	1	55632
Bulleen (Eastern Metropolitan)	0	11692
Bulleen (Eastern Metropolitan)	1	49965
Bundoora (Northern Metropolitan)	0	12731
Bundoora (Northern Metropolitan)	1	49033
Buninyong (Western Victoria)	0	6482
Buninyong (Western Victoria)	1	52741
Burwood (Southern Metropolitan)	0	15212
Burwood (Southern Metropolitan)	1	51474
Carrum (South-Eastern Metropolitan)	0	10410
Carrum (South-Eastern Metropolitan)	1	57308
Caulfield (Southern Metropolitan)	0	14056
Caulfield (Southern Metropolitan)	1	51496
Clarinda (South-Eastern Metropolitan)	0	21863
Clarinda (South-Eastern Metropolitan)	1	52098
Cranbourne (South-Eastern Metropolitan)	0	21032
Cranbourne (South-Eastern Metropolitan)	1	76008
Croydon (Eastern Metropolitan)	0	8014
Croydon (Eastern Metropolitan)	1	51035
