SED_NAME16	HomeCensusNight	persons
Albury	0	5177
Albury	1	73466
Auburn	0	2760
Auburn	1	100929
Ballina	0	4223
Ballina	1	69055
Balmain	0	3846
Balmain	1	78930
Bankstown	0	2399
Bankstown	1	83128
Barwon	0	5673
Barwon	1	71671
Bathurst	0	4369
Bathurst	1	73708
Baulkham Hills	0	2087
Baulkham Hills	1	77063
Bega	0	5412
Bega	1	64640
Blacktown	0	2415
Blacktown	1	85291
Blue Mountains	0	3463
Blue Mountains	1	67862
Cabramatta	0	2458
Cabramatta	1	79330
Camden	0	2765
Camden	1	85437
Campbelltown	0	2828
Campbelltown	1	76022
Canterbury	0	2467
Canterbury	1	85543
Castle Hill	0	2313
Castle Hill	1	77517
Cessnock	0	3741
Cessnock	1	72896
Charlestown	0	3678
Charlestown	1	68364
Clarence	0	4110
Clarence	1	69404
Coffs Harbour	0	4202
Coffs Harbour	1	68742
Coogee	0	3480
Coogee	1	79688
Cootamundra	0	4448
Cootamundra	1	67335
Cronulla	0	3178
Cronulla	1	70549
Davidson	0	2589
Davidson	1	75709
Drummoyne	0	2851
Drummoyne	1	77391
Dubbo	0	4652
Dubbo	1	71911
East Hills	0	2238
East Hills	1	75106
Epping	0	2119
Epping	1	77812
Fairfield	0	2412
Fairfield	1	84575
Gosford	0	3496
Gosford	1	70357
Goulburn	0	4219
Goulburn	1	71550
Granville	0	2506
Granville	1	88544
Hawkesbury	0	2782
Hawkesbury	1	71154
Heathcote	0	2714
Heathcote	1	73429
Heffron	0	3648
Heffron	1	100570
Holsworthy	0	2347
Holsworthy	1	82058
Hornsby	0	2763
Hornsby	1	76260
Keira	0	3584
Keira	1	74797
Kiama	0	4128
Kiama	1	67155
Kogarah	0	2290
Kogarah	1	89660
Ku-ring-gai	0	2761
Ku-ring-gai	1	77467
Lake Macquarie	0	4017
Lake Macquarie	1	67054
Lakemba	0	2254
Lakemba	1	89365
Lane Cove	0	2899
Lane Cove	1	79009
Lismore	0	3906
Lismore	1	70038
Liverpool	0	2271
Liverpool	1	88867
Londonderry	0	3145
Londonderry	1	88670
Macquarie Fields	0	2352
Macquarie Fields	1	84012
Maitland	0	3596
Maitland	1	73573
Manly	0	3469
Manly	1	76859
Maroubra	0	2712
Maroubra	1	79001
Miranda	0	2612
Miranda	1	71551
Monaro	0	4262
Monaro	1	71752
Mount Druitt	0	2274
Mount Druitt	1	86442
Mulgoa	0	2210
Mulgoa	1	79205
Murray	0	5333
Murray	1	77570
Myall Lakes	0	4345
Myall Lakes	1	66717
Newcastle	0	4363
Newcastle	1	67304
Newtown	0	3721
Newtown	1	80309
North Shore	0	3765
North Shore	1	73505
Northern Tablelands	0	5541
Northern Tablelands	1	73703
Oatley	0	2236
Oatley	1	74081
Orange	0	4580
Orange	1	73323
Oxley	0	4076
Oxley	1	68770
Parramatta	0	2903
Parramatta	1	99564
Penrith	0	2838
