SED_NAME16	MotorVehicles.min	occupied_private_dwellings
Albury		1243
Albury	0	1932
Albury	1	10626
Albury	2	10821
Albury	3	3491
Albury	4	1713
Auburn		1415
Auburn	0	3550
Auburn	1	12123
Auburn	2	8995
Auburn	3	2651
Auburn	4	1433
Ballina		1170
Ballina	0	1309
Ballina	1	10162
Ballina	2	10570
Ballina	3	2967
Ballina	4	1390
Balmain		1135
Balmain	0	6775
Balmain	1	15437
Balmain	2	7494
Balmain	3	1171
Balmain	4	410
Bankstown		1075
Bankstown	0	3012
Bankstown	1	9349
Bankstown	2	7902
Bankstown	3	2694
Bankstown	4	1413
Barwon		1688
Barwon	0	2407
Barwon	1	9844
Barwon	2	9233
Barwon	3	3430
Barwon	4	1943
Bathurst		1253
Bathurst	0	1860
Bathurst	1	9172
Bathurst	2	9854
Bathurst	3	3759
Bathurst	4	2178
Baulkham Hills		415
Baulkham Hills	0	574
Baulkham Hills	1	6303
Baulkham Hills	2	11395
Baulkham Hills	3	3978
Baulkham Hills	4	2098
Bega		1318
Bega	0	1322
Bega	1	10862
Bega	2	10263
Bega	3	3076
Bega	4	1260
Blacktown		1120
Blacktown	0	2629
Blacktown	1	10107
Blacktown	2	9264
Blacktown	3	3077
Blacktown	4	1522
Blue Mountains		704
Blue Mountains	0	1771
Blue Mountains	1	10103
Blue Mountains	2	9615
Blue Mountains	3	2985
Blue Mountains	4	1563
Cabramatta		882
Cabramatta	0	2331
Cabramatta	1	7331
Cabramatta	2	7241
Cabramatta	3	3395
Cabramatta	4	1884
Camden		733
Camden	0	624
Camden	1	5874
Camden	2	11833
Camden	3	4642
Camden	4	3196
Campbelltown		929
Campbelltown	0	2118
Campbelltown	1	8975
Campbelltown	2	8523
Campbelltown	3	3150
Campbelltown	4	1681
Canterbury		1078
Canterbury	0	3680
Canterbury	1	11715
Canterbury	2	8638
Canterbury	3	2623
Canterbury	4	1299
Castle Hill		449
Castle Hill	0	455
Castle Hill	1	5179
Castle Hill	2	10855
Castle Hill	3	4118
Castle Hill	4	2752
Cessnock		1065
Cessnock	0	1245
Cessnock	1	8215
Cessnock	2	10155
Cessnock	3	3692
Cessnock	4	2059
Charlestown		783
Charlestown	0	1760
Charlestown	1	9041
Charlestown	2	10527
Charlestown	3	3243
Charlestown	4	1518
Clarence		1298
Clarence	0	1689
Clarence	1	10607
Clarence	2	9954
Clarence	3	3134
Clarence	4	1494
Coffs Harbour		1134
Coffs Harbour	0	1643
Coffs Harbour	1	10188
Coffs Harbour	2	9812
Coffs Harbour	3	2862
Coffs Harbour	4	1395
Coogee		1071
Coogee	0	5553
Coogee	1	14987
Coogee	2	8013
Coogee	3	1484
Coogee	4	465
Cootamundra		1362
Cootamundra	0	1558
Cootamundra	1	8895
Cootamundra	2	9378
Cootamundra	3	3539
Cootamundra	4	2049
Cronulla		749
Cronulla	0	1545
Cronulla	1	8550
Cronulla	2	10541
Cronulla	3	3205
Cronulla	4	1923
Davidson		538
Davidson	0	922
Davidson	1	7380
Davidson	2	11315
Davidson	3	3510
Davidson	4	1586
Drummoyne		741
Drummoyne	0	2822
Drummoyne	1	12627
Drummoyne	2	9942
Drummoyne	3	2312
Drummoyne	4	1081
Dubbo		1245
Dubbo	0	1598
Dubbo	1	8700
Dubbo	2	9955
Dubbo	3	3618
Dubbo	4	1853
East Hills		789
East Hills	0	1887
East Hills	1	7866
East Hills	2	9024
East Hills	3	3306
East Hills	4	1723
Epping		530
Epping	0	1447
Epping	1	8615
Epping	2	10520
Epping	3	3171
Epping	4	1430
Fairfield		1180
Fairfield	0	3181
Fairfield	1	9035
Fairfield	2	7519
Fairfield	3	2953
Fairfield	4	1536
Gosford		1247
Gosford	0	3001
Gosford	1	11895
Gosford	2	8997
Gosford	3	2569
Gosford	4	1315
Goulburn		1071
Goulburn	0	1307
Goulburn	1	8339
Goulburn	2	10274
Goulburn	3	4216
Goulburn	4	2582
Granville		1212
Granville	0	3581
Granville	1	11236
Granville	2	8174
Granville	3	2560
Granville	4	1489
Hawkesbury		725
