SED_NAME16	Age	UsualResidence	persons
Albury	0-14	Home	14340
Albury	0-14	Visitor from ACT	3
Albury	0-14	Visitor from NSW	273
Albury	0-14	Visitor from QLD	9
Albury	0-14	Visitor from TAS	4
Albury	0-14	Visitor from VIC	79
Albury	0-14	Visitor from WA	4
Albury	0-14	Visitor same SA2	22
Albury	15-24	Home	8715
Albury	15-24	Visitor from ACT	13
Albury	15-24	Visitor from NSW	453
Albury	15-24	Visitor from NT	3
Albury	15-24	Visitor from QLD	16
Albury	15-24	Visitor from SA	3
Albury	15-24	Visitor from TAS	8
Albury	15-24	Visitor from VIC	231
Albury	15-24	Visitor from WA	12
Albury	15-24	Visitor same SA2	16
Albury	25-34	Home	8266
Albury	25-34	Visitor from ACT	10
Albury	25-34	Visitor from NSW	335
Albury	25-34	Visitor from QLD	26
Albury	25-34	Visitor from SA	5
Albury	25-34	Visitor from VIC	242
Albury	25-34	Visitor from WA	21
Albury	25-34	Visitor same SA2	11
Albury	35-44	Home	8605
Albury	35-44	Visitor from ACT	8
Albury	35-44	Visitor from NSW	218
Albury	35-44	Visitor from NT	3
Albury	35-44	Visitor from QLD	9
Albury	35-44	Visitor from SA	12
Albury	35-44	Visitor from VIC	177
Albury	35-44	Visitor from WA	9
Albury	35-44	Visitor same SA2	16
Albury	45-54	Home	9544
Albury	45-54	Visitor from ACT	12
Albury	45-54	Visitor from NSW	266
Albury	45-54	Visitor from QLD	28
Albury	45-54	Visitor from SA	17
Albury	45-54	Visitor from TAS	4
Albury	45-54	Visitor from VIC	236
Albury	45-54	Visitor from WA	10
Albury	45-54	Visitor same SA2	17
Albury	55-64	Home	9864
Albury	55-64	Visitor from ACT	8
Albury	55-64	Visitor from NSW	307
Albury	55-64	Visitor from QLD	38
Albury	55-64	Visitor from SA	16
Albury	55-64	Visitor from TAS	9
Albury	55-64	Visitor from VIC	250
Albury	55-64	Visitor from WA	20
Albury	55-64	Visitor same SA2	7
Albury	65-74	Home	7714
Albury	65-74	Visitor from NSW	216
Albury	65-74	Visitor from QLD	20
Albury	65-74	Visitor from SA	21
Albury	65-74	Visitor from TAS	13
Albury	65-74	Visitor from VIC	245
Albury	65-74	Visitor from WA	17
Albury	65-74	Visitor same SA2	14
Albury	75-84	Home	4425
Albury	75-84	Visitor from NSW	133
Albury	75-84	Visitor from QLD	7
Albury	75-84	Visitor from SA	4
Albury	75-84	Visitor from TAS	4
Albury	75-84	Visitor from VIC	86
Albury	75-84	Visitor from WA	6
Albury	75-84	Visitor same SA2	20
Albury	85+	Home	1990
Albury	85+	Visitor from NSW	71
Albury	85+	Visitor from VIC	25
Albury	85+	Visitor same SA2	8
Auburn	0-14	Home	18888
Auburn	0-14	Visitor from NSW	231
Auburn	0-14	Visitor from NT	3
Auburn	0-14	Visitor from QLD	7
Auburn	0-14	Visitor from VIC	3
Auburn	0-14	Visitor from WA	3
Auburn	0-14	Visitor same SA2	28
Auburn	15-24	Home	14675
Auburn	15-24	Visitor from ACT	54
Auburn	15-24	Visitor from NSW	380
Auburn	15-24	Visitor from QLD	43
Auburn	15-24	Visitor from SA	12
Auburn	15-24	Visitor from VIC	43
Auburn	15-24	Visitor from WA	17
Auburn	15-24	Visitor same SA2	16
Auburn	25-34	Home	23286
Auburn	25-34	Visitor from ACT	19
Auburn	25-34	Visitor from NSW	518
Auburn	25-34	Visitor from NT	4
Auburn	25-34	Visitor from QLD	30
Auburn	25-34	Visitor from SA	6
Auburn	25-34	Visitor from TAS	7
Auburn	25-34	Visitor from VIC	46
Auburn	25-34	Visitor from WA	23
Auburn	25-34	Visitor same SA2	40
Auburn	35-44	Home	14179
Auburn	35-44	Visitor from ACT	7
Auburn	35-44	Visitor from NSW	329
Auburn	35-44	Visitor from QLD	41
Auburn	35-44	Visitor from SA	14
Auburn	35-44	Visitor from VIC	68
Auburn	35-44	Visitor from WA	18
Auburn	35-44	Visitor same SA2	29
Auburn	45-54	Home	11551
Auburn	45-54	Visitor from ACT	8
Auburn	45-54	Visitor from NSW	254
Auburn	45-54	Visitor from QLD	36
Auburn	45-54	Visitor from SA	25
Auburn	45-54	Visitor from TAS	3
Auburn	45-54	Visitor from VIC	60
Auburn	45-54	Visitor from WA	18
Auburn	45-54	Visitor same SA2	19
Auburn	55-64	Home	9471
Auburn	55-64	Visitor from ACT	13
Auburn	55-64	Visitor from NSW	219
Auburn	55-64	Visitor from QLD	15
Auburn	55-64	Visitor from SA	16
Auburn	55-64	Visitor from VIC	30
Auburn	55-64	Visitor from WA	16
