SED_NAME16	BornAust	Sex	persons
Albury	0	F	3775
Albury	0	M	3621
Albury	1	F	32984
Albury	1	M	31740
Auburn	0	F	27639
Auburn	0	M	31819
Auburn	1	F	17971
Auburn	1	M	19308
Ballina	0	F	5394
Ballina	0	M	4840
Ballina	1	F	28707
Ballina	1	M	26791
Balmain	0	F	14850
Balmain	0	M	13214
Balmain	1	F	24615
Balmain	1	M	22660
Bankstown	0	F	20007
Bankstown	0	M	19311
Bankstown	1	F	19945
Bankstown	1	M	20109
Barwon	0	F	1980
Barwon	0	M	1795
Barwon	1	F	32004
Barwon	1	M	32158
Bathurst	0	F	3277
Bathurst	0	M	3465
Bathurst	1	F	31805
Bathurst	1	M	32345
Baulkham Hills	0	F	16098
Baulkham Hills	0	M	14882
Baulkham Hills	1	F	23029
Baulkham Hills	1	M	23014
Bega	0	F	4548
Bega	0	M	4252
Bega	1	F	28012
Bega	1	M	26981
Blacktown	0	F	19713
Blacktown	0	M	19525
Blacktown	1	F	21757
Blacktown	1	M	22157
Blue Mountains	0	F	6441
Blue Mountains	0	M	5711
Blue Mountains	1	F	28642
Blue Mountains	1	M	26836
Cabramatta	0	F	23806
Cabramatta	0	M	20963
Cabramatta	1	F	15735
Cabramatta	1	M	17021
Camden	0	F	8104
Camden	0	M	7779
Camden	1	F	34384
Camden	1	M	33144
Campbelltown	0	F	10580
Campbelltown	0	M	9895
Campbelltown	1	F	26842
Campbelltown	1	M	25977
Canterbury	0	F	21681
Canterbury	0	M	20325
Canterbury	1	F	20033
Canterbury	1	M	20519
Castle Hill	0	F	13761
Castle Hill	0	M	13054
Castle Hill	1	F	25397
Castle Hill	1	M	25025
Cessnock	0	F	2734
Cessnock	0	M	2572
Cessnock	1	F	33112
Cessnock	1	M	32668
Charlestown	0	F	3966
Charlestown	0	M	3631
Charlestown	1	F	31440
Charlestown	1	M	29790
Clarence	0	F	2754
Clarence	0	M	2363
Clarence	1	F	31046
Clarence	1	M	30834
Coffs Harbour	0	F	5382
Coffs Harbour	0	M	4764
Coffs Harbour	1	F	29310
Coffs Harbour	1	M	27846
Coogee	0	F	16084
Coogee	0	M	14261
Coogee	1	F	23318
Coogee	1	M	21602
Cootamundra	0	F	2058
Cootamundra	0	M	2001
Cootamundra	1	F	30323
Cootamundra	1	M	30483
Cronulla	0	F	5978
Cronulla	0	M	5329
Cronulla	1	F	29664
Cronulla	1	M	28979
Davidson	0	F	15354
Davidson	0	M	13784
Davidson	1	F	23478
Davidson	1	M	22886
Drummoyne	0	F	16490
Drummoyne	0	M	14563
Drummoyne	1	F	22800
Drummoyne	1	M	21539
Dubbo	0	F	2697
Dubbo	0	M	2597
Dubbo	1	F	32349
Dubbo	1	M	31640
East Hills	0	F	12852
East Hills	0	M	11919
East Hills	1	F	24652
East Hills	1	M	24044
Epping	0	F	19113
Epping	0	M	17819
Epping	1	F	20888
Epping	1	M	19840
Fairfield	0	F	24818
Fairfield	0	M	23250
Fairfield	1	F	16693
Fairfield	1	M	17137
Gosford	0	F	6900
Gosford	0	M	6213
Gosford	1	F	28283
Gosford	1	M	27097
Goulburn	0	F	4213
Goulburn	0	M	4079
Goulburn	1	F	30891
Goulburn	1	M	30743
Granville	0	F	22356
Granville	0	M	23842
Granville	1	F	19462
Granville	1	M	19551
Hawkesbury	0	F	4971
Hawkesbury	0	M	4595
Hawkesbury	1	F	29903
Hawkesbury	1	M	29694
Heathcote	0	F	6389
Heathcote	0	M	5760
Heathcote	1	F	30987
Heathcote	1	M	30287
Heffron	0	F	26104
Heffron	0	M	25891
Heffron	1	F	21308
Heffron	1	M	22657
Holsworthy	0	F	15790
Holsworthy	0	M	14736
Holsworthy	1	F	24479
Holsworthy	1	M	24585
Hornsby	0	F	13640
Hornsby	0	M	12505
Hornsby	1	F	25007
Hornsby	1	M	25078
Keira	0	F	7755
Keira	0	M	7203
Keira	1	F	30379
Keira	1	M	29302
Kiama	0	F	4891
Kiama	0	M	4639
Kiama	1	F	28648
Kiama	1	M	28247
Kogarah	0	F	26191
Kogarah	0	M	24454
Kogarah	1	F	17892
Kogarah	1	M	18462
Ku-ring-gai	0	F	16862
Ku-ring-gai	0	M	14991
Ku-ring-gai	1	F	23219
Ku-ring-gai	1	M	21819
Lake Macquarie	0	F	4018
Lake Macquarie	0	M	3640
Lake Macquarie	1	F	30415
Lake Macquarie	1	M	29422
Lakemba	0	F	22285
Lakemba	0	M	23413
Lakemba	1	F	19584
Lakemba	1	M	19988
Lane Cove	0	F	14874
Lane Cove	0	M	13431
Lane Cove	1	F	24832
Lane Cove	1	M	24523
Lismore	0	F	3717
Lismore	0	M	3473
Lismore	1	F	30465
Lismore	1	M	29235
Liverpool	0	F	21424
Liverpool	0	M	20244
Liverpool	1	F	20409
Liverpool	1	M	20825
Londonderry	0	F	11701
Londonderry	0	M	11326
Londonderry	1	F	30859
Londonderry	1	M	30712
Macquarie Fields	0	F	16426
Macquarie Fields	0	M	15619
Macquarie Fields	1	F	24440
Macquarie Fields	1	M	24438
Maitland	0	F	3182
Maitland	0	M	2950
Maitland	1	F	34200
Maitland	1	M	32670
Manly	0	F	13511
Manly	0	M	12538
Manly	1	F	24961
Manly	1	M	24360
Maroubra	0	F	15768
Maroubra	0	M	14891
Maroubra	1	F	22214
Maroubra	1	M	22993
Miranda	0	F	8712
Miranda	0	M	7916
Miranda	1	F	27840
Miranda	1	M	26546
Monaro	0	F	6138
Monaro	0	M	6120
Monaro	1	F	28341
Monaro	1	M	29125
Mount Druitt	0	F	19243
Mount Druitt	0	M	18022
Mount Druitt	1	F	23053
Mount Druitt	1	M	22941
Mulgoa	0	F	10972
Mulgoa	0	M	10596
Mulgoa	1	F	27904
Mulgoa	1	M	27668
Murray	0	F	4406
Murray	0	M	4430
Murray	1	F	32524
