SED_NAME16	medianTotalPersonalIncome
Albury	32240
Auburn	25688
Ballina	31148
Balmain	55640
Bankstown	23920
Barwon	28392
Bathurst	30836
Baulkham Hills	41912
Bega	27196
Blacktown	32916
Blue Mountains	35256
Cabramatta	22724
Camden	41600
Campbelltown	31928
Canterbury	29380
Castle Hill	43472
Cessnock	29588
Charlestown	34320
Clarence	25064
Coffs Harbour	29432
Coogee	59800
Cootamundra	28288
Cronulla	46540
Davidson	47164
Drummoyne	46800
Dubbo	32968
East Hills	32240
Epping	38844
Fairfield	21996
Gosford	31044
Goulburn	34736
Granville	27092
Hawkesbury	37960
Heathcote	43160
Heffron	41392
Holsworthy	34684
Hornsby	41132
Keira	32916
Kiama	32240
Kogarah	29588
Ku-ring-gai	47164
Lake Macquarie	30160
Lakemba	22828
Lane Cove	53300
Lismore	26468
Liverpool	25740
Londonderry	33644
Macquarie Fields	33904
Maitland	33436
Manly	57252
Maroubra	39208
Miranda	40924
Monaro	44044
Mount Druitt	31252
Mulgoa	40248
Murray	31616
Myall Lakes	24856
Newcastle	38012
Newtown	48932
North Shore	71604
Northern Tablelands	28392
Oatley	36816
Orange	32500
Oxley	25012
Parramatta	35620
Penrith	37388
Pittwater	45760
Port Macquarie	27768
Port Stephens	29276
Prospect	30784
Riverstone	43888
Rockdale	35932
Ryde	36556
Seven Hills	37908
Shellharbour	29588
South Coast	25532
Strathfield	33488
Summer Hill	40872
Swansea	28964
Sydney	55120
Tamworth	32396
Terrigal	35100
The Entrance	31512
Tweed	28496
Upper Hunter	31876
Vaucluse	64116
Wagga Wagga	35100
Wakehurst	42588
Wallsend	30264
Willoughby	53404
Wollondilly	36296
Wollongong	26936
Wyong	29484
No usual address (NSW)	21060
Migratory - Offshore - Shipping (NSW)	28080
Albert Park (Southern Metropolitan)	56368
Altona (Western Metropolitan)	37492
Bass (Eastern Victoria)	30056
Bayswater (Eastern Metropolitan)	35360
Bellarine (Western Victoria)	31824
Benambra (Northern Victoria)	33592
Bendigo East (Northern Victoria)	32604
Bendigo West (Northern Victoria)	29952
Bentleigh (Southern Metropolitan)	37544
