SED_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Albury			48
Albury		1946	3
Albury		1955	86
Albury		1965	114
Albury		1975	160
Albury		1985	97
Albury		1995	68
Albury		2005	93
Albury		2010	289
Albury		2011	143
Albury		2012	93
Albury		2013	83
Albury		2014	68
Albury		2015	67
Albury		2016	18
Albury	CAN		3
Albury	CAN	1965	5
Albury	CAN	1975	11
Albury	CAN	1985	4
Albury	CAN	1995	7
Albury	CAN	2005	15
Albury	CAN	2010	6
Albury	CAN	2011	6
Albury	CHN		4
Albury	CHN	1955	3
Albury	CHN	1985	5
Albury	CHN	1995	8
Albury	CHN	2005	23
Albury	CHN	2010	46
Albury	CHN	2012	11
Albury	CHN	2013	9
Albury	CHN	2014	9
Albury	CHN	2015	7
Albury	CHN	2016	11
Albury	DEU		14
Albury	DEU	1955	153
Albury	DEU	1965	94
Albury	DEU	1975	42
Albury	DEU	1985	12
Albury	DEU	1995	10
Albury	DEU	2005	10
Albury	DEU	2010	6
Albury	DEU	2013	3
Albury	DEU	2015	3
Albury	DEU	2016	3
Albury	EGY	1955	5
Albury	EGY	1975	9
Albury	EGY	2013	3
Albury	EGY	2015	4
Albury	FJI	1965	4
Albury	FJI	1975	3
Albury	FJI	1985	12
Albury	FJI	1995	15
Albury	FJI	2005	12
Albury	FJI	2010	17
Albury	FJI	2012	6
Albury	FJI	2014	3
Albury	GBR		80
Albury	GBR	1946	18
Albury	GBR	1955	178
Albury	GBR	1965	409
Albury	GBR	1975	551
Albury	GBR	1985	235
Albury	GBR	1995	119
Albury	GBR	2005	168
Albury	GBR	2010	102
Albury	GBR	2011	20
Albury	GBR	2012	17
Albury	GBR	2013	11
Albury	GBR	2014	7
Albury	GBR	2015	15
Albury	GBR	2016	3
Albury	GRC		3
Albury	GRC	1955	17
Albury	GRC	1965	26
Albury	GRC	1975	9
Albury	GRC	1985	3
Albury	GRC	1995	3
Albury	HKG		3
Albury	HKG	1975	4
Albury	HKG	1985	9
Albury	HKG	1995	8
Albury	HKG	2005	3
Albury	HKG	2010	3
Albury	HKG	2012	4
Albury	HKG	2013	3
Albury	HKG	2014	3
Albury	HKG	2015	3
Albury	HRV		3
Albury	HRV	1955	5
Albury	HRV	1965	9
Albury	HRV	1975	36
Albury	HRV	1985	3
Albury	HRV	1995	3
Albury	HRV	2005	3
Albury	IDN		3
Albury	IDN	2005	5
Albury	IDN	2010	3
Albury	IDN	2012	5
Albury	IND		18
Albury	IND	1955	4
Albury	IND	1965	3
Albury	IND	1975	16
Albury	IND	1985	7
Albury	IND	1995	9
Albury	IND	2005	43
Albury	IND	2010	284
Albury	IND	2011	30
Albury	IND	2012	42
Albury	IND	2013	45
Albury	IND	2014	53
Albury	IND	2015	38
Albury	IND	2016	20
Albury	IRL	1955	6
Albury	IRL	1965	17
Albury	IRL	1975	17
Albury	IRL	1985	5
Albury	IRL	1995	17
Albury	IRL	2005	12
Albury	IRL	2010	7
Albury	IRL	2011	3
Albury	IRL	2012	12
Albury	IRL	2013	7
Albury	IRL	2015	5
Albury	IRL	2016	7
Albury	IRN	1985	4
Albury	IRN	1995	4
Albury	IRN	2005	3
Albury	IRN	2010	5
Albury	IRN	2012	5
Albury	IRN	2014	4
Albury	IRN	2015	3
Albury	IRQ		3
Albury	IRQ	2005	3
Albury	IRQ	2012	4
Albury	ITA		4
Albury	ITA	1955	27
Albury	ITA	1965	52
Albury	ITA	1975	18
Albury	ITA	1985	3
Albury	ITA	2013	3
Albury	ITA	2015	4
Albury	JPN	1995	3
Albury	JPN	2005	3
Albury	JPN	2010	8
Albury	JPN	2012	3
Albury	JPN	2016	3
Albury	KOR	1995	3
Albury	KOR	2005	7
Albury	KOR	2010	11
Albury	KOR	2013	3
Albury	KOR	2015	16
Albury	KOR	2016	5
Albury	LBN	1975	8
Albury	LBN	2005	8
Albury	LBN	2010	3
Albury	LKA		3
Albury	LKA	1985	8
Albury	LKA	1995	15
Albury	LKA	2005	14
Albury	LKA	2010	21
Albury	LKA	2011	13
Albury	LKA	2012	21
Albury	LKA	2013	7
Albury	LKA	2014	6
Albury	LKA	2015	12
Albury	LKA	2016	3
Albury	MKD	1975	3
Albury	MLT		3
Albury	MLT	1955	10
Albury	MLT	1965	9
Albury	MLT	1975	3
Albury	MYS		10
Albury	MYS	1975	6
Albury	MYS	1985	3
Albury	MYS	1995	5
Albury	MYS	2005	4
Albury	MYS	2010	9
Albury	MYS	2011	3
Albury	MYS	2015	4
Albury	MYS	2016	5
Albury	NLD		10
Albury	NLD	1955	112
Albury	NLD	1965	94
Albury	NLD	1975	27
Albury	NLD	1985	19
Albury	NLD	1995	4
Albury	NLD	2005	10
Albury	NLD	2010	3
Albury	NLD	2014	4
Albury	NLD	2016	3
Albury	NZL		44
Albury	NZL	1955	7
Albury	NZL	1965	30
Albury	NZL	1975	93
Albury	NZL	1985	163
Albury	NZL	1995	133
Albury	NZL	2005	131
Albury	NZL	2010	81
Albury	NZL	2011	27
Albury	NZL	2012	34
Albury	NZL	2013	14
Albury	NZL	2014	25
Albury	NZL	2015	10
Albury	NZL	2016	12
Albury	PAK		4
Albury	PAK	2005	6
Albury	PAK	2010	14
Albury	PAK	2012	3
Albury	PAK	2014	8
Albury	PAK	2015	5
Albury	PHL		11
Albury	PHL	1985	40
Albury	PHL	1995	55
Albury	PHL	2005	56
Albury	PHL	2010	84
Albury	PHL	2011	22
Albury	PHL	2012	19
Albury	PHL	2013	20
Albury	PHL	2014	12
Albury	PHL	2015	15
Albury	PHL	2016	13
Albury	POL		4
Albury	POL	1955	10
Albury	POL	1965	8
Albury	POL	1975	3
Albury	POL	1985	5
Albury	POL	2005	3
Albury	SGP	1975	3
Albury	SGP	1985	8
Albury	SGP	1995	3
Albury	SGP	2005	3
Albury	SGP	2015	3
Albury	SGP	2016	3
Albury	THA		3
Albury	THA	1985	3
Albury	THA	1995	6
Albury	THA	2005	22
Albury	THA	2010	20
Albury	THA	2011	4
Albury	THA	2012	3
Albury	THA	2014	14
Albury	THA	2015	8
Albury	USA		6
Albury	USA	1955	3
Albury	USA	1965	4
Albury	USA	1975	13
Albury	USA	1985	13
Albury	USA	1995	20
Albury	USA	2005	27
Albury	USA	2010	19
Albury	USA	2011	5
Albury	USA	2012	8
Albury	USA	2013	3
Albury	USA	2014	3
Albury	USA	2015	13
Albury	USA	2016	8
Albury	VNM		3
Albury	VNM	1985	6
Albury	VNM	1995	3
Albury	VNM	2005	7
Albury	VNM	2010	12
Albury	VNM	2011	3
Albury	VNM	2014	3
Albury	VNM	2015	3
Albury	VNM	2016	3
Albury	ZAF		3
Albury	ZAF	1965	5
Albury	ZAF	1975	3
Albury	ZAF	1985	14
Albury	ZAF	1995	12
Albury	ZAF	2005	59
Albury	ZAF	2010	47
Albury	ZAF	2011	6
Albury	ZAF	2015	3
Albury	ZAF	2016	3
Albury	ZWE	1985	6
Albury	ZWE	2005	5
Albury	ZWE	2010	14
Albury	ZWE	2011	3
Albury	ZWE	2014	3
Albury	ZWE	2015	4
Auburn			594
Auburn		1946	3
Auburn		1955	61
Auburn		1965	66
Auburn		1975	545
Auburn		1985	647
Auburn		1995	1022
Auburn		2005	2352
Auburn		2010	2612
Auburn		2011	587
Auburn		2012	912
Auburn		2013	1305
Auburn		2014	1042
Auburn		2015	1040
Auburn		2016	809
Auburn	CAN		10
Auburn	CAN	1975	13
Auburn	CAN	1995	4
Auburn	CAN	2005	20
Auburn	CAN	2010	13
Auburn	CAN	2011	5
Auburn	CAN	2012	3
Auburn	CAN	2015	4
Auburn	CAN	2016	12
Auburn	CHN		429
Auburn	CHN	1955	10
Auburn	CHN	1965	106
Auburn	CHN	1975	49
Auburn	CHN	1985	294
Auburn	CHN	1995	1868
Auburn	CHN	2005	2855
Auburn	CHN	2010	2954
Auburn	CHN	2011	454
Auburn	CHN	2012	451
Auburn	CHN	2013	441
Auburn	CHN	2014	518
Auburn	CHN	2015	452
Auburn	CHN	2016	245
Auburn	DEU		16
Auburn	DEU	1955	29
Auburn	DEU	1965	4
Auburn	DEU	1975	6
Auburn	DEU	1985	10
Auburn	DEU	1995	13
Auburn	DEU	2005	35
Auburn	DEU	2010	13
Auburn	DEU	2011	3
Auburn	DEU	2012	5
Auburn	DEU	2013	9
Auburn	EGY		15
Auburn	EGY	1965	6
Auburn	EGY	1975	47
Auburn	EGY	1985	21
Auburn	EGY	1995	67
Auburn	EGY	2005	62
Auburn	EGY	2010	66
Auburn	EGY	2011	12
Auburn	EGY	2012	16
Auburn	EGY	2013	7
Auburn	EGY	2014	14
Auburn	EGY	2015	14
Auburn	EGY	2016	12
Auburn	FJI		28
Auburn	FJI	1965	4
Auburn	FJI	1975	22
Auburn	FJI	1985	74
Auburn	FJI	1995	168
Auburn	FJI	2005	109
Auburn	FJI	2010	61
Auburn	FJI	2011	9
Auburn	FJI	2012	5
Auburn	FJI	2013	7
Auburn	FJI	2014	14
Auburn	FJI	2015	13
Auburn	FJI	2016	4
Auburn	GBR		44
Auburn	GBR	1946	5
Auburn	GBR	1955	45
Auburn	GBR	1965	100
Auburn	GBR	1975	144
Auburn	GBR	1985	69
Auburn	GBR	1995	72
Auburn	GBR	2005	95
Auburn	GBR	2010	82
Auburn	GBR	2011	8
Auburn	GBR	2012	21
Auburn	GBR	2013	28
Auburn	GBR	2014	17
Auburn	GBR	2015	13
Auburn	GBR	2016	5
Auburn	GRC		10
Auburn	GRC	1955	10
Auburn	GRC	1965	99
Auburn	GRC	1975	70
Auburn	GRC	1985	6
Auburn	GRC	1995	3
Auburn	GRC	2011	4
Auburn	GRC	2012	3
Auburn	HKG		35
Auburn	HKG	1965	3
Auburn	HKG	1975	23
Auburn	HKG	1985	153
Auburn	HKG	1995	339
Auburn	HKG	2005	213
Auburn	HKG	2010	88
Auburn	HKG	2011	21
Auburn	HKG	2012	32
Auburn	HKG	2013	25
