SED_NAME16	Age	MaritalStatus	Registered	adults
Albury	15-19	Married	0	104
Albury	15-19	Married	1	11
Albury	15-19	Never married		4111
Albury	20-24	Married	0	782
Albury	20-24	Married	1	180
Albury	20-24	Never married		2862
Albury	25-34	Married	0	1724
Albury	25-34	Married	1	3144
Albury	25-34	Never married		2838
Albury	35-44	Married	0	1054
Albury	35-44	Married	1	4795
Albury	35-44	Never married		2197
Albury	45-54	Married	0	980
Albury	45-54	Married	1	5324
Albury	45-54	Never married		2713
Albury	55-64	Married	0	699
Albury	55-64	Married	1	5870
Albury	55-64	Never married		2685
Albury	65-74	Married	0	344
Albury	65-74	Married	1	4700
Albury	65-74	Never married		2193
Albury	75-84	Married	0	92
Albury	75-84	Married	1	2085
Albury	75-84	Never married		1734
Albury	85+	Married	0	12
Albury	85+	Married	1	463
Albury	85+	Never married		880
Auburn	15-19	Married	0	19
Auburn	15-19	Married	1	33
Auburn	15-19	Never married		5387
Auburn	20-24	Married	0	313
Auburn	20-24	Married	1	917
Auburn	20-24	Never married		7014
Auburn	25-34	Married	0	1539
Auburn	25-34	Married	1	9500
Auburn	25-34	Never married		10314
Auburn	35-44	Married	0	713
Auburn	35-44	Married	1	8196
Auburn	35-44	Never married		4018
Auburn	45-54	Married	0	504
Auburn	45-54	Married	1	6985
Auburn	45-54	Never married		3260
Auburn	55-64	Married	0	382
Auburn	55-64	Married	1	5618
Auburn	55-64	Never married		2920
Auburn	65-74	Married	0	132
Auburn	65-74	Married	1	3064
Auburn	65-74	Never married		1573
Auburn	75-84	Married	0	31
Auburn	75-84	Married	1	1320
Auburn	75-84	Never married		1105
Auburn	85+	Married	0	7
Auburn	85+	Married	1	255
Auburn	85+	Never married		612
Ballina	15-19	Married	0	35
Ballina	15-19	Married	1	3
Ballina	15-19	Never married		3505
Ballina	20-24	Married	0	339
Ballina	20-24	Married	1	68
Ballina	20-24	Never married		1850
Ballina	25-34	Married	0	1407
Ballina	25-34	Married	1	1722
Ballina	25-34	Never married		2689
Ballina	35-44	Married	0	1546
Ballina	35-44	Married	1	3809
Ballina	35-44	Never married		2498
Ballina	45-54	Married	0	1444
Ballina	45-54	Married	1	4606
Ballina	45-54	Never married		3163
Ballina	55-64	Married	0	1186
Ballina	55-64	Married	1	5420
Ballina	55-64	Never married		3519
Ballina	65-74	Married	0	542
Ballina	65-74	Married	1	4529
Ballina	65-74	Never married		2503
Ballina	75-84	Married	0	107
Ballina	75-84	Married	1	2054
Ballina	75-84	Never married		1602
Ballina	85+	Married	0	27
Ballina	85+	Married	1	526
Ballina	85+	Never married		1112
Balmain	15-19	Married	0	31
Balmain	15-19	Married	1	7
Balmain	15-19	Never married		2574
Balmain	20-24	Married	0	652
Balmain	20-24	Married	1	64
Balmain	20-24	Never married		5401
Balmain	25-34	Married	0	3749
Balmain	25-34	Married	1	3671
Balmain	25-34	Never married		6573
Balmain	35-44	Married	0	2419
Balmain	35-44	Married	1	6895
Balmain	35-44	Never married		3509
Balmain	45-54	Married	0	1659
Balmain	45-54	Married	1	4816
Balmain	45-54	Never married		3240
Balmain	55-64	Married	0	1053
Balmain	55-64	Married	1	3297
Balmain	55-64	Never married		2930
Balmain	65-74	Married	0	440
Balmain	65-74	Married	1	2340
Balmain	65-74	Never married		2217
Balmain	75-84	Married	0	73
Balmain	75-84	Married	1	822
Balmain	75-84	Never married		1044
Balmain	85+	Married	0	14
Balmain	85+	Married	1	166
Balmain	85+	Never married		459
Bankstown	15-19	Married	0	20
Bankstown	15-19	Married	1	35
Bankstown	15-19	Never married		5315
Bankstown	20-24	Married	0	182
Bankstown	20-24	Married	1	670
Bankstown	20-24	Never married		4848
Bankstown	25-34	Married	0	729
Bankstown	25-34	Married	1	5623
Bankstown	25-34	Never married		5405
Bankstown	35-44	Married	0	617
Bankstown	35-44	Married	1	6409
Bankstown	35-44	Never married		3044
Bankstown	45-54	Married	0	559
Bankstown	45-54	Married	1	5915
Bankstown	45-54	Never married		3024
Bankstown	55-64	Married	0	399
Bankstown	55-64	Married	1	4908
Bankstown	55-64	Never married		2960
Bankstown	65-74	Married	0	158
Bankstown	65-74	Married	1	3107
Bankstown	65-74	Never married		1926
Bankstown	75-84	Married	0	32
Bankstown	75-84	Married	1	1564
Bankstown	75-84	Never married		1349
Bankstown	85+	Married	0	11
Bankstown	85+	Married	1	386
Bankstown	85+	Never married		854
Barwon	15-19	Married	0	75
Barwon	15-19	Never married		3270
Barwon	20-24	Married	0	800
Barwon	20-24	Married	1	150
Barwon	20-24	Never married		2230
Barwon	25-34	Married	0	1808
Barwon	25-34	Married	1	2513
Barwon	25-34	Never married		3041
Barwon	35-44	Married	0	1187
Barwon	35-44	Married	1	3628
Barwon	35-44	Never married		2267
Barwon	45-54	Married	0	1177
Barwon	45-54	Married	1	4491
Barwon	45-54	Never married		3012
Barwon	55-64	Married	0	788
Barwon	55-64	Married	1	5326
Barwon	55-64	Never married		3127
Barwon	65-74	Married	0	353
Barwon	65-74	Married	1	4199
Barwon	65-74	Never married		2550
Barwon	75-84	Married	0	85
Barwon	75-84	Married	1	2002
Barwon	75-84	Never married		1941
Barwon	85+	Married	0	12
Barwon	85+	Married	1	386
Barwon	85+	Never married		842
Bathurst	15-19	Married	0	92
Bathurst	15-19	Never married		4130
Bathurst	20-24	Married	0	762
Bathurst	20-24	Married	1	183
Bathurst	20-24	Never married		2691
Bathurst	25-34	Married	0	1695
Bathurst	25-34	Married	1	2811
Bathurst	25-34	Never married		2792
Bathurst	35-44	Married	0	1102
Bathurst	35-44	Married	1	4383
Bathurst	35-44	Never married		2173
Bathurst	45-54	Married	0	1072
Bathurst	45-54	Married	1	5199
Bathurst	45-54	Never married		2724
Bathurst	55-64	Married	0	710
Bathurst	55-64	Married	1	5503
Bathurst	55-64	Never married		2677
Bathurst	65-74	Married	0	370
Bathurst	65-74	Married	1	4424
Bathurst	65-74	Never married		2542
Bathurst	75-84	Married	0	79
Bathurst	75-84	Married	1	1869
Bathurst	75-84	Never married		1664
Bathurst	85+	Married	0	13
Bathurst	85+	Married	1	373
Bathurst	85+	Never married		812
Baulkham Hills	15-19	Married	0	9
Baulkham Hills	15-19	Married	1	3
Baulkham Hills	15-19	Never married		5091
Baulkham Hills	20-24	Married	0	171
Baulkham Hills	20-24	Married	1	70
Baulkham Hills	20-24	Never married		4415
Baulkham Hills	25-34	Married	0	656
Baulkham Hills	25-34	Married	1	3837
Baulkham Hills	25-34	Never married		3619
Baulkham Hills	35-44	Married	0	602
Baulkham Hills	35-44	Married	1	9089
Baulkham Hills	35-44	Never married		1590
Baulkham Hills	45-54	Married	0	598
Baulkham Hills	45-54	Married	1	8423
Baulkham Hills	45-54	Never married		1581
Baulkham Hills	55-64	Married	0	385
Baulkham Hills	55-64	Married	1	7340
Baulkham Hills	55-64	Never married		1544
Baulkham Hills	65-74	Married	0	157
Baulkham Hills	65-74	Married	1	5531
Baulkham Hills	65-74	Never married		1354
Baulkham Hills	75-84	Married	0	41
Baulkham Hills	75-84	Married	1	1893
Baulkham Hills	75-84	Never married		963
Baulkham Hills	85+	Married	0	4
Baulkham Hills	85+	Married	1	297
Baulkham Hills	85+	Never married		493
Bega	15-19	Married	0	93
Bega	15-19	Never married		3054
Bega	20-24	Married	0	464
Bega	20-24	Married	1	101
Bega	20-24	Never married		1453
Bega	25-34	Married	0	1111
Bega	25-34	Married	1	1458
Bega	25-34	Never married		1774
Bega	35-44	Married	0	1104
Bega	35-44	Married	1	2848
Bega	35-44	Never married		1788
Bega	45-54	Married	0	1295
Bega	45-54	Married	1	4114
Bega	45-54	Never married		2606
Bega	55-64	Married	0	1291
Bega	55-64	Married	1	6485
Bega	55-64	Never married		3239
Bega	65-74	Married	0	675
Bega	65-74	Married	1	6448
Bega	65-74	Never married		2678
Bega	75-84	Married	0	177
Bega	75-84	Married	1	2819
Bega	75-84	Never married		1872
Bega	85+	Married	0	23
Bega	85+	Married	1	559
Bega	85+	Never married		996
Blacktown	15-19	Married	0	49
Blacktown	15-19	Married	1	6
Blacktown	15-19	Never married		5154
Blacktown	20-24	Married	0	429
Blacktown	20-24	Married	1	394
Blacktown	20-24	Never married		4878
Blacktown	25-34	Married	0	1355
Blacktown	25-34	Married	1	7279
Blacktown	25-34	Never married		5592
Blacktown	35-44	Married	0	893
Blacktown	35-44	Married	1	8053
Blacktown	35-44	Never married		2995
Blacktown	45-54	Married	0	719
Blacktown	45-54	Married	1	6035
Blacktown	45-54	Never married		2985
Blacktown	55-64	Married	0	417
Blacktown	55-64	Married	1	5446
Blacktown	55-64	Never married		2877
Blacktown	65-74	Married	0	178
Blacktown	65-74	Married	1	3369
Blacktown	65-74	Never married		1897
Blacktown	75-84	Married	0	51
Blacktown	75-84	Married	1	1437
Blacktown	75-84	Never married		1391
Blacktown	85+	Married	0	8
Blacktown	85+	Married	1	296
Blacktown	85+	Never married		657
Blue Mountains	15-19	Married	0	47
Blue Mountains	15-19	Never married		3957
Blue Mountains	20-24	Married	0	319
Blue Mountains	20-24	Married	1	119
Blue Mountains	20-24	Never married		2438
Blue Mountains	25-34	Married	0	1254
Blue Mountains	25-34	Married	1	2467
Blue Mountains	25-34	Never married		2198
Blue Mountains	35-44	Married	0	1412
Blue Mountains	35-44	Married	1	4875
Blue Mountains	35-44	Never married		1989
Blue Mountains	45-54	Married	0	1317
Blue Mountains	45-54	Married	1	5497
Blue Mountains	45-54	Never married		2525
Blue Mountains	55-64	Married	0	952
Blue Mountains	55-64	Married	1	5969
Blue Mountains	55-64	Never married		2948
Blue Mountains	65-74	Married	0	486
Blue Mountains	65-74	Married	1	4539
Blue Mountains	65-74	Never married		2605
Blue Mountains	75-84	Married	0	100
