SED_NAME16	MaxSchoolingCompleted	adults
Albury	Did not go to school	343
Albury	Year 8	3592
Albury	Year 9	5447
Albury	Year 10	16814
Albury	Year 11	7001
Albury	Year 12	24106
Auburn	Did not go to school	3676
Auburn	Year 8	5282
Auburn	Year 9	3215
Auburn	Year 10	9495
Auburn	Year 11	3504
Auburn	Year 12	50886
Ballina	Did not go to school	149
Ballina	Year 8	2339
Ballina	Year 9	4043
Ballina	Year 10	15323
Ballina	Year 11	4275
Ballina	Year 12	27807
Balmain	Did not go to school	391
Balmain	Year 8	1528
Balmain	Year 9	1674
Balmain	Year 10	6015
Balmain	Year 11	2390
Balmain	Year 12	51354
Bankstown	Did not go to school	2322
Bankstown	Year 8	5014
Bankstown	Year 9	3729
Bankstown	Year 10	11237
Bankstown	Year 11	3467
Bankstown	Year 12	35028
Barwon	Did not go to school	277
Barwon	Year 8	5050
Barwon	Year 9	6550
Barwon	Year 10	18894
Barwon	Year 11	4544
Barwon	Year 12	17797
Bathurst	Did not go to school	183
Bathurst	Year 8	3410
Bathurst	Year 9	5324
Bathurst	Year 10	19142
Bathurst	Year 11	4246
Bathurst	Year 12	23058
Baulkham Hills	Did not go to school	369
Baulkham Hills	Year 8	1424
Baulkham Hills	Year 9	2542
Baulkham Hills	Year 10	9870
Baulkham Hills	Year 11	3117
Baulkham Hills	Year 12	43412
Bega	Did not go to school	138
Bega	Year 8	3324
Bega	Year 9	5218
Bega	Year 10	17416
Bega	Year 11	4935
Bega	Year 12	21983
Blacktown	Did not go to school	984
Blacktown	Year 8	3716
Blacktown	Year 9	4076
Blacktown	Year 10	13549
Blacktown	Year 11	3792
Blacktown	Year 12	38881
Blue Mountains	Did not go to school	128
Blue Mountains	Year 8	1492
Blue Mountains	Year 9	3389
Blue Mountains	Year 10	14226
Blue Mountains	Year 11	3679
Blue Mountains	Year 12	31652
Cabramatta	Did not go to school	4828
Cabramatta	Year 8	6649
Cabramatta	Year 9	3972
Cabramatta	Year 10	10482
Cabramatta	Year 11	3639
