SED_NAME16	PrivateDwelling	Sex	persons
Albury	0	F	3801
Albury	0	M	3958
Albury	1	F	35812
Albury	1	M	34315
Auburn	0	F	3513
Auburn	0	M	4949
Auburn	1	F	45539
Auburn	1	M	49976
Ballina	0	F	4934
Ballina	0	M	4661
Ballina	1	F	33810
Ballina	1	M	31236
Balmain	0	F	4456
Balmain	0	M	4346
Balmain	1	F	38176
Balmain	1	M	34688
Bankstown	0	F	3051
Bankstown	0	M	3376
Bankstown	1	F	40059
Bankstown	1	M	39343
Barwon	0	F	5578
Barwon	0	M	6596
Barwon	1	F	33487
Barwon	1	M	33475
Bathurst	0	F	3943
Bathurst	0	M	5284
Bathurst	1	F	34398
Bathurst	1	M	33665
Baulkham Hills	0	F	1259
Baulkham Hills	0	M	1083
Baulkham Hills	1	F	38854
Baulkham Hills	1	M	37617
Bega	0	F	3736
Bega	0	M	3682
Bega	1	F	31667
Bega	1	M	30294
Blacktown	0	F	1889
Blacktown	0	M	1771
Blacktown	1	F	41681
Blacktown	1	M	41842
Blue Mountains	0	F	2615
Blue Mountains	0	M	2273
Blue Mountains	1	F	34112
Blue Mountains	1	M	31677
Cabramatta	0	F	1755
Cabramatta	0	M	1580
Cabramatta	1	F	39744
Cabramatta	1	M	38348
Camden	0	F	2184
Camden	0	M	1927
Camden	1	F	42371
Camden	1	M	40873
Campbelltown	0	F	2596
Campbelltown	0	M	2613
Campbelltown	1	F	37775
Campbelltown	1	M	36048
Canterbury	0	F	2466
Canterbury	0	M	2392
Canterbury	1	F	41818
Canterbury	1	M	40941
Castle Hill	0	F	1124
Castle Hill	0	M	1013
Castle Hill	1	F	38969
Castle Hill	1	M	37822
Cessnock	0	F	2900
Cessnock	0	M	3406
Cessnock	1	F	35600
Cessnock	1	M	34203
Charlestown	0	F	1479
Charlestown	0	M	1273
Charlestown	1	F	34986
Charlestown	1	M	32877
Clarence	0	F	4131
Clarence	0	M	4424
Clarence	1	F	33682
Clarence	1	M	32875
Coffs Harbour	0	F	4175
Coffs Harbour	0	M	3983
Coffs Harbour	1	F	34346
Coffs Harbour	1	M	32084
Coogee	0	F	5323
Coogee	0	M	5273
Coogee	1	F	38382
Coogee	1	M	34728
Cootamundra	0	F	3364
Cootamundra	0	M	4285
Cootamundra	1	F	31910
Cootamundra	1	M	31283
Cronulla	0	F	1629
Cronulla	0	M	1556
Cronulla	1	F	35231
Cronulla	1	M	33824
Davidson	0	F	1596
Davidson	0	M	1167
Davidson	1	F	38193
Davidson	1	M	36063
Drummoyne	0	F	2782
Drummoyne	0	M	2361
Drummoyne	1	F	38826
Drummoyne	1	M	35689
Dubbo	0	F	4496
Dubbo	0	M	5259
Dubbo	1	F	34433
Dubbo	1	M	33002
East Hills	0	F	1866
East Hills	0	M	1656
East Hills	1	F	37360
East Hills	1	M	35908
Epping	0	F	1638
Epping	0	M	1081
Epping	1	F	39220
Epping	1	M	37125
Fairfield	0	F	2038
Fairfield	0	M	1981
Fairfield	1	F	41857
Fairfield	1	M	40773
Gosford	0	F	2703
Gosford	0	M	2525
Gosford	1	F	35116
Gosford	1	M	33098
Goulburn	0	F	3174
Goulburn	0	M	4039
Goulburn	1	F	34455
Goulburn	1	M	33457
Granville	0	F	2451
Granville	0	M	2471
Granville	1	F	42047
Granville	1	M	43784
Hawkesbury	0	F	2392
Hawkesbury	0	M	2532
Hawkesbury	1	F	34616
Hawkesbury	1	M	33917
Heathcote	0	F	1497
Heathcote	0	M	1227
Heathcote	1	F	36784
Heathcote	1	M	35474
Heffron	0	F	5693
Heffron	0	M	6530
Heffron	1	F	46073
Heffron	1	M	46803
Holsworthy	0	F	2238
Holsworthy	0	M	2636
Holsworthy	1	F	40349
Holsworthy	1	M	39096
Hornsby	0	F	1566
Hornsby	0	M	1353
Hornsby	1	F	38195
Hornsby	1	M	37005
Keira	0	F	2015
Keira	0	M	1747
Keira	1	F	37465
Keira	1	M	35785
Kiama	0	F	2464
Kiama	0	M	3148
Kiama	1	F	32858
Kiama	1	M	31384
Kogarah	0	F	2894
Kogarah	0	M	2602
Kogarah	1	F	43856
Kogarah	1	M	42799
Ku-ring-gai	0	F	2970
Ku-ring-gai	0	M	2090
Ku-ring-gai	1	F	38789
Ku-ring-gai	1	M	35982
Lake Macquarie	0	F	1957
Lake Macquarie	0	M	1717
Lake Macquarie	1	F	33620
Lake Macquarie	1	M	32213
Lakemba	0	F	2527
Lakemba	0	M	2557
Lakemba	1	F	42309
Lakemba	1	M	43893
Lane Cove	0	F	3489
Lane Cove	0	M	3832
Lane Cove	1	F	38790
Lane Cove	1	M	36425
Lismore	0	F	3921
Lismore	0	M	3840
Lismore	1	F	33962
Lismore	1	M	32493
Liverpool	0	F	3655
Liverpool	0	M	3656
Liverpool	1	F	42533
Liverpool	1	M	41688
Londonderry	0	F	2928
Londonderry	0	M	3565
Londonderry	1	F	42844
Londonderry	1	M	41830
Macquarie Fields	0	F	2132
Macquarie Fields	0	M	2041
Macquarie Fields	1	F	41282
Macquarie Fields	1	M	40407
Maitland	0	F	1964
Maitland	0	M	1890
Maitland	1	F	37073
Maitland	1	M	35224
Manly	0	F	2745
Manly	0	M	2576
Manly	1	F	37772
Manly	1	M	36101
Maroubra	0	F	2714
Maroubra	0	M	4160
Maroubra	1	F	37914
Maroubra	1	M	36108
Miranda	0	F	2132
Miranda	0	M	1662
Miranda	1	F	35804
Miranda	1	M	33974
Monaro	0	F	8747
Monaro	0	M	11187
Monaro	1	F	34177
Monaro	1	M	34424
Mount Druitt	0	F	2546
Mount Druitt	0	M	2289
Mount Druitt	1	F	42498
Mount Druitt	1	M	41357
Mulgoa	0	F	1698
Mulgoa	0	M	1573
Mulgoa	1	F	39219
Mulgoa	1	M	38507
Murray	0	F	5032
Murray	0	M	5806
Murray	1	F	36118
Murray	1	M	36183
Myall Lakes	0	F	3291
Myall Lakes	0	M	3129
Myall Lakes	1	F	33249
Myall Lakes	1	M	31284
