SED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Albury	15-19		F	143
Albury	15-19		M	154
Albury	15-19	Did not go to school	F	3
Albury	15-19	Did not go to school	M	4
Albury	15-19	Year 8 or below	F	12
Albury	15-19	Year 8 or below	M	12
Albury	15-19	Year 9	F	44
Albury	15-19	Year 9	M	58
Albury	15-19	Year 10	F	163
Albury	15-19	Year 10	M	280
Albury	15-19	Year 11	F	149
Albury	15-19	Year 11	M	187
Albury	15-19	Year 12	F	535
Albury	15-19	Year 12	M	416
Albury	20-24		F	190
Albury	20-24		M	215
Albury	20-24	Did not go to school	F	3
Albury	20-24	Did not go to school	M	3
Albury	20-24	Year 8 or below	F	16
Albury	20-24	Year 8 or below	M	35
Albury	20-24	Year 9	F	60
Albury	20-24	Year 9	M	87
Albury	20-24	Year 10	F	301
Albury	20-24	Year 10	M	521
Albury	20-24	Year 11	F	185
Albury	20-24	Year 11	M	288
Albury	20-24	Year 12	F	1564
Albury	20-24	Year 12	M	1149
Albury	25-34		F	337
Albury	25-34		M	416
Albury	25-34	Did not go to school	F	15
Albury	25-34	Did not go to school	M	18
Albury	25-34	Year 8 or below	F	49
Albury	25-34	Year 8 or below	M	58
Albury	25-34	Year 9	F	101
Albury	25-34	Year 9	M	171
Albury	25-34	Year 10	F	622
Albury	25-34	Year 10	M	1038
Albury	25-34	Year 11	F	360
Albury	25-34	Year 11	M	476
Albury	25-34	Year 12	F	3021
Albury	25-34	Year 12	M	2205
Albury	35-44		F	356
Albury	35-44		M	408
Albury	35-44	Did not go to school	F	36
Albury	35-44	Did not go to school	M	18
Albury	35-44	Year 8 or below	F	58
Albury	35-44	Year 8 or below	M	82
Albury	35-44	Year 9	F	133
Albury	35-44	Year 9	M	188
Albury	35-44	Year 10	F	799
Albury	35-44	Year 10	M	1055
Albury	35-44	Year 11	F	435
Albury	35-44	Year 11	M	484
Albury	35-44	Year 12	F	2841
Albury	35-44	Year 12	M	2133
Albury	45-54		F	386
Albury	45-54		M	433
Albury	45-54	Did not go to school	F	30
Albury	45-54	Did not go to school	M	26
Albury	45-54	Year 8 or below	F	87
Albury	45-54	Year 8 or below	M	163
Albury	45-54	Year 9	F	268
Albury	45-54	Year 9	M	390
Albury	45-54	Year 10	F	1585
Albury	45-54	Year 10	M	1833
Albury	45-54	Year 11	F	735
Albury	45-54	Year 11	M	679
Albury	45-54	Year 12	F	2066
Albury	45-54	Year 12	M	1454
Albury	55-64		F	492
Albury	55-64		M	469
Albury	55-64	Did not go to school	F	17
Albury	55-64	Did not go to school	M	23
Albury	55-64	Year 8 or below	F	244
Albury	55-64	Year 8 or below	M	302
Albury	55-64	Year 9	F	442
Albury	55-64	Year 9	M	460
Albury	55-64	Year 10	F	1875
Albury	55-64	Year 10	M	1776
Albury	55-64	Year 11	F	661
Albury	55-64	Year 11	M	532
Albury	55-64	Year 12	F	1718
Albury	55-64	Year 12	M	1615
Albury	65-74		F	462
Albury	65-74		M	472
Albury	65-74	Did not go to school	F	26
Albury	65-74	Did not go to school	M	34
Albury	65-74	Year 8 or below	F	384
Albury	65-74	Year 8 or below	M	489
Albury	65-74	Year 9	F	642
Albury	65-74	Year 9	M	706
Albury	65-74	Year 10	F	1445
Albury	65-74	Year 10	M	1186
Albury	65-74	Year 11	F	437
Albury	65-74	Year 11	M	344
Albury	65-74	Year 12	F	946
Albury	65-74	Year 12	M	1053
Albury	75-84		F	557
Albury	75-84		M	371
Albury	75-84	Did not go to school	F	32
Albury	75-84	Did not go to school	M	26
Albury	75-84	Year 8 or below	F	422
Albury	75-84	Year 8 or below	M	412
Albury	75-84	Year 9	F	362
Albury	75-84	Year 9	M	329
Albury	75-84	Year 10	F	675
Albury	75-84	Year 10	M	530
Albury	75-84	Year 11	F	174
Albury	75-84	Year 11	M	131
Albury	75-84	Year 12	F	422
Albury	75-84	Year 12	M	438
Albury	85+		F	340
Albury	85+		M	218
Albury	85+	Did not go to school	F	15
Albury	85+	Did not go to school	M	13
Albury	85+	Year 8 or below	F	292
Albury	85+	Year 8 or below	M	214
Albury	85+	Year 9	F	184
Albury	85+	Year 9	M	101
Albury	85+	Year 10	F	232
Albury	85+	Year 10	M	126
Albury	85+	Year 11	F	54
Albury	85+	Year 11	M	34
Albury	85+	Year 12	F	171
Albury	85+	Year 12	M	130
Auburn	15-19		F	168
Auburn	15-19		M	190
Auburn	15-19	Did not go to school	F	3
Auburn	15-19	Did not go to school	M	8
Auburn	15-19	Year 8 or below	F	6
Auburn	15-19	Year 8 or below	M	21
Auburn	15-19	Year 9	F	18
Auburn	15-19	Year 9	M	31
Auburn	15-19	Year 10	F	72
Auburn	15-19	Year 10	M	157
Auburn	15-19	Year 11	F	110
Auburn	15-19	Year 11	M	137
Auburn	15-19	Year 12	F	951
Auburn	15-19	Year 12	M	948
Auburn	20-24		F	355
Auburn	20-24		M	565
Auburn	20-24	Did not go to school	F	43
Auburn	20-24	Did not go to school	M	151
Auburn	20-24	Year 8 or below	F	38
Auburn	20-24	Year 8 or below	M	123
Auburn	20-24	Year 9	F	42
Auburn	20-24	Year 9	M	84
Auburn	20-24	Year 10	F	153
Auburn	20-24	Year 10	M	371
Auburn	20-24	Year 11	F	125
Auburn	20-24	Year 11	M	232
Auburn	20-24	Year 12	F	3262
Auburn	20-24	Year 12	M	3605
Auburn	25-34		F	904
Auburn	25-34		M	1591
Auburn	25-34	Did not go to school	F	183
Auburn	25-34	Did not go to school	M	451
Auburn	25-34	Year 8 or below	F	159
Auburn	25-34	Year 8 or below	M	430
Auburn	25-34	Year 9	F	118
Auburn	25-34	Year 9	M	256
Auburn	25-34	Year 10	F	544
Auburn	25-34	Year 10	M	883
