SED_NAME16	OnlyEnglishSpokenHome	persons
Albury	0	4032
Albury	1	68853
Auburn	0	74135
Auburn	1	21362
Ballina	0	3709
Ballina	1	62708
Balmain	0	18389
Balmain	1	57319
Bankstown	0	56069
Bankstown	1	23551
Barwon	0	1949
Barwon	1	66852
Bathurst	0	2805
Bathurst	1	67629
Baulkham Hills	0	30183
Baulkham Hills	1	47001
Bega	0	2384
Bega	1	62449
Blacktown	0	40259
Blacktown	1	43282
Blue Mountains	0	4404
Blue Mountains	1	63636
Cabramatta	0	60032
Cabramatta	1	18336
Camden	0	13791
Camden	1	70145
Campbelltown	0	18008
Campbelltown	1	55991
Canterbury	0	54000
Canterbury	1	29153
Castle Hill	0	23248
Castle Hill	1	54241
Cessnock	0	2124
Cessnock	1	68891
Charlestown	0	4101
Charlestown	1	65022
Clarence	0	1475
Clarence	1	66411
Coffs Harbour	0	5461
Coffs Harbour	1	62254
Coogee	0	17191
Coogee	1	58380
Cootamundra	0	1837
Cootamundra	1	63310
Cronulla	0	6737
Cronulla	1	63557
Davidson	0	20158
Davidson	1	55483
Drummoyne	0	31245
Drummoyne	1	44562
Dubbo	0	2975
Dubbo	1	66612
East Hills	0	32460
East Hills	1	41459
Epping	0	35748
Epping	1	41481
Fairfield	0	62579
Fairfield	1	20282
Gosford	0	6406
Gosford	1	62756
Goulburn	0	3197
Goulburn	1	66985
Granville	0	57446
Granville	1	28285
Hawkesbury	0	5000
Hawkesbury	1	64646
Heathcote	0	7187
Heathcote	1	66492
Heffron	0	46734
Heffron	1	49706
Holsworthy	0	37556
Holsworthy	1	42617
Hornsby	0	20680
Hornsby	1	55754
Keira	0	10349
Keira	1	64864
Kiama	0	3093
Kiama	1	63378
Kogarah	0	60836
Kogarah	1	26782
Ku-ring-gai	0	24275
Ku-ring-gai	1	52806
Lake Macquarie	0	2858
Lake Macquarie	1	64937
Lakemba	0	65180
Lakemba	1	20692
Lane Cove	0	23038
Lane Cove	1	54855
Lismore	0	2955
Lismore	1	64720
Liverpool	0	53304
Liverpool	1	30459
Londonderry	0	20244
Londonderry	1	64162
Macquarie Fields	0	33614
Macquarie Fields	1	47900
Maitland	0	3054
Maitland	1	70262
Manly	0	11874
Manly	1	63530
Maroubra	0	27299
Maroubra	1	47565
Miranda	0	14450
Miranda	1	56857
Monaro	0	7854
Monaro	1	62337
Mount Druitt	0	39459
Mount Druitt	1	44388
Mulgoa	0	22978
Mulgoa	1	54648
Murray	0	7705
Murray	1	67446
Myall Lakes	0	1947
Myall Lakes	1	64095
Newcastle	0	5526
Newcastle	1	61439
Newtown	0	22636
Newtown	1	52692
North Shore	0	15772
North Shore	1	55532
Northern Tablelands	0	3661
Northern Tablelands	1	68561
Oatley	0	31626
Oatley	1	41693
Orange	0	3293
Orange	1	69044
Oxley	0	1719
Oxley	1	64952
Parramatta	0	57329
Parramatta	1	38606
Penrith	0	9297
Penrith	1	65132
Pittwater	0	6342
Pittwater	1	62071
Port Macquarie	0	2302
Port Macquarie	1	66370
Port Stephens	0	2462
Port Stephens	1	63841
Prospect	0	44174
Prospect	1	33884
Riverstone	0	34667
Riverstone	1	51015
Rockdale	0	46483
Rockdale	1	34388
Ryde	0	49888
Ryde	1	39235
Seven Hills	0	33139
Seven Hills	1	47154
Shellharbour	0	8666
Shellharbour	1	68816
South Coast	0	2976
South Coast	1	61748
