SED_NAME16	BornAust	persons
Albury	0	7395
Albury	1	64722
Auburn	0	59453
Auburn	1	37275
Ballina	0	10236
Ballina	1	55495
Balmain	0	28065
Balmain	1	47269
Bankstown	0	39317
Bankstown	1	40051
Barwon	0	3778
Barwon	1	64162
Bathurst	0	6747
Bathurst	1	64151
Baulkham Hills	0	30978
Baulkham Hills	1	46039
Bega	0	8796
Bega	1	54992
Blacktown	0	39240
Blacktown	1	43911
Blue Mountains	0	12149
Blue Mountains	1	55478
Cabramatta	0	44764
Cabramatta	1	32755
Camden	0	15886
Camden	1	67530
Campbelltown	0	20482
Campbelltown	1	52816
Canterbury	0	42004
Canterbury	1	40548
Castle Hill	0	26810
Castle Hill	1	50421
Cessnock	0	5307
Cessnock	1	65786
Charlestown	0	7595
Charlestown	1	61232
Clarence	0	5119
Clarence	1	61878
Coffs Harbour	0	10145
Coffs Harbour	1	57154
Coogee	0	30342
Coogee	1	44922
Cootamundra	0	4053
Cootamundra	1	60801
Cronulla	0	11300
Cronulla	1	58644
Davidson	0	29142
Davidson	1	46356
Drummoyne	0	31051
Drummoyne	1	44339
Dubbo	0	5291
Dubbo	1	63992
East Hills	0	24765
East Hills	1	48698
Epping	0	36930
Epping	1	40725
Fairfield	0	48074
Fairfield	1	33830
Gosford	0	13112
Gosford	1	55376
Goulburn	0	8293
Goulburn	1	61637
Granville	0	46199
Granville	1	39013
Hawkesbury	0	9571
Hawkesbury	1	59590
Heathcote	0	12148
Heathcote	1	61274
Heffron	0	51993
Heffron	1	43961
Holsworthy	0	30523
Holsworthy	1	49066
Hornsby	0	26143
Hornsby	1	50084
Keira	0	14955
Keira	1	59681
Kiama	0	9532
Kiama	1	56898
Kogarah	0	50650
Kogarah	1	36355
Ku-ring-gai	0	31848
Ku-ring-gai	1	45041
Lake Macquarie	0	7659
Lake Macquarie	1	59837
Lakemba	0	45695
Lakemba	1	39571
Lane Cove	0	28306
Lane Cove	1	49355
Lismore	0	7198
Lismore	1	59693
Liverpool	0	41666
Liverpool	1	41232
Londonderry	0	23020
Londonderry	1	61574
Macquarie Fields	0	32038
Macquarie Fields	1	48882
Maitland	0	6130
Maitland	1	66864
Manly	0	26049
Manly	1	49329
Maroubra	0	30655
Maroubra	1	45204
Miranda	0	16630
Miranda	1	54385
Monaro	0	12260
Monaro	1	57467
Mount Druitt	0	37265
Mount Druitt	1	45993
Mulgoa	0	21566
Mulgoa	1	55576
Murray	0	8836
Murray	1	65132
Myall Lakes	0	6573
Myall Lakes	1	58493
Newcastle	0	9085
Newcastle	1	58373
Newtown	0	31829
Newtown	1	43111
North Shore	0	28694
North Shore	1	42476
Northern Tablelands	0	6555
Northern Tablelands	1	64749
Oatley	0	27125
Oatley	1	45789
Orange	0	5738
Orange	1	65698
Oxley	0	6163
Oxley	1	59932
Parramatta	0	53824
Parramatta	1	41946
Penrith	0	14955
Penrith	1	59202
Pittwater	0	16704
Pittwater	1	51639
Port Macquarie	0	8707
Port Macquarie	1	59173
Port Stephens	0	8036
Port Stephens	1	57604
Prospect	0	37537
Prospect	1	39849
Riverstone	0	35296
Riverstone	1	51055
Rockdale	0	39330
Rockdale	1	40901
Ryde	0	48096
Ryde	1	40879
Seven Hills	0	33287
Seven Hills	1	46818
Shellharbour	0	14250
Shellharbour	1	62403
South Coast	0	8788
South Coast	1	55041
Strathfield	0	52273
Strathfield	1	35866
Summer Hill	0	32639
Summer Hill	1	42908
Swansea	0	6791
Swansea	1	60641
Sydney	0	47089
Sydney	1	36798
Tamworth	0	4872
Tamworth	1	65246
Terrigal	0	12064
Terrigal	1	57176
The Entrance	0	9692
The Entrance	1	58826
Tweed	0	11561
Tweed	1	58587
Upper Hunter	0	5399
Upper Hunter	1	63602
Vaucluse	0	29596
Vaucluse	1	42459
Wagga Wagga	0	6901
Wagga Wagga	1	64094
Wakehurst	0	24310
Wakehurst	1	51061
Wallsend	0	12141
Wallsend	1	65276
Willoughby	0	35980
Willoughby	1	44409
Wollondilly	0	10100
Wollondilly	1	59627
Wollongong	0	22231
Wollongong	1	54543
Wyong	0	9946
Wyong	1	61647
No usual address (NSW)	0	3012
No usual address (NSW)	1	7028
Migratory - Offshore - Shipping (NSW)	0	142
Migratory - Offshore - Shipping (NSW)	1	232
Albert Park (Southern Metropolitan)	0	28201
Albert Park (Southern Metropolitan)	1	38978
Altona (Western Metropolitan)	0	37998
Altona (Western Metropolitan)	1	48764
Bass (Eastern Victoria)	0	14164
Bass (Eastern Victoria)	1	53142
Bayswater (Eastern Metropolitan)	0	15043
Bayswater (Eastern Metropolitan)	1	43772
Bellarine (Western Victoria)	0	7531
Bellarine (Western Victoria)	1	47857
Benambra (Northern Victoria)	0	6181
Benambra (Northern Victoria)	1	53433
Bendigo East (Northern Victoria)	0	4827
Bendigo East (Northern Victoria)	1	54839
Bendigo West (Northern Victoria)	0	5455
Bendigo West (Northern Victoria)	1	49707
Bentleigh (Southern Metropolitan)	0	20327
Bentleigh (Southern Metropolitan)	1	37728
Box Hill (Eastern Metropolitan)	0	26478
Box Hill (Eastern Metropolitan)	1	39749
Brighton (Southern Metropolitan)	0	16430
Brighton (Southern Metropolitan)	1	42017
Broadmeadows (Northern Metropolitan)	0	32753
Broadmeadows (Northern Metropolitan)	1	33291
Brunswick (Northern Metropolitan)	0	22130
Brunswick (Northern Metropolitan)	1	44043
Bulleen (Eastern Metropolitan)	0	26443
Bulleen (Eastern Metropolitan)	1	32371
Bundoora (Northern Metropolitan)	0	20300
Bundoora (Northern Metropolitan)	1	38088
Buninyong (Western Victoria)	0	5975
Buninyong (Western Victoria)	1	48668
Burwood (Southern Metropolitan)	0	23550
Burwood (Southern Metropolitan)	1	39809
Carrum (South-Eastern Metropolitan)	0	15836
Carrum (South-Eastern Metropolitan)	1	47177
Caulfield (Southern Metropolitan)	0	24296
Caulfield (Southern Metropolitan)	1	37346
Clarinda (South-Eastern Metropolitan)	0	39353
Clarinda (South-Eastern Metropolitan)	1	30545
Cranbourne (South-Eastern Metropolitan)	0	36382
Cranbourne (South-Eastern Metropolitan)	1	54828
Croydon (Eastern Metropolitan)	0	12709
Croydon (Eastern Metropolitan)	1	43462
Dandenong (South-Eastern Metropolitan)	0	41758
Dandenong (South-Eastern Metropolitan)	1	27184
Eildon (Northern Victoria)	0	7239
Eildon (Northern Victoria)	1	45696
Eltham (Eastern Metropolitan)	0	10045
Eltham (Eastern Metropolitan)	1	46802
Essendon (Western Metropolitan)	0	18173
Essendon (Western Metropolitan)	1	44141
Euroa (Northern Victoria)	0	6047
Euroa (Northern Victoria)	1	51980
Evelyn (Eastern Victoria)	0	9443
Evelyn (Eastern Victoria)	1	45007
Ferntree Gully (Eastern Metropolitan)	0	19076
Ferntree Gully (Eastern Metropolitan)	1	36062
Footscray (Western Metropolitan)	0	38446
Footscray (Western Metropolitan)	1	36637
Forest Hill (Eastern Metropolitan)	0	24260
Forest Hill (Eastern Metropolitan)	1	33112
Frankston (South-Eastern Metropolitan)	0	13632
Frankston (South-Eastern Metropolitan)	1	42757
Geelong (Western Victoria)	0	9399
Geelong (Western Victoria)	1	49309
Gembrook (Eastern Victoria)	0	13961
Gembrook (Eastern Victoria)	1	50496
Gippsland East (Eastern Victoria)	0	5979
Gippsland East (Eastern Victoria)	1	47505
Gippsland South (Eastern Victoria)	0	6580
Gippsland South (Eastern Victoria)	1	45222
Hastings (Eastern Victoria)	0	10144
Hastings (Eastern Victoria)	1	53876
Hawthorn (Southern Metropolitan)	0	19650
Hawthorn (Southern Metropolitan)	1	42265
Ivanhoe (Eastern Metropolitan)	0	16932
Ivanhoe (Eastern Metropolitan)	1	43391
Kew (Southern Metropolitan)	0	21169
Kew (Southern Metropolitan)	1	38863
Keysborough (South-Eastern Metropolitan)	0	36023
Keysborough (South-Eastern Metropolitan)	1	30748
Kororoit (Western Metropolitan)	0	38004
Kororoit (Western Metropolitan)	1	40104
Lara (Western Victoria)	0	13535
Lara (Western Victoria)	1	46530
Lowan (Western Victoria)	0	3905
Lowan (Western Victoria)	1	48169
Macedon (Northern Victoria)	0	7470
Macedon (Northern Victoria)	1	45498
Malvern (Southern Metropolitan)	0	16801
Malvern (Southern Metropolitan)	1	38665
Melbourne (Northern Metropolitan)	0	63338
Melbourne (Northern Metropolitan)	1	39450
Melton (Western Victoria)	0	16378
Melton (Western Victoria)	1	56445
Mildura (Northern Victoria)	0	7043
Mildura (Northern Victoria)	1	49704
Mill Park (Northern Metropolitan)	0	22754
Mill Park (Northern Metropolitan)	1	42234
Monbulk (Eastern Victoria)	0	9592
Monbulk (Eastern Victoria)	1	44477
Mordialloc (South-Eastern Metropolitan)	0	15250
Mordialloc (South-Eastern Metropolitan)	1	44368
Mornington (Eastern Victoria)	0	13301
Mornington (Eastern Victoria)	1	44920
Morwell (Eastern Victoria)	0	7840
Morwell (Eastern Victoria)	1	50805
Mount Waverley (Eastern Metropolitan)	0	31370
Mount Waverley (Eastern Metropolitan)	1	28195
Mulgrave (South-Eastern Metropolitan)	0	30761
Mulgrave (South-Eastern Metropolitan)	1	28260
Murray Plains (Northern Victoria)	0	4395
Murray Plains (Northern Victoria)	1	51898
Narracan (Eastern Victoria)	0	7389
Narracan (Eastern Victoria)	1	53657
Narre Warren North (South-Eastern Metrop	0	26644
Narre Warren North (South-Eastern Metrop	1	36275
Narre Warren South (South-Eastern Metrop	0	33532
Narre Warren South (South-Eastern Metrop	1	44748
Nepean (Eastern Victoria)	0	9271
Nepean (Eastern Victoria)	1	44951
Niddrie (Western Metropolitan)	0	16571
Niddrie (Western Metropolitan)	1	39647
Northcote (Northern Metropolitan)	0	16948
Northcote (Northern Metropolitan)	1	43415
Oakleigh (Southern Metropolitan)	0	32838
Oakleigh (Southern Metropolitan)	1	35152
Ovens Valley (Northern Victoria)	0	5574
Ovens Valley (Northern Victoria)	1	45990
Pascoe Vale (Northern Metropolitan)	0	25499
Pascoe Vale (Northern Metropolitan)	1	43895
Polwarth (Western Victoria)	0	4963
Polwarth (Western Victoria)	1	50059
Prahran (Southern Metropolitan)	0	26367
Prahran (Southern Metropolitan)	1	39157
Preston (Northern Metropolitan)	0	25198
Preston (Northern Metropolitan)	1	37325
Richmond (Northern Metropolitan)	0	21770
