SED_NAME16	Age5yr	Indigenous	persons
Albury	0-4		316
Albury	0-4	0	4220
Albury	0-4	1	288
Albury	5-9		299
Albury	5-9	0	4405
Albury	5-9	1	273
Albury	10-14		305
Albury	10-14	0	4418
Albury	10-14	1	282
Albury	15-19		293
Albury	15-19	0	4348
Albury	15-19	1	226
Albury	20-24		364
Albury	20-24	0	4101
Albury	20-24	1	177
Albury	25-29		336
Albury	25-29	0	3861
Albury	25-29	1	135
Albury	30-34		301
Albury	30-34	0	4146
Albury	30-34	1	120
Albury	35-39		285
Albury	35-39	0	3997
Albury	35-39	1	99
Albury	40-44		316
Albury	40-44	0	4238
Albury	40-44	1	98
Albury	45-49		334
Albury	45-49	0	4586
Albury	45-49	1	107
Albury	50-54		299
Albury	50-54	0	4719
Albury	50-54	1	98
Albury	55-59		401
Albury	55-59	0	5040
Albury	55-59	1	82
Albury	60-64		370
Albury	60-64	0	4663
Albury	60-64	1	68
Albury	65+		1331
Albury	65+	0	14213
Albury	65+	1	94
Auburn	0-4		425
Auburn	0-4	0	7139
Auburn	0-4	1	47
Auburn	5-9		317
Auburn	5-9	0	5955
Auburn	5-9	1	23
Auburn	10-14		245
Auburn	10-14	0	5003
Auburn	10-14	1	22
Auburn	15-19		272
Auburn	15-19	0	5476
Auburn	15-19	1	47
Auburn	20-24		538
Auburn	20-24	0	8596
Auburn	20-24	1	114
Auburn	25-29		741
Auburn	25-29	0	11812
Auburn	25-29	1	110
Auburn	30-34		729
Auburn	30-34	0	10558
Auburn	30-34	1	104
Auburn	35-39		477
Auburn	35-39	0	7669
Auburn	35-39	1	78
Auburn	40-44		355
Auburn	40-44	0	5949
Auburn	40-44	1	60
Auburn	45-49		330
Auburn	45-49	0	5641
Auburn	45-49	1	42
Auburn	50-54		307
Auburn	50-54	0	5525
Auburn	50-54	1	35
Auburn	55-59		302
Auburn	55-59	0	5068
Auburn	55-59	1	24
Auburn	60-64		237
Auburn	60-64	0	4083
Auburn	60-64	1	21
Auburn	65+		581
Auburn	65+	0	8615
Auburn	65+	1	36
Ballina	0-4		298
Ballina	0-4	0	3143
Ballina	0-4	1	180
Ballina	5-9		374
Ballina	5-9	0	3726
Ballina	5-9	1	202
Ballina	10-14		385
Ballina	10-14	0	3691
Ballina	10-14	1	216
Ballina	15-19		318
Ballina	15-19	0	3471
Ballina	15-19	1	193
Ballina	20-24		259
Ballina	20-24	0	2353
Ballina	20-24	1	154
Ballina	25-29		361
Ballina	25-29	0	2777
Ballina	25-29	1	126
Ballina	30-34		324
Ballina	30-34	0	3282
Ballina	30-34	1	92
Ballina	35-39		386
Ballina	35-39	0	3608
Ballina	35-39	1	95
Ballina	40-44		442
Ballina	40-44	0	4372
Ballina	40-44	1	148
Ballina	45-49		450
Ballina	45-49	0	4587
Ballina	45-49	1	135
Ballina	50-54		541
Ballina	50-54	0	4822
Ballina	50-54	1	98
Ballina	55-59		559
Ballina	55-59	0	5301
Ballina	55-59	1	94
Ballina	60-64		586
Ballina	60-64	0	5295
Ballina	60-64	1	73
Ballina	65+		1362
Ballina	65+	0	14274
Ballina	65+	1	134
Balmain	0-4		362
Balmain	0-4	0	4627
Balmain	0-4	1	73
Balmain	5-9		282
Balmain	5-9	0	3855
Balmain	5-9	1	76
Balmain	10-14		207
Balmain	10-14	0	2808
Balmain	10-14	1	63
Balmain	15-19		234
Balmain	15-19	0	2850
Balmain	15-19	1	61
Balmain	20-24		644
Balmain	20-24	0	6694
Balmain	20-24	1	93
Balmain	25-29		802
Balmain	25-29	0	7299
Balmain	25-29	1	101
Balmain	30-34		791
Balmain	30-34	0	7384
Balmain	30-34	1	80
Balmain	35-39		690
Balmain	35-39	0	6899
Balmain	35-39	1	60
Balmain	40-44		569
Balmain	40-44	0	6362
Balmain	40-44	1	61
Balmain	45-49		465
Balmain	45-49	0	5423
Balmain	45-49	1	69
Balmain	50-54		412
Balmain	50-54	0	4631
Balmain	50-54	1	64
Balmain	55-59		393
Balmain	55-59	0	3949
Balmain	55-59	1	68
Balmain	60-64		345
Balmain	60-64	0	3649
Balmain	60-64	1	43
Balmain	65+		792
Balmain	65+	0	8407
Balmain	65+	1	61
Bankstown	0-4		414
Bankstown	0-4	0	6330
Bankstown	0-4	1	49
Bankstown	5-9		388
Bankstown	5-9	0	5871
Bankstown	5-9	1	45
Bankstown	10-14		303
Bankstown	10-14	0	5394
Bankstown	10-14	1	45
Bankstown	15-19		290
Bankstown	15-19	0	5349
Bankstown	15-19	1	67
Bankstown	20-24		381
Bankstown	20-24	0	5854
Bankstown	20-24	1	59
Bankstown	25-29		401
Bankstown	25-29	0	6269
Bankstown	25-29	1	32
Bankstown	30-34		382
Bankstown	30-34	0	5979
Bankstown	30-34	1	32
Bankstown	35-39		327
Bankstown	35-39	0	5327
Bankstown	35-39	1	26
Bankstown	40-44		294
Bankstown	40-44	0	5056
Bankstown	40-44	1	32
Bankstown	45-49		343
Bankstown	45-49	0	4851
Bankstown	45-49	1	37
Bankstown	50-54		311
Bankstown	50-54	0	4861
Bankstown	50-54	1	35
Bankstown	55-59		285
Bankstown	55-59	0	4679
Bankstown	55-59	1	29
Bankstown	60-64		225
Bankstown	60-64	0	3804
Bankstown	60-64	1	23
Bankstown	65+		751
Bankstown	65+	0	10233
Bankstown	65+	1	40
Barwon	0-4		553
Barwon	0-4	0	3122
Barwon	0-4	1	1428
Barwon	5-9		524
Barwon	5-9	0	3404
Barwon	5-9	1	1482
Barwon	10-14		449
Barwon	10-14	0	2838
Barwon	10-14	1	1367
Barwon	15-19		364
Barwon	15-19	0	2623
Barwon	15-19	1	1151
Barwon	20-24		419
Barwon	20-24	0	2605
Barwon	20-24	1	1031
Barwon	25-29		457
Barwon	25-29	0	3265
Barwon	25-29	1	868
Barwon	30-34		436
Barwon	30-34	0	3189
Barwon	30-34	1	709
Barwon	35-39		401
Barwon	35-39	0	2977
Barwon	35-39	1	595
Barwon	40-44		446
Barwon	40-44	0	3167
Barwon	40-44	1	741
Barwon	45-49		496
Barwon	45-49	0	3541
Barwon	45-49	1	753
Barwon	50-54		591
Barwon	50-54	0	4271
Barwon	50-54	1	699
Barwon	55-59		615
Barwon	55-59	0	4553
Barwon	55-59	1	636
Barwon	60-64		478
Barwon	60-64	0	4177
Barwon	60-64	1	470
Barwon	65+		1606
Barwon	65+	0	13022
Barwon	65+	1	835
Bathurst	0-4		327
Bathurst	0-4	0	3815
Bathurst	0-4	1	486
Bathurst	5-9		336
Bathurst	5-9	0	4209
Bathurst	5-9	1	480
Bathurst	10-14		348
Bathurst	10-14	0	4197
Bathurst	10-14	1	444
Bathurst	15-19		444
Bathurst	15-19	0	4333
Bathurst	15-19	1	368
Bathurst	20-24		453
Bathurst	20-24	0	4141
Bathurst	20-24	1	397
Bathurst	25-29		340
Bathurst	25-29	0	3916
Bathurst	25-29	1	361
Bathurst	30-34		280
Bathurst	30-34	0	3713
Bathurst	30-34	1	242
Bathurst	35-39		281
Bathurst	35-39	0	3678
Bathurst	35-39	1	212
Bathurst	40-44		352
Bathurst	40-44	0	4175
Bathurst	40-44	1	252
Bathurst	45-49		399
Bathurst	45-49	0	4523
Bathurst	45-49	1	198
Bathurst	50-54		419
Bathurst	50-54	0	4685
Bathurst	50-54	1	141
Bathurst	55-59		416
Bathurst	55-59	0	4794
Bathurst	55-59	1	137
Bathurst	60-64		396
Bathurst	60-64	0	4466
Bathurst	60-64	1	122
Bathurst	65+		1386
Bathurst	65+	0	13205
Bathurst	65+	1	222
Baulkham Hills	0-4		106
Baulkham Hills	0-4	0	4902
Baulkham Hills	0-4	1	24
Baulkham Hills	5-9		121
Baulkham Hills	5-9	0	5775
Baulkham Hills	5-9	1	34
Baulkham Hills	10-14		101
Baulkham Hills	10-14	0	5010
Baulkham Hills	10-14	1	31
Baulkham Hills	15-19		103
Baulkham Hills	15-19	0	5118
Baulkham Hills	15-19	1	41
Baulkham Hills	20-24		102
Baulkham Hills	20-24	0	4784
Baulkham Hills	20-24	1	24
Baulkham Hills	25-29		112
Baulkham Hills	25-29	0	3774
Baulkham Hills	25-29	1	24
Baulkham Hills	30-34		121
Baulkham Hills	30-34	0	4593
Baulkham Hills	30-34	1	18
Baulkham Hills	35-39		121
Baulkham Hills	35-39	0	5611
Baulkham Hills	35-39	1	29
Baulkham Hills	40-44		145
Baulkham Hills	40-44	0	5821
Baulkham Hills	40-44	1	25
Baulkham Hills	45-49		124
Baulkham Hills	45-49	0	5490
Baulkham Hills	45-49	1	18
Baulkham Hills	50-54		144
Baulkham Hills	50-54	0	5252
Baulkham Hills	50-54	1	16
Baulkham Hills	55-59		121
Baulkham Hills	55-59	0	4965
Baulkham Hills	55-59	1	15
Baulkham Hills	60-64		110
Baulkham Hills	60-64	0	4502
Baulkham Hills	60-64	1	12
Baulkham Hills	65+		341
Baulkham Hills	65+	0	11350
Baulkham Hills	65+	1	19
Bega	0-4		182
Bega	0-4	0	2398
Bega	0-4	1	352
Bega	5-9		260
Bega	5-9	0	3067
Bega	5-9	1	396
Bega	10-14		278
Bega	10-14	0	3193
Bega	10-14	1	389
Bega	15-19		245
Bega	15-19	0	3005
Bega	15-19	1	313
Bega	20-24		178
Bega	20-24	0	2047
Bega	20-24	1	222
Bega	25-29		165
Bega	25-29	0	2037
Bega	25-29	1	150
Bega	30-34		209
Bega	30-34	0	2336
Bega	30-34	1	165
Bega	35-39		196
Bega	35-39	0	2522
Bega	35-39	1	166
Bega	40-44		260
Bega	40-44	0	3159
Bega	40-44	1	180
Bega	45-49		320
Bega	45-49	0	3782
Bega	45-49	1	162
Bega	50-54		390
Bega	50-54	0	4431
Bega	50-54	1	167
Bega	55-59		445
Bega	55-59	0	5604
Bega	55-59	1	154
Bega	60-64		472
Bega	60-64	0	6074
Bega	60-64	1	118
Bega	65+		1555
Bega	65+	0	18125
Bega	65+	1	191
Blacktown	0-4		275
Blacktown	0-4	0	6237
Blacktown	0-4	1	227
Blacktown	5-9		220
Blacktown	5-9	0	5676
Blacktown	5-9	1	211
Blacktown	10-14		194
Blacktown	10-14	0	4738
Blacktown	10-14	1	250
Blacktown	15-19		224
Blacktown	15-19	0	5064
Blacktown	15-19	1	216
Blacktown	20-24		262
Blacktown	20-24	0	5684
Blacktown	20-24	1	202
Blacktown	25-29		278
Blacktown	25-29	0	6720
Blacktown	25-29	1	146
Blacktown	30-34		358
Blacktown	30-34	0	7609
Blacktown	30-34	1	136
Blacktown	35-39		277
Blacktown	35-39	0	6536
Blacktown	35-39	1	89
Blacktown	40-44		209
Blacktown	40-44	0	5472
Blacktown	40-44	1	128
Blacktown	45-49		182
Blacktown	45-49	0	4910
Blacktown	45-49	1	116
Blacktown	50-54		232
Blacktown	50-54	0	4831
Blacktown	50-54	1	95
Blacktown	55-59		194
Blacktown	55-59	0	4658
Blacktown	55-59	1	88
Blacktown	60-64		206
Blacktown	60-64	0	4106
Blacktown	60-64	1	77
Blacktown	65+		642
Blacktown	65+	0	9619
Blacktown	65+	1	106
Blue Mountains	0-4		147
Blue Mountains	0-4	0	3621
Blue Mountains	0-4	1	185
Blue Mountains	5-9		171
Blue Mountains	5-9	0	4135
Blue Mountains	5-9	1	222
Blue Mountains	10-14		184
Blue Mountains	10-14	0	4119
Blue Mountains	10-14	1	201
Blue Mountains	15-19		161
Blue Mountains	15-19	0	4005
Blue Mountains	15-19	1	204
Blue Mountains	20-24		134
Blue Mountains	20-24	0	3053
Blue Mountains	20-24	1	130
Blue Mountains	25-29		135
Blue Mountains	25-29	0	2730
Blue Mountains	25-29	1	108
Blue Mountains	30-34		144
Blue Mountains	30-34	0	3334
Blue Mountains	30-34	1	97
Blue Mountains	35-39		176
Blue Mountains	35-39	0	3805
Blue Mountains	35-39	1	91
Blue Mountains	40-44		214
Blue Mountains	40-44	0	4553
Blue Mountains	40-44	1	102
Blue Mountains	45-49		251
Blue Mountains	45-49	0	4812
Blue Mountains	45-49	1	95
Blue Mountains	50-54		211
Blue Mountains	50-54	0	4703
Blue Mountains	50-54	1	93
