SED_NAME16	Age	MaritalStatus	Sex	responses
Albury	15-19	Married	F	9
Albury	15-19	Married	M	7
Albury	20-24	Divorced	F	3
Albury	20-24	Married	F	149
Albury	20-24	Married	M	65
Albury	20-24	Separated	F	7
Albury	20-24	Separated	M	5
Albury	20-24	Widowed	F	6
Albury	25-34	Divorced	F	95
Albury	25-34	Divorced	M	65
Albury	25-34	Married	F	1982
Albury	25-34	Married	M	1577
Albury	25-34	Separated	F	138
Albury	25-34	Separated	M	80
Albury	25-34	Widowed	F	12
Albury	25-34	Widowed	M	9
Albury	35-44	Divorced	F	401
Albury	35-44	Divorced	M	268
Albury	35-44	Married	F	2785
Albury	35-44	Married	M	2545
Albury	35-44	Separated	F	275
Albury	35-44	Separated	M	186
Albury	35-44	Widowed	F	33
Albury	35-44	Widowed	M	12
Albury	45-54	Divorced	F	891
Albury	45-54	Divorced	M	660
Albury	45-54	Married	F	3072
Albury	45-54	Married	M	2901
Albury	45-54	Separated	F	302
Albury	45-54	Separated	M	284
Albury	45-54	Widowed	F	91
Albury	45-54	Widowed	M	42
Albury	55-64	Divorced	F	1011
Albury	55-64	Divorced	M	829
Albury	55-64	Married	F	3437
Albury	55-64	Married	M	3366
Albury	55-64	Separated	F	284
Albury	55-64	Separated	M	243
Albury	55-64	Widowed	F	297
Albury	55-64	Widowed	M	95
Albury	65-74	Divorced	F	672
Albury	65-74	Divorced	M	593
Albury	65-74	Married	F	2703
Albury	65-74	Married	M	2979
Albury	65-74	Separated	F	150
Albury	65-74	Separated	M	188
Albury	65-74	Widowed	F	660
Albury	65-74	Widowed	M	226
Albury	75-84	Divorced	F	229
Albury	75-84	Divorced	M	204
Albury	75-84	Married	F	1147
Albury	75-84	Married	M	1540
Albury	75-84	Separated	F	43
Albury	75-84	Separated	M	59
Albury	75-84	Widowed	F	1134
Albury	75-84	Widowed	M	334
Albury	85+	Divorced	F	43
Albury	85+	Divorced	M	49
Albury	85+	Married	F	213
Albury	85+	Married	M	434
Albury	85+	Separated	F	6
Albury	85+	Separated	M	5
Albury	85+	Widowed	F	990
Albury	85+	Widowed	M	301
Auburn	15-19	Married	F	52
Auburn	15-19	Married	M	21
Auburn	15-19	Separated	F	4
Auburn	15-19	Widowed	M	3
Auburn	20-24	Divorced	F	23
Auburn	20-24	Divorced	M	6
Auburn	20-24	Married	F	1015
Auburn	20-24	Married	M	489
Auburn	20-24	Separated	F	24
Auburn	20-24	Separated	M	17
Auburn	20-24	Widowed	F	3
Auburn	20-24	Widowed	M	4
Auburn	25-34	Divorced	F	310
Auburn	25-34	Divorced	M	253
Auburn	25-34	Married	F	6247
Auburn	25-34	Married	M	6179
Auburn	25-34	Separated	F	270
Auburn	25-34	Separated	M	197
Auburn	25-34	Widowed	F	13
Auburn	25-34	Widowed	M	20
Auburn	35-44	Divorced	F	535
Auburn	35-44	Divorced	M	407
Auburn	35-44	Married	F	4572
Auburn	35-44	Married	M	5606
Auburn	35-44	Separated	F	340
Auburn	35-44	Separated	M	287
Auburn	35-44	Widowed	F	60
Auburn	35-44	Widowed	M	12
Auburn	45-54	Divorced	F	867
Auburn	45-54	Divorced	M	561
Auburn	45-54	Married	F	3914
Auburn	45-54	Married	M	4330
Auburn	45-54	Separated	F	326
Auburn	45-54	Separated	M	262
Auburn	45-54	Widowed	F	165
Auburn	45-54	Widowed	M	42
Auburn	55-64	Divorced	F	850
Auburn	55-64	Divorced	M	662
Auburn	55-64	Married	F	2993
Auburn	55-64	Married	M	3465
Auburn	55-64	Separated	F	235
Auburn	55-64	Separated	M	224
Auburn	55-64	Widowed	F	392
Auburn	55-64	Widowed	M	71
Auburn	65-74	Divorced	F	310
Auburn	65-74	Divorced	M	306
Auburn	65-74	Married	F	1500
Auburn	65-74	Married	M	1993
Auburn	65-74	Separated	F	110
Auburn	65-74	Separated	M	111
Auburn	65-74	Widowed	F	495
Auburn	65-74	Widowed	M	110
Auburn	75-84	Divorced	F	105
Auburn	75-84	Divorced	M	97
Auburn	75-84	Married	F	584
Auburn	75-84	Married	M	932
Auburn	75-84	Separated	F	14
Auburn	75-84	Separated	M	39
Auburn	75-84	Widowed	F	669
Auburn	75-84	Widowed	M	168
Auburn	85+	Divorced	F	30
Auburn	85+	Divorced	M	18
Auburn	85+	Married	F	101
Auburn	85+	Married	M	214
Auburn	85+	Separated	F	10
Auburn	85+	Separated	M	15
Auburn	85+	Widowed	F	582
Auburn	85+	Widowed	M	144
Ballina	15-19	Married	F	5
Ballina	15-19	Separated	M	3
Ballina	20-24	Divorced	F	4
Ballina	20-24	Divorced	M	3
Ballina	20-24	Married	F	65
Ballina	20-24	Married	M	23
Ballina	20-24	Separated	F	11
Ballina	20-24	Widowed	F	7
Ballina	20-24	Widowed	M	3
Ballina	25-34	Divorced	F	82
Ballina	25-34	Divorced	M	42
Ballina	25-34	Married	F	1149
Ballina	25-34	Married	M	818
Ballina	25-34	Separated	F	67
Ballina	25-34	Separated	M	49
Ballina	25-34	Widowed	F	3
Ballina	25-34	Widowed	M	6
Ballina	35-44	Divorced	F	467
Ballina	35-44	Divorced	M	258
Ballina	35-44	Married	F	2351
Ballina	35-44	Married	M	1989
Ballina	35-44	Separated	F	238
Ballina	35-44	Separated	M	168
Ballina	35-44	Widowed	F	26
Ballina	35-44	Widowed	M	8
Ballina	45-54	Divorced	F	1063
Ballina	45-54	Divorced	M	672
Ballina	45-54	Married	F	2737
Ballina	45-54	Married	M	2570
Ballina	45-54	Separated	F	358
Ballina	45-54	Separated	M	235
Ballina	45-54	Widowed	F	107
Ballina	45-54	Widowed	M	25
Ballina	55-64	Divorced	F	1482
Ballina	55-64	Divorced	M	1117
Ballina	55-64	Married	F	3306
Ballina	55-64	Married	M	3215
Ballina	55-64	Separated	F	294
Ballina	55-64	Separated	M	284
Ballina	55-64	Widowed	F	260
Ballina	55-64	Widowed	M	118
Ballina	65-74	Divorced	F	987
Ballina	65-74	Divorced	M	827
Ballina	65-74	Married	F	2451
Ballina	65-74	Married	M	2896
Ballina	65-74	Separated	F	152
Ballina	65-74	Separated	M	183
Ballina	65-74	Widowed	F	614
Ballina	65-74	Widowed	M	165
Ballina	75-84	Divorced	F	298
Ballina	75-84	Divorced	M	203
Ballina	75-84	Married	F	1069
Ballina	75-84	Married	M	1378
Ballina	75-84	Separated	F	29
Ballina	75-84	Separated	M	37
Ballina	75-84	Widowed	F	1011
Ballina	75-84	Widowed	M	279
Ballina	85+	Divorced	F	92
Ballina	85+	Divorced	M	57
Ballina	85+	Married	F	245
Ballina	85+	Married	M	488
Ballina	85+	Separated	F	6
Ballina	85+	Separated	M	17
Ballina	85+	Widowed	F	1158
Ballina	85+	Widowed	M	294
Balmain	15-19	Married	F	3
Balmain	15-19	Married	M	6
Balmain	15-19	Separated	M	3
Balmain	15-19	Widowed	F	3
Balmain	20-24	Divorced	F	7
Balmain	20-24	Married	F	78
Balmain	20-24	Married	M	32
Balmain	20-24	Separated	M	3
Balmain	25-34	Divorced	F	178
Balmain	25-34	Divorced	M	102
Balmain	25-34	Married	F	2510
Balmain	25-34	Married	M	1936
Balmain	25-34	Separated	F	113
Balmain	25-34	Separated	M	60
Balmain	25-34	Widowed	F	16
Balmain	25-34	Widowed	M	6
Balmain	35-44	Divorced	F	550
Balmain	35-44	Divorced	M	382
Balmain	35-44	Married	F	4009
Balmain	35-44	Married	M	3886
Balmain	35-44	Separated	F	194
Balmain	35-44	Separated	M	163
Balmain	35-44	Widowed	F	30
Balmain	35-44	Widowed	M	11
Balmain	45-54	Divorced	F	874
Balmain	45-54	Divorced	M	575
Balmain	45-54	Married	F	2724
Balmain	45-54	Married	M	2824
Balmain	45-54	Separated	F	227
Balmain	45-54	Separated	M	205
Balmain	45-54	Widowed	F	55
Balmain	45-54	Widowed	M	32
