SED_NAME16	EduInstitutionType	Sex	students
Albury		F	3584
Albury		M	3474
Albury	Infants/Primary	F	3215
Albury	Infants/Primary	M	3293
Albury	Pre-school	F	660
Albury	Pre-school	M	707
Albury	Secondary	F	2525
Albury	Secondary	M	2477
Albury	Technical or Further Educational Institution	F	923
Albury	Technical or Further Educational Institution	M	764
Albury	University or other tertiary	F	1408
Albury	University or other tertiary	M	679
Auburn		F	4936
Auburn		M	6364
Auburn	Infants/Primary	F	3620
Auburn	Infants/Primary	M	3802
Auburn	Pre-school	F	663
Auburn	Pre-school	M	736
Auburn	Secondary	F	2958
Auburn	Secondary	M	2967
Auburn	Technical or Further Educational Institution	F	1190
Auburn	Technical or Further Educational Institution	M	1271
Auburn	University or other tertiary	F	3614
Auburn	University or other tertiary	M	4060
Ballina		F	4102
Ballina		M	3764
Ballina	Infants/Primary	F	2589
Ballina	Infants/Primary	M	2871
Ballina	Pre-school	F	575
Ballina	Pre-school	M	594
Ballina	Secondary	F	2241
Ballina	Secondary	M	2182
Ballina	Technical or Further Educational Institution	F	780
Ballina	Technical or Further Educational Institution	M	522
Ballina	University or other tertiary	F	1171
Ballina	University or other tertiary	M	658
Balmain		F	4263
Balmain		M	3993
Balmain	Infants/Primary	F	2450
Balmain	Infants/Primary	M	2577
Balmain	Pre-school	F	629
Balmain	Pre-school	M	670
Balmain	Secondary	F	1542
Balmain	Secondary	M	1481
Balmain	Technical or Further Educational Institution	F	744
Balmain	Technical or Further Educational Institution	M	593
Balmain	University or other tertiary	F	4978
Balmain	University or other tertiary	M	3645
Bankstown		F	4092
Bankstown		M	3963
Bankstown	Infants/Primary	F	3682
Bankstown	Infants/Primary	M	3896
Bankstown	Pre-school	F	654
Bankstown	Pre-school	M	736
Bankstown	Secondary	F	3027
Bankstown	Secondary	M	3105
Bankstown	Technical or Further Educational Institution	F	1040
Bankstown	Technical or Further Educational Institution	M	861
Bankstown	University or other tertiary	F	2337
Bankstown	University or other tertiary	M	2130
Barwon		F	4833
Barwon		M	4894
Barwon	Infants/Primary	F	3179
Barwon	Infants/Primary	M	3163
Barwon	Pre-school	F	751
Barwon	Pre-school	M	761
Barwon	Secondary	F	2004
Barwon	Secondary	M	2030
Barwon	Technical or Further Educational Institution	F	779
Barwon	Technical or Further Educational Institution	M	490
Barwon	University or other tertiary	F	734
Barwon	University or other tertiary	M	271
Bathurst		F	3831
Bathurst		M	5056
Bathurst	Infants/Primary	F	3112
Bathurst	Infants/Primary	M	3308
Bathurst	Pre-school	F	654
Bathurst	Pre-school	M	709
Bathurst	Secondary	F	2481
Bathurst	Secondary	M	2655
Bathurst	Technical or Further Educational Institution	F	949
Bathurst	Technical or Further Educational Institution	M	680
Bathurst	University or other tertiary	F	1685
Bathurst	University or other tertiary	M	1000
Baulkham Hills		F	1649
Baulkham Hills		M	1375
Baulkham Hills	Infants/Primary	F	3750
Baulkham Hills	Infants/Primary	M	3962
Baulkham Hills	Pre-school	F	786
Baulkham Hills	Pre-school	M	856
Baulkham Hills	Secondary	F	2844
Baulkham Hills	Secondary	M	3012
Baulkham Hills	Technical or Further Educational Institution	F	659
Baulkham Hills	Technical or Further Educational Institution	M	638
Baulkham Hills	University or other tertiary	F	2555
Baulkham Hills	University or other tertiary	M	2341
Bega		F	3471
Bega		M	3222
Bega	Infants/Primary	F	2310
Bega	Infants/Primary	M	2480
Bega	Pre-school	F	437
Bega	Pre-school	M	486
Bega	Secondary	F	1902
Bega	Secondary	M	1899
Bega	Technical or Further Educational Institution	F	545
Bega	Technical or Further Educational Institution	M	427
Bega	University or other tertiary	F	671
Bega	University or other tertiary	M	258
Blacktown		F	3034
Blacktown		M	2826
Blacktown	Infants/Primary	F	3616
Blacktown	Infants/Primary	M	3925
Blacktown	Pre-school	F	732
Blacktown	Pre-school	M	803
Blacktown	Secondary	F	2824
Blacktown	Secondary	M	2884
Blacktown	Technical or Further Educational Institution	F	1014
Blacktown	Technical or Further Educational Institution	M	868
Blacktown	University or other tertiary	F	2268
Blacktown	University or other tertiary	M	2027
Blue Mountains		F	2174
Blue Mountains		M	1861
Blue Mountains	Infants/Primary	F	2947
Blue Mountains	Infants/Primary	M	3070
Blue Mountains	Pre-school	F	660
Blue Mountains	Pre-school	M	670
Blue Mountains	Secondary	F	2292
Blue Mountains	Secondary	M	2466
Blue Mountains	Technical or Further Educational Institution	F	797
