SED_NAME16	Age	Sex	Volunteer	adults
Albury	15-19	F		232
Albury	15-19	F	0	1524
Albury	15-19	F	1	654
Albury	15-19	M		269
Albury	15-19	M	0	1638
Albury	15-19	M	1	558
Albury	20-24	F		199
Albury	20-24	F	0	1655
Albury	20-24	F	1	478
Albury	20-24	M		230
Albury	20-24	M	0	1691
Albury	20-24	M	1	390
Albury	25-34	F		342
Albury	25-34	F	0	3163
Albury	25-34	F	1	994
Albury	25-34	M		428
Albury	25-34	M	0	3185
Albury	25-34	M	1	781
Albury	35-44	F		341
Albury	35-44	F	0	2833
Albury	35-44	F	1	1489
Albury	35-44	M		395
Albury	35-44	M	0	2904
Albury	35-44	M	1	1065
Albury	45-54	F		344
Albury	45-54	F	0	3255
Albury	45-54	F	1	1559
Albury	45-54	M		429
Albury	45-54	M	0	3216
Albury	45-54	M	1	1335
Albury	55-64	F		428
Albury	55-64	F	0	3512
Albury	55-64	F	1	1504
Albury	55-64	M		445
Albury	55-64	M	0	3459
Albury	55-64	M	1	1273
Albury	65-74	F		432
Albury	65-74	F	0	2592
Albury	65-74	F	1	1322
Albury	65-74	M		443
Albury	65-74	M	0	2814
Albury	65-74	M	1	1022
Albury	75-84	F		439
Albury	75-84	F	0	1627
Albury	75-84	F	1	583
Albury	75-84	M		351
Albury	75-84	M	0	1472
Albury	75-84	M	1	418
Albury	85+	F		262
Albury	85+	F	0	915
Albury	85+	F	1	109
Albury	85+	M		188
Albury	85+	M	0	568
Albury	85+	M	1	72
Auburn	15-19	F		230
Auburn	15-19	F	0	2138
Auburn	15-19	F	1	428
Auburn	15-19	M		263
Auburn	15-19	M	0	2393
Auburn	15-19	M	1	340
Auburn	20-24	F		398
Auburn	20-24	F	0	3054
Auburn	20-24	F	1	603
Auburn	20-24	M		628
Auburn	20-24	M	0	4051
Auburn	20-24	M	1	512
Auburn	25-34	F		969
Auburn	25-34	F	0	8543
Auburn	25-34	F	1	1121
Auburn	25-34	M		1716
Auburn	25-34	M	0	10579
Auburn	25-34	M	1	1119
Auburn	35-44	F		588
Auburn	35-44	F	0	5084
Auburn	35-44	F	1	893
Auburn	35-44	M		1032
Auburn	35-44	M	0	6190
Auburn	35-44	M	1	800
Auburn	45-54	F		447
Auburn	45-54	F	0	4666
Auburn	45-54	F	1	717
Auburn	45-54	M		674
Auburn	45-54	M	0	4795
Auburn	45-54	M	1	567
Auburn	55-64	F		352
Auburn	55-64	F	0	3904
Auburn	55-64	F	1	593
Auburn	55-64	M		436
Auburn	55-64	M	0	3957
Auburn	55-64	M	1	492
Auburn	65-74	F		198
Auburn	65-74	F	0	2100
Auburn	65-74	F	1	266
Auburn	65-74	M		263
Auburn	65-74	M	0	2220
Auburn	65-74	M	1	229
Auburn	75-84	F		162
Auburn	75-84	F	0	1181
Auburn	75-84	F	1	109
Auburn	75-84	M		147
Auburn	75-84	M	0	1094
Auburn	75-84	M	1	86
Auburn	85+	F		99
Auburn	85+	F	0	640
Auburn	85+	F	1	27
Auburn	85+	M		52
Auburn	85+	M	0	340
Auburn	85+	M	1	23
Ballina	15-19	F		253
Ballina	15-19	F	0	1255
Ballina	15-19	F	1	399
Ballina	15-19	M		274
Ballina	15-19	M	0	1433
Ballina	15-19	M	1	372
Ballina	20-24	F		149
Ballina	20-24	F	0	991
Ballina	20-24	F	1	255
Ballina	20-24	M		155
Ballina	20-24	M	0	1022
Ballina	20-24	M	1	199
Ballina	25-34	F		347
Ballina	25-34	F	0	2607
Ballina	25-34	F	1	684
Ballina	25-34	M		381
Ballina	25-34	M	0	2447
Ballina	25-34	M	1	501
Ballina	35-44	F		458
Ballina	35-44	F	0	2986
Ballina	35-44	F	1	1395
Ballina	35-44	M		437
Ballina	35-44	M	0	2900
Ballina	35-44	M	1	871
Ballina	45-54	F		525
Ballina	45-54	F	0	3424
Ballina	45-54	F	1	1711
Ballina	45-54	M		534
Ballina	45-54	M	0	3245
Ballina	45-54	M	1	1192
Ballina	55-64	F		607
Ballina	55-64	F	0	3846
Ballina	55-64	F	1	1726
Ballina	55-64	M		615
Ballina	55-64	M	0	3776
Ballina	55-64	M	1	1333
Ballina	65-74	F		455
Ballina	65-74	F	0	2509
Ballina	65-74	F	1	1459
Ballina	65-74	M		477
Ballina	65-74	M	0	2805
Ballina	65-74	M	1	1157
Ballina	75-84	F		386
Ballina	75-84	F	0	1456
Ballina	75-84	F	1	631
Ballina	75-84	M		287
Ballina	75-84	M	0	1325
Ballina	75-84	M	1	387
Ballina	85+	F		379
Ballina	85+	F	0	1017
Ballina	85+	F	1	159
Ballina	85+	M		202
Ballina	85+	M	0	597
Ballina	85+	M	1	86
Balmain	15-19	F		147
Balmain	15-19	F	0	1099
Balmain	15-19	F	1	469
Balmain	15-19	M		155
Balmain	15-19	M	0	940
Balmain	15-19	M	1	340
Balmain	20-24	F		371
Balmain	20-24	F	0	2825
Balmain	20-24	F	1	867
Balmain	20-24	M		332
Balmain	20-24	M	0	2427
Balmain	20-24	M	1	596
Balmain	25-34	F		859
Balmain	25-34	F	0	6159
Balmain	25-34	F	1	1581
Balmain	25-34	M		882
Balmain	25-34	M	0	5840
Balmain	25-34	M	1	1135
Balmain	35-44	F		637
Balmain	35-44	F	0	5042
Balmain	35-44	F	1	1779
Balmain	35-44	M		685
Balmain	35-44	M	0	5199
Balmain	35-44	M	1	1294
Balmain	45-54	F		449
Balmain	45-54	F	0	3595
Balmain	45-54	F	1	1617
Balmain	45-54	M		502
Balmain	45-54	M	0	3736
Balmain	45-54	M	1	1159
Balmain	55-64	F		406
Balmain	55-64	F	0	3091
Balmain	55-64	F	1	1062
Balmain	55-64	M		386
Balmain	55-64	M	0	2701
Balmain	55-64	M	1	794
Balmain	65-74	F		283
Balmain	65-74	F	0	2113
Balmain	65-74	F	1	749
Balmain	65-74	M		256
Balmain	65-74	M	0	1938
Balmain	65-74	M	1	559
Balmain	75-84	F		158
Balmain	75-84	F	0	960
Balmain	75-84	F	1	205
Balmain	75-84	M		135
Balmain	75-84	M	0	790
Balmain	75-84	M	1	141
Balmain	85+	F		102
Balmain	85+	F	0	497
Balmain	85+	F	1	28
Balmain	85+	M		44
Balmain	85+	M	0	281
Balmain	85+	M	1	15
Bankstown	15-19	F		264
Bankstown	15-19	F	0	2071
Bankstown	15-19	F	1	474
Bankstown	15-19	M		249
Bankstown	15-19	M	0	2325
Bankstown	15-19	M	1	330
Bankstown	20-24	F		281
Bankstown	20-24	F	0	2438
Bankstown	20-24	F	1	413
Bankstown	20-24	M		300
Bankstown	20-24	M	0	2521
Bankstown	20-24	M	1	336
Bankstown	25-34	F		534
Bankstown	25-34	F	0	5440
Bankstown	25-34	F	1	664
Bankstown	25-34	M		727
Bankstown	25-34	M	0	5195
Bankstown	25-34	M	1	547
Bankstown	35-44	F		445
Bankstown	35-44	F	0	4504
Bankstown	35-44	F	1	647
Bankstown	35-44	M		532
Bankstown	35-44	M	0	4458
Bankstown	35-44	M	1	468
Bankstown	45-54	F		423
Bankstown	45-54	F	0	4252
Bankstown	45-54	F	1	590
Bankstown	45-54	M		492
Bankstown	45-54	M	0	4205
Bankstown	45-54	M	1	479
Bankstown	55-64	F		317
Bankstown	55-64	F	0	3720
Bankstown	55-64	F	1	483
Bankstown	55-64	M		372
Bankstown	55-64	M	0	3781
Bankstown	55-64	M	1	371
Bankstown	65-74	F		246
Bankstown	65-74	F	0	2343
Bankstown	65-74	F	1	304
Bankstown	65-74	M		273
Bankstown	65-74	M	0	2394
Bankstown	65-74	M	1	235
Bankstown	75-84	F		222
Bankstown	75-84	F	0	1573
Bankstown	75-84	F	1	113
Bankstown	75-84	M		166
Bankstown	75-84	M	0	1262
Bankstown	75-84	M	1	109
Bankstown	85+	F		114
Bankstown	85+	F	0	958
Bankstown	85+	F	1	35
Bankstown	85+	M		86
Bankstown	85+	M	0	555
Bankstown	85+	M	1	36
Barwon	15-19	F		315
Barwon	15-19	F	0	1280
Barwon	15-19	F	1	382
Barwon	15-19	M		368
Barwon	15-19	M	0	1441
Barwon	15-19	M	1	352
Barwon	20-24	F		235
Barwon	20-24	F	0	1423
Barwon	20-24	F	1	355
Barwon	20-24	M		298
Barwon	20-24	M	0	1457
Barwon	20-24	M	1	289
Barwon	25-34	F		511
Barwon	25-34	F	0	3088
Barwon	25-34	F	1	1028
Barwon	25-34	M		599
Barwon	25-34	M	0	2973
Barwon	25-34	M	1	723
Barwon	35-44	F		486
Barwon	35-44	F	0	2383
Barwon	35-44	F	1	1343
Barwon	35-44	M		511
Barwon	35-44	M	0	2508
Barwon	35-44	M	1	1095
Barwon	45-54	F		591
Barwon	45-54	F	0	3059
Barwon	45-54	F	1	1495
Barwon	45-54	M		670
Barwon	45-54	M	0	3304
Barwon	45-54	M	1	1228
Barwon	55-64	F		561
Barwon	55-64	F	0	3189
Barwon	55-64	F	1	1428
Barwon	55-64	M		728
Barwon	55-64	M	0	3772
Barwon	55-64	M	1	1249
Barwon	65-74	F		560
Barwon	65-74	F	0	2319
Barwon	65-74	F	1	1205
Barwon	65-74	M		645
Barwon	65-74	M	0	2885
Barwon	65-74	M	1	965
Barwon	75-84	F		470
Barwon	75-84	F	0	1515
Barwon	75-84	F	1	625
Barwon	75-84	M		412
Barwon	75-84	M	0	1521
Barwon	75-84	M	1	405
Barwon	85+	F		245
Barwon	85+	F	0	857
Barwon	85+	F	1	120
Barwon	85+	M		165
Barwon	85+	M	0	459
Barwon	85+	M	1	84
Bathurst	15-19	F		346
Bathurst	15-19	F	0	1660
Bathurst	15-19	F	1	482
Bathurst	15-19	M		361
Bathurst	15-19	M	0	1849
Bathurst	15-19	M	1	444
Bathurst	20-24	F		241
Bathurst	20-24	F	0	1653
Bathurst	20-24	F	1	465
Bathurst	20-24	M		538
Bathurst	20-24	M	0	1738
Bathurst	20-24	M	1	370
Bathurst	25-34	F		313
Bathurst	25-34	F	0	3102
Bathurst	25-34	F	1	747
Bathurst	25-34	M		897
Bathurst	25-34	M	0	3169
Bathurst	25-34	M	1	619
Bathurst	35-44	F		341
Bathurst	35-44	F	0	2896
Bathurst	35-44	F	1	1279
Bathurst	35-44	M		690
Bathurst	35-44	M	0	2960
Bathurst	35-44	M	1	791
Bathurst	45-54	F		441
Bathurst	45-54	F	0	3472
Bathurst	45-54	F	1	1287
Bathurst	45-54	M		643
Bathurst	45-54	M	0	3483
Bathurst	45-54	M	1	1044
Bathurst	55-64	F		452
Bathurst	55-64	F	0	3471
Bathurst	55-64	F	1	1240
Bathurst	55-64	M		543
Bathurst	55-64	M	0	3576
Bathurst	55-64	M	1	1035
Bathurst	65-74	F		486
Bathurst	65-74	F	0	2613
Bathurst	65-74	F	1	1176
Bathurst	65-74	M		554
Bathurst	65-74	M	0	2850
Bathurst	65-74	M	1	989
Bathurst	75-84	F		397
Bathurst	75-84	F	0	1496
Bathurst	75-84	F	1	472
Bathurst	75-84	M		315
Bathurst	75-84	M	0	1341
Bathurst	75-84	M	1	354
Bathurst	85+	F		216
Bathurst	85+	F	0	809
Bathurst	85+	F	1	104
Bathurst	85+	M		127
Bathurst	85+	M	0	436
Bathurst	85+	M	1	63
Baulkham Hills	15-19	F		89
