SED_NAME16	Ancestry	FatherBornAus	MotherBornAus	responses
Albury				5313
Albury		0	0	155
Albury		0	1	40
Albury		1	0	19
Albury		1	1	816
Albury	Australian			533
Albury	Australian		1	28037
Albury	Australian	0	0	302
Albury	Australian	0	1	1934
Albury	Australian	1	0	1362
Albury	Australian Aboriginal			4
Albury	Australian Aboriginal	0	1	7
Albury	Australian Aboriginal	1	0	3
Albury	Australian Aboriginal	1	1	232
Albury	Chinese			3
Albury	Chinese	0	0	305
Albury	Chinese	0	1	24
Albury	Chinese	1	0	26
Albury	Chinese	1	1	117
Albury	Croatian	0	0	121
Albury	Croatian	0	1	36
Albury	Croatian	1	0	15
Albury	Croatian	1	1	49
Albury	Dutch			15
Albury	Dutch	0	0	527
Albury	Dutch	0	1	150
Albury	Dutch	1	0	112
Albury	Dutch	1	1	393
Albury	English			561
Albury	English	0	0	2681
Albury	English	0	1	1892
Albury	English	1	0	1237
Albury	English	1	1	24558
Albury	Filipino			5
Albury	Filipino	0	0	338
Albury	Filipino	0	1	16
Albury	Filipino	1	0	64
Albury	Filipino	1	1	23
Albury	French			7
Albury	French	0	0	64
Albury	French	0	1	18
Albury	French	1	0	19
Albury	French	1	1	195
Albury	German			83
Albury	German	0	0	637
Albury	German	0	1	280
Albury	German	1	0	211
Albury	German	1	1	4642
Albury	Greek			10
Albury	Greek	0	0	139
Albury	Greek	0	1	49
Albury	Greek	1	0	22
Albury	Greek	1	1	157
Albury	Hungarian			3
Albury	Hungarian	0	0	106
Albury	Hungarian	0	1	29
Albury	Hungarian	1	0	10
Albury	Hungarian	1	1	52
Albury	Indian			5
Albury	Indian	0	0	650
Albury	Indian	0	1	31
Albury	Indian	1	0	27
Albury	Indian	1	1	18
Albury	Irish			142
Albury	Irish	0	0	534
Albury	Irish	0	1	496
Albury	Irish	1	0	308
Albury	Irish	1	1	9075
Albury	Italian			16
Albury	Italian	0	0	358
Albury	Italian	0	1	168
Albury	Italian	1	0	64
Albury	Italian	1	1	983
Albury	Korean	0	0	45
Albury	Korean	1	0	7
Albury	Lebanese			3
Albury	Lebanese	0	0	48
Albury	Lebanese	0	1	24
Albury	Lebanese	1	0	12
Albury	Lebanese	1	1	86
Albury	Macedonian	0	0	9
Albury	Macedonian	0	1	3
Albury	Macedonian	1	0	3
Albury	Macedonian	1	1	9
Albury	Maltese			4
Albury	Maltese	0	0	61
Albury	Maltese	0	1	25
Albury	Maltese	1	0	11
Albury	Maltese	1	1	87
Albury	Maori	0	0	134
Albury	Maori	0	1	33
Albury	Maori	1	0	23
Albury	Maori	1	1	35
Albury	NZ			3
Albury	NZ	0	0	179
Albury	NZ	0	1	111
Albury	NZ	1	0	84
Albury	NZ	1	1	64
Albury	(Other)			38
Albury	(Other)	0	0	2291
Albury	(Other)	0	1	327
Albury	(Other)	1	0	224
Albury	(Other)	1	1	731
Albury	Polish			3
Albury	Polish	0	0	189
Albury	Polish	0	1	42
Albury	Polish	1	0	23
Albury	Polish	1	1	132
Albury	Russian	0	0	60
Albury	Russian	0	1	12
Albury	Russian	1	0	8
Albury	Russian	1	1	40
Albury	Scottish			132
Albury	Scottish	0	0	710
Albury	Scottish	0	1	448
Albury	Scottish	1	0	315
Albury	Scottish	1	1	7152
Albury	Serbian	0	0	77
Albury	Serbian	1	0	3
Albury	Serbian	1	1	25
Albury	South African	0	0	75
Albury	South African	0	1	16
Albury	South African	1	0	11
Albury	South African	1	1	14
Albury	Spanish			3
Albury	Spanish	0	0	95
Albury	Spanish	0	1	14
Albury	Spanish	1	0	4
Albury	Spanish	1	1	94
Albury	Sri Lankan	0	0	106
Albury	Sri Lankan	0	1	8
Albury	Sri Lankan	1	0	7
Albury	Sri Lankan	1	1	3
Albury	Turkish	0	1	7
Albury	Vietnamese			3
Albury	Vietnamese	0	0	53
Albury	Vietnamese	0	1	3
Albury	Vietnamese	1	0	7
Albury	Vietnamese	1	1	3
Albury	Welsh			13
Albury	Welsh	0	0	97
Albury	Welsh	0	1	44
Albury	Welsh	1	0	18
Albury	Welsh	1	1	209
Auburn				7607
Auburn		0	0	1185
Auburn		0	1	76
Auburn		1	0	43
Auburn		1	1	120
Auburn	Australian			160
Auburn	Australian		1	3909
Auburn	Australian	0	0	2371
Auburn	Australian	0	1	1305
Auburn	Australian	1	0	854
Auburn	Australian Aboriginal			3
Auburn	Australian Aboriginal	0	1	10
Auburn	Australian Aboriginal	1	0	4
Auburn	Australian Aboriginal	1	1	55
Auburn	Chinese			166
Auburn	Chinese	0	0	20722
Auburn	Chinese	0	1	105
Auburn	Chinese	1	0	237
Auburn	Chinese	1	1	145
Auburn	Croatian			12
Auburn	Croatian	0	0	606
Auburn	Croatian	0	1	44
Auburn	Croatian	1	0	21
Auburn	Croatian	1	1	99
Auburn	Dutch	0	0	128
Auburn	Dutch	0	1	25
Auburn	Dutch	1	0	12
Auburn	Dutch	1	1	32
Auburn	English			168
Auburn	English	0	0	3423
Auburn	English	0	1	727
Auburn	English	1	0	530
Auburn	English	1	1	3367
Auburn	Filipino			29
Auburn	Filipino	0	0	2062
Auburn	Filipino	0	1	39
Auburn	Filipino	1	0	98
Auburn	Filipino	1	1	16
Auburn	French	0	0	138
Auburn	French	0	1	15
Auburn	French	1	0	13
Auburn	French	1	1	51
Auburn	German			8
Auburn	German	0	0	309
Auburn	German	0	1	58
Auburn	German	1	0	26
Auburn	German	1	1	272
Auburn	Greek			7
Auburn	Greek	0	0	485
Auburn	Greek	0	1	70
Auburn	Greek	1	0	32
Auburn	Greek	1	1	116
Auburn	Hungarian	0	0	94
Auburn	Hungarian	0	1	5
Auburn	Hungarian	1	0	8
Auburn	Hungarian	1	1	11
Auburn	Indian			35
Auburn	Indian	0	0	4386
Auburn	Indian	0	1	41
Auburn	Indian	1	0	24
Auburn	Indian	1	1	21
Auburn	Irish			35
Auburn	Irish	0	0	474
Auburn	Irish	0	1	198
Auburn	Irish	1	0	131
Auburn	Irish	1	1	1332
Auburn	Italian			22
Auburn	Italian	0	0	967
Auburn	Italian	0	1	192
