SED_NAME16	medianRent
Albury	11440
Auburn	22620
Ballina	18720
Balmain	28600
Bankstown	19760
Barwon	8320
Bathurst	13000
Baulkham Hills	28600
Bega	13000
Blacktown	19760
Blue Mountains	18200
Cabramatta	17160
Camden	23400
Campbelltown	18200
Canterbury	20800
Castle Hill	30420
Cessnock	15340
Charlestown	17160
Clarence	13000
Coffs Harbour	15860
Coogee	30160
Cootamundra	9620
Cronulla	23920
Davidson	36140
Drummoyne	30160
Dubbo	13000
East Hills	22360
Epping	28860
Fairfield	18200
Gosford	18200
Goulburn	13936
Granville	20800
Hawkesbury	18980
Heathcote	22880
Heffron	29120
Holsworthy	21840
Hornsby	24440
Keira	16640
Kiama	16640
Kogarah	23920
Ku-ring-gai	28600
Lake Macquarie	16640
Lakemba	18200
Lane Cove	26260
Lismore	13000
Liverpool	17680
Londonderry	17888
Macquarie Fields	18720
Maitland	16640
Manly	30680
Maroubra	25220
Miranda	23296
Monaro	14560
Mount Druitt	18200
Mulgoa	22776
Murray	9880
Myall Lakes	13000
Newcastle	18200
Newtown	26000
North Shore	29900
Northern Tablelands	10920
Oatley	21840
Orange	12220
Oxley	13000
Parramatta	21320
Penrith	18720
Pittwater	29900
Port Macquarie	16380
Port Stephens	15600
Prospect	21320
Riverstone	26000
Rockdale	24960
Ryde	23660
Seven Hills	21840
Shellharbour	17160
South Coast	14560
Strathfield	24960
Summer Hill	22984
Swansea	16640
Sydney	31200
Tamworth	13000
Terrigal	20800
The Entrance	17940
Tweed	18200
Upper Hunter	13000
Vaucluse	33800
Wagga Wagga	13000
Wakehurst	27040
Wallsend	17160
Willoughby	30680
Wollondilly	19240
Wollongong	16640
Wyong	17680
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	24024
Altona (Western Metropolitan)	18200
Bass (Eastern Victoria)	14560
Bayswater (Eastern Metropolitan)	17420
Bellarine (Western Victoria)	15860
Benambra (Northern Victoria)	12480
Bendigo East (Northern Victoria)	13520
Bendigo West (Northern Victoria)	13000
Bentleigh (Southern Metropolitan)	21840
Box Hill (Eastern Metropolitan)	19760
Brighton (Southern Metropolitan)	22360
Broadmeadows (Northern Metropolitan)	15600
Brunswick (Northern Metropolitan)	19760
Bulleen (Eastern Metropolitan)	21684
Bundoora (Northern Metropolitan)	17732
Buninyong (Western Victoria)	13000
Burwood (Southern Metropolitan)	20540
Carrum (South-Eastern Metropolitan)	17160
Caulfield (Southern Metropolitan)	20020
Clarinda (South-Eastern Metropolitan)	18252
Cranbourne (South-Eastern Metropolitan)	17992
Croydon (Eastern Metropolitan)	17940
Dandenong (South-Eastern Metropolitan)	15080
Eildon (Northern Victoria)	13000
Eltham (Eastern Metropolitan)	18720
Essendon (Western Metropolitan)	17732
Euroa (Northern Victoria)	11180
Evelyn (Eastern Victoria)	18044
Ferntree Gully (Eastern Metropolitan)	18720
Footscray (Western Metropolitan)	16380
Forest Hill (Eastern Metropolitan)	20280
Frankston (South-Eastern Metropolitan)	15340
Geelong (Western Victoria)	14560
Gembrook (Eastern Victoria)	17160
Gippsland East (Eastern Victoria)	11440
Gippsland South (Eastern Victoria)	11440
Hastings (Eastern Victoria)	15600
Hawthorn (Southern Metropolitan)	20540
Ivanhoe (Eastern Metropolitan)	17992
Kew (Southern Metropolitan)	23400
Keysborough (South-Eastern Metropolitan)	16796
Kororoit (Western Metropolitan)	17160
Lara (Western Victoria)	13000
Lowan (Western Victoria)	8840
Macedon (Northern Victoria)	15600
Malvern (Southern Metropolitan)	20280
Melbourne (Northern Metropolitan)	22360
Melton (Western Victoria)	14404
Mildura (Northern Victoria)	10400
Mill Park (Northern Metropolitan)	17212
Monbulk (Eastern Victoria)	17472
Mordialloc (South-Eastern Metropolitan)	18252
Mornington (Eastern Victoria)	18720
Morwell (Eastern Victoria)	10400
Mount Waverley (Eastern Metropolitan)	22100
Mulgrave (South-Eastern Metropolitan)	17472
Murray Plains (Northern Victoria)	9880
Narracan (Eastern Victoria)	12220
Narre Warren North (South-Eastern Metrop	17160
Narre Warren South (South-Eastern Metrop	18200
Nepean (Eastern Victoria)	15600
Niddrie (Western Metropolitan)	18616
Northcote (Northern Metropolitan)	18772
Oakleigh (Southern Metropolitan)	18720
Ovens Valley (Northern Victoria)	10920
Pascoe Vale (Northern Metropolitan)	18200
Polwarth (Western Victoria)	10400
Prahran (Southern Metropolitan)	20800
Preston (Northern Metropolitan)	16640
Richmond (Northern Metropolitan)	21840
Ringwood (Eastern Metropolitan)	17992
Ripon (Western Victoria)	9880
Rowville (South-Eastern Metropolitan)	19812
Sandringham (Southern Metropolitan)	20280
Shepparton (Northern Victoria)	11180
South Barwon (Western Victoria)	18200
South-West Coast (Western Victoria)	11960
St Albans (Western Metropolitan)	15080
Sunbury (Western Metropolitan)	16640
Sydenham (Western Metropolitan)	17680
Tarneit (Western Metropolitan)	16796
Thomastown (Northern Metropolitan)	16640
Warrandyte (Eastern Metropolitan)	21320
Wendouree (Western Victoria)	13000
Werribee (Western Metropolitan)	14976
Williamstown (Western Metropolitan)	19188
Yan Yean (Northern Victoria)	17732
Yuroke (Northern Metropolitan)	17680
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Albert	21320
Algester	19240
Ashgrove	20800
Aspley	20540
Barron River	17420
Beaudesert	16640
Brisbane Central	22360
Broadwater	18460
Buderim	21320
Bulimba	22308
Bundaberg	13260
Bundamba	17680
Burdekin	13000
Burleigh	20280
Burnett	14560
Cairns	13832
Callide	9100
Caloundra	18200
Capalaba	19240
Chatsworth	22100
Clayfield	18720
Cleveland	20800
Condamine	13260
Cook	7800
Coomera	20540
Currumbin	19084
Dalrymple	10400
Everton	20020
Ferny Grove	19760
Gaven	20540
Gladstone	13000
Glass House	16640
Greenslopes	19240
Gregory	7800
Gympie	13260
Hervey Bay	15080
Hinchinbrook	14300
Inala	16120
Indooroopilly	21840
Ipswich	14560
Ipswich West	15028
Kallangur	17940
Kawana	21580
Keppel	15600
Lockyer	14820
Logan	18980
Lytton	20280
Mackay	13000
Mansfield	20800
Maroochydore	18200
Maryborough	12480
Mermaid Beach	21840
Mirani	10400
Moggill	22880
Morayfield	17160
Mount Coot-tha	21840
Mount Isa	9360
Mount Ommaney	20800
Mudgeeraba	21840
Mulgrave	14040
Mundingburra	15600
Murrumba	18720
Nanango	11960
Nicklin	17160
Noosa	20800
Nudgee	18980
Pine Rivers	18200
Pumicestone	15600
Redcliffe	16120
Redlands	20540
Rockhampton	14040
Sandgate	18980
South Brisbane	20800
Southern Downs	11440
Southport	18980
Springwood	19240
Stafford	18720
Stretton	20800
Sunnybank	19240
Surfers Paradise	19760
Thuringowa	15600
Toowoomba North	14300
Toowoomba South	15340
Townsville	13780
Warrego	9360
Waterford	17160
Whitsunday	15600
Woodridge	16120
Yeerongpilly	18720
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	18200
Ashford	14560
Bragg	16900
Bright	16900
Chaffey	8840
Cheltenham	14040
Colton	15600
Croydon	14560
Davenport	17160
Dunstan	15600
Elder	14040
Enfield	13780
Finniss	13000
Fisher	16640
Flinders	9880
Florey	15496
Frome	9360
Giles	8424
Goyder (SA)	10400
Hammond	11440
Hartley	15080
Heysen	15600
Kaurna	15600
Kavel	15600
Lee	14872
Light	14300
Little Para	11440
Mackillop	8320
Mawson	14040
Mitchell	16640
Morialta	16640
Morphett	15600
Mount Gambier	9880
Napier	13000
Newland	15600
Playford	14560
Port Adelaide	15600
Ramsay	12740
Reynell	14040
Schubert	12480
Stuart (SA)	8580
Taylor	14560
Torrens	15340
Unley	17108
Waite	15600
West Torrens	14560
Wright	14820
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany (South West)	14560
Alfred Cove (South Metropolitan)	22360
Armadale (East Metropolitan)	16120
Balcatta (North Metropolitan)	18200
Bassendean (East Metropolitan)	18200
Bateman (South Metropolitan)	21840
Belmont (East Metropolitan)	18200
Bunbury (South West)	15600
Butler (North Metropolitan)	18720
Cannington (South Metropolitan)	18200
Carine (North Metropolitan)	22100
Central Wheatbelt (Agricultural)	8580
Churchlands (North Metropolitan)	18200
Cockburn (South Metropolitan)	20800
Collie-Preston (South West)	16120
Cottesloe (North Metropolitan)	22100
Darling Range (East Metropolitan)	20800
Dawesville (South West)	17940
Eyre (Mining and Pastoral)	13000
Forrestfield (East Metropolitan)	18980
Fremantle (South Metropolitan)	18720
Geraldton (Agricultural)	14040
Girrawheen (North Metropolitan)	19500
Gosnells (East Metropolitan)	17160
Hillarys (North Metropolitan)	22360
Jandakot (South Metropolitan)	21840
Joondalup (North Metropolitan)	20280
Kalamunda (East Metropolitan)	17680
Kalgoorlie (Mining and Pastoral)	2860
Kimberley (Mining and Pastoral)	9360
Kingsley (North Metropolitan)	21840
Kwinana (South Metropolitan)	17940
Mandurah (South West)	15600
Maylands (East Metropolitan)	17160
Midland (East Metropolitan)	17160
Mirrabooka (East Metropolitan)	17680
Moore (Agricultural)	10400
Morley (East Metropolitan)	19240
Mount Lawley (East Metropolitan)	18200
Murray-Wellington (South West)	15600
Nedlands (North Metropolitan)	22100
North West Central (Mining and Pastoral)	4628
Ocean Reef (North Metropolitan)	23400
Perth (North Metropolitan)	21840
