SED_NAME16	Age	ProvidedUnpaidChildcare	ForOwnChild	ForOtherChild	Sex	adults
Albury	15-19				F	228
Albury	15-19				M	275
Albury	15-19	0			F	1932
Albury	15-19	0			M	2051
Albury	15-19	1	0	1	F	211
Albury	15-19	1	0	1	M	112
Albury	15-19	1	1	0	F	35
Albury	15-19	1	1	0	M	21
Albury	15-19	1	1	1	F	3
Albury	20-24				F	202
Albury	20-24				M	239
Albury	20-24	0			F	1637
Albury	20-24	0			M	1837
Albury	20-24	1	0	1	F	198
Albury	20-24	1	0	1	M	102
Albury	20-24	1	1	0	F	279
Albury	20-24	1	1	0	M	137
Albury	20-24	1	1	1	F	14
Albury	25-34				F	348
Albury	25-34				M	422
Albury	25-34	0			F	1742
Albury	25-34	0			M	2405
Albury	25-34	1	0	1	F	268
Albury	25-34	1	0	1	M	126
Albury	25-34	1	1	0	F	2017
Albury	25-34	1	1	0	M	1390
Albury	25-34	1	1	1	F	135
Albury	25-34	1	1	1	M	49
Albury	35-44				F	341
Albury	35-44				M	406
Albury	35-44	0			F	1230
Albury	35-44	0			M	1557
Albury	35-44	1	0	1	F	177
Albury	35-44	1	0	1	M	107
Albury	35-44	1	1	0	F	2755
Albury	35-44	1	1	0	M	2247
Albury	35-44	1	1	1	F	153
Albury	35-44	1	1	1	M	60
Albury	45-54				F	361
Albury	45-54				M	425
Albury	45-54	0			F	3000
Albury	45-54	0			M	2989
Albury	45-54	1	0	1	F	491
Albury	45-54	1	0	1	M	194
Albury	45-54	1	1	0	F	1258
Albury	45-54	1	1	0	M	1330
Albury	45-54	1	1	1	F	52
Albury	45-54	1	1	1	M	35
Albury	55-64				F	437
Albury	55-64				M	452
Albury	55-64	0			F	3779
Albury	55-64	0			M	3981
Albury	55-64	1	0	1	F	1110
Albury	55-64	1	0	1	M	474
Albury	55-64	1	1	0	F	109
Albury	55-64	1	1	0	M	255
Albury	55-64	1	1	1	F	8
Albury	55-64	1	1	1	M	9
Albury	65-74				F	470
Albury	65-74				M	474
Albury	65-74	0			F	3127
Albury	65-74	0			M	3349
Albury	65-74	1	0	1	F	719
Albury	65-74	1	0	1	M	420
Albury	65-74	1	1	0	F	30
Albury	65-74	1	1	0	M	37
Albury	65-74	1	1	1	F	4
Albury	75-84				F	500
Albury	75-84				M	363
Albury	75-84	0			F	2062
Albury	75-84	0			M	1790
Albury	75-84	1	0	1	F	89
Albury	75-84	1	0	1	M	73
Albury	75-84	1	1	0	F	4
Albury	75-84	1	1	0	M	8
Albury	85+				F	273
Albury	85+				M	201
Albury	85+	0			F	998
Albury	85+	0			M	626
Albury	85+	1	0	1	F	13
Albury	85+	1	0	1	M	3
Albury	85+	1	1	0	F	6
Auburn	15-19				F	234
Auburn	15-19				M	269
Auburn	15-19	0			F	2369
Auburn	15-19	0			M	2639
Auburn	15-19	1	0	1	F	170
Auburn	15-19	1	0	1	M	75
Auburn	15-19	1	1	0	F	25
Auburn	15-19	1	1	0	M	12
Auburn	15-19	1	1	1	M	4
Auburn	20-24				F	398
Auburn	20-24				M	624
Auburn	20-24	0			F	3136
Auburn	20-24	0			M	4392
Auburn	20-24	1	0	1	F	208
Auburn	20-24	1	0	1	M	93
Auburn	20-24	1	1	0	F	304
Auburn	20-24	1	1	0	M	83
Auburn	20-24	1	1	1	F	12
Auburn	25-34				F	959
Auburn	25-34				M	1721
Auburn	25-34	0			F	5961
Auburn	25-34	0			M	9589
Auburn	25-34	1	0	1	F	324
Auburn	25-34	1	0	1	M	177
Auburn	25-34	1	1	0	F	3323
Auburn	25-34	1	1	0	M	1905
Auburn	25-34	1	1	1	F	64
Auburn	25-34	1	1	1	M	30
Auburn	35-44				F	579
Auburn	35-44				M	1019
Auburn	35-44	0			F	2456
Auburn	35-44	0			M	4063
Auburn	35-44	1	0	1	F	162
Auburn	35-44	1	0	1	M	104
Auburn	35-44	1	1	0	F	3292
Auburn	35-44	1	1	0	M	2817
Auburn	35-44	1	1	1	F	79
Auburn	35-44	1	1	1	M	19
Auburn	45-54				F	455
Auburn	45-54				M	685
Auburn	45-54	0			F	3688
Auburn	45-54	0			M	3787
Auburn	45-54	1	0	1	F	308
Auburn	45-54	1	0	1	M	85
Auburn	45-54	1	1	0	F	1340
Auburn	45-54	1	1	0	M	1457
Auburn	45-54	1	1	1	F	44
Auburn	45-54	1	1	1	M	23
Auburn	55-64				F	361
Auburn	55-64				M	451
Auburn	55-64	0			F	3600
Auburn	55-64	0			M	3827
Auburn	55-64	1	0	1	F	663
Auburn	55-64	1	0	1	M	242
Auburn	55-64	1	1	0	F	202
Auburn	55-64	1	1	0	M	365
Auburn	55-64	1	1	1	F	19
Auburn	55-64	1	1	1	M	12
Auburn	65-74				F	209
Auburn	65-74				M	276
Auburn	65-74	0			F	1872
Auburn	65-74	0			M	2083
Auburn	65-74	1	0	1	F	418
Auburn	65-74	1	0	1	M	288
Auburn	65-74	1	1	0	F	58
